	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200930052001	ダ	右	1700	晴	良	14:30	3歳　条件未		2009-5-20	1	門別	1	(規定)		3.0	740.0	4.0	3.0	270	5.0	2.0	180	3.0	1.0	140	2.0	2-3	1690.0	8.0	2-3	1470.0	6.0	3=>2	6900.0	19.0	1-2-3	890.0	3.0	3=>2=>1	13970.0	45.0	3,5,(8,9),10,1,4,2,6,7	31015849267.0	3,10,8,1,(4,2,9),7,5,6	3,8,10,1,(4,2),7,9,6,5											
200930052002	ダ	右	1200	晴	良	15:00	3歳　条件未		2009-5-20	1	門別	1	(規定)		4.0	130.0	1.0	4.0	100	1.0	1.0	160	4.0	5.0	120	2.0	1-4	430.0	2.0	1-4	480.0	2.0	4=>1	690.0	2.0	1-4-5	550.0	1.0	4=>1=>5	1560.0	2.0			4,(1,5),7,8,(3,9),6,2	(4,5),1,7,3,8,9,2,6											
200930052003	ダ	右	1200	晴	良	15:30	3歳　条件未		2009-5-20	1	門別	1	(規定)		6.0	160.0	1.0	6.0	120	1.0	1.0	180	4.0	2.0	240	5.0	1-6	610.0	3.0	1-6	380.0	1.0	6=>1	800.0	3.0	1-2-6	1370.0	6.0	6=>1=>2	3920.0	10.0			3,6,1,9,(2,8,7),10,4,5	36129784105											
200930052004	ダ	右	1700	晴	良	16:05	D3　ー1組		2009-5-20	1	門別	1	40万円以下	(規定)	11.0	290.0	1.0	11.0	150	3.0	3.0	380	7.0	5.0	140	2.0	3-8	1010.0	5.0	3-11	1120.0	5.0	11=>3	3310.0	12.0	3-5-11	2190.0	8.0	11=>3=>5	14360.0	41.0	4510116193872	4510111693872.0	4,(5,10),11,1,6,9,3,7,2,8	(4,5),10,11,1,6,3,9,(7,8),2											
200930052005	ダ	右	1200	晴	良	16:35	D2　ー1組		2009-5-20	1	門別	1	60万円以下	(規定)	1.0	100.0	1.0	1.0	100	1.0	5.0	190	4.0	6.0	130	3.0	1-5	850.0	4.0	1-5	1140.0	4.0	1=>5	1060.0	5.0	1-5-6	1570.0	6.0	1=>5=>6	4940.0	17.0			(1,2,9),3,6,5,4=8	1,(2,9),3,5,6,4=8											
200930052006	ダ	右	1000	晴	良	17:05	JRA認定フレッシュ		2009-5-20	1	門別	1	牝(規定)		8.0	140.0	1.0	8.0	100	1.0	4.0	110	2.0	6.0	130	3.0				4-8	170.0	1.0	8=>4	270.0	1.0	4-6-8	360.0	2.0	8=>4=>6	790.0	2.0			4,(6,8),3,5,7,1-2	4,(6,8),3,5,7,1-2											
200930052007	ダ	右	1700	晴	良	17:35	JRA認定フレッシュ		2009-5-20	1	門別	1	(規定)		1.0	470.0	3.0	1.0	130	2.0	3.0	120	1.0	4.0	140	3.0	1-3	660.0	3.0	1-3	530.0	2.0	1=>3	1250.0	5.0	1-3-4	490.0	1.0	1=>3=>4	2080.0	2.0	1,4,5,(3,8),(2,6),9,7	145832697.0	148325697	143826957											
200930052008	ダ	右	1200	晴	良	18:10	アルキバ特別 		2009-5-20	1	門別	1	150万円以下	(定量)	14.0	200.0	1.0	14.0	160	2.0	12.0	3,540	15.0	8.0	1,070	10.0	6-7	4080.0	16.0	12-14	9800.0	29.0	14=>12	15060.0	40.0	8-12-14	143060.0	248.0	14=>12=>8	509250.0	927.0			2,14,16,12,10,3,11,5,8,13,1,7,(4,6),15,9	14,2,(16,12),10,11,3,5,8,1,(7,13),(4,6),(9,15)											
200930052009	ダ	右	1200	晴	良	18:45	JRA認定スーパーフ		2009-5-20	1	門別	1	(規定)		8.0	540.0	2.0	8.0	140	3.0	3.0	100	1.0	10.0	130	2.0	3-7	270.0	1.0	3-8	340.0	1.0	8=>3	1210.0	4.0	3-8-10	460.0	1.0	8=>3=>10	2310.0	3.0			8,3,(2,10),(4,6),7,(1,9)	8,3,10,(2,6),4,7,9,1											
200930052010	ダ	右	1800	晴	良	19:20	ミランダ特別 		2009-5-20	1	門別	1	800万円以下	(別定)	4.0	130.0	1.0	4.0	100	1.0	9.0	120	2.0	2.0	190	5.0	4-8	250.0	1.0	4-9	530.0	3.0	4=>9	460.0	1.0	2-4-9	1290.0	7.0	4=>9=>2	2700.0	9.0	7,(4,9),6,8,2,5,1,3	7-4,9,6,8,2,(1,5),3	4,9,8,6,(7,2),5,1,3	498261357											
200930052011	ダ	右	1000	晴	良	19:55	エトワール賞〔H3〕	G	2009-5-20	1	門別	1	(別定)		9.0	340.0	2.0	9.0	180	3.0	8.0	130	1.0	2.0	180	4.0	5-6	560.0	3.0	8-9	600.0	2.0	9=>8	1410.0	5.0	2-8-9	1480.0	3.0	9=>8=>2	6840.0	12.0			1,3,9,12,6,(2,4,13,14),8,10,11,5,7	1,3,9,2,12,6,4,(8,14),(10,13),(5,11),7											
200930052101	ダ	右	1700	晴	良	15:00	D2　ー1組		2009-5-21	1	門別	2	60万円以下	(規定)	2.0	110.0	1.0	2.0	100	1.0	6.0	130	2.0							2-6	210.0	1.0	2=>6	250.0	1.0	2-4-6	150.0	1.0	2=>6=>4	480.0	2.0	7345126	7345126	(7,3),4,5,6,1,2	3746512											
200930052102	ダ	右	1200	晴	良	15:30	D3　ー2組		2009-5-21	1	門別	2	40万円以下	(規定)	6.0	150.0	1.0	6.0	110	1.0	7.0	420	6.0	2.0	420	6.0	6-7	2220.0	8.0	6-7	2020.0	9.0	6=>7	3550.0	15.0	2-6-7	12190.0	25.0	6=>7=>2	56370.0	111.0			7,6,4,(1,9),2,3,10,5,8	7,6,(4,9),(1,3),2,5,10,8											
200930052103	ダ	右	1200	晴	良	16:00	D3　ー2組		2009-5-21	1	門別	2	40万円以下	(規定)	8.0	100.0	1.0	8.0	100	1.0	7.0	100	2.0	1.0	200	5.0	7-7	260.0	2.0	7-8	160.0	1.0	8=>7	250.0	1.0	1-7-8	480.0	1.0	8=>7=>1	750.0	1.0			(2,4,7,8),3,1,(5,6),9	(2,7),8,4,1,3,5,6,9											
200930052104	ダ	右	1000	晴	良	16:35	3歳　条件未		2009-5-21	1	門別	2	(規定)		8.0	990.0	3.0	8.0	340	3.0	1.0	590	5.0	10.0	210	2.0	1-6	4490.0	13.0	1-8	3330.0	11.0	8=>1	14860.0	29.0	1-8-10	4050.0	13.0	8=>1=>10	35510.0	96.0			(1,10),11,3,4,7,8,9,(5,12),2	(1,10),11,3,4,(5,9,7,8),12,2											
200930052105	ダ	右	1200	晴	良	17:05	D3　ー1組		2009-5-21	1	門別	2	40万円以下	(規定)	2.0	530.0	3.0	2.0	120	3.0	8.0	100	1.0	1.0	100	2.0	2-8	370.0	1.0	2-8	330.0	1.0	2=>8	720.0	3.0	1-2-8	300.0	1.0	2=>8=>1	1570.0	4.0			(2,3),4,1,(5,7,8),(6,9)	2,4,3,8,1,7,(6,5),9											
200930052106	ダ	右	1200	晴	良	17:35	3歳　4		2009-5-21	1	門別	2	100万円以下	(規定)	3.0	110.0	1.0	3.0	100	1.0	9.0	330	8.0	2.0	190	3.0	3-7	840.0	3.0	3-9	1030.0	7.0	3=>9	1150.0	6.0	2-3-9	4540.0	22.0	3=>9=>2	11120.0	41.0			1,2,3,11,9,(6,8),(10,12),4,7,5	2,(1,3),9,11,6,8,12,(4,10),7,5											
200930052107	ダ	右	1200	晴	良	18:10	JRA認定フレッシュ		2009-5-21	1	門別	2	(規定)		8.0	310.0	2.0	8.0	110	2.0	5.0	110	1.0	4.0	130	3.0	5-8	250.0	1.0	5-8	270.0	1.0	8=>5	640.0	2.0	4-5-8	310.0	1.0	8=>5=>4	1340.0	2.0			4,8,9,(1,6),2,3,7,5	4,8,9,1,6,2,(3,5),7											
200930052108	ダ	右	1200	晴	良	18:45	JRA認定フレッシュ		2009-5-21	1	門別	2	(規定)		5.0	1020.0	4.0	5.0	260	4.0	7.0	410	7.0	1.0	120	1.0	5-7	11140.0	18.0	5-7	8230.0	17.0	5=>7	22530.0	40.0	1-5-7	5900.0	18.0	5=>7=>1	54770.0	130.0			4,5,7,(2,3),9,8,6-1	(4,5),(2,3,7),9,8,6-1											
200930052109	ダ	右	1800	晴	良	19:20	レグルス特別 		2009-5-21	1	門別	2	300万円以下	(別定)	4.0	340.0	2.0	4.0	140	3.0	6.0	120	2.0	10.0	120	1.0	4-6	900.0	4.0	4-6	600.0	3.0	4=>6	1170.0	4.0	4-6-10	560.0	1.0	4=>6=>10	2500.0	1.0	2,6,9,4,(1,3),10,8,5,7	2,6,9,4,(1,3),10,8,(5,7)	2,6,9,4,10,(1,8),7,5,3	6,2,9,4,10,8,5,(1,7),3											
200930052110	ダ	右	1800	晴	良	19:55	日高町長杯門別温泉と 		2009-5-21	1	門別	2	(別定)		9.0	1900.0	6.0	9.0	450	6.0	4.0	460	7.0	8.0	200	3.0	4-8	7340.0	16.0	4-9	10780.0	24.0	9=>4	35830.0	51.0	4-8-9	26630.0	48.0	9=>4=>8	234550.0	285.0	(1,6),8,(2,3),4,9,7,5	1,6,8,(2,3),4,9,7,5	6,(1,8),(3,4),(2,9),7,5	861493275											
200930052701	ダ	右	1200	曇	良	14:55	3歳　条件未		2009-5-27	2	門別	1	(規定)		2.0	110.0	1.0	2.0	100	1.0	4.0	530	6.0	8.0	160	3.0				2-4	1650.0	5.0	2=>4	2060.0	7.0	2-4-8	3480.0	11.0	2=>4=>8	8400.0	26.0			(2,5),6,8,4,1,7,3	25486173											
200930052702	ダ	右	1200	曇	良	15:25	3歳　条件未		2009-5-27	2	門別	1	(規定)		6.0	150.0	1.0	6.0	100	1.0	5.0	120	2.0	4.0	290	5.0	5-6	140.0	1.0	5-6	170.0	1.0	6=>5	310.0	1.0	4-5-6	350.0	2.0	6=>5=>4	910.0	2.0			(3,4,5),6,2,(7,9),8	(4,5),3,6,7,2,9,8											
200930052703	ダ	右	1000	曇	良	15:55	3歳　条件		2009-5-27	2	門別	1	100万円以下	(規定)	3.0	160.0	1.0	3.0	100	1.0	4.0	140	2.0	6.0	330	7.0	3-4	160.0	1.0	3-4	140.0	1.0	3=>4	260.0	1.0	3-4-6	2650.0	8.0	3=>4=>6	4580.0	15.0			3,4,6,(5,7,9),2,8,1	3,4,(2,6),5,7,9,8,1											
200930052704	ダ	右	1000	曇	良	16:30	D2　ー1組		2009-5-27	2	門別	1	60万円以下	(規定)	4.0	260.0	2.0	4.0	140	2.0	7.0	170	3.0	1.0	300	6.0	4-7	690.0	2.0	4-7	630.0	2.0	4=>7	1100.0	3.0	1-4-7	2620.0	11.0	4=>7=>1	8540.0	26.0			4,(5,6),7,9,1,8,3,2	4,5,(6,7),(1,9),8,3,2											
200930052705	ダ	右	1200	曇	良	17:00	JRA認定ルーキーチ		2009-5-27	2	門別	1	(規定)		1.0	620.0	2.0	1.0	110	2.0	2.0	100	1.0	9.0	150	4.0	1-2	350.0	2.0	1-2	320.0	1.0	1=>2	980.0	4.0	1-2-9	600.0	2.0	1=>2=>9	2710.0	8.0			2,1,9,3,5,6,7,(4,8)	2,1,9,3,6,5,7,(4,8)											
200930052706	ダ	右	1200	曇	良	17:30	JRA認定ルーキーチ		2009-5-27	2	門別	1	(規定)		3.0	270.0	2.0	3.0	100	2.0	1.0	100	1.0	8.0	220	5.0	1-3	110.0	1.0	1-3	130.0	1.0	3=>1	420.0	2.0	1-3-8	680.0	4.0	3=>1=>8	2030.0	7.0			5,1,(6,8),3,9,2,7,4	518369247											
200930052707	ダ	右	1200	曇	良	18:05	ミラ特別 		2009-5-27	2	門別	1	130万円以下	(規定)	13.0	250.0	1.0	13.0	130	1.0	6.0	190	4.0	1.0	170	3.0	5-8	590.0	2.0	6-13	630.0	1.0	13=>6	1260.0	1.0	1-6-13	1070.0	2.0	13=>6=>1	4600.0	5.0			3,6,12,2,(1,10,9),13,8,5,11,7,4	3,6,12,1,2,9,13,10,(5,8),11,7,4											
200930052708	ダ	右	1000	曇	良	18:40	JRA認定フレッシュ		2009-5-27	2	門別	1	(規定)		5.0	290.0	2.0	5.0	120	2.0	8.0	110	1.0	1.0	630	8.0				5-8	190.0	1.0	5=>8	520.0	2.0	1-5-8	9740.0	21.0	5=>8=>1	23130.0	61.0			(4,5),(6,7),(1,3,8),2	5,4,7,(3,6),8,1,2											
200930052709	ダ	右	1700	曇	良	19:15	アルゴル特別 		2009-5-27	2	門別	1	130万円以下	(規定)	8.0	190.0	1.0	8.0	110	1.0	2.0	120	2.0	7.0	150	4.0	2-7	290.0	1.0	2-8	310.0	1.0	8=>2	490.0	1.0	2-7-8	800.0	3.0	8=>2=>7	2000.0	4.0	8,6,5,(2,11),1,7,9,4,3,10	8,6,(2,11),5,1,7,9,(3,4),10	8611127495103	8611217491035											
200930052801	ダ	右	1000	曇	良	14:30	D3　ー2組		2009-5-28	2	門別	2	40万円以下	(規定)	10.0	200.0	1.0	10.0	100	1.0	8.0	410	6.0	3.0	500	7.0	7-8	450.0	2.0	8-10	960.0	4.0	10=>8	1050.0	4.0	3-8-10	4160.0	15.0	10=>8=>3	10160.0	30.0			1,6,8,9,(2,3,10),5,7,4	18691023574											
200930052802	ダ	右	1700	曇	良	15:00	D3　ー2組		2009-5-28	2	門別	2	40万円以下	(規定)	8.0	850.0	3.0	8.0	180	4.0	4.0	230	5.0	3.0	100	1.0				4-8	3710.0	8.0	8=>4	7010.0	15.0	3-4-8	610.0	3.0	8=>4=>3	16660.0	39.0	8,7,5,4,1,(2,6),3	87514263	85143762	8,5,4,(1,3),(2,7),6											
200930052803	ダ	右	1000	曇	良	15:30	3歳　条件未		2009-5-28	2	門別	2	(規定)		8.0	150.0	1.0	8.0	100	1.0	1.0	120	2.0	5.0	230	5.0	1-7	320.0	2.0	1-8	340.0	1.0	8=>1	470.0	1.0	1-5-8	2010.0	9.0	8=>1=>5	6220.0	21.0			8,10,1,(6,7,5),4,3,(2,11),9	8101576342119											
200930052804	ダ	右	1200	曇	良	16:00	3歳　条件		2009-5-28	2	門別	2	100万円以下	(規定)	6.0	190.0	1.0	6.0	120	1.0	3.0	240	5.0	7.0	180	4.0	3-6	2370.0	7.0	3-6	2070.0	7.0	6=>3	2470.0	9.0	3-6-7	4380.0	16.0	6=>3=>7	18470.0	59.0			96810742135	(9,6),8,10,7,4,(2,1),3,5											
200930052805	ダ	右	1700	曇	良	16:30	JRA認定ルーキーチ		2009-5-28	2	門別	2	(規定)		3.0	120.0	1.0	3.0	100	1.0	5.0	110	2.0	2.0	170	3.0	3-5	170.0	1.0	3-5	160.0	1.0	3=>5	180.0	1.0	2-3-5	460.0	2.0	3=>5=>2	960.0	3.0	2,5,9,(3,11),4,10,6,7,1,8	2,5,(3,9),4,11,10,(1,6),(7,8)	2593114810167	2,5,(3,9),4,11,10,(1,8)-6,7											
200930052806	ダ	右	1000	曇	良	17:00	JRA認定フレッシュ		2009-5-28	2	門別	2	(規定)		1.0	150.0	1.0	1.0	110	1.0	2.0	240	5.0	7.0	120	2.0				1-2	2610.0	8.0	1=>2	4430.0	14.0	1-2-7	2440.0	9.0	1=>2=>7	14130.0	41.0			3,5,1,7,(2,6),8-4	35167284											
200930052807	ダ	右	1200	曇	良	17:30	JRA認定フレッシュ		2009-5-28	2	門別	2	(規定)		7.0	150.0	1.0	7.0	110	2.0	4.0	270	6.0	6.0	100	1.0				4-7	4560.0	13.0	7=>4	4140.0	13.0	4-6-7	1940.0	6.0	7=>4=>6	16160.0	49.0			(6,7,4),2,8,(1,3,5)	7,(6,4),2,(8,5),1,3											
200930052808	ダ	右	1800	曇	良	18:05	フェクダ特別 		2009-5-28	2	門別	2	130万円以下	(規定)	2.0	2270.0	5.0	2.0	250	5.0	5.0	170	3.0	6.0	180	4.0	2-5	2110.0	9.0	2-5	1770.0	9.0	2=>5	4590.0	17.0	2-5-6	1260.0	7.0	2=>5=>6	16490.0	56.0	269357184	2,6,9,3,5,7,1,(4,8)	269537184	2,(6,9),5,(3,7),1,8,4											
200930052809	ダ	右	1200	雨	良	18:40	D1　ー1組		2009-5-28	2	門別	2	80万円以下	(規定)	5.0	990.0	5.0	5.0	220	5.0	3.0	140	2.0	9.0	140	3.0	3-5	2690.0	11.0	3-5	2870.0	11.0	5=>3	4850.0	21.0	3-5-9	6920.0	19.0	5=>3=>9	33110.0	106.0			3,5,(2,8),9,7,4,10,11,6,1	(3,5),7,8,9,2,4,10,11,6,1											
200930052810	ダ	右	1200	雨	良	19:15	獅子座特別 		2009-5-28	2	門別	2	(別定)		7.0	150.0	1.0	7.0	100	1.0	1.0	190	3.0							1-7	370.0	2.0	7=>1	420.0	2.0	1-7-8	190.0	1.0	7=>1=>8	610.0	2.0			1,(3,7),8,2,5,6	(1,7),8,3,2,6,5											
200930052811	ダ	右	2000	雨	良	19:55	ブラックタイド賞 		2009-5-28	2	門別	2	200万円以下	(規定)	6.0	560.0	3.0	6.0	190	2.0	4.0	200	3.0							4-6	1020.0	4.0	6=>4	1930.0	7.0	4-5-6	2960.0	8.0	6=>4=>5	9560.0	29.0	6573142	6,5,7,(1,3),(2,4)	6,5,(7,3),4,1,2	6,5,(1,7,3),2,4											
200930052812	ダ	右	1200	曇	良	20:30	平取町すずらん鑑賞会 		2009-5-28	2	門別	2	200万円以下	(規定)	11.0	250.0	1.0	11.0	150	1.0	7.0	170	3.0	8.0	2,960	13.0	5-7	460.0	1.0	7-11	910.0	3.0	11=>7	1820.0	3.0	7-8-11	61100.0	104.0	11=>7=>8	87980.0	239.0			3,(4,6,11),2,12,1,7,(5,8),9,10,13	3,(4,11),6,(1,12),2,(8,7),5,9,10,13											
200930060201	ダ	右	1200	曇	良	15:00	D3　ー2組		2009-6-2	2	門別	3	40万円以下	(規定)	7.0	160.0	1.0	7.0	100	1.0	6.0	230	6.0	8.0	110	2.0				6-7	1870.0	5.0	7=>6	1620.0	7.0	6-7-8	880.0	4.0	7=>6=>8	3960.0	16.0			26478531	(2,6),7,(4,8),5,3-1											
200930060202	ダ	右	1200	曇	良	15:30	D3　ー2組		2009-6-2	2	門別	3	40万円以下	(規定)	8.0	1830.0	5.0	8.0	210	5.0	9.0	130	1.0	6.0	450	6.0	8-8	1540.0	5.0	8-9	1040.0	4.0	8=>9	1690.0	7.0	6-8-9	12380.0	25.0	8=>9=>6	131810.0	173.0			(5,6),9,8,7,1,4,2,3	569781423											
