	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200947010101	ダ	右	1400	晴	良	10:50	サラ系C18組牝馬		2009-1-1	16	笠松	5	牝		5.0	100.0	1.0	5.0	100	1.0	7.0	120	2.0	5-7	110.0	1.0	5=>7	120.0	1.0	4-5-7	530.0	3.0	5=>7=>4	450.0	2.0		1754326.0	7514326.0	5741326.0																				
200947010102	ダ	右	1400	晴	良	11:20	西脇壮洛3歳記念		2009-1-1	16	笠松	5			2.0	170.0	1.0	2.0	100	1.0	6.0	380	5.0	2-6	2170.0	5.0	2=>6	1640.0	6.0	1-2-6	660.0	3.0	2=>6=>1	4710.0	14.0		6132457.0	6132547.0	6,(2,1),5,3,4,7																				
200947010103	ダ	右	1400	晴	良	11:50	シャルマンBC		2009-1-1	16	笠松	5			5.0	100.0	1.0	5.0	100	1.0	6.0	150	2.0	5-6	140.0	1.0	5=>6	140.0	1.0	2-5-6	890.0	4.0	5=>6=>2	1220.0	5.0		5127634.0	5176234.0	5,(1,2),6,7,3,4																				
200947010104	ダ	右	1400	晴	良	12:30	第23弾頑張れ笠松競		2009-1-1	16	笠松	5			5.0	130.0	1.0	5.0	130	1.0	7.0	190	4.0	5-7	420.0	2.0	5=>7	390.0	1.0	5-7-8	410.0	1.0	5=>7=>8	830.0	1.0		57836124.0	57831642.0	57831642.0			8.0	200.0	5.0															
200947010105	ダ	右	1400	晴	良	13:00	笠松競馬参拝記		2009-1-1	16	笠松	5			7.0	210.0	2.0	7.0	110	2.0	8.0	110	1.0	7-8	140.0	1.0	7=>8	240.0	1.0	1-7-8	1550.0	4.0	7=>8=>1	3040.0	11.0		84371256.0	87214356.0	(8,7),(1,2),5,4,3,6			1.0	300.0	6.0															
200947010601	ダ	右	1400	晴	良	11:00	サラ系C29組		2009-1-6	17	笠松	1			3.0	880.0	4.0	3.0	230	4.0	6.0	210	3.0	3-6	2030.0	11.0	3=>6	4500.0	18.0	3-6-9	5080.0	18.0	3=>6=>9	41050.0	108.0		69358217.0	69358217.0	36958271.0			9.0	350.0	6.0	3-6	2920.0	9.0	3=>6	4280.0	18.0									
200947010602	ダ	右	1400	晴	良	11:30	サラ系C28組		2009-1-6	17	笠松	1			1.0	210.0	2.0	1.0	100	1.0	6.0	120	3.0	1-6	730.0	2.0	1=>6	1050.0	3.0	1-3-6	290.0	1.0	1=>6=>3	1920.0	8.0		263479158.0	263179458.0	126379458.0			3.0	110.0	2.0	1-6	800.0	2.0	1=>6	1090.0	4.0									
200947010603	ダ	右	1400	晴	良	12:00	サラ系C26組		2009-1-6	17	笠松	1			4.0	190.0	1.0	4.0	100	2.0	7.0	130	4.0	4-7	910.0	3.0	4=>7	1220.0	4.0	4-6-7	270.0	1.0	4=>7=>6	2700.0	9.0		468257139.0	468275139.0	462875139.0			6.0	100.0	1.0	4-7	920.0	3.0	4=>7	1200.0	4.0									
200947010604	ダ	右	1400	晴	良	12:30	サラ系C25組		2009-1-6	17	笠松	1			2.0	110.0	1.0	2.0	100	1.0	6.0	100	3.0	2-6	540.0	2.0	2=>6	570.0	2.0	2-6-9	280.0	1.0	2=>6=>9	980.0	3.0		692731845.0	(6,9),2,7,3,1,8,4,5	269783514			9.0	100.0	2.0	2-6	430.0	2.0	2=>6	500.0	2.0									
200947010605	ダ	右	800	晴	良	13:00	重徳誕生日記念杯		2009-1-6	17	笠松	1			2.0	130.0	1.0	2.0	100	1.0	9.0	210	6.0	2-9	830.0	4.0	2=>9	960.0	4.0	2-6-9	1230.0	6.0	2=>9=>6	3130.0	10.0				291647538.0			6.0	150.0	2.0	2-8	680.0	4.0	2=>8	830.0	5.0									
