	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気
200954011201	ダ	右	1300	晴	良	10:55	E7		2009-1-12	16	高知	5	(馬齢)		3	110	1	3-8	250	1	3-8	100	1	3-4	120	2	4-8	150	3	3=>8	360	1.0	3-4-8	230	1	3=>8=>4	530	1	48627351	4,8,6,2,7,(3,5),1	4,8,6,2,(3,7),5,1	3,(4,8),6,7,2,5-1											
200954011202	ダ	右	1300	晴	良	11:25	E6		2009-1-12	16	高知	5	(馬齢)		5	1000	3	5-9	2580	8	5-9	890	9	1-5	400	4	1-9	270	3	5=>9	2790	12.0	1-5-9	1290	7	5=>9=>1	12740	34	5,1,9,(7,8),2,4,3,6	5-1,9,(7,8)-2,4,3,6	5-1-9,8,7,6,4,3,2	5,1,9,(7,6),(8,4),3,2											
200954011203	ダ	右	1300	晴	良	11:55	E5		2009-1-12	16	高知	5	(馬齢)		9	110	1	1-9	130	1	1-9	120	1	2-9	650	6	1-2	740	8	9=>1	200	1.0	1-2-9	1100	3	9=>1=>2	1330	4	9,(6,8),1,2,5,3,4,7	9,(6,8),1-2,5,3,4,7	9,1,8,6,2,5,(3,4),7	9,1-2,8,(6,5),4,(3,7)											
200954011204	ダ	右	1300	晴	良	12:25	E4		2009-1-12	16	高知	5	(馬齢)		9	130	1	3-9	1300	5	3-9	300	5	1-9	110	1	1-3	660	10	9=>3	1820	6.0	1-3-9	710	3	9=>3=>1	4300	14	9,4,6,(8,10),1,5,7,2,3	9,(4,6),10,(1,8),5,7,2,3	9,(1,6),4,10,(5,8),3,7,2	9,1,3,6,4,(8,10),5,2,7											
200954011205	ダ	右	1300	晴	良	12:55	E3		2009-1-12	16	高知	5	(馬齢)		7	280	1	7-10	690	3	7-10	350	4	1-7	160	1	1-10	390	6	7=>10	1140	6.0	1-7-10	430	2	7=>10=>1	2150	6	3,7,8,(1,10),5,2,6,4,9	37811025649	3,7,(1,10),8,5,2,4,6,9	7,(1,3),10-8,5,2,4-9,6											
200954011206	ダ	右	1400	晴	良	13:35	成人の日特別 		2009-1-12	16	高知	5	(馬齢)		11	180	1	11-12	2560	8	11-12	940	7	7-11	560	6	7-12	3,730	23	11=>12	3180	10.0	7-11-12	6220	19	11=>12=>7	36510	82	7,11,6,10,8-3,1,(4,5),9,12,2	(6,7),11,8,10-3,1,5,4,9,12,2	6,11,7,8,10,3,(1,12),(4,5),9-2	11,6,7,8,(3,12),10,1,(4,5),9-2											
200954011207	ダ	右	1300	晴	良	14:05	B3		2009-1-12	16	高知	5	(馬齢)		2	1390	6	1-2	6040	25	1-2	1,160	13	2-9	760	8	1-9	520	5	2=>1	17310	52.0	1-2-9	5080	19	2=>1=>9	58300	190	47911065328	(4,7),9,5,1,(6,10),2,3,8	(5,4,7),9,(1,6,10,2),3,8	1,(5,4,9),2,7,(6,10),8,3											
200954011208	ダ	右	1300	晴	良	14:40	第二小卒祝成人特別		2009-1-12	16	高知	5	(馬齢)		2	280	1	2-10	1310	5	2-10	600	5	2-8	1,020	11	8-10	1,720	23	2=>10	2020	6.0	2-8-10	11060	38	2=>10=>8	50150	151	2,12,(7,10),(1,9),11,3,5,8,4,6	2,12,10,7,(1,9),11,3,(6,5),8,4	2,12,10,9,(6,7),1,8,(3,5,11),4	2,10,(6,12,9),(3,8),5,(7,1),11,4											
200954011209	ダ	右	1400	晴	良	15:15	はりまや盃[JRA指 		2009-1-12	16	高知	5	(定量)		10	3430	10	9-10	28040	46	9-10	4,590	39	5-10	360	2	5-9	1,940	22	10=>9	41450	74.0	5-9-10	22330	59	10=>9=>5	359910	503	1,11,12,2,8,5,10,9,(3,4,6),7	1,(2,12),11,8,5,10,9,3,4,7,6	2,12,1,8,(3,5),10,(9,11),7,4,6	(9,2,12),(3,5),(8,10),(1,7),4-11,6											
200954032001	ダ	右	1300	晴	不良	11:20	美味しく地産地消特別		2009-3-20	19	高知	1	(馬齢)		5	830	4	1-5	460	2	1-5	240	5	5-8	160	2	1-8	100	1	5=>1	1810	8.0	1-5-8	300	1	5=>1=>8	2910	10	3,1,5,2,8,(4,7),6	31285476	3,8,(2,1),5,4,(7,6)	(1,8),(2,3),5,4,6,7											
200954032002	ダ	右	1300	晴	不良	11:50	牛乳に相談だ特別		2009-3-20	19	高知	1	(馬齢)		5	690	4	3-5	810	4	3-5	230	4	5-6	130	1	3-6	130	2	5=>3	1520	8.0	3-5-6	410	1	5=>3=>6	2750	11	3,5,2,(1,7),6,4	3,5,2,(1,6),7,4	3562147	3,(6,5),(4,2),1-7											
200954032003	ダ	右	1300	晴	不良	12:20	ビバックス特別		2009-3-20	19	高知	1	(馬齢)		8	580	2	4-8	3780	9	4-8	390	5	6-8	120	1	4-6	390	5	8=>4	5950	14.0	4-6-8	730	3	8=>4=>6	9330	27	(3,8),(4,6),(1,5),7,2	(3,8),(4,6),1,5,7,2	8,(3,6),4,1,7,5,2	84631752											
200954032004	ダ	右	1400	晴	不良	12:50	しんえもん入園特別		2009-3-20	19	高知	1	(馬齢)		7	550	3	6-7	6360	15	6-7	1,320	13	3-7	1,940	15	3-6	4,540	27	7=>6	20460	30.0	3-6-7	40610	42	7=>6=>3	526370	257	6,2,7,8,3,5,(1,4)	6-2,7,8,3,5,1,4	6-2,7,(5,3,8)-1,4	6,7,2,(5,3),8-1,4											
200954032005	ダ	右	1300	晴	不良	13:20	井上オークス特別		2009-3-20	19	高知	1	(馬齢)		8	300	3	4-8	300	1	4-8	170	3	7-8	120	2	4-7	110	1	8=>4	490	2.0	4-7-8	160	1	8=>4=>7	870	3	4,8,2,7,6,(1,5),3	4,8,2,(6,7),1,5,3	48276135	(4,8),7,2,6,1,5-3											
200954032006	ダ	右	1300	晴	不良	13:55	おかえり黒船賞特別		2009-3-20	19	高知	1	(馬齢)		4	310	1	1-4	440	1	1-4	200	1	4-10	950	15	1-10	830	13	4=>1	690	1.0	1-4-10	1350	3	4=>1=>10	3300	4	9,1,10,(3,8),4,(2,6),7,5	91103842675	9,10,1,(8,4),3,2,6,7,5	(1,9,10),4,8-(3,7),6,(2,5)											
200954032007	ダ	右	1400	晴	不良	14:30	酒本涙で小野と女特別		2009-3-20	19	高知	1	(馬齢)		5	140	1	2-5	320	1	2-5	130	1	5-9	190	2	2-9	230	4	5=>2	540	1.0	2-5-9	260	1	5=>2=>9	890	1	2,8,7,(5,4),1,9,3,6	2,(7,8),5,4,9,1-3,6	(7,2),5,9,8,4,1-3,6	(7,2),5,9-4,1,8,3,6											
200954032008	ダ	右	1400	晴	不良	15:05	高知けいば応援特別		2009-3-20	19	高知	1	(馬齢)		1	360	2	1-6	270	1	1-6	110	1	1-10	210	3	6-10	200	2	1=>6	740	3.0	1-6-10	230	1	1=>6=>10	1490	3	8,6,1,10,2,(3,7),9,5,4	8,6,1,10,2,3,7,(5,9)-4	1,(8,6),(2,10),3,5,9,7-4	1,6,8,10,2,(3,5)-9,7-4											
200954032009	ダ	右	1400	晴	不良	15:40	オッズパーク特別 		2009-3-20	19	高知	1	(馬齢)		6	2480	7	4-6	14290	24	4-6	2,260	22	5-6	1,020	12	4-5	920	10	6=>4	39650	47.0	4-5-6	11200	29	6=>4=>5	435050	279	8,(2,7),4,3,6,5,1	8,2,7,4,3,(5,6),1	8,(2,7),4,3,5,1,6	4,(5,8),(2,7,3),6,1											
200954032010	ダ	右	1400	晴	不良	16:20	黒船賞	G3	2009-3-20	19	高知	1	(別定)		1	940	3	1-8	470	2	1-8	220	2	1-6	9,180	32	6-8	3,740	19	1=>8	2490	7.0	1-6-8	23490	30	1=>8=>6	109390	127	3,11,12,9,10,(7,8),1,2,6,4,5	3,(11,12),9,(7,10,8),2,1,6,4,5	3,(7,12,8),(9,11),10,(1,6),2,4-5	8,(3,1),7,6,(9,12,10),2,(4,11)-5											
200954120701	ダ	右	1300	晴	稍重	12:35	Eヘ		2009-12-7	13	高知	4	(馬齢)		6	120	1	6-7	440	2	6-7	390	3	4-6	340	2	4-7	1,790	10	6=>7	650	2.0	4-6-7	1260	4	6=>7=>4	2710	7	5763421	5,7,(3,6),4,(2,1)	5763412	(7,6),5,3,4,1,2			6.0	100.0	1.0	7.0	350.0	5.0			
200954120702	ダ	右	1300	晴	稍重	13:05	Eホ		2009-12-7	13	高知	4	(馬齢)		2	240	2	2-5	250	2	2-5	140	1	1-2	320	6	1-5	240	3	2=>5	560	3.0	1-2-5	880	4	2=>5=>1	2790	11	5361427	5,(1,6),4,3,7,2	5,(1,6),4,2,7-3	2,5,1,6,4,7-3			2.0	100.0	1.0	5.0	120.0	2.0			
200954120703	ダ	右	1300	晴	稍重	13:50	D4		2009-12-7	13	高知	4	(馬齢)		7	1470	5	7-10	29980	31	7-10	7,660	33	7-9	2,180	17	9-10	2,600	20	特	70		7-9-10	27870	44	7=>10=>9	297390	258	10,9,8,2,7,6,4,(1,3),5	10982761435	10,9,8,2,7,(1,6,4),3,5	10,9,2,(7,8),1,4,(3,6),5			7.0	160.0	2.0	10.0	1,380	8.0	9.0	290.0	5.0
200954120704	ダ	右	1400	晴	稍重	14:25	龍馬盃[JRA指定交 		2009-12-7	13	高知	4	(定量)		1	1020	5	1-5	830	3	1-5	780	8	1-3	1,800	22	3-5	480	4	1=>5	1570	5.0	1-3-5	4940	15	1=>5=>3	20190	60	7,2,(1,5),9,10,11,8,3,6	7,2,(1,5),9,10,8,11,3,6	(7,1,5),9,2,8,3,11,6,10	157893102116			1.0	170.0	3.0	5.0	140	2.0	3.0	300.0	5.0
200954061301	ダ	右	1300	曇	重	13:10	Eホ		2009-6-13	5	高知	1	(馬齢)		2	100	1	2-6	460	2	2-6	160	2	2-3	520	6	3-6	1,120	10	2=>6	720	3.0	2-3-6	2320	6	2=>6=>3	4950	16	5637241	5,(3,6),4,7,2,1	2,5,(3,6),(4,7),1	2,6,3,5,4,7-1											
200954061302	ダ	右	1300	曇	重	13:40	Eニ		2009-6-13	5	高知	1	(馬齢)		5	110	1	4-5	120	1	4-5	120	2	2-5	100	1	2-4	180	3	5=>4	140	1.0	2-4-5	170	1	5=>4=>2	300	1	6,5,3,(1,4,7),2	6513742	6523147	5462371											
200954061303	ダ	右	1300	曇	重	14:10	D5		2009-6-13	5	高知	1	(馬齢)		6	190	1	5-6	160	1	5-6	120	1	4-6	680	10	4-5	750	11	6=>5	290	1.0	4-5-6	1040	4	6=>5=>4	1590	5	1345627	1365247	3612547	6352417											
