	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200956010101	ダ	右	1300	曇	良	10:45	サラ系3歳ー7組		2009-1-1	11	荒尾	4	(定量)		2	860	3	2.0	170.0	3.0	4.0	120	1.0	2-4	760	3	2-4	320	3.0	2-3	630	11.0	3-4	130	1.0	2=>4	1250	5	2-3-4	630.0	2.0	2=>4=>3	3400	11		2317465	2431765	2,4,3,6,1,7-5								
200956010102	ダ	右	1300	曇	良	11:15	サラ系3歳ー6組		2009-1-1	11	荒尾	4	(定量)		5	350	2	5.0	100.0	2.0	1.0	100	1.0	1-5	140	1	1-5	110	1.0	3-5	140	2.0	1-3	180	3.0	5=>1	480	2	1-3-5	200.0	1.0	5=>1=>3	850	3		(2,4),5,1,6,3	254136	513246								
200956010103	ダ	右	1400	晴	良	11:45	サラ系3歳ー5組		2009-1-1	11	荒尾	4	(定量)		2	300	2	2.0	110.0	2.0	6.0	100	1.0	2-6	190	1	2-6	130	1.0	2-4	2,590	20.0	4-6	2,170	18.0	2=>6	440	2	2-4-6	6140.0	14.0	2=>6=>4	21290	46	68472531.0	68427531	68427531	62485317			4.0	560.0	8.0			
200956010104	ダ	右	1400	晴	良	12:15	サラ系3歳ー4組		2009-1-1	11	荒尾	4	(定量)		7	210	2	7.0	100.0	2.0	3.0	100	1.0	3-7	170	1	3-7	110	1.0	5-7	470	8.0	3-5	520	10.0	7=>3	190	1	3-5-7	910.0	4.0	7=>3=>5	1380	4	25713468.0	2,5,7,1,3,6,4-8	2,5,7,1,3,4,6-8	7,2,3,1,5,6,4-8			5.0	420.0	6.0			
200956010105	ダ	右	1400	晴	良	12:55	サラ系Cー14組		2009-1-1	11	荒尾	4	(定量)		4	120	1	4.0	190.0	2.0	6.0	810	7.0	4-6	1090	5	4-6	480	8.0	3-4	170	1.0	3-6	850	13.0	4=>6	1550	6	3-4-6	940.0	4.0	4=>6=>3	5490	18	4627351.0	2467351	4267315	4632517								
200956010106	ダ	右	1400	晴	良	13:25	サラ系3歳ー3組		2009-1-1	11	荒尾	4	(定量)		4	140	1	4.0	120.0	2.0	3.0	460	7.0	3-4	900	3	3-4	360	5.0	4-7	330	4.0	3-7	2,060	17.0	4=>3	650	3	3-4-7	2340.0	8.0	4=>3=>7	5290	17	23546781.0	2,3,5,4,6,8,(1,7)	23546871	34258761			7.0	260.0	4.0			
200956010107	ダ	右	1400	晴	良	13:55	サラ系3歳ー2組		2009-1-1	11	荒尾	4	(定量)		6	170	1	6.0	130.0	2.0	3.0	130	1.0	3-6	150	1	3-6	100	1.0	4-6	360	6.0	3-4	210	2.0	6=>3	310	1	3-4-6	690.0	2.0	6=>3=>4	1490	3	1635274.0	1635742	1635472	6,3,4,5,1-2,7								
200956010108	ダ	右	1400	晴	良	14:25	勇一君祝厄明け!サラ		2009-1-1	11	荒尾	4	(定量)		7	1070	4	7.0	140.0	2.0	4.0	110	1.0	4-7	480	3	4-7	210	3.0	5-7	420	7.0	4-5	170	2.0	7=>4	1290	5	4-5-7	520.0	3.0	7=>4=>5	3560	13	6257431.0	6,2,5,7,4,3-1	6,5,2,4,7,3-1	7564231								
200956010109	ダ	右	1400	晴	良	14:55	ニューイヤー特設サラ		2009-1-1	11	荒尾	4	(定量)		3	220	1	3.0	150.0	2.0	7.0	210	3.0	3-7	430	1	3-7	170	1.0	3-4	1,120	14.0	4-7	610	7.0	3=>7	660	1	3-4-7	1650.0	6.0	3=>7=>4	6890	26	2675431.0	2,6,7,5,4,3-1	2,(6,7),4,3,5-1	6,2,7,3,4,5-1								
200956010110	ダ	右	1500	晴	良	15:25	門松賞	G	2009-1-1	11	荒尾	4	(別定)		5	490	4	5.0	210.0	4.0	7.0	140	1.0	5-7	1420	8	5-7	730	8.0	1-5	5,650	27.0	1-7	6,770	31.0	5=>7	2350	14	1-5-7	32910.0	39.0	5=>7=>1	135310	168	85123910746.0	85123710964	85172310946	58172103469			1.0	580.0	7.0	5-7	700.0	5.0
200956011401	ダ	右	950	曇	良	10:45	サラ系Cー27組		2009-1-14	12	荒尾	1	(定量)		9	110	1	9.0	110.0	1.0	1.0	430	6.0	1-9	7400	15	1-9	790	8.0	6-9	180	1.0	1-6	2,560	18.0	9=>1	5770	14	1-6-9	5950.0	18.0	9=>1=>6	21460	51			9,7,1,6,4,8,3=2,5	9,7,1,4,6,8,3=2,5			6.0	230.0	4.0	1-8	2070.0	8.0
200956011402	ダ	右	1300	曇	良	11:15	サラ系Cー25組		2009-1-14	12	荒尾	1	(定量)		5	820	4	5.0	130.0	1.0	8.0	230	4.0	5-8	2180	10	5-8	1,050	14.0	5-6	1,940	21.0	6-8	780	7.0	5=>8	4580	17	5-6-8	5710.0	21.0	5=>8=>6	31140	89		34852617	34856271	8,5,3,2,6,4,7-1			6.0	310.0	5.0			
200956011403	ダ	右	1300	曇	良	11:45	サラ系Cー24組		2009-1-14	12	荒尾	1	(定量)		2	770	4	2.0	450.0	7.0	6.0	140	1.0	2-6	3590	17	2-6	660	11.0	2-7	620	10.0	6-7	260	1.0	2=>6	5170	28	2-6-7	2680.0	10.0	2=>6=>7	24970	96		176398425.0	173694825.0	716329485.0			7.0	230.0	5.0	2-6	1670.0	9.0
200956011404	ダ	右	1400	曇	良	12:15	サラ系Cー23組		2009-1-14	12	荒尾	1	(定量)		4	1000	4	4.0	180.0	4.0	2.0	110	1.0	2-4	590	3	2-4	230	4.0	4-6	310	6.0	2-6	140	1.0	4=>2	1570	6	2-4-6	460.0	2.0	4=>2=>6	3590	13	4682375.0	4628375	4628375	4,2,6,8,3,7-5								
200956011405	ダ	右	1400	曇	良	12:50	サラ系Cー22組		2009-1-14	12	荒尾	1	(定量)		8	120	1	8.0	100.0	1.0	3.0	150	2.0	3-8	680	2	3-8	300	3.0	4-8	160	1.0	3-4	490	7.0	8=>3	970	5	3-4-8	900.0	3.0	8=>3=>4	2340	8	2,3,9,8,4,10,1,5,7-6	2,3,8,4,9,1,5,10,7=6	2,3,8,9,4,10,1,5,7=6	2,3,8,4,9,10,5,1,7=6			4.0	160.0	4.0	3-7	960.0	4.0
200956011406	ダ	右	950	曇	良	13:25	サラ系Cー26組		2009-1-14	12	荒尾	1	(定量)		4	140	1	4.0	100.0	2.0	5.0	100	1.0	4-5	400	1	4-5	150	1.0	4-8	170	2.0	5-8	390	6.0	4=>5	660	1	4-5-8	590.0	1.0	4=>5=>8	1570	1			43567812.0	43568712.0			8.0	140.0	4.0			
200956011407	ダ	右	1400	曇	良	14:00	サラ系Cー21組		2009-1-14	12	荒尾	1	(定量)		3	400	3	3.0	130.0	2.0	4.0	120	1.0	3-4	290	1	3-4	110	1.0	3-8	290	3.0	4-8	310	4.0	3=>4	450	1	3-4-8	830.0	3.0	3=>4=>8	3060	8	389251674	382915674	389215467	389421657			8.0	210.0	5.0	3-4	370.0	1.0
200956011408	ダ	右	1400	曇	良	14:35	三栄バースディカップ		2009-1-14	12	荒尾	1	(定量)		8	2950	7	8.0	150.0	2.0	2.0	100	1.0	2-8	940	5	2-8	400	5.0	7-8	880	10.0	2-7	240	2.0	8=>2	4160	14	2-7-8	1230.0	5.0	8=>2=>7	17650	59	24751931068	24751391068	27451368910	27815106394			7.0	150.0	2.0	2-7	290.0	1.0
200956011409	ダ	右	1400	曇	良	15:10	早梅特設サラ系Cー1		2009-1-14	12	荒尾	1	(定量)		4	1040	3	4.0	170.0	3.0	10.0	130	1.0	4-10	440	2	4-10	160	1.0	4-7	990	16.0	7-10	290	4.0	4=>10	1740	7	4-7-10	920.0	3.0	4=>10=>7	8220	24	72835961014	72831659104	72831596104	72341081659			7.0	170.0	4.0	4-8	350.0	1.0
200956011410	ダ	右	1500	曇	良	15:45	新春特設サラ系Cー1		2009-1-14	12	荒尾	1	(定量)		10	590	4	10.0	190.0	5.0	3.0	100	1.0	3-10	720	3	3-10	340	4.0	9-10	840	12.0	3-9	220	1.0	10=>3	3250	11	3-9-10	1750.0	7.0	10=>3=>9	12890	46	39102654178	39210561478	39102516874	3,10,9,2,1,5,7,8,6-4			9.0	150.0	3.0	3-8	320.0	1.0
200956012801	ダ	右	950	晴	良	10:45	サラ系Cー27組		2009-1-28	12	荒尾	4	(定量)		4	590	2	4.0	190.0	2.0	6.0	210	3.0	4-6	1910	5	4-6	400	4.0	4-5	640	9.0	5-6	520	7.0	4=>6	3420	7	4-5-6	2720.0	7.0	4=>6=>5	16520	38			246531	2,4,6,5,3-1								
200956012802	ダ	右	1300	晴	良	11:15	サラ系Cー26組		2009-1-28	12	荒尾	4	(定量)		1	110	1	1.0	100.0	1.0	3.0	230	5.0	1-3	810	3	1-3	290	2.0	1-7	400	4.0	3-7	840	9.0	1=>3	1210	5	1-3-7	860.0	3.0	1=>3=>7	2880	11		17385426.0	17835426.0	17384526.0			7.0	220.0	4.0			
