	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
200958042901	ダ	右	1000	晴	良	11:30	D3　ー2組		2009-4-29	1	札幌(地)	1	40万円以下	(規定)	4	840	3	4	180	3	8	140	2	3.0	190	4.0	4-8	1490	5	4=>8	4830	13	3-4-8	2630	9	4=>8=>3	16630	45			4768312.0	4876132.0					
200958042902	ダ	右	1000	晴	良	12:00	3歳　条件		2009-4-29	1	札幌(地)	1	(規定)		2	920	5	2	260	5	3	130	1	1.0	150	3.0	2-3	1160	6	2=>3	2030	11	1-2-3	1110	5	2=>3=>1	7280	30			3,1,2,10,(6,9),8,5,7,11,4	3,2,1,(6,10),9,8,5,7,4,11			2-3	1230.0	8.0
200958042903	ダ	右	1700	晴	良	12:30	D2　ー1組		2009-4-29	1	札幌(地)	1	60万円以下	(規定)	8	150	1	8	110	1	4	610	7	5.0	810	9.0	4-8	1880	7	8=>4	3000	9	4-5-8	14950	37	8=>4=>5	48470	103	10,1,3,6,8,5,9,(2,4),7	10,3,8,1,(5,4),9,2,7	10,3,8,1,4,(5,2),9,7	(3,8),4,1,10,2,5,7,9			4-7	2570.0	8.0
200958042904	ダ	右	1000	晴	良	13:00	3歳　条件		2009-4-29	1	札幌(地)	1	100万円以下	(規定)	7	280	1	7	150	2	9	190	3	12.0	1,360	10.0	7-9	770	2	7=>9	1370	1	7-9-12	24110	49	7=>9=>12	66110	175			7,10,4,(2,8),9,12,11,1,6,5	7,10,4,9,(2,8),(12,11),1,6,5			6-7	250.0	1.0
200958042905	ダ	右	1000	晴	良	13:35	モエレ沼公園特別 		2009-4-29	1	札幌(地)	1	130万円以下	(規定)	5	350	2	5	330	4	1	390	5				1-5	2260	10	5=>1	2540	10	1-4-5	3150	14	5=>1=>4	21190	77			7,1,4,6,(3,2),5	1476253					
200958042906	ダ	右	1000	晴	良	14:10	JRA認定フレッシュ		2009-4-29	1	札幌(地)	1	(規定)		4	180	1	4	120	1	11	260	5	8.0	170	3.0	4-11	2860	10	4=>11	3300	11	4-8-11	7710	25	4=>11=>8	25670	71			7,8,10,6,4,11,2,9,5,1-3	(7,8),10,6,4,11,9,2,5,1-3			4-8	210.0	1.0
200958042907	ダ	右	1700	晴	良	14:45	JA門別馬舞米特別 		2009-4-29	1	札幌(地)	1	80万円以下	(規定)	1	420	3	1	180	3	9	280	5	6.0	300	6.0	1-9	2230	11	1=>9	4320	22	1-6-9	6640	26	1=>9=>6	40740	139	7,9,(2,5),1,4,6,3,8	795214368	(7,9),1,5,2,6,4,8,3	9,(7,1)-2,5,6,8,4,3			1-8	800.0	2.0
200958042908	ダ	右	1700	晴	良	15:20	リーディングジョッキ 		2009-4-29	1	札幌(地)	1	160万円以下	(規定)	2	1870	7	2	480	7	9	320	5	5.0	890	8.0	2-9	6530	21	2=>9	19890	53	2-5-9	26080	73	2=>9=>5	205690	474	125101291147836	512102911148736	5,10,9,(2,1),12,11,8,6,4,3,7	5,9,2,(8,11),10,1,6,(4,3),12,7			2-7	4800.0	21.0
200958042909	ダ	右	1700	晴	良	15:55	北斗盃〔H2〕	G	2009-4-29	1	札幌(地)	1	(定量)		5	2960	7	5	460	7	2	190	2	6.0	1,540	11.0	2-5	2380	10	5=>2	10330	32	2-5-6	38590	88	5=>2=>6	317680	546	31151012269471	3,11,5,(2,10),12,6,4,9,7,1	(3,11),5,10,2,12,6,4,9,7-1	(11,5),3,2,10,12,6,(7,4),9-1			2-5	3190.0	11.0
200958043001	ダ	右	1000	晴	良	11:40	3歳　条件		2009-4-30	1	札幌(地)	2	(規定)		4	1080	6	4	340	5	6	360	6	8.0	1,270	8.0	4-6	3150	10	4=>6	9350	23	4-6-8	17430	43	4=>6=>8	76640	170			(1,4),2,6,10,5,12,8,7,11,3	(1,4),2,6,10,5,8-7,12,11,3			4-5	2510.0	10.0
200958043002	ダ	右	1700	晴	良	12:15	3歳　条件		2009-4-30	1	札幌(地)	2	100万円以下	(規定)	6	660	3	6	200	3	1	180	2				1-6	1240	6	6=>1	4430	19	1-3-6	1060	3	6=>1=>3	10080	31	2,7,5,3,6,(1,4)	2753641	1275634	1,6,5,(2,7),(3,4)					
200958043004	ダ	右	1700	晴	良	13:25	D3　ー1組		2009-4-30	1	札幌(地)	2	40万円以下	(規定)	4	420	2	4	150	2	6	170	3	9.0	140	1.0	4-6	1000	4	4=>6	2020	8	4-6-9	1860	5	4=>6=>9	11290	38	7,8,(2,4),5,6,3,9,10,1	7,8,(2,4),6,3,5,9,10,1	7,8,(4,6,9),2,(3,5,10),1	(6,9),8,7,4,10,5,3,2,1			4-6	970.0	4.0
200958043005	ダ	右	1000	晴	良	14:00	D3　ー1組		2009-4-30	1	札幌(地)	2	40万円以下	(規定)	3	700	4	3	170	4	4	130	2	6.0	160	3.0	3-4	1010	4	3=>4	1980	8	3-4-6	940	2	3=>4=>6	7210	19			1110347261589.0	1110347621589.0			3-4	1100.0	4.0
200958043006	ダ	右	1000	晴	良	14:35	白石特別 		2009-4-30	1	札幌(地)	2	80万円以下	(規定)	7	1640	7	7	460	8	9	150	1	10.0	190	4.0	7-9	5730	19	7=>9	20950	46	7-9-10	10130	33	7=>9=>10	85330	236			2,(5,8,9),10,7,(1,12),6,3,11,4	2,9,10,(5,8),7,1,12,6,3,11,4			6-7	1280.0	8.0
200958043007	ダ	右	1700	晴	良	15:10	雪印ストリングチーズ 		2009-4-30	1	札幌(地)	2	130万円以下	(規定)	2	1200	5	2	240	5	8	130	2	5.0	100	1.0	2-8	2510	8	2=>8	5750	17	2-5-8	1180	5	2=>8=>5	20630	57	8,5,(1,2),9,6,4,7,3	851294637	8,5,1,2,9,4,(6,3),7	8,5,1,2,9,(4,6),3,7			2-8	2650.0	7.0
200958043008	ダ	右	1700	晴	良	15:45	日高銀聖特別 		2009-4-30	1	札幌(地)	2	200万円以下	(規定)	6	360	1	6	170	3	9	410	7	8.0	250	4.0	6-9	1710	5	6=>9	2440	6	6-8-9	6910	26	6=>9=>8	24020	62	648111053127921	4,6,8,11,10,5,12,3,(2,7),9,1	4,6,8,5,(11,7),10,2,12,9,1,3	4,6,8,7,5,2,11,12,10,9,1-3			5-7	1530.0	8.0
200958050501	ダ	右	1700	晴	良	11:50	D3　ー2組		2009-5-5	1	札幌(地)	3	40万円以下	(規定)	5	270	2	5	120	1	2	130	2				2-5	280	2	5=>2	780	3	1-2-5	230	1	5=>2=>1	1650	6	136542	136452	1,3,(5,2),4-6	5,1,2,3,4=6					
200958050502	ダ	右	1000	晴	良	12:25	D3　ー2組		2009-5-5	1	札幌(地)	3	40万円以下	(規定)	5	110	1	5	100	1	1	140	2				1-5	260	1	5=>1	300	1	1-4-5	860	4	5=>1=>4	1730	6			(2,4),5,7,1,(3,6)	4,2,5,7,1,(3,6)					
200958050503	ダ	右	1000	曇	良	13:00	3歳　条件		2009-5-5	1	札幌(地)	3	(規定)		6	350	2	6	150	3	1	240	6	5.0	120	1.0	1-6	3040	14	6=>1	4260	20	1-5-6	1560	6	6=>1=>5	10570	40			2,5,7,6,4,1,8=3	5,2,7,6,1,4,8=3					
200958050504	ダ	右	1000	曇	良	13:35	D3　ー1組		2009-5-5	1	札幌(地)	3	40万円以下	(規定)	5	9170	9	5	500	9	8	140	2	2.0	120	1.0	5-8	9860	23	5=>8	27270	53	2-5-8	10430	31	5=>8=>2	181380	322			(2,3),5,4,(9,10),1,(6,11),8-7	2,3,5,4,9,1,6,8,10,11=7			5-7	7980.0	19.0
200958050505	ダ	右	1700	曇	良	14:10	琴似特別 		2009-5-5	1	札幌(地)	3	80万円以下	(規定)	4	270	1	4	130	1	3	280	4				3-4	450	1	4=>3	630	1	3-4-7	670	1	4=>3=>7	1820	1	6245371	6243571	6,2,4,(3,7),5,1	(2,4),6,7,3,1,5					
200958050506	ダ	右	1000	曇	良	14:45	JRA認定フレッシュ		2009-5-5	1	札幌(地)	3	(規定)		3	420	2	3	150	2	1	320	6	8.0	140	1.0	1-3	3520	13	3=>1	5180	22	1-3-8	2590	9	3=>1=>8	20540	73			8,(6,5),3,(2,4),1,7	(8,3),4,2,5,1,6,7					
200958050507	ダ	右	1000	晴	良	15:20	D2　ー1組		2009-5-5	1	札幌(地)	3	60万円以下	(規定)	5	140	1	5	100	1	2	110	2	4.0	130	3.0	2-5	280	1	5=>2	320	1	2-4-5	390	1	5=>2=>4	840	1			(2,5),8,(4,9),6,3,1,7	(2,5),8,4,9,(1,3),6,7			2-5	220.0	1.0
200958050508	ダ	右	1700	晴	良	15:55	ノーザンホースパーク 		2009-5-5	1	札幌(地)	3	(別定)		8	180	1	8	110	1	11	160	3	2.0	550	8.0	8-11	420	1	8=>11	630	1	2-8-11	8440	24	8=>11=>2	17490	54	8,(9,10),(1,3,11),4,6,5,2,7	1089111342657	10,8,(9,11),3,6,4,5,1,2,7	8,11,(10,9),6,(2,7),(3,5),4,1			7-8	400.0	1.0
