	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201006010101	ダ	右	1200	晴	良	09:50	3歳未勝利		2010-1-5	1	中山	1	3歳未勝利	牝[指](馬齢)	10	220	1	10	120	1	1	200	3	13.0	280	5.0	1-5	790.0	3.0	1-10	920	3	1-10	390	3	10-13	500	6	1-13	1,130	15	10=>1	1300	4	1-10-13	2740	8	10=>1=>13	9430	23			(*6,10)13(8,14)(5,11,16)15(1,4)3,2,7,12-9	(*6,10)13,8(5,11)-14,1(4,16)(2,15)3,7,12-9	11.8 - 10.6 - 11.6 - 12.3 - 12.5 - 13.2	11.8 - 22.4 - 34.0 - 46.3 - 58.8 - 72.0 (34.0-38.0)
201006010102	ダ	右	1800	晴	良	10:20	3歳未勝利		2010-1-5	1	中山	1	3歳未勝利	[指](馬齢)	5	1000	4	5	260	5	13	110	1	16.0	410	7.0	3-7	710.0	3.0	5-13	890	3	5-13	490	4	5-16	2,230	24	13-16	860	9	5=>13	3060	9	5-13-16	5730	19	5=>13=>16	40890	123	(*5,8)(10,15)-6(2,3,12,9,14)4(1,16,11)7,13	5(8,10,15)-6(3,14)-(2,12)(4,9)16,1(13,11)7	5(6,8,10)(14,13)-(16,15,9)(3,2,7)4-12,1-11	5(6,8,10,13)(16,14,9)7-2,4-15(3,12,1)=11	12.7 - 11.7 - 12.5 - 13.0 - 13.0 - 13.2 - 13.7 - 13.3 - 13.7	12.7 - 24.4 - 36.9 - 49.9 - 62.9 - 76.1 - 89.8 - 103.1 - 116.8 (36.9-40.7)
201006010103	ダ	右	1200	晴	良	10:50	3歳未勝利		2010-1-5	1	中山	1	3歳未勝利	(混)[指](馬齢)	2	1050	4	2	190	4	11	130	2	5.0	110	1.0	2-6	1800.0	7.0	2-11	1550	6	2-11	430	6	2-5	310	3	5-11	190	1	2=>11	4670	16	2-5-11	900	3	2=>11=>5	12310	38			(*2,4)11,13,7,15,10(5,12,14,9)-(1,3)=8-6	2,4,11(7,13)-(5,15)(10,9)(12,14)1,3-8-6	11.8 - 10.9 - 11.6 - 12.3 - 12.6 - 13.9	11.8 - 22.7 - 34.3 - 46.6 - 59.2 - 73.1 (34.3-38.8)
201006010104	ダ	右	1800	晴	良	11:20	4歳以上500万下		2010-1-5	1	中山	1	4歳以上500万下	(混)[指](定量)	13	2580	9	13	610	8	2	210	3	5.0	420	6.0	1-7	1470.0	5.0	2-13	8470	26	2-13	2,920	33	5-13	2,840	31	2-5	1,090	13	13=>2	24810	63	2-5-13	19060	60	13=>2=>5	201470	458	6,2(1,13)-3(5,11)(7,14)(4,9)(8,10)12-(16,15)	6-2(1,13)-3,11,5(7,14)(4,9)(8,10)12(16,15)	6,2(1,13)(3,7,11,14)(5,9,12,10)-(4,8)-(16,15)	(6,2,*13)(1,7)3,14(5,9,12,10)11-8(4,15)16	12.6 - 11.9 - 13.1 - 13.1 - 12.9 - 12.7 - 13.1 - 12.6 - 13.1	12.6 - 24.5 - 37.6 - 50.7 - 63.6 - 76.3 - 89.4 - 102.0 - 115.1 (37.6-38.8)
201006010105	芝	右	2000	晴	良	12:10	3歳未勝利		2010-1-5	1	中山	1	3歳未勝利	(混)[指](馬齢)	6	590	3	6	230	4	11	210	2	1.0	570	9.0	3-6	540.0	2.0	6-11	1690	5	6-11	580	5	1-6	2,080	31	1-11	1,780	27	6=>11	3240	9	1-6-11	12810	52	6=>11=>1	67860	256	(*10,16)(1,12)(4,14)-(5,6)(11,15,13)2,7,9 3,8	(*10,16)1-12(4,14)6,5(11,15,13)-2,7,9 3,8	(*10,12)(16,14)(4,1)(5,6,13)11(15,7)-2=9 3,8	(*10,12)(14,13)(1,6)7(4,11)5-15(16,2)-9 3,8	12.3 - 10.8 - 12.6 - 12.0 - 12.6 - 12.4 - 12.4 - 12.3 - 12.2 - 12.5	12.3 - 23.1 - 35.7 - 47.7 - 60.3 - 72.7 - 85.1 - 97.4 - 109.6 - 122.1 (35.7-37.0)
201006010106	芝	右	2000	晴	良	12:45	3歳新馬		2010-1-5	1	中山	1	3歳新馬	(混)[指](馬齢)	5	360	1	5	150	1	9	160	3	13.0	210	4.0	4-6	590.0	2.0	5-9	920	3	5-9	390	3	5-13	590	6	9-13	560	5	5=>9	1590	3	5-9-13	2010	4	5=>9=>13	7680	10	3,5(2,9)6(1,8,13)(4,14)(7,10,11)-12	3,5(2,9)(1,6,13)8,4(7,14)10,11,12	(*3,5)(13,14,11)(2,6,9)(1,8,10)(7,4)12	(*3,5)13(2,6)(9,14)1(8,10)(7,11)(4,12)	12.8 - 11.7 - 14.2 - 13.7 - 13.8 - 12.8 - 11.9 - 11.8 - 12.0 - 11.4	12.8 - 24.5 - 38.7 - 52.4 - 66.2 - 79.0 - 90.9 - 102.7 - 114.7 - 126.1 (38.7-35.2)
201006010107	ダ	右	1200	晴	良	13:10	4歳以上500万下		2010-1-5	1	中山	1	4歳以上500万下	[指](定量)	8	1110	4	8	360	5	5	200	2	12.0	220	3.0	3-4	1950.0	7.0	5-8	2000	6	5-8	730	7	8-12	940	11	5-12	470	5	8=>5	5300	18	5-8-12	3600	11	8=>5=>12	26250	74			8,3(1,13,10)6,7(4,5,12)16(9,11)15,14-2	8,3-(6,13)(1,10)(7,4,5,12)9,16,11,14-15=2	11.9 - 10.5 - 11.4 - 12.1 - 12.5 - 13.9	11.9 - 22.4 - 33.8 - 45.9 - 58.4 - 72.3 (33.8-38.5)
201006010108	ダ	右	1800	晴	良	13:40	4歳以上1000万下		2010-1-5	1	中山	1	4歳以上1000万下	(混)[指](定量)	12	420	2	12	190	3	4	450	7	6.0	350	6.0	3-7	1430.0	7.0	4-12	3450	17	4-12	1,240	17	6-12	880	11	4-6	2,070	29	12=>4	5770	27	4-6-12	10780	43	12=>4=>6	51210	185	(*8,9)(12,13)(4,7)11,14(3,6)5(1,10)2	(*8,9)12(4,7,13)-11(3,14)(5,6)1(2,10)	(*8,9)12(4,7,13)11(14,6)(3,2,5)(1,10)	(*8,9)(4,12)13(7,11,6)(14,5)(3,2)(1,10)	12.6 - 11.9 - 13.2 - 13.3 - 12.7 - 12.8 - 12.9 - 12.5 - 13.2	12.6 - 24.5 - 37.7 - 51.0 - 63.7 - 76.5 - 89.4 - 101.9 - 115.1 (37.7-38.6)
201006010109	芝	右	1600	晴	良	14:15	ジュニアカップ 		2010-1-5	1	中山	1	3歳オープン	(混)(特指)(別定)	9	240	1	9	130	1	2	310	5	4.0	330	6.0	1-5	340.0	1.0	2-9	1310	4	2-9	680	5	4-9	740	6	2-4	1,570	19	9=>2	2000	5	2-4-9	5780	19	9=>2=>4	20860	52		2(8,14)(4,9)(7,11)(10,15)(1,3)(6,12,13)(5,16)	2,8(4,14)(9,15)(1,7,11)10,13(3,12,5,16)6	2,8(4,9,15)(1,7,14,11)(10,13)(3,16)(12,5)6	12.3 - 10.8 - 11.1 - 11.6 - 12.0 - 12.1 - 11.9 - 12.8	12.3 - 23.1 - 34.2 - 45.8 - 57.8 - 69.9 - 81.8 - 94.6 (34.2-36.8)
201006010110	ダ	右	1200	晴	良	14:50	初日の出ステークス 		2010-1-5	1	中山	1	4歳以上1600万下	(混)[指](定量)	15	160	1	15	110	1	5	150	2	2.0	1,660	13.0	3-8	330.0	1.0	5-15	330	1	5-15	200	1	2-15	3,280	31	2-5	6,190	47	15=>5	450	1	2-5-15	12800	35	15=>5=>2	27910	69			13(14,15)(3,7,11,12)-(4,16)(9,5)2(6,8)(1,10)	13(14,15)(3,7,11)12(4,5)2(6,16)(8,10)9,1	11.8 - 10.5 - 11.1 - 11.9 - 12.0 - 12.8	11.8 - 22.3 - 33.4 - 45.3 - 57.3 - 70.1 (33.4-36.7)
