着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	7	7	2.1	1.0	2007105375	牝	3	415.0	-4.0	53	86.2	0	2-2-2-2		a00a8	a027e	874008	28.0	201053010301
2	5	5	9.8	4.0	2007103819	牝	3	478.0	-11.0	53	86.2	ハナ	3-3-3-3		a009d	a00cd	x0039c	5.6	201053010301
3	8	10	32.6	7.0	2007104469	牝	3	415.0	-6.0	53	86.5	1.1/2	1-1-1-1		a00aa	a0126	x0014a	2.8	201053010301
4	4	4	26.9	6.0	2007100180	牝	3	409.0	-8.0	53	86.6	1/2	6-7-6-6		05572	a00ce	x00410	1.4	201053010301
5	3	3	3.9	3.0	2007104214	牝	3	410.0	-9.0	53	86.8	1	6-7-7-7		a018e	a020e	x003ff	0.0	201053010301
6	6	6	20.8	5.0	2007100226	牡	3	425.0	-4.0	54	86.9	3/4	4-4-4-4		a01cc	a0211	x0077e	0.0	201053010301
7	2	2	38.1	8.0	2007101208	牝	3	383.0	-2.0	53	87.3	2	9-9-9-8		a00ab	a00d8	x02107	0.0	201053010301
8	1	1	76.1	10.0	2007105139	牡	3	457.0	-4.0	54	87.7	2	8-8-8-8		05543	a00d7	x009a1	0.0	201053010301
9	7	8	3.0	2.0	2007102612	牝	3	440.0	0.0	53	87.8	クビ	10-10-10-10		a01b7	a0228	x0496a	0.0	201053010301
10	8	9	65.2	9.0	2007200002	牝	3	404.0	-3.0	53	87.8	クビ	5-4-4-5		a015a	a0126	x00433	0.0	201053010301
1	7	8	4.4	3.0	2007102609	牝	3	407.0	-4.0	53	85.3	0	3-4-3-1		05543	a00d7	x02198	28.0	201053010302
2	7	7	3.4	2.0	2007105007	牡	3	446.0	0.0	54	85.4	クビ	2-1-1-1		a00a8	a0211	x012a1	5.6	201053010302
3	8	10	2.0	1.0	2007100892	牡	3	464.0	0.0	54	86.4	5	9-9-8-5		a009d	05735	x00776	2.8	201053010302
4	4	4	18.7	6.0	2007105368	牡	3	446.0	1.0	54	86.6	3/4	3-4-4-4		a00ab	a00db	x00759	1.4	201053010302
5	1	1	24.9	7.0	2007105871	牝	3	457.0	0.0	53	86.6	クビ	1-1-1-3		a01cd	a0126	538009	0.0	201053010302
6	5	5	8.3	4.0	2007105994	牝	3	422.0	-7.0	53	88.0	7	5-4-6-5		a00a9	a0259	x003fa	0.0	201053010302
7	8	9	12.8	5.0	2007101135	牝	3	408.0	-4.0	53	88.1	1/2	6-6-7-8		a015a	05605	124002	0.0	201053010302
8	6	6	74.6	8.0	2007102386	牝	3	388.0	-4.0	53	88.1	クビ	7-7-9-9		05523	a020e	x03416	0.0	201053010302
9	3	3	149.1	9.0	2007103499	牡	3	484.0	1.0	54	88.2	1/2	8-8-6-7		05572	a00da	x00411	0.0	201053010302
10	2	2	149.1	9.0	2007104520	牝	3	433.0	-6.0	53	88.4	1	10-10-10-10		a018e	a020e	238009	0.0	201053010302
1	1	1	1.3	1.0	2007103921	牝	3	433.0	2.0	53	85.0	0	1-1-1-1		a015a	05605	124002	28.0	201053010303
2	2	2	7.8	3.0	2007101501	牡	3	445.0	-3.0	54	85.2	3/4	4-4-4-3		a00a8	05605	x00fb4	5.6	201053010303
3	7	7	5.0	2.0	2007106396	牡	3	417.0	1.0	54	85.3	3/4	7-6-3-2		a00ae	a00db	138008	2.8	201053010303
4	8	9	11.3	4.0	2007106038	牝	3	429.0	0.0	52	85.3	クビ	9-9-9-8		a00ac	a0211	x0077e	1.4	201053010303
5	4	4	248.4	10.0	2007103793	牝	3	431.0	-5.0	53	85.4	1/2	8-8-7-5		a01cc	a00eb	x00406	0.0	201053010303
6	7	8	16.1	5.0	2007106395	牝	3	430.0	5.0	53	85.8	2	1-2-2-4		a01cd	a00db	138008	0.0	201053010303
7	6	6	55.2	7.0	2007100315	牝	3	394.0	-1.0	53	86.3	2.1/2	6-7-8-9		a01b7	a0211	874008	0.0	201053010303
8	8	10	17.8	6.0	2007105734	牡	3	470.0	-10.0	54	86.4	1/2	3-3-5-7		05429	05605	x06008	0.0	201053010303
9	3	3	82.8	8.0	2007100721	牝	3	377.0	0.0	53	87.2	4	5-5-6-6		a009d	a00d8	x03688	0.0	201053010303
10	5	5	99.4	9.0	2007100179	牝	3	421.0	6.0	53	87.8	3	10-10-10-10		a00ad	a00da	x06564	0.0	201053010303
1	8	10	2.3	2.0	2006103813	牡	4	489.0	3.0	54	83.0	0	2-2-1-1		a01b7	a00d8	x02107	17.0	201053011001
2	3	3	2.1	1.0	2006200006	牡	4	419.0	0.0	54	83.1	3/4	8-8-8-5		a00aa	a0126	x0014a	3.4	201053011001
3	2	2	17.1	6.0	2004104923	牡	6	478.0	5.0	55	83.8	3	4-4-3-2		05429	05605	x00459	1.7	201053011001
4	1	1	127.7	9.0	2006105087	牝	4	402.0	8.0	53	84.3	2.1/2	3-3-4-4		a01cc	a027e	x02e61	0.8	201053011001
5	7	8	9.5	4.0	2005103197	牝	5	462.0	3.0	54	84.4	1/2	6-6-7-7		a009d	a00cd	x0039c	0.0	201053011001
6	5	5	8.0	3.0	2005103181	牝	5	432.0	-1.0	54	84.7	1.1/2	5-5-5-5		a00a8	a0211	x0077e	0.0	201053011001
7	4	4	12.2	5.0	2004106919	牡	6	471.0	5.0	55	84.7	ハナ	1-1-1-3		a00a9	05735	972007	0.0	201053011001
8	7	7	255.4	10.0	2005104942	牝	5	411.0	-7.0	54	84.8	1/2	10-10-10-9		a015a	05726	x02198	0.0	201053011001
9	6	6	85.2	8.0	2005100711	牡	5	477.0	8.0	55	84.9	3/4	6-7-7-8		05543	a020e	x00759	0.0	201053011001
10	8	9	63.9	7.0	2006102072	牝	4	411.0	2.0	53	85.8	4	9-9-9-10		a00ab	a01f3	x027f6	0.0	201053011001
1	6	6	1.0	1.0	2006102430	牝	4	465.0	5.0	53	82.0	0	1-1-1-1		05429	a00d9	740007	17.0	201053011002
2	5	5	18.1	5.0	2005106363	牝	5	440.0	-5.0	54	82.6	3	2-3-2-2		a009d	a00cd	115800	3.4	201053011002
3	3	3	37.1	6.0	2005101756	牝	5	459.0	-4.0	54	82.7	1/2	4-4-3-2		a00ad	a01e5	x05036	1.7	201053011002
4	7	8	17.6	4.0	2005104754	牝	5	429.0	6.0	54	83.1	2	7-7-5-4		a018e	a0228	340008	0.8	201053011002
5	7	7	2010.0	10.0	2006106356	牡	4	483.0	-5.0	54	83.9	4	5-5-6-6		a01cd	a00db	138008	0.0	201053011002
6	1	1	315.2	9.0	2004101416	牝	6	435.0	-7.0	54	84.4	2.1/2	9-8-8-7		a00ae	a01e5	x003fa	0.0	201053011002
7	2	2	10.2	2.0	2003101535	牡	7	458.0	4.0	54	84.6	1	10-10-9-9		a00aa	a0126	x060a5	0.0	201053011002
8	8	9	210.1	8.0	2004104968	牝	6	446.0	11.0	54	84.9	1.1/2	7-9-10-11		a00a8	a0211	x012a1	0.0	201053011002
9	4	4	157.6	7.0	2005106296	牝	5	444.0	2.0	54	85.3	2	6-6-7-7		a01cc	a027e	874008	0.0	201053011002
10	8	10	15.8	3.0	2005103864	牝	5	469.0	-2.0	54	86.3	5	2-2-4-6		05572	05726	x016f5	0.0	201053011002
1	3	3	1.1	1.0	2004500011	牡	6	495.0	6.0	55	74.2	0	1-1-1-1		a00aa	a0126	x057f2	17.0	201053011003
2	2	2	19.6	3.0	2006100667	セ	4	469.0	7.0	54	74.4	1	4-5-2-2		05572	a00e1	x00454	3.4	201053011003
3	5	5	26.1	4.0	2005101790	牝	5	429.0	5.0	54	75.0	3	3-3-4-4		a009d	05735	x01c50	1.7	201053011003
4	6	6	2010.0	10.0	2004100099	牝	6	422.0	2.0	54	75.3	1.1/2	7-7-7-5		a00ae	a027e	x006f1	0.8	201053011003
5	8	9	117.4	7.0	2004101800	牝	6	430.0	5.0	54	75.4	1/2	2-2-3-3		a00a8	a0211	x02353	0.0	201053011003
6	4	4	117.4	7.0	2005100071	牡	5	519.0	0.0	55	75.7	1.1/2	7-9-8-8		a01b7	a00d8	x00404	0.0	201053011003
7	1	1	4.0	2.0	2006105375	牡	4	477.0	2.0	54	75.8	1/2	10-10-10-10		a018e	a020e	x01e43	0.0	201053011003
8	8	10	47.0	5.0	2005100975	牡	5	447.0	4.0	55	76.0	1	6-6-6-7		05523	a00ce	x0077e	0.0	201053011003
9	7	8	78.3	6.0	2004101501	牝	6	445.0	-1.0	54	76.1	3/4	9-8-9-9		a01cd	a01e5	x0077e	0.0	201053011003
10	7	7	234.7	9.0	2005100685	牡	5	487.0	-3.0	55	76.2	1/2	4-4-5-6		a01cc	a01e5	x0498f	0.0	201053011003
1	5	5	1.1	1.0	2004106379	牡	6	517.0	-1.0	55	82.2	0	1-1-1-1		a01b7	a01d1	541800	17.0	201053011004
2	8	9	21.2	4.0	2004100387	牝	6	457.0	-1.0	54	83.9	8	2-2-2-2		a00aa	a0126	x0014a	3.4	201053011004
3	4	4	9.3	3.0	2003500054	牡	7	473.0	1.0	54	84.3	2	5-5-2-3		a00ab	a00cd	x02afa	1.7	201053011004
4	2	2	8.9	2.0	2004103981	牡	6	464.0	-5.0	55	84.5	1	3-3-4-4		05429	a00d8	x00404	0.8	201053011004
5	1	1	38.1	6.0	2004106416	牝	6	469.0	8.0	54	84.7	1	6-5-5-5		05543	a00d7	x00429	0.0	201053011004
6	6	6	76.1	7.0	2005106183	牝	5	461.0	-3.0	54	84.8	クビ	10-10-7-6		a009d	a00d8	x00404	0.0	201053011004
7	7	7	95.1	9.0	2004102473	牝	6	463.0	2.0	54	85.0	1	7-7-8-8		a00ae	a01e5	x0498f	0.0	201053011004
8	3	3	76.1	7.0	2005100288	牡	5	463.0	-3.0	55	85.1	1/2	8-8-9-10		a01cd	a00ce	x00410	0.0	201053011004
9	7	8	31.7	5.0	2005100962	牝	5	458.0	7.0	54	85.1	アタマ	3-4-7-7		a00a9	05726	x06a99	0.0	201053011004
10	8	10	126.7	10.0	2004100951	牡	6	468.0	2.0	55	85.3	1	8-10-10-9		a01cc	a01e5	x003fa	0.0	201053011004
1	6	6	8.0	6.0	2005105291	牡	5	480.0	-6.0	55	83.4	0	3-3-3-3		05429	a0228	x00767	17.0	201053011005
2	3	3	3.0	1.0	2005105647	セ	5	456.0	-2.0	55	83.6	1	1-1-1-1		a015a	a00d9	740007	3.4	201053011005
3	7	7	5.0	4.0	2005109337	牡	5	422.0	3.0	55	83.7	3/4	2-1-1-2		a00a8	05726	356005	1.7	201053011005
4	1	1	4.2	2.0	2006100705	牡	4	491.0	2.0	54	83.9	1	7-7-7-6		05543	a00d7	x009a1	0.8	201053011005
5	4	4	4.6	3.0	2006106673	牡	4	468.0	5.0	54	84.2	1.1/2	6-5-6-5		a00a9	a01d1	851007	0.0	201053011005
6	8	9	6.0	5.0	2005105284	牝	5	413.0	-3.0	54	84.2	クビ	5-5-4-3		05572	05726	x02b46	0.0	201053011005
7	5	5	21.0	7.0	2005104504	牝	5	437.0	3.0	54	84.6	2	9-9-8-7		a00ab	a0259	571007	0.0	201053011005
8	7	8	83.8	8.0	2005103170	牝	5	450.0	5.0	54	84.8	3/4	8-8-9-9		a01b7	a01d1	x01133	0.0	201053011005
9	8	10	2010.0	9.0	2004105767	牝	6	452.0	7.0	54	85.4	3	3-4-4-8		a00ad	a00e2	x00f8a	0.0	201053011005
10	2	2	2010.0	9.0	2004106748	牡	6	461.0	5.0	55	85.4	クビ	10-10-10-10		a00ae	05726	356005	0.0	201053011005
1	7	7	1.0	1.0	2003500021	牡	7	486.0	0.0	54	82.5	0	2-2-1-1		a00ad	a00d0	x009a1	17.0	201053011006
2	8	9	47.5	6.0	2005102863	牡	5	458.0	5.0	55	83.4	4	3-3-2-2		a00ab	a00e8	x057c5	3.4	201053011006
3	3	3	24.5	4.0	2005101866	牝	5	434.0	0.0	54	83.4	ハナ	4-3-4-3		a018e	05726	209008	1.7	201053011006
4	2	2	12.3	2.0	2006106707	牝	4	483.0	-1.0	53	83.7	1.1/2	1-1-3-3		a00a9	a01f3	x0043d	0.8	201053011006
5	4	4	161.4	7.0	2004100494	牡	6	505.0	-11.0	55	84.1	2	7-7-5-5		a01cc	a01e5	x0077e	0.0	201053011006
6	7	8	21.3	3.0	2005105675	牡	5	505.0	0.0	55	84.2	クビ	8-8-8-6		a00ae	a00ce	x00410	0.0	201053011006
7	5	5	161.4	7.0	2005105697	牝	5	490.0	-3.0	54	84.3	3/4	9-9-9-8		05572	a00ce	x03c02	0.0	201053011006
8	6	6	268.9	9.0	2005104803	牡	5	459.0	2.0	55	84.6	1.1/2	10-10-10-9		a00aa	a00da	x0119c	0.0	201053011006
9	1	1	403.4	10.0	2005200012	牡	5	486.0	-1.0	55	84.9	1.1/2	5-5-6-7		a01cd	05726	x00c27	0.0	201053011006
10	8	10	31.1	5.0	2006200011	牡	4	500.0	6.0	54	85.9	5	5-7-6-11		a015a	a0211	x00759	0.0	201053011006
1	6	6	4.3	2.0	2005105679	牝	5	449.0	7.0	54	107.4	0	1-1-1-1		a015a	05605	x02a0b	20.0	201053011007
2	8	9	2.0	1.0	2005101883	牡	5	447.0	0.0	55	107.5	3/4	2-2-2-2		a01b7	05726	x016f5	4.0	201053011007
3	2	2	4.4	3.0	2005103818	牡	5	453.0	1.0	55	107.9	2	9-9-9-7		05429	a0127	588030	2.0	201053011007
4	4	4	17.3	5.0	2003106723	牡	7	488.0	-4.0	54	108.6	3	7-7-7-6		a018e	a0228	x0044c	1.0	201053011007
5	7	7	20.4	7.0	2005107097	牡	5	449.0	8.0	55	108.7	クビ	6-6-3-3		a00ad	a00da	x0076d	0.0	201053011007
6	8	8	5.6	4.0	2004102069	牝	6	458.0	1.0	54	109.2	2.1/2	4-4-4-4		a00aa	a0126	x06e29	0.0	201053011007
7	5	5	74.6	8.0	2004104490	牝	6	445.0	-1.0	54	109.2	クビ	8-8-8-7		a00a9	a0259	x057a1	0.0	201053011007
8	3	3	111.9	9.0	2004102688	牡	6	483.0	5.0	55	109.4	1	5-5-6-9		a009d	a0126	x06b7f	0.0	201053011007
9	1	1	18.7	6.0	2003104254	牝	7	468.0	2.0	52	110.1	3	3-3-5-5		a00ac	a0211	x0077e	0.0	201053011007
1	8	8	20.3	7.0	2006106529	牡	4	516.0	9.0	54	110.0	0	9-9-8-8		a00ad	a00d0	x03aac	20.0	201053011008
2	7	7	8.6	6.0	2005105750	セ	5	465.0	1.0	55	110.0	クビ	7-8-6-6		a01b7	a012f	x003ec	4.0	201053011008
3	8	9	4.4	3.0	2005101413	牡	5	496.0	5.0	55	110.0	アタマ	7-8-6-7		05429	a0228	x0044c	2.0	201053011008
4	3	3	6.8	4.0	2005101327	牡	5	497.0	-3.0	55	110.1	クビ	3-3-3-3		05523	a00d7	586030	1.0	201053011008
5	1	1	8.3	5.0	2006105860	牝	4	439.0	-1.0	53	110.1	アタマ	1-1-1-1		a01cd	a00db	138008	0.0	201053011008
6	6	6	3.2	2.0	2005100290	牡	5	473.0	2.0	55	110.1	ハナ	5-5-3-4		05572	a00da	x060cf	0.0	201053011008
7	2	2	2.9	1.0	2005106163	牝	5	449.0	0.0	54	110.2	1/2	2-2-2-2		a018e	a00d7	x019b6	0.0	201053011008
8	4	4	111.5	9.0	2005103306	牡	5	484.0	1.0	55	110.6	2	3-3-5-4		a00aa	a00da	x06564	0.0	201053011008
9	5	5	44.6	8.0	2004100409	牝	6	457.0	-3.0	54	111.7	5	6-6-9-9		a00a9	a027e	874008	0.0	201053011008
1	5	5	3.9	2.0	2005110032	牡	5	492.0	0.0	55	108.5	0	2-2-2-2		a01b7	a01d1	541800	20.0	201053011009
2	3	3	8.5	3.0	2004106361	牡	6	435.0	2.0	55	108.6	1/2	4-4-5-5		a01cc	a027e	x00107	4.0	201053011009
3	1	1	33.3	6.0	2005100978	牡	5	479.0	-1.0	55	108.7	1/2	1-1-1-1		a00ad	a01d1	x00427	2.0	201053011009
4	2	2	17.3	5.0	2005200010	牝	5	478.0	-5.0	54	109.0	1.1/2	6-6-6-6		a018e	a00eb	x00406	1.0	201053011009
5	8	10	13.9	4.0	2004101786	牡	6	457.0	2.0	55	109.4	2	5-5-3-3		05523	a00e2	x00f89	0.0	201053011009
6	8	9	62.4	10.0	2005105435	牝	5	445.0	2.0	54	109.6	1	3-3-3-4		05429	a0127	x0041c	0.0	201053011009
7	4	4	55.5	9.0	2005106711	牡	5	449.0	-1.0	55	109.6	アタマ	8-8-7-8		a00ab	a00cd	x05d89	0.0	201053011009
8	7	8	45.4	7.0	2003103489	牝	7	454.0	2.0	53	109.6	アタマ	10-10-10-9		a00a8	a0211	x02353	0.0	201053011009
9	6	6	45.4	7.0	2004101194	牝	6	457.0	-3.0	54	109.8	1	7-7-7-7		a00a9	a012f	238009	0.0	201053011009
10	7	7	1.4	1.0	2006104544	牝	4	449.0	0.0	53	109.9	クビ	9-9-9-10		a009d	05735	x00450	0.0	201053011009
1	1	1	4.4	3.0	2005103449	牡	5	394.0	2.0	55	108.4	0	6-5-6-5		a015a	05605	x00fb4	25.0	201053011010
2	7	7	3.1	1.0	2004100849	牝	6	488.0	-7.0	54	108.5	1/2	5-5-3-2		a009d	a00cd	x0195b	5.0	201053011010
3	8	9	10.3	6.0	2006101137	牡	4	442.0	-1.0	54	108.6	1/2	1-1-1-1		05523	a0127	x0041c	2.5	201053011010
4	7	8	5.1	4.0	2005105682	牡	5	423.0	8.0	55	108.9	1.1/2	3-4-6-6		a00a8	05726	356005	1.2	201053011010
5	5	5	28.7	8.0	2002104898	牝	8	445.0	-4.0	53	108.9	ハナ	3-3-3-4		a00a9	05605	926007	0.0	201053011010
6	8	10	4.3	2.0	2004101733	牝	6	463.0	0.0	54	109.1	1	2-2-2-2		a018e	a0228	x053cb	0.0	201053011010
7	3	3	25.3	7.0	2006105970	牝	4	401.0	-3.0	53	109.1	アタマ	10-10-9-8		a01cc	a01e5	x003fa	0.0	201053011010
8	2	2	28.7	8.0	2004107205	牡	6	475.0	6.0	55	109.1	クビ	8-8-8-9		a00ad	a00d0	874008	0.0	201053011010
9	6	6	43.0	10.0	2004100894	牡	6	476.0	3.0	55	109.2	1/2	8-10-10-10		a00aa	a0126	273007	0.0	201053011010
10	4	4	7.3	5.0	2005101548	牡	5	507.0	8.0	55	109.6	2	7-7-7-7		a00ae	a00db	138008	0.0	201053011010
1	2	2	1.7	1.0	2006106589	牝	4	447.0	-5.0	53	107.5	0	3-4-2-1		a015a	05605	124002	22.0	201053011011
2	1	1	3.2	2.0	2006106163	牝	4	410.0	-1.0	53	107.8	1.1/2	1-1-1-1		a01cd	a00db	x00948	4.4	201053011011
3	8	9	25.3	5.0	2004106295	牡	6	524.0	0.0	55	108.5	3	7-7-5-7		a00ae	a00e8	x06974	2.2	201053011011
4	4	4	8.6	4.0	2005100261	牝	5	443.0	-1.0	54	108.6	3/4	2-2-2-3		a00ad	a01d1	x00427	1.1	201053011011
5	5	5	27.6	6.0	2004200006	牡	6	451.0	-4.0	55	108.8	1	6-6-5-4		a00a8	05605	749007	0.0	201053011011
6	6	6	28.9	7.0	2002107496	牡	8	458.0	1.0	54	109.0	3/4	8-8-8-8		05523	a020e	238009	0.0	201053011011
7	7	7	6.3	3.0	2005103683	牝	5	459.0	-6.0	54	109.1	3/4	5-5-5-6		a018e	a012f	x003ff	0.0	201053011011
8	8	8	46.7	8.0	2005104051	牡	5	507.0	0.0	55	110.2	5	9-9-9-9		a01cc	a00db	138008	0.0	201053011011
9	3	3	55.2	9.0	2004103776	牝	6	476.0	-6.0	54	110.5	1.1/2	4-3-4-7		a00ab	a00e8	x06974	0.0	201053011011
1	2	2	1.7	1.0	2006200006	牡	4	422.0	3.0	54	84.4	0	3-3-3-3		a00aa	a0126	x0014a	17.0	201053011601
2	3	3	22.0	5.0	2006106356	牡	4	485.0	2.0	54	84.5	1/2	5-7-5-5		a01cd	a00db	138008	3.4	201053011601
3	7	7	3.8	2.0	2005101756	牝	5	456.0	-3.0	54	84.5	クビ	3-3-3-4		a00a8	a01e5	x05036	1.7	201053011601
4	5	5	7.1	4.0	2005104754	牝	5	422.0	-7.0	54	84.9	2	5-5-5-5		05429	a0228	340008	0.8	201053011601
5	1	1	4.0	3.0	2005101542	牝	5	473.0	-1.0	54	85.0	1/2	1-1-1-1		05543	a01d1	x00754	0.0	201053011601
6	4	4	24.4	6.0	2005103864	牝	5	471.0	2.0	54	85.1	1/2	2-2-2-2		05572	05726	x016f5	0.0	201053011601
7	6	6	73.1	7.0	2005106296	牝	5	436.0	-8.0	54	85.3	3/4	5-9-7-7		a01cc	a027e	874008	0.0	201053011601
1	7	7	1.0	1.0	2006103813	牡	4	486.0	-3.0	54	84.0	0	2-2-1-1		a01b7	a00d8	x02107	17.0	201053011602
2	4	4	10.1	3.0	2005101790	牝	5	426.0	-3.0	54	84.3	1.1/2	3-4-3-2		a009d	05735	x01c50	3.4	201053011602
3	1	1	56.2	5.0	2004101416	牝	6	433.0	-2.0	54	85.0	3	5-5-4-4		a00ae	a01e5	x003fa	1.7	201053011602
4	5	5	7.9	2.0	2005100071	牡	5	519.0	0.0	55	85.0	クビ	7-7-6-6		a00ab	a00d8	x00404	0.8	201053011602
5	3	3	65.6	6.0	2004104968	牝	6	443.0	-3.0	54	85.1	1/2	6-6-7-7		a00aa	a0211	x012a1	0.0	201053011602
6	6	6	39.4	4.0	2004101800	牝	6	429.0	-1.0	54	85.2	1/2	1-1-2-3		a00a8	a0211	x02353	0.0	201053011602
