	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201030042801	ダ	右	1000	雨	稍重	15:55	C3　ー4組		2010-4-28	1	門別	1	80万円以下	(馬齢)	3.0	420.0	2.0	3.0	150	2.0	7.0	100	1.0	3-7	190.0	1.0	3=>7	900.0	3.0	3-6-7	190.0	1.0	3=>7=>6	1720.0	5.0			5,7,3,2,1,(4,6)	5,7,3,2,(1,4),6																	
201030042802	ダ	右	1000	雨	稍重	16:25	3歳　条件		2010-4-28	1	門別	1	(馬齢)		1.0	360.0	2.0	1.0	140	2.0	10.0	100	1.0	1-10	320.0	1.0	1=>10	830.0	3.0	1-2-10	3400.0	13.0	1=>10=>2	11050.0	33.0			1,10,8,6,(5,7),3,2,9,4	11086573294			2.0	460.0	8.0	1-8	340.0	1.0									
201030042803	ダ	右	1700	雨	稍重	16:55	日高山脈賞		2010-4-28	1	門別	1	80万円以下	(馬齢)	5.0	280.0	2.0	5.0	190	2.0	3.0	280	5.0	3-5	900.0	5.0	5=>3	1660.0	5.0	3-5-7	310.0	1.0	5=>3=>7	3130.0	11.0	(1,4),5,7,6,2,3	1457263.0	(1,4,5,7),3,6,2	5,7,(1,4),3,6-2																	
201030042804	ダ	右	1200	雨	稍重	17:30	日高町長杯「門別温泉 		2010-4-28	1	門別	1	130万円以下	(馬齢)	9.0	510.0	3.0	9.0	160	3.0	6.0	120	1.0	6-9	760.0	2.0	9=>6	1480.0	4.0	1-6-9	4220.0	13.0	9=>6=>1	18950.0	61.0			6,9,11,(2,12),1,3,4,5,8,7,10	6,9,11,(2,12),1,(3,4,5),8,7,10			1.0	450.0	7.0	5-7	550.0	2.0									
201030042805	ダ	右	1200	曇	稍重	18:00	3歳　条件		2010-4-28	1	門別	1	100万円以下	(馬齢)	5.0	170.0	1.0	5.0	110	1.0	1.0	160	2.0	1-5	400.0	1.0	5=>1	570.0	1.0	1-5-6	3050.0	16.0	5=>1=>6	7070.0	27.0			5,7,6,4,1,2,(3,8)	5,7,6,4,1,(8,2),3			6.0	320.0	8.0												
201030042806	ダ	右	1200	曇	稍重	18:30	Aibaくしろ賞		2010-4-28	1	門別	1	80万円以下	(馬齢)	7.0	200.0	1.0	7.0	110	1.0	11.0	160	3.0	7-11	790.0	2.0	7=>11	1340.0	4.0	3-7-11	800.0	1.0	7=>11=>3	4360.0	9.0			4,12,11,2,(8,7),10,9,3,1,5,6	(4,12),11,(2,7),8,3,10,9,1,(6,5)			3.0	120.0	2.0	6-8	340.0	2.0									
201030042807	ダ	右	1200	曇	稍重	19:00	JRA認定スーパーフ		2010-4-28	1	門別	1	(馬齢)		3.0	380.0	2.0	3.0	150	1.0	4.0	280	6.0	3-4	1740.0	6.0	3=>4	2410.0	7.0	3-4-9	40500.0	94.0	3=>4=>9	114670.0	299.0			3,4,5,9,1,11,10,7,2,6-8	3,4,5,9,1,11,7,10,(6,2)-8			9.0	820.0	10.0	3-4	2110.0	8.0									
201030042808	ダ	右	1200	曇	稍重	19:30	アルキバ特別 		2010-4-28	1	門別	1	150万円以下	(定量)	6.0	200.0	1.0	6.0	130	1.0	1.0	150	2.0	1-6	320.0	1.0	6=>1	500.0	1.0	1-2-6	3300.0	11.0	6=>1=>2	8230.0	31.0			4,6,5,(2,8),1,3	4652813																	
201030042809	ダ	右	1200	曇	稍重	20:00	ミランダ特別 		2010-4-28	1	門別	1	800万円以下	(馬齢)	9.0	450.0	2.0	9.0	170	3.0	1.0	420	8.0	1-9	12470.0	36.0	9=>1	16570.0	52.0	1-5-9	11070.0	46.0	9=>1=>5	75910.0	265.0			1,3,9,2,(8,5,7),6,4,10	1,9,3,(2,7),5,8,6,4,10			5.0	140.0	1.0	1-8	4040.0	10.0									
201030042901	ダ	右	1200	雨	不良	16:00	C3　ー4組		2010-4-29	1	門別	2	80万円以下	(馬齢)	1.0	210.0	1.0	1.0	120	1.0	2.0	120	1.0	1-2	570.0	3.0	1=>2	1050.0	5.0	1-2-7	5590.0	17.0	1=>2=>7	16830.0	53.0			1,(2,4),3,5,7,6,8,9	1,2,4,(3,5),7,(6,8),9			7.0	250.0	5.0	1-2	540.0	3.0									
