	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201045010201	ダ	左	1400	晴	良	11:20	4歳4　ロ		2010-1-2	11	川崎	2	41万円以上128万円未満		2	150	1	2	100	1	1	140	2	10.0	330.0	6.0	1-2	290.0	1.0	1-2	280	1	1-2	160	1	2-10	610	8	1-10	1,270	15	2=>1	380.0	1.0	2=>1	410	1	1-2-10	2030	8	2=>1=>10	4800	13	1211761098534.0	1261197810345.0	1,2,(11,7,5),6,9,10,4,8,3	1269510117483	13.0 - 12.4 - 13.8 - 12.1 - 12.8 - 13.2 - 13.0	13.0 - 25.4 - 39.2 - 51.3 - 64.1 - 77.3 - 90.3 (39.2-39.0)
201045010202	ダ	左	1400	晴	良	11:50	4歳3　イ		2010-1-2	11	川崎	2	41万円以上128万円未満		3	270	1	3	120	1	11	150	2	12.0	310.0	6.0	3-8	400.0	1.0	3-11	430	1	3-11	190	1	3-12	550	7	11-12	1,130	15	3=>8	680.0	1.0	3=>11	770	1	3-11-12	2600	7	3=>11=>12	8120	20	611312952410817.0	611312925481017.0	612113952847110	(11,12),3,6,2,5,4,9,1,10,8,7	12.8 - 12.4 - 14.0 - 12.1 - 13.0 - 13.0 - 13.7	12.8 - 25.2 - 39.2 - 51.3 - 64.3 - 77.3 - 91.0 (39.2-39.7)
201045010203	ダ	左	1400	晴	良	12:20	3歳5　ロ		2010-1-2	11	川崎	2	48万円以上84.5万円未満		5	650	4	5	210	4	12	550	7	4.0	160.0	2.0	5-8	3330.0	15.0	5-12	5210	16	5-12	1,620	17	4-5	490	5	4-12	1,040	13	5=>8	3940.0	23.0	5=>12	9810	29	4-5-12	4240	13	5=>12=>4	49780	138	345911262871011.0	345912121068711.0	345791210621811	3,(4,5),(9,12),7,2,10,6,1,11,8	12.7 - 12.1 - 14.0 - 12.4 - 12.9 - 13.0 - 13.6	12.7 - 24.8 - 38.8 - 51.2 - 64.1 - 77.1 - 90.7 (38.8-39.5)
201045010204	ダ	左	1500	晴	良	12:50	C3五　六		2010-1-2	11	川崎	2			7	530	2	7	170	2	6	310	6	1.0	290.0	4.0	5-6	1990.0	6.0	6-7	9040	22	6-7	1,880	17	1-7	1,050	11	1-6	4,760	31	6=>5	3750.0	12.0	7=>6	13070	28	1-6-7	19440	48	7=>6=>1	90580	210	921011475312618.0	910112475311268.0	7,9,10,11,2,5,4,3,(12,6),1,8	7,9,10,2,4,(1,3),6,11,12,5,8	5.4 - 11.4 - 12.1 - 13.6 - 12.5 - 13.2 - 13.6 - 14.5	5.4 - 16.8 - 28.9 - 42.5 - 55.0 - 68.2 - 81.8 - 96.3 (28.9-41.3)
201045010205	ダ	左	1400	晴	良	13:20	3歳4　イ		2010-1-2	11	川崎	2	48万円以上84.5万円未満		2	170	1	2	110	1	12	150	3	1.0	170.0	4.0	2-8	510.0	1.0	2-12	790	4	2-12	230	1	1-2	390	4	1-12	1,050	14	2=>8	1030.0	2.0	2=>12	1150	2	1-2-12	1870	6	2=>12=>1	6550	16	312241116581079.0	312112416581079.0	312246111587109	312214861059711	12.8 - 12.0 - 13.5 - 12.2 - 13.4 - 12.5 - 14.6	12.8 - 24.8 - 38.3 - 50.5 - 63.9 - 76.4 - 91.0 (38.3-40.5)
201045010206	ダ	左	1500	晴	良	13:50	C3五　六		2010-1-2	11	川崎	2			7	530	3	7	130	3	9	120	2	3.0	100.0	1.0	6-7	880.0	4.0	7-9	1250	5	7-9	340	4	3-7	240	2	3-9	130	1	6=>7	1970.0	8.0	7=>9	2620	10	3-7-9	610	2	7=>9=>3	6150	17	3892476101115.0	3829476101115.0	3972841065111	3972410685111	5.4 - 12.8 - 12.8 - 13.6 - 12.2 - 13.0 - 12.9 - 14.3	5.4 - 18.2 - 31.0 - 44.6 - 56.8 - 69.8 - 82.7 - 97.0 (31.0-40.2)
201045010207	ダ	左	1400	晴	良	14:20	C2六　七八		2010-1-2	11	川崎	2			4	180	1	4	110	1	3	190	3	1.0	520.0	8.0	3-4	910.0	3.0	3-4	930	3	3-4	340	2	1-4	440	4	1-3	1,340	18	4=>3	1450.0	5.0	4=>3	1370	5	1-3-4	4610	19	4=>3=>1	16250	51	159648273.0	159462837.0	195267348	1,6,(5,9),4,(3,2),7,8	12.8 - 12.2 - 13.4 - 12.1 - 12.5 - 13.2 - 13.6	12.8 - 25.0 - 38.4 - 50.5 - 63.0 - 76.2 - 89.8 (38.4-39.3)
201045010208	ダ	左	1600	晴	良	14:55	C2六　七八		2010-1-2	11	川崎	2			10	210	1	10	110	1	9	150	2	5.0	360.0	8.0	8-8	590.0	4.0	9-10	520	1	9-10	210	1	5-10	900	16	5-9	1,190	19	8=>8	620.0	1.0	10=>9	890	1	5-9-10	3150	12	10=>9=>5	9430	23	10792568143.0	10795268143.0	10965783214	10965871342	12.8 - 11.8 - 13.4 - 14.1 - 12.4 - 12.7 - 13.1 - 13.4	12.8 - 24.6 - 38.0 - 52.1 - 64.5 - 77.2 - 90.3 - 103.7 (38.0-39.2)
201045010209	ダ	左	1600	晴	良	15:30	C2六　七八		2010-1-2	11	川崎	2			14	6720	13	14	1,650	13	7	290	3	3.0	140.0	2.0	5-8	4430.0	16.0	7-14	28780	47	7-14	9,710	60	3-14	4,120	39	3-7	620	5	8=>5	8830.0	33.0	14=>7	93350	118	3-7-14	31800	76	14=>7=>3	318430	582	2.561210781313941e+18	2.512617103813491e+18	(2,5),6,12,7,13,3,10,1,8,9,4,14,11	2576121313148941110	12.3 - 11.7 - 13.2 - 13.9 - 12.1 - 13.1 - 13.7 - 14.2	12.3 - 24.0 - 37.2 - 51.1 - 63.2 - 76.3 - 90.0 - 104.2 (37.2-41.0)
201045010210	ダ	左	1500	晴	良	16:05	ゴールデンホース賞 		2010-1-2	11	川崎	2	(別定)		4	330	2	4	160	2	9	300	5	6.0	240.0	4.0	3-6	1590.0	7.0	4-9	2210	8	4-9	620	5	4-6	630	6	6-9	1,300	14	3=>6	2330.0	11.0	4=>9	3250	12	4-6-9	5170	15	4=>9=>6	24790	73	2.9106124371413816e+18	2.9106124378113147e+18	9410214673131211815	91046714313111258	5.7 - 11.6 - 12.6 - 14.1 - 12.3 - 12.9 - 13.3 - 12.9	5.7 - 17.3 - 29.9 - 44.0 - 56.3 - 69.2 - 82.5 - 95.4 (29.9-39.1)
