	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連複:的中	三連複:配当	三連複:人気
201053010301	ダ	右	1250	晴	良	10:40	3歳7　		2010-1-3	15	福山	2	(見込)		7	210	1.0	7	110	1	5	280	4	10.0	530.0	7.0	5-7	910	4	7=>5	1330	7	7=>5=>10	29290	69	10,7,5,6,9,(3,4),1,2,8	10,7,5,(6,9),4,3,1,2,8	10,7,5,(6,9),4,3,1,2,8	10,7,5,6,9,4,3,(1,2),8					
201053010302	ダ	右	1250	晴	良	11:10	3歳6　		2010-1-3	15	福山	2	(見込)		8	440	3.0	8	140	3	7	130	2	10.0	100.0	1.0	7-8	640	3	8=>7	1230	4	8=>7=>10	3020	8	1,7,(4,8),5,9,6,3,10,2	(1,7),8,(4,5),9,6,3,10,2	(1,7),8,4,5,3,9,10,6,2	(7,8),1,4,(5,10),3,9,6,2					
201053010303	ダ	右	1250	晴	良	11:40	3歳5　		2010-1-3	15	福山	2	(見込)		1	130	1.0	1	100	1	2	130	3	7.0	110.0	2.0	1-2	440	2	1=>2	660	2	1=>2=>7	1250	2	(1,8),10,2,3,6,7,4,9,5	18102376495	18721034695	17284310965					
201053011001	ダ	右	1250	曇	良	10:50	C6		2010-1-10	15	福山	3	(見込)		10	230	2.0	10	100	1	3	110	2	2.0	250.0	5.0	3-10	230	1	10=>3	450	1	10=>3=>2	3480	12	4,10,1,2,5,(6,8),3,9,7	41012586397	(4,10),2,1,5,8,6,3,9,7	10,2,4,1,(5,3),8,6,7,9					
201053011002	ダ	右	1250	曇	良	11:20	C5		2010-1-10	15	福山	3	(見込)		6	100	1.0	6	100	1	5	130	2	3.0	150.0	4.0	5-6	230	1	6=>5	250	1	6=>5=>3	1080	3	6,(5,10),3,7,4,(8,9),1,2	61053748192	65310874129	6,(5,3),8,10,7,(4,1),2,9					
201053011003	ダ	右	1130	曇	良	11:50	C4		2010-1-10	15	福山	3	(見込)		3	110	1.0	3	100	1	2	190	3	5.0	200.0	4.0	2-3	480	2	3=>2	520	3	3=>2=>5	1980	6	3,9,5,(2,7),10,(4,6),8,1	39572106841	32957106481	32956710481					
201053011004	ダ	右	1250	曇	良	12:20	C3		2010-1-10	15	福山	3	(見込)		5	110	1.0	5	100	1	9	200	5	4.0	170.0	3.0	5-9	540	4	5=>9	550	3	5=>9=>4	1440	5	5,9,(2,8),4,1,7,(3,10),6	5,9,2,8,(1,4),7,3,10,6	5,(9,4),2,1,8,6,7,3,10	59421687103					
201053011005	ダ	右	1250	曇	良	12:55	C2		2010-1-10	15	福山	3	(見込)		6	800	6.0	6	520	6	3	160	3	7.0	260.0	5.0	3-6	1280	6	6=>3	4020	16	6=>3=>7	30620	83	3,7,(6,10),9,4,1,8,5,2	(3,7),(6,10),(4,9),1,8,5,2	(3,7),(6,10,9),4,1,5,8,2	3,7,(6,9),4,1,(5,10),8,2					
201053011006	ダ	右	1250	曇	良	13:30	C1		2010-1-10	15	福山	3	(見込)		7	100	1.0	7	100	1	9	310	5	3.0	180.0	3.0	7-9	840	4	7=>9	940	4	7=>9=>3	3320	11	2,7,9,3,(1,10),4,8,5,6	2,7,(3,9),1,10,4,8,5,6	7,9,2,3,4,(1,10),8,5,6	7,9,(2,3),4,8,1,5,6,10					
201053011007	ダ	右	1600	曇	良	14:05	B6		2010-1-10	15	福山	3	(見込)		6	430	2.0	6	140	3	9	100	1	2.0	130.0	2.0	6-9	280	1	6=>9	940	3	6=>9=>2	2280	5	691837452	691837452	697813452	6,9,7,8,1,4,(5,2),3					
