	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201105010101	ダ	左	1400	晴	良	10:10	3歳未勝利		2011-1-29	1	東京	1	3歳未勝利	牝[指](馬齢)	16	430	2	16	160	2	5	170	3	6.0	530	9.0	3-8	720.0	2.0	5-16	910	1	5-16	350	1	6-16	1,410	21	5-6	1,320	19	16=>5	1900	2	5-6-16	5910	17	16=>5=>6	26720	69			2,8(1,16)6(5,12,13)(10,14)(7,11)(3,9)(4,15)	(*2,8)(1,6,16)(12,13)(5,10,14)(7,3,11)9(4,15)	12.6 - 11.8 - 13.1 - 13.7 - 13.0 - 12.2 - 12.3	12.6 - 24.4 - 37.5 - 51.2 - 64.2 - 76.4 - 88.7 (37.5-37.5)
201105010102	ダ	左	2100	晴	良	10:40	3歳未勝利		2011-1-29	1	東京	1	3歳未勝利	[指](馬齢)	15	290	2	15	140	2	3	370	8	14.0	130	1.0	2-8	4210.0	16.0	3-15	4150	16	3-15	1,040	15	14-15	190	1	3-14	950	14	15=>3	5290	19	3-14-15	2690	8	15=>3=>14	22740	70	2,3,11,14(1,10,15)12(9,16)(4,6)5,7(8,13)	2,3(1,11)(12,14)10(9,16,15)(4,6,5)(13,7)8	2,3(1,11,14)12(10,16,15)-(9,4,5)-13,6,8-7	2,3(1,11,14)12(10,15)(16,5)(9,4)-13(6,8)-7	6.8 - 11.5 - 13.4 - 13.7 - 13.7 - 13.9 - 13.8 - 13.3 - 12.8 - 12.5 - 13.2	6.8 - 18.3 - 31.7 - 45.4 - 59.1 - 73.0 - 86.8 - 100.1 - 112.9 - 125.4 - 138.6 (31.7-38.5)
201105010103	ダ	左	1600	晴	良	11:10	3歳新馬		2011-1-29	1	東京	1	3歳新馬	(混)[指](馬齢)	10	730	3	10	260	3	8	340	5	2.0	400	6.0	4-5	1360.0	6.0	8-10	4000	14	8-10	1,120	12	2-10	1,560	19	2-8	1,610	21	10=>8	7730	27	2-8-10	13930	45	10=>8=>2	69160	214			(*8,10)(7,11,15)16(2,12)-(1,14)-(3,5)4,13-6,9	8(10,15)(7,11)16(2,12)1(14,5)(3,6)4(13,9)	12.3 - 11.3 - 12.0 - 13.2 - 13.7 - 13.0 - 12.6 - 13.1	12.3 - 23.6 - 35.6 - 48.8 - 62.5 - 75.5 - 88.1 - 101.2 (35.6-38.7)
201105010104	障		3000	晴	良  ダート	11:40	障害4歳以上未勝利		2011-1-29	1	東京	1	障害4歳以上未勝利	(混)(定量)	10	400	3	10	160	3	3	140	2	4.0	140	1.0	3-6	360.0	1.0	3-10	790	3	3-10	310	2	4-10	340	3	3-4	200	1	10=>3	1600	6	3-4-10	700	1	10=>3=>4	3710	3	5=4-(6,10)-3=9=8-11-1-(13,14)=12=(2,7)	5=4,10(6,3)9=8,11-1,13-14=12=2=7	5(4,10)-3-9-6=11,8-13-1-12-14=2=7	10,5-4-3=9-6=11-13=8-(1,12)=14-2=7		
201105010105	芝	左	1600	晴	良	12:30	3歳未勝利		2011-1-29	1	東京	1	3歳未勝利	[指](馬齢)	10	190	1	10	110	1	8	140	2	3.0	1,560	13.0	4-5	310.0	1.0	8-10	360	1	8-10	190	1	3-10	1,550	18	3-8	2,210	24	10=>8	610	1	3-8-10	7510	24	10=>8=>3	17950	43			8(9,11)1(2,16)(3,10)(4,14)(5,13)(6,15)(7,12)	(8,*11)(1,9)(2,16)(3,10)4(5,13,14)(6,15)(7,12)	12.4 - 11.8 - 12.4 - 12.2 - 12.2 - 11.4 - 11.5 - 11.7	12.4 - 24.2 - 36.6 - 48.8 - 61.0 - 72.4 - 83.9 - 95.6 (36.6-34.6)
201105010106	芝	左	1400	晴	良	13:00	3歳新馬		2011-1-29	1	東京	1	3歳新馬	(混)[指](馬齢)	10	300	1	10	150	1	16	520	8	8.0	340	5.0	5-8	410.0	1.0	10-16	4940	16	10-16	1,110	11	8-10	670	6	8-16	3,070	31	10=>16	6100	22	8-10-16	12870	38	10=>16=>8	69490	191			16-8,13,3(4,15)1,6(10,7)11,12,5,9,2=14	16-8,13(3,15)4(10,1)6,11(5,7)(12,9)2=14	12.6 - 11.4 - 12.1 - 12.8 - 12.0 - 11.3 - 11.4	12.6 - 24.0 - 36.1 - 48.9 - 60.9 - 72.2 - 83.6 (36.1-34.7)
201105010107	ダ	左	1400	晴	良	13:30	3歳500万下		2011-1-29	1	東京	1	3歳500万下	[指](馬齢)	15	150	1	15	110	1	7	150	2	2.0	300	5.0	4-8	440.0	1.0	7-15	580	1	7-15	250	1	2-15	440	4	2-7	850	10	15=>7	740	1	2-7-15	1910	3	15=>7=>2	4770	3			(*2,8)11(3,15)(1,7,10)(6,13)(5,14)(9,12,16)4	(*2,8)11,15(3,7,10)(1,6,13)-(5,9,16,14)4,12	12.6 - 11.5 - 12.4 - 12.6 - 12.4 - 12.1 - 13.1	12.6 - 24.1 - 36.5 - 49.1 - 61.5 - 73.6 - 86.7 (36.5-37.6)
201105010108	芝	左	1800	晴	良	14:01	4歳以上500万下		2011-1-29	1	東京	1	4歳以上500万下	[指](定量)	13	410	2	13	170	2	5	580	7	8.0	560	6.0	3-7	4320.0	14.0	5-13	6130	19	5-13	1,690	18	8-13	1,620	17	5-8	6,830	48	13=>5	9290	29	5-8-13	30310	75	13=>5=>8	141500	340		(3,*7,8)11,6(12,13)(5,9)(2,14,15)(1,10,16)4	(*7,8)(3,5,11)(6,12,13)(14,15)(2,9)(10,16)1,4	(*7,8)(3,5,11)-(6,12,13)15(2,14,9)(10,16)1-4	13.0 - 11.5 - 12.1 - 12.4 - 12.3 - 12.2 - 11.4 - 11.3 - 11.7	13.0 - 24.5 - 36.6 - 49.0 - 61.3 - 73.5 - 84.9 - 96.2 - 107.9 (36.6-34.4)
201105010109	芝	左	1400	晴	良	14:35	クロッカスステークス 		2011-1-29	1	東京	1	3歳オープン	(混)(特指)(別定)	1	330	1	1	140	1	9	190	3	4.0	220	6.0	1-7	490.0	1.0	1-9	950	1	1-9	420	4	1-4	520	5	4-9	860	13	1=>9	1820	1	1-4-9	2650	8	1=>9=>4	10740	14			1,7(2,11)6(5,8)4,9(3,10)	1,7(2,11)(5,6,8)9(4,10)3	12.3 - 11.2 - 11.4 - 11.9 - 11.5 - 11.0 - 11.7	12.3 - 23.5 - 34.9 - 46.8 - 58.3 - 69.3 - 81.0 (34.9-34.2)
201105010110	ダ	左	1400	晴	良	15:10	春望ステークス 		2011-1-29	1	東京	1	4歳以上1600万下	(混)[指](ハンデ)	16	670	4	16	210	4	8	410	7	15.0	160	1.0	4-8	1920.0	8.0	8-16	4770	19	8-16	1,560	19	15-16	490	4	8-15	1,030	12	16=>8	8830	34	8-15-16	5770	17	16=>8=>15	45610	136			9,5(3,15)(1,6,16)(12,14)(2,13)(7,11,10)-4,8	(*9,5)(15,16)(3,6)(1,12,14)(2,11,13,10)7-4,8	12.6 - 11.2 - 11.6 - 12.5 - 12.4 - 12.2 - 12.6	12.6 - 23.8 - 35.4 - 47.9 - 60.3 - 72.5 - 85.1 (35.4-37.2)
