	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201143011701	ダ	左	1500	晴	良	10:40	C3五　六イ		2011-1-17	10	船橋	1			7.0	120.0	1.0	7.0	110	1.0	3.0	120	2.0	2.0	150.0	4.0	3-7	400.0	2.0	3-7	390.0	2.0	3-7	200	3.0	2-7	180	2.0	2-3	620	9.0	7=>3	550.0	1.0	7=>3	490.0	1.0	2-3-7	960.0	3.0	7=>3=>2	1850.0	4.0	(7,8,9),10,5,4,6,3,2,1	(7,8,9),10,5,6,4,(1,2,3)	(7,8,9,10),5,6,(4,3),2,1	7,8,10,5,(6,9),3,2,4,1	6.9 - 12.3 - 12.7 - 12.7 - 12.8 - 13.1 - 14.1 - 14.2	6.9 - 19.2 - 31.9 - 44.6 - 57.4 - 70.5 - 84.6 - 98.8 (31.9-41.4)
201143011702	ダ	左	1500	晴	良	11:10	C3五　六ア		2011-1-17	10	船橋	1			2.0	120.0	1.0	2.0	110	1.0	11.0	260	6.0	10.0	810.0	11.0	2-8	410.0	1.0	2-11	600.0	3.0	2-11	350	4.0	2-10	780	8.0	10-11	2,680	25.0	2=>8	480.0	1.0	2=>11	730.0	4.0	2-10-11	3440.0	15.0	2=>11=>10	7160.0	26.0	3,(2,8),6,(9,10),1,(5,7,11),4	3,2,10,8,6,(9,11),1,7,5,4	3,2,10,(8,11),6,(1,9),7,(5,4)	3,2,10,8,11,6,(1,9),7,4,5	6.9 - 12.5 - 13.3 - 12.6 - 12.5 - 12.9 - 13.9 - 14.6	6.9 - 19.4 - 32.7 - 45.3 - 57.8 - 70.7 - 84.6 - 99.2 (32.7-41.4)
201143011703	ダ	左	1200	晴	良	11:40	3歳		2011-1-17	10	船橋	1	105万円以上201万円未満		6.0	260.0	2.0	6.0	140	2.0	9.0	120	1.0	7.0	180.0	4.0	6-8	240.0	1.0	6-9	260.0	1.0	6-9	130	1.0	6-7	610	9.0	7-9	470	5.0	6=>8	640.0	2.0	6=>9	530.0	1.0	6-7-9	1330.0	4.0	6=>9=>7	4590.0	12.0		697518342	6,9,7,5,(1,8),3,4,2	697581342	12.6 - 11.4 - 11.9 - 12.3 - 13.2 - 14.0	12.6 - 24.0 - 35.9 - 48.2 - 61.4 - 75.4 (35.9-39.5)
201143011704	ダ	左	1600	晴	良	12:15	3歳		2011-1-17	10	船橋	1	105万円以上201万円未満		8.0	1210.0	4.0	8.0	200	5.0	6.0	110	1.0	1.0	160.0	3.0	6-7	220.0	1.0	6-8	600.0	3.0	6-8	340	5.0	1-8	610	8.0	1-6	230	2.0	7=>6	1030.0	5.0	8=>6	2010.0	7.0	1-6-8	1350.0	4.0	8=>6=>1	13150.0	45.0	(1,5),3,7,8,6,(2,9),(4,10)	1,5,3,7,8,6,9,2,(4,10)	1,5,3,(7,8),6,9,2,(4,10)	1,(6,3,8),5,9,7,2,10,4	12.7 - 11.8 - 12.8 - 13.2 - 12.9 - 13.9 - 13.8 - 14.2	12.7 - 24.5 - 37.3 - 50.5 - 63.4 - 77.3 - 91.1 - 105.3 (37.3-41.9)
201143011705	ダ	左	1200	晴	良	12:50	C2三　四		2011-1-17	10	船橋	1			4.0	120.0	1.0	4.0	100	1.0	9.0	280	6.0	10.0	140.0	2.0	4-7	340.0	1.0	4-9	1680.0	6.0	4-9	570	5.0	4-10	190	1.0	9-10	1,360	15.0	4=>7	360.0	1.0	4=>9	1710.0	6.0	4-9-10	2320.0	7.0	4=>9=>10	9800.0	26.0		4,(5,8,12),1,3,10,7,2,9,(6,11)	4,8,12,5,(3,10),1,9,7,11,2,6	4,(8,12),10,5,(3,9),1,7,11,2,6	12.3 - 11.3 - 11.6 - 12.1 - 12.9 - 14.0	12.3 - 23.6 - 35.2 - 47.3 - 60.2 - 74.2 (35.2-39.0)
201143011706	ダ	左	1000	晴	良	13:25	茄子賞		2011-1-17	10	船橋	1	(別定)		1.0	260.0	2.0	1.0	120	1.0	7.0	280	5.0	8.0	390.0	6.0	1-5	1100.0	6.0	1-7	1580.0	7.0	1-7	680	7.0	1-8	900	10.0	7-8	1,460	16.0	1=>5	1620.0	8.0	1=>7	2550.0	10.0	1-7-8	6080.0	19.0	1=>7=>8	26010.0	74.0			(11,13),1,(3,8),10,(5,7),(4,14),6,(2,12),9	(11,13),(1,8),3,10,7,14,5,4,(2,6,12),9	12.1 - 10.8 - 11.7 - 12.7 - 13.9	12.1 - 22.9 - 34.6 - 47.3 - 61.2 (34.6-38.3)
201143011707	ダ	左	1600	晴	良	14:00	C2三　四		2011-1-17	10	船橋	1			1.0	1360.0	4.0	1.0	180	3.0	5.0	100	1.0	14.0	130.0	2.0	1-4	1470.0	6.0	1-5	1870.0	9.0	1-5	510	4.0	1-14	600	10.0	5-14	190	1.0	1=>4	3840.0	15.0	1=>5	6630.0	23.0	1-5-14	1900.0	5.0	1=>5=>14	18290.0	48.0	4,13,6,12,(2,3),(5,7,10,14),11,1,8,9	4,13,12,2,(6,14),(3,7,10),5,(1,11),(8,9)	(13,10),4,12,14,6,7,2,5,(3,1),(11,9),8	10,13,12,14,7,6,4,(1,5),9,2,3,8,11	12.8 - 12.5 - 13.1 - 13.3 - 12.3 - 12.7 - 13.6 - 13.9	12.8 - 25.3 - 38.4 - 51.7 - 64.0 - 76.7 - 90.3 - 104.2 (38.4-40.2)
201143011708	ダ	左	1600	晴	良	14:35	C2二		2011-1-17	10	船橋	1			4.0	150.0	1.0	4.0	100	1.0	6.0	120	2.0	8.0	140.0	4.0	4-5	420.0	2.0	4-6	410.0	2.0	4-6	180	1.0	4-8	300	3.0	6-8	420	5.0	4=>5	520.0	2.0	4=>6	570.0	2.0	4-6-8	790.0	2.0	4=>6=>8	2110.0	3.0	8,12,4,10,(6,7),11,2,9,1,5,3	8,12,(4,10),6,7,11,2,9,1,5,3	8,10,4,(6,12,7),11,2,9,1,5,3	846711102913125	12.5 - 11.8 - 12.3 - 12.6 - 12.8 - 13.1 - 13.6 - 14.9	12.5 - 24.3 - 36.6 - 49.2 - 62.0 - 75.1 - 88.7 - 103.6 (36.6-41.6)
201143011709	ダ	左	1000	晴	良	15:10	初鷹スプリント 		2011-1-17	10	船橋	1			8.0	200.0	1.0	8.0	110	1.0	3.0	870	11.0	9.0	160.0	4.0	3-7	4580.0	12.0	3-8	5840.0	15.0	3-8	1,350	14.0	8-9	200	1.0	3-9	2,490	22.0	7=>3	5490.0	12.0	8=>3	5600.0	20.0	3-8-9	5310.0	15.0	8=>3=>9	33580.0	86.0			3104811697215	3,(10,8),4,6,11,7,9,5,2,1	11.8 - 10.8 - 11.5 - 12.9 - 13.3	11.8 - 22.6 - 34.1 - 47.0 - 60.3 (34.1-37.7)
201143011710	ダ	左	1600	晴	良	15:45	白富士盃 		2011-1-17	10	船橋	1			5.0	820.0	4.0	5.0	280	4.0	9.0	300	5.0	7.0	420.0	7.0	4-6	2890.0	13.0	5-9	3670.0	18.0	5-9	1,170	16.0	5-7	1,750	24.0	7-9	2,080	25.0	4=>6	7930.0	33.0	5=>9	7670.0	32.0	5-7-9	22370.0	63.0	5=>9=>7	181610.0	431.0	5,9,(1,12),(2,3,10),8,4,13,7,6,11	59121103284137611	5,9,12,1,10,(2,3,8),(4,7),13,6,11	59121108723413611	12.5 - 11.9 - 12.4 - 12.4 - 12.4 - 12.8 - 13.9 - 14.9	12.5 - 24.4 - 36.8 - 49.2 - 61.6 - 74.4 - 88.3 - 103.2 (36.8-41.6)
