	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201148010201	ダ	右	800	晴	稍重	10:50	サラC13組		2011-1-2	21	名古屋	3	(定量)		3.0	130.0	1.0	3.0	100.0	1.0	4.0	230.0	3.0	3-4	270.0	2.0	3=>4	350.0	2.0	3-4-5	150.0	1.0	3=>4=>5	500.0	2.0				3674512.0																				
201148010202	ダ	右	1400	晴	稍重	11:20	サラC12組		2011-1-2	21	名古屋	3	(定量)		3.0	210.0	2.0	3.0	110.0	2.0	6.0	100.0	1.0	3-6	110.0	1.0	3=>6	160.0	1.0	3-4-6	420.0	2.0	3=>6=>4	780.0	3.0		3621475.0	3,6-1,2,4,7-5	3,6-1,4,2,7-5																				
201148010301	ダ	右	800	晴	良	10:40	ミノルとユキ結婚記念		2011-1-3	21	名古屋	4	(定量)		1.0	110.0	1.0	1.0	100.0	1.0	7.0	150.0	4.0	1-7	630.0	2.0	1=>7	840.0	4.0	1-7-8	370.0	1.0	1=>7=>8	1570.0	6.0				1,7,8,6,5,4,3-2			8.0	100.0	2.0															
201148010302	ダ	右	1400	晴	良	11:10	サラC8組		2011-1-3	21	名古屋	4	(定量)		3.0	250.0	2.0	3.0	120.0	2.0	6.0	120.0	3.0	3-6	210.0	1.0	3=>6	370.0	1.0	1-3-6	430.0	2.0	3=>6=>1	1250.0	3.0		63751284.0	63751284	6,3,7,(1,5),(2,8),4			1.0	170.0	4.0															
201148010303	ダ	右	1400	晴	良	11:40	サラC7組		2011-1-3	21	名古屋	4	(定量)		2.0	670.0	3.0	2.0	140.0	3.0	1.0	150.0	4.0	1-2	1230.0	4.0	2=>1	2670.0	8.0	1-2-7	250.0	2.0	2=>1=>7	4470.0	15.0		47862135.0	4,7,1,2,8,6,3-5	4,7,1,2-8-6,3-5			7.0	100.0	1.0															
201148010304	ダ	右	1400	晴	良	12:10	サラC6組		2011-1-3	21	名古屋	4	(定量)		3.0	150.0	1.0	3.0	100.0	1.0	1.0	390.0	7.0	1-3	2300.0	7.0	3=>1	2990.0	9.0	1-3-6	2520.0	8.0	3=>1=>6	13240.0	37.0		36182574.0	36182574.0	36158724.0			6.0	120.0	2.0															
201148010305	ダ	右	1400	晴	良	12:50	サラ3歳4組		2011-1-3	21	名古屋	4	(定量)		4.0	230.0	1.0	4.0	100.0	2.0	2.0	140.0	4.0	2-4	1290.0	7.0	4=>2	1700.0	8.0	2-4-8	490.0	3.0	4=>2=>8	5170.0	20.0		78423615.0	78423615.0	78423615.0			8.0	100.0	1.0															
201148010306	ダ	右	1400	晴	良	13:20	愛知県馬主協会三河支		2011-1-3	21	名古屋	4	(定量)		3.0	1690.0	5.0	3.0	300.0	6.0	6.0	120.0	1.0	3-6	1110.0	5.0	3=>6	4760.0	14.0	3-6-8	1850.0	6.0	3=>6=>8	19070.0	44.0		379856421.0	3,7,(8,9),6,5,4,2,1	389764512			8.0	150.0	3.0	3-6	1650.0	5.0	3=>6	6120.0	14.0									
201148010307	ダ	右	1300	晴	良	13:55	サラC5組		2011-1-3	21	名古屋	4	(定量)		8.0	110.0	1.0	8.0	120.0	2.0	6.0	110.0	1.0	6-8	140.0	1.0	8=>6	200.0	1.0	5-6-8	160.0	1.0	8=>6=>5	340.0	1.0		68514723.0	6,8,5,1-4,7,2,3	6,8,5-1,4,7,3,2			5.0	120.0	2.0															
201148010308	ダ	右	1400	晴	良	14:25	サラC4組		2011-1-3	21	名古屋	4	(定量)		4.0	490.0	3.0	4.0	100.0	1.0	2.0	110.0	2.0	2-4	220.0	1.0	4=>2	840.0	3.0	2-4-6	800.0	2.0	4=>2=>6	2800.0	9.0		4,2,9,8-6,5,7,3,1	4,2,9,8-6,5,7,3,1	4,2-8,9,6,5,7,3,1			6.0	180.0	4.0	2-4	180.0	1.0	4=>2	610.0	3.0									
