	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
2011A6a00703	芝	右	1600	晴	良		セントジェームズパレ	G1	2011-6-14	0	イギリス	0																																												
2011A6a00c01	芝	右	1600		良		サンチャリオットS	G1	2011-9-24	0	イギリス	0																																												
2011A6a00d01	芝	右	1600		良		ファルマスステークス	G1	2011-7-8	0	イギリス	0																																												
2011A6060405	芝	左	2400		良		英ダービー	G1	2011-6-4	0	イギリス	0																																												
2011A6a00402	芝	右	1600		稍重		コロネーションS	G1	2011-6-17	0	イギリス	0																																												
2011A6a00803	芝	右	2400		良		英チャンピオンズF&M	G2	2011-10-15	0	イギリス	0																																												
2011A6a00804	芝	右	1600		良		クイーンエリザベス	G1	2011-10-15	0	イギリス	0																																												
2011A6a00901	芝	右	2000		良		ナッソーステークス	G1	2011-7-30	0	イギリス	0																																												
2011A6a00a01	芝	左	2400		良		英オークス	G1	2011-6-3	0	イギリス	0																																												
2011A6a00b01	芝	左	2000		良		フィリーズトライアル		2011-5-13	0	イギリス	0																																												
