	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
2011A8a00202	芝	右	2400		良		フォワ賞	G2	2011-9-11	0	フランス	0																																												
2011A8a00706	芝	右	2400	晴	良		凱旋門賞	G1	2011-10-2	0	フランス	0																																												
2011A8a00a01	芝	右	1600		良		ロートシルト賞	G1	2011-7-31	0	フランス	0																																												
2011A8a00b01	芝	右	1400		良		パレロワイヤル賞	G3	2011-6-4	0	フランス	0																																												
2011A8a01001	芝	左	2400		稍重		マルレ賞	G2	2011-6-26	0	フランス	0																																												
2011A8a00102	芝	左	2000		稍重		一般戦		2011-4-8	0	フランス	0																																												
2011A8a00206	芝	右	2400		良		ヴェルメイユ賞	G1	2011-9-11	0	フランス	0																																												
2011A8a00302	芝	右	2400		稍重		チベルヴィユ賞 		2011-7-14	0	フランス	0																																												
2011A8a00402	芝	右	1600		重		サンドリンガム賞	G2	2011-6-5	0	フランス	0																																												
2011A8a00502	芝	右	2000		良		一般戦		2011-5-9	0	フランス	0																																												
2011A8a00901	芝	右	1600		良		仏1000ギニー	G1	2011-5-15	0	フランス	0																																												
2011A8a00c01	芝	右	2500		良		ミネルヴ賞	G3	2011-8-12	0	フランス	0																																												
2011A8a00d01	芝	右	2100		稍重		仏オークス	G1	2011-6-12	0	フランス	0																																												
2011A8a00e01	芝	右	2500		重		ポモーヌ賞	G2	2011-8-14	0	フランス	0																																												
2011A8a00f01	芝	右	2000		稍重		ペピニエール賞 		2011-7-24	0	フランス	0																																												
