着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	7	8	1.7	1.0	2010101358	牝	2	442.0	0.0	54.0	90.0	0	5-5-5	35.6	1032	438	170800	500.0	201201010101
2	8	10	38.7	8.0	2010101786	牡	2	452.0	-4.0	54.0	90.4	2.1/2	2-2-2	36.5	1092	1064	546800	200.0	201201010101
3	8	9	7.6	4.0	2010102157	牡	2	478.0	-8.0	54.0	90.5	1/2	6-5-5	36.1	1122	1079	546800	130.0	201201010101
4	7	7	23.9	7.0	2010103377	牡	2	494.0	12.0	54.0	90.7	1.1/2	3-3-3	36.6	1112	1123	673030	75.0	201201010101
5	2	2	136.7	10.0	2010104671	牡	2	414.0	0.0	54.0	90.8	クビ	8-7-8	36.0	722	387	318007	50.0	201201010101
6	3	3	5.9	2.0	2010100140	牡	2	508.0	0.0	54.0	90.8	ハナ	6-7-7	36.1	1091	1048	716800	0.0	201201010101
7	5	5	16.9	5.0	2010102050	牡	2	476.0	-4.0	54.0	91.1	2	1-1-1	37.3	1095	1069	398002	0.0	201201010101
8	4	4	7.4	3.0	2010102686	牝	2	440.0	-4.0	54.0	91.3	1.1/2	3-3-4	37.1	660	1131	161006	0.0	201201010101
9	1	1	49.5	9.0	2010102688	牡	2	454.0	-4.0	51.0	91.6	1.3/4	9-9-8	36.6	1144	379	61800	0.0	201201010101
中	6	6	19.4	6.0	2010104654	牡	2	420.0	-8.0	54.0			10		705	378	785800	0.0	201201010101
1	8	12	2.0	1.0	2009110002	牝	3	482.0	-8.0	54.0	59.1	0	3-2	35.4	1092	1106	706800	460.0	201201010102
2	6	7	3.4	2.0	2009101188	牡	3	472.0	4.0	56.0	59.1	クビ	1-1	35.6	1025	412	13700	180.0	201201010102
3	8	11	6.2	3.0	2009104566	牝	3	416.0	-10.0	54.0	59.9	5	2-2	36.3	660	1006	840800	120.0	201201010102
4	7	10	40.2	8.0	2009104160	牝	3	458.0	-2.0	54.0	60.5	3.1/2	6-5	36.4	5243	1078	265008	69.0	201201010102
5	3	3	56.7	9.0	2009101675	牡	3	484.0	2.0	56.0	60.7	1.1/2	4-4	36.8	1048	1044	753030	46.0	201201010102
6	6	8	17.2	5.0	2009103691	牡	3	454.0	0.0	56.0	61.0	1.3/4	9-9	36.5	1118	1014	970006	0.0	201201010102
7	5	6	12.8	4.0	2009105594	牡	3	454.0	-18.0	56.0	61.0	ハナ	8-5	36.8	1122	402	149007	0.0	201201010102
8	7	9	82.4	11.0	2009100360	牝	3	490.0	-4.0	51.0	61.4	2.1/2	6-8	37.4	1144	261	542800	0.0	201201010102
9	1	1	23.6	6.0	2009100237	牝	3	418.0	-16.0	54.0	61.5	クビ	9-10	36.9	1095	1078	785800	0.0	201201010102
10	4	4	352.8	12.0	2009106000	牝	3	454.0	4.0	54.0	61.5	ハナ	12-12	36.4	1053	1006	274002	0.0	201201010102
11	2	2	27.4	7.0	2009102366	牝	3	474.0	-6.0	54.0	61.7	1.1/4	4-7	37.8	1062	337	605009	0.0	201201010102
12	5	5	63.7	10.0	2009105107	牝	3	486.0	20.0	54.0	61.9	1.1/4	11-11	37.0	1117	421	663007	0.0	201201010102
1	8	12	3.5	2.0	2009103544	牝	3	460.0	6.0	54.0	107.5	0	2-2-2-1	37.9	1095	1123	912002	460.0	201201010103
2	4	4	2.3	1.0	2009105546	牝	3	458.0	-4.0	54.0	108.0	3	7-6-7-6	37.9	705	1033	151006	180.0	201201010103
3	6	8	40.0	9.0	2009102795	牝	3	452.0	-8.0	54.0	108.0	ハナ	5-3-3-2	38.3	1091	364	750006	120.0	201201010103
4	5	6	7.1	4.0	2009105923	牝	3	460.0	-20.0	54.0	108.1	3/4	10-10-7-2	38.0	1032	395	151006	69.0	201201010103
5	7	10	6.2	3.0	2009105839	牝	3	444.0	12.0	54.0	108.6	3	7-6-4-4	38.7	1122	1108	148800	46.0	201201010103
6	8	13	15.9	5.0	2009100589	牝	3	430.0	-8.0	51.0	109.3	4	7-6-4-4	39.4	1140	1011	302800	0.0	201201010103
7	5	7	34.1	8.0	2009101550	牝	3	444.0	-12.0	54.0	109.3	ハナ	6-9-7-7	39.2	1053	368	897030	0.0	201201010103
8	1	1	176.2	10.0	2009101270	牝	3	414.0	0.0	54.0	109.8	3	12-12-11-9	39.0	5243	1042	160800	0.0	201201010103
9	3	3	466.0	13.0	2009100049	牝	3	438.0	-12.0	51.0	110.0	1.1/4	12-12-11-9	39.2	1142	1041	382004	0.0	201201010103
10	2	2	18.0	6.0	2009102285	牝	3	446.0	0.0	54.0	110.2	1.1/2	10-11-10-8	39.7	660	1053	494800	0.0	201201010103
11	7	11	349.5	11.0	2009104152	牝	3	436.0	24.0	54.0	110.5	1.3/4	3-5-4-11	40.6	1087	1050	23007	0.0	201201010103
12	6	9	26.3	7.0	2009106193	牝	3	458.0	0.0	54.0	114.9	大	1-1-1-11	45.3	1092	1028	546800	0.0	201201010103
13	4	5	371.5	12.0	2009109080	牝	3	454.0	4.0	54.0	115.1	1	3-3-13-13	43.6	1119	437	851005	0.0	201201010103
1	5	7	3.7	2.0	2009106220	牝	3	420.0	2.0	54.0	120.5	0	9-9-7-6	35.5	1112	1068	226800	460.0	201201010104
2	5	8	6.1	4.0	2009106306	牡	3	470.0	10.0	56.0	120.6	1/2	5-6-4-5	35.9	1122	1011	660007	180.0	201201010104
3	7	11	222.6	14.0	2009103357	セ	3	400.0	-6.0	56.0	120.9	2	5-4-4-3	36.2	1118	1052	684030	120.0	201201010104
4	4	5	90.8	13.0	2009104307	牝	3	428.0	-2.0	54.0	121.1	1.1/2	12-13-12-12	35.7	1053	368	945800	69.0	201201010104
5	2	2	61.5	10.0	2009105764	牡	3	462.0	-4.0	56.0	121.2	3/4	12-10-10-10	36.0	1091	1018	546800	46.0	201201010104
6	8	14	2.7	1.0	2009106450	牝	3	402.0	-4.0	54.0	121.3	クビ	8-7-6-6	36.5	1095	348	415800	0.0	201201010104
7	7	12	5.0	3.0	2009101516	牡	3	478.0	-2.0	56.0	121.5	1.1/2	11-10-12-11	36.2	705	1104	763008	0.0	201201010104
8	3	3	19.2	6.0	2009102798	牝	3	432.0	-8.0	54.0	121.6	クビ	2-2-2-2	37.4	1109	1036	103006	0.0	201201010104
9	6	9	38.4	8.0	2009106622	牡	3	458.0	-14.0	53.0	121.6	クビ	5-7-7-8	36.6	1140	349	897009	0.0	201201010104
10	6	10	15.1	5.0	2009104991	牡	3	458.0	-16.0	56.0	121.8	1.1/4	3-3-3-3	37.2	5243	411	329004	0.0	201201010104
11	4	6	82.0	11.0	2009101107	牡	3	454.0	-4.0	56.0	121.8	クビ	10-10-7-9	36.8	1092	1016	477030	0.0	201201010104
