	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201203010101	ダ	右	1000	晴	良	09:50	3歳未勝利		2012-4-7	1	福島	1	3歳未勝利	(馬齢)	12	200	1	12	110	1	3	310	6	4.0	130	2.0	3-8	1790.0	6.0	3-12	2000	7	3-12	550	7	4-12	190	1	3-4	920	12	12=>3	3100	10	3-4-12	1950	5	12=>3=>4	11180	31			12,4,6(3,5,8,10)9,11,1-7-2	(*12,4)3,6(5,10)-(1,9)8,7,11-2	12.6 - 11.2 - 12.0 - 12.0 - 12.7	12.6 - 23.8 - 35.8 - 47.8 - 60.5 (35.8-36.7)
201203010102	芝	右	1200	晴	良	10:20	3歳未勝利		2012-4-7	1	福島	1	3歳未勝利	牝(馬齢)	7	620	3	7	150	3	1	120	1	3.0	180	4.0	1-4	630.0	2.0	1-7	660	2	1-7	260	1	3-7	640	7	1-3	360	3	7=>1	1800	5	1-3-7	1520	3	7=>1=>3	8590	15			(*1,3)16(4,10)(9,12)(2,7)11,5,6=15-13(14,8)	(*1,3)(4,16)(2,10,9)7(5,12)11,6-15-13,8,14	12.1 - 10.7 - 11.4 - 11.9 - 11.2 - 11.9	12.1 - 22.8 - 34.2 - 46.1 - 57.3 - 69.2 (34.2-35.0)
201203010103	芝	右	1800	曇	良	10:50	3歳未勝利		2012-4-7	1	福島	1	3歳未勝利	(馬齢)	4	460	2	4	120	2	2	110	1	8.0	150	3.0	1-2	310.0	1.0	2-4	360	1	2-4	170	1	4-8	320	4	2-8	230	2	4=>2	1150	3	2-4-8	590	1	4=>2=>8	3690	4	2,1,4,8(6,16)-7(5,9)(12,13)(3,14)11-15-10	2(1,4)(6,8)16-(5,7)(12,9)(3,13)14-11,15-10	2(4,8)-(1,16,6)5(12,7)13(3,9)14,11,15=10	(*2,4)8,6(12,5)16,13(1,7)(3,14,9,11)-15=10	12.6 - 10.8 - 12.3 - 12.7 - 12.5 - 12.1 - 12.0 - 11.2 - 12.1	12.6 - 23.4 - 35.7 - 48.4 - 60.9 - 73.0 - 85.0 - 96.2 - 108.3 (35.7-35.3)
201203010104	ダ	右	1700	曇	良	11:20	3歳未勝利		2012-4-7	1	福島	1	3歳未勝利	(馬齢)	6	3970	10	6	730	9	14	580	7	12.0	190	2.0	4-8	5450.0	22.0	6-14	25380	52	6-14	5,030	48	6-12	1,850	20	12-14	1,300	9	6=>14	50750	98	6-12-14	29620	69	6=>14=>12	318550	712	(*10,12)(6,8)(11,1)(2,4)14(5,9)(7,15)(3,13)	(*10,12)(8,1)6,11(2,4)14,5,7,15,3-(13,9)	(*10,12,1)(6,14)8,4(2,11)15(5,7)(13,3)=9	(*10,12,1)14(6,4)(2,8,15)(5,11)(13,7,3)=9	7.2 - 11.6 - 11.9 - 12.8 - 13.4 - 13.1 - 13.3 - 13.4 - 13.0	7.2 - 18.8 - 30.7 - 43.5 - 56.9 - 70.0 - 83.3 - 96.7 - 109.7 (30.7-39.7)
201203010105	芝	右	2600	曇	良	11:50	3歳未勝利		2012-4-7	1	福島	1	3歳未勝利	(混)(馬齢)	16	390	1	16	160	1	3	180	3	13.0	180	4.0	2-8	500.0	2.0	3-16	1130	2	3-16	490	5	13-16	490	4	3-13	440	2	16=>3	2540	6	3-13-16	1900	4	16=>3=>13	9700	13	3(4,7)(1,9)(2,5)-8(11,16)(6,15)13(10,12)-14	3,4(1,7)9(2,5)(8,16)(11,15)(6,12)13(10,14)	3,4,7(1,9)(5,16)(2,12)(11,13,15)(8,10,14)6	3(4,7)(1,16)(5,13)(2,15)(11,9,14)10(8,12)6	12.9 - 11.4 - 12.2 - 12.4 - 12.9 - 12.3 - 13.2 - 13.3 - 12.7 - 12.2 - 12.1 - 11.4 - 12.2	12.9 - 24.3 - 36.5 - 48.9 - 61.8 - 74.1 - 87.3 - 100.6 - 113.3 - 125.5 - 137.6 - 149.0 - 161.2 (36.5-35.7)
201203010106	芝	右	1200	晴	良	12:40	3歳未勝利		2012-4-7	1	福島	1	3歳未勝利	(混)(馬齢)	10	280	1	10	140	1	5	200	4	16.0	260	5.0	3-5	740.0	3.0	5-10	960	3	5-10	360	3	10-16	610	7	5-16	1,110	12	10=>5	1490	4	5-10-16	3270	8	10=>5=>16	10860	21			(*3,10)(16,14)(11,6)8(1,5,9)(7,15)(4,2)=12-13	(*3,10)(16,14,6)11(5,8)(1,15)9,7,2-4-12-13	12.3 - 10.5 - 11.0 - 12.2 - 11.5 - 12.3	12.3 - 22.8 - 33.8 - 46.0 - 57.5 - 69.8 (33.8-36.0)
201203010107	ダ	右	1700	晴	良	13:10	4歳以上500万下		2012-4-7	1	福島	1	4歳以上500万下	牝(定量)	6	3670	9	6	1,010	11	12	840	8	8.0	410	4.0	4-7	9960.0	25.0	6-12	26750	58	6-12	6,440	60	6-8	4,930	50	8-12	7,880	66	6=>12	82810	128	6-8-12	111980	223	6=>12=>8	1418450	1774	5,10-8-(3,11)(1,6,12)(14,15)(2,7)-4-13,9	5,10-8,3,11(1,6,12)(2,14,15)(7,4)-13-9	(5,*4)8(10,11,12)6(3,15,7)(1,9)(2,14)13	(5,*4,8,12)6(10,11,7)(3,15)9(1,14,13)=2	7.3 - 11.2 - 11.6 - 13.2 - 13.9 - 13.5 - 13.4 - 13.2 - 13.0	7.3 - 18.5 - 30.1 - 43.3 - 57.2 - 70.7 - 84.1 - 97.3 - 110.3 (30.1-39.6)
201203010108	ダ	右	1150	晴	良	13:40	4歳以上500万下		2012-4-7	1	福島	1	4歳以上500万下	(定量)	5	4210	10	5	940	11	11	760	9	8.0	250	3.0	3-6	4070.0	15.0	5-11	40590	74	5-11	7,960	68	5-8	3,300	38	8-11	2,770	30	5=>11	102580	162	5-8-11	49940	139	5=>11=>8	449480	989			2,16(10,12)-(8,9)13,5-(7,14)11(6,4)(3,1)15	2,16(10,12)8(5,9)-11-(13,7)14(6,4,1)3-15	9.3 - 10.8 - 11.2 - 12.4 - 13.0 - 13.1	9.3 - 20.1 - 31.3 - 43.7 - 56.7 - 69.8 (31.3-38.5)
201203010109	芝	右	2000	晴	良	14:15	4歳以上500万下		2012-4-7	1	福島	1	4歳以上500万下	(定量)	10	350	2	10	160	1	15	160	2	1.0	440	10.0	6-8	500.0	1.0	10-15	640	1	10-15	280	1	1-10	1,350	17	1-15	1,610	21	10=>15	1120	1	1-10-15	4920	10	10=>15=>1	21850	42	(*7,13)15(3,14)2,10(1,12)(4,9,11)(5,8)6	(*7,13)15(3,14)(2,10)11(1,12)8(4,9)(5,6)	(*6,13,15)(7,14,10)11(3,12)(1,8)2(4,9)5	6(13,15,10)(7,14)(12,11)(3,1)8(2,9)4,5	12.4 - 11.1 - 12.1 - 13.1 - 12.9 - 12.0 - 11.8 - 11.9 - 11.2 - 11.8	12.4 - 23.5 - 35.6 - 48.7 - 61.6 - 73.6 - 85.4 - 97.3 - 108.5 - 120.3 (35.6-34.9)
201203010110	ダ	右	1700	晴	良	14:50	花見山特別 		2012-4-7	1	福島	1	4歳以上500万下	(混)(定量)	10	390	2	10	160	2	7	240	4	14.0	180	3.0	4-6	1290.0	5.0	7-10	1760	5	7-10	680	5	10-14	430	4	7-14	1,070	9	10=>7	3610	10	7-10-14	3570	8	10=>7=>14	17740	37	(*8,12)15(5,10)14-(1,6,11)13,2(7,4)3,9	(*8,12,15)-5(10,14)-(1,6,11)-13(2,4)7,3,9	(*8,12,15)(14,11)10(5,1,4)13,6-(7,9)3,2	(*8,12,14)(10,11)(15,4)1(7,13,9)(5,3)6,2	7.1 - 11.1 - 11.7 - 12.1 - 12.2 - 12.9 - 13.3 - 13.5 - 13.5	7.1 - 18.2 - 29.9 - 42.0 - 54.2 - 67.1 - 80.4 - 93.9 - 107.4 (29.9-40.3)
