	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201242013001	ダ	左	1400	晴	稍重	11:10	4歳　選抜馬ア		2012-1-30	9	浦和	1			5	2340	5	5	400	5	8	100	1	11.0	480.0	6.0	5-7	820.0	5.0	5-8	980	4	5-8	550	5	5-11	4,030	28	8-11	680	6	5=>7	3380.0	12.0	5=>8	3930	13	5-8-11	6680	18	5=>8=>11	61500	130	8119471035216	8911473510216	8,11,9,4,(3,7),5,(2,1),6,10	8115973124610	12.7 - 12.3 - 13.3 - 13.3 - 13.3 - 13.4 - 13.4	12.7 - 25.0 - 38.3 - 51.6 - 64.9 - 78.3 - 91.7 (38.3-40.1)
201242013002	ダ	左	1300	晴	稍重	11:40	3歳		2012-1-30	9	浦和	1	106万円以上263万円未満		7	360	2	7	200	2	6	1,380	7							6-7	6310	16	6-7	1,310	17	2-7	700	12	2-6	3,690	21				7=>6	6400	23	2-6-7	11910	30	7=>6=>2	58960	142	7532681	7523168	7521386	7-1,5,2,8,3,6	6.4 - 12.4 - 13.3 - 13.3 - 13.2 - 13.3 - 13.0	6.4 - 18.8 - 32.1 - 45.4 - 58.6 - 71.9 - 84.9 (32.1-39.5)
201242013003	ダ	左	1300	晴	稍重	12:10	3歳		2012-1-30	9	浦和	1	106万円以上263万円未満		3	280	2	3	130	1	5	170	4	8.0	150.0	3.0				3-5	1390	6	3-5	500	8	3-8	290	3	5-8	400	5				3=>5	2600	11	3-5-8	1210	2	3=>5=>8	7780	27	25836174	25831674	5,2,8,1,3,(6,7),4	5,(2,8),3,7,(4,1),6	6.3 - 12.0 - 13.0 - 13.3 - 13.2 - 14.4 - 13.5	6.3 - 18.3 - 31.3 - 44.6 - 57.8 - 72.2 - 85.7 (31.3-41.1)
201242013004	ダ	左	1400	晴	稍重	12:40	C312　13		2012-1-30	9	浦和	1			10	280	1	10	130	1	3	170	3	12.0	500.0	8.0	3-7	370.0	1.0	3-10	540	1	3-10	310	1	10-12	900	12	3-12	920	13	7=>3	580.0	2.0	10=>3	890	1	3-10-12	3260	11	10=>3=>12	10360	28	311121610492578	311112106492758	311121016492578	103111129654728	13.0 - 13.1 - 13.5 - 13.9 - 13.1 - 13.8 - 13.4	13.0 - 26.1 - 39.6 - 53.5 - 66.6 - 80.4 - 93.8 (39.6-40.3)
201242013005	ダ	左	1400	晴	稍重	13:10	C312　13		2012-1-30	9	浦和	1			9	1340	6	9	270	4	10	250	3	11.0	310.0	5.0	7-7	3620.0	11.0	9-10	3000	12	9-10	740	11	9-11	1,160	18	10-11	620	9	7=>7	2660.0	12.0	9=>10	6820	25	9-10-11	6140	21	9=>10=>11	47310	138	11896341021217	11893641027121	8,11,9,3,7,(6,10),4,2,1,12	11983610741212	12.7 - 12.6 - 13.4 - 13.7 - 13.4 - 14.2 - 13.8	12.7 - 25.3 - 38.7 - 52.4 - 65.8 - 80.0 - 93.8 (38.7-41.4)
201242013006	ダ	左	1400	晴	稍重	13:45	C2六		2012-1-30	9	浦和	1			9	940	4	9	270	4	5	360	7	6.0	280.0	5.0	5-7	1710.0	6.0	5-9	3570	14	5-9	1,460	19	6-9	1,390	17	5-6	1,410	18	7=>5	2430.0	12.0	9=>5	6320	26	5-6-9	7840	31	9=>5=>6	51100	196	6,7,11,12,8,10,4,5,9,(2,3),1	671112108452391	671112845109321	651287943111021	12.5 - 11.5 - 12.9 - 13.2 - 13.2 - 14.2 - 13.8	12.5 - 24.0 - 36.9 - 50.1 - 63.3 - 77.5 - 91.3 (36.9-41.2)
201242013007	ダ	左	1500	晴	稍重	14:20	C2四　五		2012-1-30	9	浦和	1			4	150	1	4	110	1	1	160	2							1-4	260	1	1-4	150	1	2-4	180	3	1-2	280	4				4=>1	340	1	1-2-4	270	1	4=>1=>2	720	1	1352647	1325467	1,3,2,6,4,5-7	1426357	7.6 - 11.4 - 12.3 - 13.1 - 13.6 - 13.3 - 13.8 - 13.2	7.6 - 19.0 - 31.3 - 44.4 - 58.0 - 71.3 - 85.1 - 98.3 (31.3-40.3)
201242013008	ダ	左	1500	晴	稍重	14:55	C2四　五		2012-1-30	9	浦和	1			6	320	1	6	130	3	1	120	1	5.0	120.0	2.0				1-6	730	4	1-6	240	3	5-6	290	5	1-5	190	1				6=>1	1640	8	1-5-6	620	2	6=>1=>5	3800	11	4,8-5,6,2,1,3,7	4,8,5,(2,6),1,3,7	16458237	6,1-5,4,3,2,7,8	7.0 - 11.1 - 12.0 - 13.4 - 14.2 - 13.3 - 13.1 - 13.1	7.0 - 18.1 - 30.1 - 43.5 - 57.7 - 71.0 - 84.1 - 97.2 (30.1-39.5)
201242013009	ダ	左	1600	晴	稍重	15:30	川幅日本一こうのす賞		2012-1-30	9	浦和	1			4	350	2	4	130	2	7	100	1	1.0	180.0	5.0	4-7	280.0	1.0	4-7	260	1	4-7	160	1	1-4	520	7	1-7	340	5	4=>7	670.0	2.0	4=>7	660	2	1-4-7	870	3	4=>7=>1	3980	9	574836192	578416392	571483629	571432689	13.0 - 12.5 - 14.0 - 13.7 - 13.4 - 12.8 - 13.2 - 13.0	13.0 - 25.5 - 39.5 - 53.2 - 66.6 - 79.4 - 92.6 - 105.6 (39.5-39.0)
201242013010	ダ	左	1400	晴	稍重	16:05	端月特別 		2012-1-30	9	浦和	1			1	5670	9	1	590	10	6	140	1	12.0	170.0	2.0	1-5	6660.0	16.0	1-6	5980	16	1-6	1,360	15	1-12	2,760	30	6-12	400	5	1=>5	22600.0	36.0	1=>6	17400	44	1-6-12	10410	32	1=>6=>12	110620	270	161271142109853	161271142910853	161211749210835	112611749231085	12.4 - 11.7 - 12.4 - 13.0 - 12.6 - 14.0 - 13.9	12.4 - 24.1 - 36.5 - 49.5 - 62.1 - 76.1 - 90.0 (36.5-40.5)
