	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201247010901	ダ	右	1400	晴	良	11:00	サラ系C38組牝馬		2012-1-9	17	笠松	1	牝		2.0	1280.0	5.0	2.0	330	6.0	4.0	100	1.0	3.0	430	7.0	2-4	400.0	1.0	2-4	420.0	2.0	2=>4	3750.0	11.0	2=>4	2390.0	10.0	2-3-4	8320.0	13.0	2=>4=>3	61840.0	87.0		43218956107.0	43218956107.0	3,4,2,1,8,5,9-6,10-7											
201247010902	ダ	右	1400	晴	良	11:30	サラ系C37組		2012-1-9	17	笠松	1			4.0	160.0	1.0	4.0	140	2.0	9.0	430	7.0	1.0	130	1.0	4-8	370.0	2.0	4-9	2510.0	8.0	4=>8	760.0	3.0	4=>9	4170.0	13.0	1-4-9	1490.0	7.0	4=>9=>1	6760.0	21.0		39428516107.0	39425816107.0	3,4,9,2,5,1-7,10,6,8											
201247010903	ダ	右	1400	晴	良	12:00	サラ系C36組		2012-1-9	17	笠松	1			6.0	610.0	4.0	6.0	180	4.0	2.0	250	5.0	4.0	120	1.0	2-6	4370.0	17.0	2-6	5010.0	19.0	6=>2	11180.0	40.0	6=>2	9510.0	35.0	2-4-6	3590.0	13.0	6=>2=>4	46180.0	153.0		12465310879.0	14261058739.0	21461057893.0											
201247010904	ダ	右	1400	晴	良	12:35	☆吉希・美穂☆結婚記		2012-1-9	17	笠松	1			1.0	310.0	2.0	1.0	120	2.0	4.0	110	1.0	9.0	230	5.0	1-4	240.0	1.0	1-4	230.0	1.0	1=>4	520.0	2.0	1=>4	550.0	2.0	1-4-9	380.0	2.0	1=>4=>9	1170.0	2.0		71694582310.0	71694528103.0	1,7,9,4,6-5,2,10,8,3											
201247011001	ダ	右	1400	晴	良	11:00	サラ系C29組		2012-1-10	17	笠松	2			8.0	410.0	2.0	8.0	110	2.0	9.0	110	2.0	2.0	100	1.0	7-8	1010.0	4.0	8-9	1510.0	5.0	7=>8	1790.0	8.0	8=>9	2510.0	7.0	2-8-9	300.0	1.0	8=>9=>2	4430.0	15.0		69821041735.0	69821017534.0	98621107534.0											
201247011002	ダ	右	1400	晴	良	11:30	サラ系C28組		2012-1-10	17	笠松	2			6.0	150.0	1.0	6.0	110	2.0	8.0	1,510	8.0	5.0	100	1.0	6-7	9870.0	12.0	6-8	13750.0	13.0	6=>7	10220.0	15.0	6=>8	20390.0	20.0	5-6-8	13820.0	17.0	6=>8=>5	104740.0	90.0		68935712410.0	68935721410.0	68935274110.0											
201247011003	ダ	右	1400	晴	良	12:00	サラ系C27組		2012-1-10	17	笠松	2			1.0	260.0	1.0	1.0	100	2.0	8.0	100	3.0	4.0	100	1.0	1-7	440.0	3.0	1-8	410.0	3.0	1=>7	860.0	4.0	1=>8	980.0	4.0	1-4-8	250.0	1.0	1=>8=>4	1690.0	4.0		34819710256.0	34189105672.0	34819105267.0											
201247011004	ダ	右	1400	晴	良	12:30	サラ系C26組		2012-1-10	17	笠松	2			4.0	100.0	1.0	4.0	100	1.0	10.0	110	2.0	8.0	410	8.0	4-8	150.0	1.0	4-10	170.0	1.0	4=>8	180.0	1.0	4=>10	190.0	1.0	4-8-10	3900.0	10.0	4=>10=>8	6500.0	20.0		91042816375.0	10498216375.0	10482917635.0											
201247011005	ダ	右	1400	晴	良	13:05	サラ系C25組		2012-1-10	17	笠松	2			10.0	130.0	1.0	10.0	100	1.0	2.0	100	2.0	8.0	130	3.0	2-8	130.0	1.0	2-10	140.0	1.0	8=>2	180.0	1.0	10=>2	160.0	1.0	2-8-10	290.0	1.0	10=>2=>8	500.0	1.0		2109168473.0	2101869473.0	2108164973.0											
201247011006	ダ	右	1400	晴	良	13:35	サラ系C24組		2012-1-10	17	笠松	2			6.0	520.0	4.0	6.0	130	3.0	2.0	110	1.0	1.0	110	2.0	2-6	1200.0	5.0	2-6	980.0	4.0	6=>2	3980.0	13.0	6=>2	2590.0	11.0	1-2-6	690.0	3.0	6=>2=>1	7910.0	30.0		14103698257.0	14103962857.0	11092468357.0											
