	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201344012101	ダ	右	1200	晴	重	11:00	騎初賞競走		2013-1-21	16	大井	1			4	590	3	4	170	3	1	220	4	5.0	170	2.0	1-3	1440.0	7.0	1-4	1550	6	1-4	460	5	4-5	500	6	1-5	590	8	3=>1	4050.0	20.0	4=>1	4290	13	1-4-5	2310	7	4=>1=>5	14680	46			4510138131472612	4,5,10,1,3,8,13,14-7,2,6,12	12.7 - 11.1 - 12.0 - 13.1 - 13.0 - 13.8	12.7 - 23.8 - 35.8 - 48.9 - 61.9 - 75.7 (35.8-39.9)
201344012102	ダ	右	1200	晴	重	11:30	巳刻賞競走		2013-1-21	16	大井	1	25万円未満		14	7360	10	14	1,540	10	1	320	7	12.0	150	1.0	1-8	4500.0	20.0	1-14	39400	51	1-14	6,490	41	12-14	4,000	35	1-12	1,090	17	8=>1	13910.0	40.0	14=>1	35540	65	1-12-14	39070	77	14=>1=>12	573470	780			1,4,(3,10),12,14,11,6,8,2,9,5,7	1,4,3,12,10,14,(2,6,11),8,9,5,7	12.9 - 11.3 - 12.1 - 13.0 - 13.2 - 14.5	12.9 - 24.2 - 36.3 - 49.3 - 62.5 - 77.0 (36.3-40.7)
201344012103	ダ	右	1500	晴	重	12:00	巳年賞競走		2013-1-21	16	大井	1	25万円未満		11	280	1	11	190	2	14	330	5	8.0	1,600	13.0	7-8	410.0	1.0	11-14	1480	6	11-14	760	7	8-11	3,950	41	8-14	6,390	54	7=>8	720.0	1.0	11=>14	1940	5	8-11-14	37740	101	11=>14=>8	120910	370	13,11,(8,9),(2,12),(3,14),(4,7),10,6,5,1	11,13,(8,9),12,2,14,3,7,4,10,6,5,1	11,13,8,9,12,2,14,4,(7,3),5,6,10,1	1113892121447536101	7.2 - 12.2 - 12.9 - 13.6 - 13.3 - 13.7 - 14.0 - 13.9	7.2 - 19.4 - 32.3 - 45.9 - 59.2 - 72.9 - 86.9 - 100.8 (32.3-41.6)
201344012104	ダ	右	1200	晴	重	12:30	初笑賞競走		2013-1-21	16	大井	1	90万円未満		14	160	1	14	100	1	8	140	3	1.0	130	2.0	5-8	480.0	2.0	8-14	440	2	8-14	220	1	1-14	230	2	1-8	520	5	8=>5	610.0	2.0	14=>8	600	1	1-8-14	620	1	14=>8=>1	1580	2			9,(13,14),6,5,11,1,7,4,8,3,10,12,2	9,14,13,6,(1,5),11,(8,7),4,3,12,10,2	12.8 - 11.6 - 12.6 - 13.3 - 12.4 - 13.0	12.8 - 24.4 - 37.0 - 50.3 - 62.7 - 75.7 (37.0-38.7)
201344012105	ダ	右	1500	晴	重	13:00	飾馬賞競走		2013-1-21	16	大井	1	90万円未満		1	630	3	1	140	3	10	100	1	8.0	110	2.0	1-6	670.0	2.0	1-10	470	2	1-10	280	2	1-8	340	3	8-10	150	1	1=>6	1950.0	6.0	1=>10	1580	5	1-8-10	460	1	1=>10=>8	3050	6	8,10,1,(2,7),12,(4,5),6,14,13,3,11,9	8102711245614133119	(8,10),1,(12,2),7,6,(4,5),14,11,3,13-9	8,10,1,12,2,6,7,5,4,14,(11,3),13-9	7.1 - 12.8 - 13.7 - 12.9 - 12.5 - 13.4 - 13.2 - 13.0	7.1 - 19.9 - 33.6 - 46.5 - 59.0 - 72.4 - 85.6 - 98.6 (33.6-39.6)
201344012106	ダ	右	1200	晴	重	13:30	大寒賞競走		2013-1-21	16	大井	1			2	640	4	2	180	2	12	320	7	13.0	170	1.0	2-7	2560.0	13.0	2-12	2460	10	2-12	1,090	15	2-13	510	2	12-13	510	3	2=>7	3280.0	17.0	2=>12	4440	14	2-12-13	2480	2	2=>12=>13	16320	25			10,12,7,9,8,1,5,2,(3,11,14),13,4,6	10,12,(7,9,8),1,5,2,13,(11,14),3,6,4	13.0 - 11.9 - 12.6 - 13.3 - 12.6 - 13.4	13.0 - 24.9 - 37.5 - 50.8 - 63.4 - 76.8 (37.5-39.3)
201344012107	ダ	右	1400	晴	重	14:00	探梅賞競走		2013-1-21	16	大井	1			13	430	2	13	160	2	4	280	5	7.0	240	4.0	3-8	1780.0	8.0	4-13	2810	9	4-13	840	7	7-13	530	6	4-7	1,290	17	8=>3	3720.0	19.0	13=>4	5380	19	4-7-13	3900	12	13=>4=>7	23690	65		9,7,4,6,(1,13),(2,8),10,(3,12),11,5,14	(9,7),6,13,4,1,(8,12),2,5,3,10,14,11	9,7,6,13,4,(1,8),12,2,(3,5),14,11,10	13.8 - 13.0 - 12.9 - 13.1 - 13.3 - 12.8 - 13.4	13.8 - 26.8 - 39.7 - 52.8 - 66.1 - 78.9 - 92.3 (39.7-39.5)
201344012108	ダ	右	1200	晴	重	14:35	葉牡丹賞競走		2013-1-21	16	大井	1			7	240	2	7	150	2	6	250	3	2.0	1,400	14.0	4-5	1200.0	3.0	6-7	1640	4	6-7	800	6	2-7	3,580	31	2-6	13,350	65	5=>4	2160.0	6.0	7=>6	2680	5	2-6-7	48600	95	7=>6=>2	120600	258			2786410131291151314	2,7,8,6,(4,10),12,(1,3),11,9,5,13,14	12.7 - 11.5 - 12.2 - 12.8 - 12.1 - 12.8	12.7 - 24.2 - 36.4 - 49.2 - 61.3 - 74.1 (36.4-37.7)
201344012109	ダ	右	1500	曇	重	15:10	福寿草賞競走		2013-1-21	16	大井	1			2	1640	7	2	510	7	1	180	2	8.0	250	4.0	1-2	3210.0	14.0	1-2	4060	15	1-2	1,410	17	2-8	2,530	31	1-8	800	7	2=>1	11510.0	40.0	2=>1	9250	34	1-2-8	12110	42	2=>1=>8	86390	266	14,(1,2),6,12,7,13,9,8,10,3,5,11,4	1,2,14,6,12,7,13,(8,9),10,11,3,5,4	1,2,14,11,6,13,12,(7,9),8,5,(10,4),3	1214116137895410123	7.1 - 11.6 - 12.3 - 12.8 - 13.1 - 13.4 - 13.3 - 13.5	7.1 - 18.7 - 31.0 - 43.8 - 56.9 - 70.3 - 83.6 - 97.1 (31.0-40.2)
201344012110	ダ	右	1600	曇	重	15:45	初午特別競走 		2013-1-21	16	大井	1			5	1200	4	5	230	3	2	510	6	1.0	180	2.0	1-3	2290.0	8.0	2-5	13240	31	2-5	2,510	23	1-5	1,180	10	1-2	1,500	15	3=>1	4880.0	15.0	5=>2	20840	49	1-2-5	19750	51	5=>2=>1	138970	295	7,9,(10,8),(1,13),2,12,4,3,14,(5,11),6,15,16	7,8,9,(1,10),13,2,12,3,(5,4,14),11,6,15,16	7,8,1,10,13,9,2,12,5,3,14,6,11,16,15-4	7,(1,8),10,13,2,9,(12,5),(3,14),6,11,16,15=4	12.5 - 11.9 - 12.6 - 12.5 - 12.4 - 13.3 - 13.9 - 13.7	12.5 - 24.4 - 37.0 - 49.5 - 61.9 - 75.2 - 89.1 - 102.8 (37.0-40.9)
201344012111	ダ	右	1800	曇	重	16:20	白富士賞競走 		2013-1-21	16	大井	1			9	1160	5	9	250	5	7	160	2	4.0	210	4.0	4-5	380.0	1.0	7-9	1180	3	7-9	490	3	4-9	920	10	4-7	440	2	5=>4	910.0	2.0	9=>7	2980	11	4-7-9	3060	7	9=>7=>4	18350	43	8,11,12,15,2,5,6,7,4,(10,14),(1,9),3,(13,16)	8,11,12,15,2,(5,6),(4,7),10,14,9,3,1,13,16	9,11,8,12,(2,5),7,(4,15),(10,6),14,13,(1,3),16	9,11,8,5,2,7,4,10,14,(1,3,15,6),13,12,16	12.8 - 12.3 - 13.2 - 12.8 - 12.5 - 12.5 - 13.3 - 13.0 - 14.1	12.8 - 25.1 - 38.3 - 51.1 - 63.6 - 76.1 - 89.4 - 102.4 - 116.5 (38.3-40.4)
201344012201	ダ	右	1200	雨	重	11:00	3歳　選抜牝馬		2013-1-22	16	大井	2	35万円未満		13	200	1	13	130	1	3	170	3	10.0	700	10.0	3-8	520.0	2.0	3-13	680	1	3-13	270	1	10-13	2,210	28	3-10	3,110	36	8=>3	790.0	1.0	13=>3	1100	1	3-10-13	13360	41	13=>3=>10	59260	169			2,1,3,13,9,(4,5),(6,8),11,14,12,7,10	3,13,2,1,(4,9),11,5,8,14,6,12,10,7	12.6 - 11.3 - 12.6 - 13.8 - 13.4 - 14.8	12.6 - 23.9 - 36.5 - 50.3 - 63.7 - 78.5 (36.5-42.0)
201344012202	ダ	右	1500	雨	重	11:30	3歳　選抜牝馬		2013-1-22	16	大井	2	35万円未満		4	550	3	4	200	2	11	430	8	7.0	240	5.0	4-7	540.0	1.0	4-11	2390	11	4-11	1,010	15	4-7	1,140	18	7-11	2,580	34	4=>7	1030.0	2.0	4=>11	5370	22	4-7-11	12230	59	4=>11=>7	36660	122	3,4,11,(6,10),7,12,5,8,(1,9),13,2	34116107125891132	4,11,3,10,7,(5,12),6,8,9-1,13,2	4,11,10,3,7,5,12,8,6,9,1,13-2	7.0 - 12.2 - 13.1 - 13.3 - 13.2 - 13.9 - 13.9 - 14.6	7.0 - 19.2 - 32.3 - 45.6 - 58.8 - 72.7 - 86.6 - 101.2 (32.3-42.4)
201344012203	ダ	右	1400	雨	不良	12:00	3歳		2013-1-22	16	大井	2	25万円以上41万円未満		3	970	5	3	320	6	10	240	3	8.0	1,490	12.0	3-6	1270.0	7.0	3-10	3420	16	3-10	990	14	3-8	8,480	53	8-10	2,400	24	3=>6	3030.0	13.0	3=>10	11500	42	3-8-10	58120	114	3=>10=>8	292790	568		1,7,13,14,(2,3),8,4,9,5,10,6,11	17133214510849611	1,7,(2,3,13),10,5,4,8,(14,6),11,9	12.9 - 11.6 - 12.4 - 13.2 - 14.5 - 13.6 - 14.3	12.9 - 24.5 - 36.9 - 50.1 - 64.6 - 78.2 - 92.5 (36.9-42.4)
