	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201348010101	ダ	右	1400	晴	重	11:30	サラC28組		2013-1-1	21	名古屋	1	(定量)		7.0	170.0	1.0	7.0	110	1.0	2.0	170	3.0	2-7	250.0	2.0	2-7	160	2.0	6-7	350	4.0	2-6	630	6.0	7=>2	390.0	2.0	2-6-7	630.0	3.0	7=>2=>6	1380.0	6.0		6745231.0	6745213.0	6723415.0								
201348010102	ダ	右	1400	晴	重	12:00	泰寿新浩今年はいい年		2013-1-1	21	名古屋	1	(定量)		6.0	200.0	1.0	6.0	120	2.0	4.0	110	1.0	4-6	240.0	1.0	4-6	120	1.0	3-6	480	7.0	3-4	800	8.0	6=>4	330.0	1.0	3-4-6	1340.0	5.0	6=>4=>3	3170.0	11.0		8,6,(4,5),3,2,7,1	86435271.0	86435271.0			3.0	250.0	5.0			
201348010103	ダ	右	1400	晴	重	12:30	長田隆から正子へ感謝		2013-1-1	21	名古屋	1	(定量)		7.0	200.0	2.0	7.0	130	1.0	9.0	560	7.0	7-9	11110.0	15.0	7-9	2,470	14.0	4-7	350	4.0	4-9	5,650	26.0	7=>9	6640.0	15.0	4-7-9	9440.0	16.0	7=>9=>4	56460.0	88.0		749263518.0	749263518.0	794623581.0			4.0	340.0	5.0	7-8	2130.0	7.0
201348010104	ダ	右	800	晴	重	13:00	サラC25組		2013-1-1	21	名古屋	1	(定量)		5.0	240.0	2.0	5.0	130	3.0	1.0	120	1.0	1-5	610.0	3.0	1-5	220	3.0	3-5	210	2.0	1-3	380	8.0	5=>1	890.0	3.0	1-3-5	690.0	3.0	5=>1=>3	2820.0	11.0				519368724.0			3.0	190.0	5.0	1-5	450.0	3.0
201348010105	ダ	右	1400	晴	重	13:30	りゅう&ゆう初来場記		2013-1-1	21	名古屋	1	(定量)		1.0	170.0	1.0	1.0	110	1.0	3.0	150	3.0	1-3	210.0	1.0	1-3	110	2.0	1-7	100	1.0	3-7	120	3.0	1=>3	320.0	2.0	1-3-7	120.0	1.0	1=>3=>7	380.0	1.0		7,8,1,3-(2,5,6)	7,1,8,3-6,2,5	7,1,3,8-6,2,5								
201348010106	ダ	右	1400	晴	重	14:00	市川豊馬場馬術二級審		2013-1-1	21	名古屋	1	(定量)		8.0	240.0	2.0	8.0	100	2.0	4.0	100	1.0	4-8	160.0	1.0	4-8	110	1.0	5-8	160	2.0	4-5	180	3.0	8=>4	370.0	2.0	4-5-8	260.0	1.0	8=>4=>5	940.0	4.0		895473612	8,5,7,(4,9),6,3-1-2	8,5,7,4,9,6,3,1-2			5.0	140.0	4.0	4-8	160.0	1.0
201348010107	ダ	右	1400	晴	重	14:30	さなの夢馬券記		2013-1-1	21	名古屋	1	(定量)		8.0	180.0	1.0	8.0	100	1.0	2.0	210	4.0	2-8	1530.0	5.0	2-8	450	5.0	8-9	190	1.0	2-9	580	8.0	8=>2	1870.0	6.0	2-8-9	1250.0	5.0	8=>2=>9	6990.0	24.0		689215374	6,8,9,2,(1,5),7,3,4	689215347			9.0	120.0	2.0	2-8	950.0	4.0
201348010108	ダ	右	1600	晴	重	15:05	愛知県馬主協会名古屋		2013-1-1	21	名古屋	1	(定量)		1.0	100.0	1.0	1.0	100	1.0	2.0	100	2.0	1-2	150.0	1.0	1-2	100	1.0	1-4	130	2.0	2-4	140	3.0	1=>2	150.0	1.0	1-2-4	140.0	1.0	1=>2=>4	230.0	1.0		12467853	12467853	1,(2,4)-6,8,7,5,3			4.0	110.0	3.0			
201348010109	ダ	右	1400	晴	重	15:40	愛知県馬主協会会長賞 		2013-1-1	21	名古屋	1	(定量)		4.0	190.0	1.0	4.0	130	2.0	2.0	140	3.0	2-4	310.0	1.0	2-4	200	2.0	4-6	300	5.0	2-6	330	7.0	4=>2	620.0	2.0	2-4-6	840.0	5.0	4=>2=>6	2410.0	8.0		469257831	4,6,(2,9),5,3,7,8,1	4,6,(2,5),9,3,7,8,1			6.0	180.0	5.0	2-4	340.0	1.0
201348010110	ダ	右	1600	晴	重	16:20	尾張名古屋杯	G	2013-1-1	21	名古屋	1	(別定)		7.0	160.0	1.0	7.0	110	1.0	4.0	220	5.0	4-7	940.0	4.0	4-7	400	4.0	7-11	110	1.0	4-11	950	13.0	7=>4	1480.0	6.0	4-7-11	1340.0	4.0	7=>4=>11	5030.0	14.0		4,6,(2,7),5,11,3,9,10,1	4,(6,7),11,5,2,9,10,3,1	467115109312			11.0	120.0	2.0	4-6	1180.0	7.0
201348010201	ダ	右	1400	晴	重	11:30	サラC21組		2013-1-2	21	名古屋	2	(定量)		1.0	140.0	1.0	1.0	100	1.0	4.0	110	2.0	1-4	200.0	1.0	1-4	110	1.0	1-5	190	2.0	4-5	210	5.0	1=>4	270.0	1.0	1-4-5	310.0	1.0	1=>4=>5	750.0	1.0		4,6,(3,5),1,2	465132	415362								
201348010202	ダ	右	800	晴	重	12:00	サラC20組		2013-1-2	21	名古屋	2	(定量)		1.0	100.0	1.0	1.0	100	1.0	7.0	130	2.0	1-7	260.0	1.0	1-7	130	1.0	1-6	170	3.0	6-7	240	5.0	1=>7	340.0	2.0	1-6-7	390.0	3.0	1=>7=>6	810.0	4.0				1-7,6,3,5,4,2								
201348010203	ダ	右	1400	晴	重	12:30	サラC19組		2013-1-2	21	名古屋	2	(定量)		6.0	230.0	1.0	6.0	120	2.0	5.0	280	5.0	5-6	1880.0	8.0	5-6	730	7.0	1-6	250	3.0	1-5	860	9.0	6=>5	2400.0	10.0	1-5-6	2140.0	7.0	6=>5=>1	10280.0	32.0		56214783	5,6,2,4,1,7,8-3	5,6,2,1,4,7,8-3			1.0	110.0	1.0			
201348010204	ダ	右	1400	晴	重	13:00	サラC18組		2013-1-2	21	名古屋	2	(定量)		7.0	110.0	1.0	7.0	100	1.0	5.0	100	2.0	5-7	190.0	1.0	5-7	110	2.0	6-7	100	1.0	5-6	160	3.0	7=>5	230.0	1.0	5-6-7	160.0	1.0	7=>5=>6	370.0	1.0		7,6,5,(4,9),8,2,3,1	765498231	7,5,6,4,2-9,8,1,3			6.0	120.0	3.0	5-7	190.0	1.0
201348010205	ダ	右	1400	晴	重	13:30	若鯱特別 		2013-1-2	21	名古屋	2	(定量)		7.0	100.0	1.0	7.0	110	1.0	8.0	210	4.0	7-8	740.0	3.0	7-8	310	3.0	5-7	380	4.0	5-8	1,740	13.0	7=>8	720.0	4.0	5-7-8	1400.0	5.0	7=>8=>5	3550.0	13.0		1,7,(5,8),2,6,3,4	17582634	71528463			5.0	170.0	3.0			
