	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201350010201	ダ	右	1400	晴	重	10:55	C2二		2013-1-2	17	園田	4	(馬齢)		4	100	1	4	100	1	8	120	2	5.0	130	3.0	4-8	270	1	4-8	130	1	4-5	170	2	5-8	390	6	4=>8	280	1	4-5-8	440	1	4=>8=>5	940	1	48236571	48236571	48362751	48736521					
201350010202	ダ	右	1400	晴	重	11:25	C2一		2013-1-2	17	園田	4	(馬齢)		1	110	1	1	100	1	8	100	2	2.0	120	3.0	1-8	160	1	1-8	110	1	1-2	180	2	2-8	270	3	1=>8	210	1	1-2-8	300	1	1=>8=>2	630	1	1,8,2,7,3,6,(5,9),4	182736594	182763594	182765394			1-8	130.0	1.0
201350010203	ダ	右	1400	晴	重	11:55	C3二		2013-1-2	17	園田	4	(馬齢)		7	230	2	7	100	1	6	120	3	5.0	110	2.0	6-7	880	4	6-7	330	4	5-7	160	1	5-6	270	2	7=>6	1360	3	5-6-7	520	1	7=>6=>5	2740	6	10753496128	10753469128	7,5,10,6,4,3,1,9,2=8	7,6,5,10,4,1,3,2,9=8			6-7	790.0	4.0
201350010204	ダ	右	1400	晴	重	12:25	C3一		2013-1-2	17	園田	4	(馬齢)		8	250	1	8	110	1	2	110	2	3.0	120	3.0	2-8	380	1	2-8	130	1	3-8	200	2	2-3	200	3	8=>2	610	1	2-3-8	310	1	8=>2=>3	1260	1	10,5,8,7,2,4,3,(1,6),9	5,10,8,7,2,4,(3,6),1,9	(5,10),8,2,7,6,1,3,9,4	10852367194			2-7	390.0	1.0
201350010205	ダ	右	1400	晴	重	12:55	北陸・近畿地区交流C 		2013-1-2	17	園田	4	(馬齢)		5	120	1	5	100	1	4	100	2	2.0	110	3.0	4-5	240	1	4-5	120	1	2-5	150	2	2-4	180	3	5=>4	320	1	2-4-5	220	1	5=>4=>2	530	1	543298671	543296871	542937168	542793186			4-5	280.0	1.0
201350010206	ダ	右	1400	晴	重	13:30	北陸・近畿地区交流C 		2013-1-2	17	園田	4	(馬齢)		1	170	1	1	130	1	9	620	7	10.0	160	4.0	1-9	5070	13	1-9	1,570	13	1-10	260	2	9-10	2,040	17	1=>9	7640	19	1-9-10	4970	14	1=>9=>10	35690	84	9,10,6,(4,5),3,1,2,7,8	91064531728	91063145728	10,9,4,6,(1,3),7,5,2,8			1-8	420.0	2.0
201350010207	ダ	右	1400	晴	重	14:05	北陸・近畿地区交流C 		2013-1-2	17	園田	4	(馬齢)		3	1170	7	3	280	6	5	260	5	2.0	180	3.0	3-5	5030	21	3-5	1,780	23	2-3	870	12	2-5	1,080	18	3=>5	9720	40	2-3-5	6460	30	3=>5=>2	53160	200	10,6,7,5,3,2,8,(4,9),1	10,(6,7),5,3,2,8,4,9,1	10576382149	10563728149			3-5	3750.0	20.0
201350010301	ダ	右	1400	晴	重	10:55	C3		2013-1-3	17	園田	5	(馬齢)		7	890	2	7	100	1	6	160	5	1.0	100	2.0	6-7	2090	7	6-7	280	4	1-7	110	1	1-6	240	3	7=>6	3590	10	1-6-7	350	1	7=>6=>1	6730	18	7,9,5,8,6,1,(3,4),2,10	79568134210	78496135210	78641935210			6-7	2030.0	7.0
201350010302	ダ	右	1230	晴	重	11:25	C3		2013-1-3	17	園田	5	(馬齢)		5	370	2	5	180	3	10	180	2	9.0	330	7.0	5-10	1550	7	5-10	660	9	5-9	600	5	9-10	1,010	15	5=>10	2590	11	5-9-10	4740	22	5=>10=>9	15820	61	1,2,3,4,5,8,7,10,(6,9)	12435781096	12584107396	5,(2,8),1,10,4,7,9,6,3			5-8	870.0	5.0
201350010303	ダ	右	1400	晴	稍重	11:55	C2三		2013-1-3	17	園田	5	(馬齢)		1	130	1	1	110	1	8	120	2	9.0	240	6.0	1-8	440	3	1-8	250	3	1-9	1,270	11	8-9	1,690	19	1=>8	530	3	1-8-9	2820	9	1=>8=>9	4940	14	163782495	163782495	1,7,4,6,(3,8),2,9,5	1-7,(3,8),6,4,9,2,5			1-8	360.0	2.0
201350010304	ダ	右	1400	晴	稍重	12:25	3歳二組		2013-1-3	17	園田	5	(馬齢)		5	540	2	5	140	2	1	160	4	11.0	100	1.0	1-5	2160	7	1-5	410	4	5-11	190	2	1-11	200	3	5=>1	3640	11	1-5-11	690	3	5=>1=>11	8350	28	10,5,11,2,(4,9),1,6,8,7-3	1051129418763	(5,10),11,2,9,7,4,1,8,6,3	5101172914863			1-5	2150.0	6.0
201350010305	ダ	右	1400	晴	稍重	12:55	C2二		2013-1-3	17	園田	5	(馬齢)		6	380	2	6	170	2	8	820	8	4.0	400	6.0	6-8	4250	16	6-8	1,070	12	4-6	1,410	19	4-8	3,260	27	6=>8	5150	22	4-6-8	18640	46	6=>8=>4	99290	227	145978623	145978623	145796823	147568923			6-8	2070.0	10.0
201350010306	ダ	右	1400	晴	稍重	13:30	C2一		2013-1-3	17	園田	5	(馬齢)		1	120	1	1	100	2	8	110	3	6.0	100	1.0	1-8	380	2	1-8	130	2	1-6	110	1	6-8	170	3	1=>8	330	2	1-6-8	170	1	1=>8=>6	590	2	91081253467	91082135467	(1,8),10,9,5,6,2,3,4,7	1,10,8,6,5,9,2,3-4,7			1-7	340.0	2.0
201350010307	ダ	右	1400	晴	稍重	14:05	C1二		2013-1-3	17	園田	5	(馬齢)		1	400	3	1	140	4	9	140	3	7.0	120	1.0	1-9	1380	6	1-9	450	6	1-7	250	3	7-9	400	5	1=>9	2470	9	1-7-9	1210	4	1=>9=>7	7490	24	891572634	891572634	8,9,7,1,(2,5),6,3,4	9,(7,8),1,(2,5),3,6,4			1-8	1270.0	6.0
201350010308	ダ	右	1400	晴	稍重	14:40	C1一		2013-1-3	17	園田	5	(馬齢)		8	100	1	8	100	1	3	210	5	2.0	110	2.0	3-8	1260	5	3-8	440	6	2-8	120	1	2-3	590	9	8=>3	1470	6	2-3-8	1130	4	8=>3=>2	3790	13	238156749	238156749	238619574	(3,8),2,6,9,1-5,7,4			3-8	1180.0	5.0
201350010309	ダ	右	1400	晴	稍重	15:15	B1B2 		2013-1-3	17	園田	5	(別定)		9	260	1	9	150	3	10	150	2	5.0	310	6.0	9-10	770	2	9-10	290	2	5-9	730	10	5-10	800	11	9=>10	1440	3	5-9-10	3550	12	9=>10=>5	12050	42	12,11,6,(4,8),5,9,3,7,2,10,1	121168495372101	10,8,11,9,5,6,(7,12),(3,4),2,1	8,10,11,9,(5,6),3,(4,7),12,2,1			7-7	900.0	6.0
201350010310	ダ	右	1870	晴	稍重	15:50	新春賞	G	2013-1-3	17	園田	5	(ハンデ)		4	310	1	4	160	1	7	180	3	6.0	1,230	10.0	4-7	910	1	4-7	350	1	4-6	2,690	31	6-7	2,770	33	4=>7	1890	1	4-6-7	16080	55	4=>7=>6	64450	204	(8,11),7,6,12,3,2,(1,5),9,(4,10)	811761232519104	7,8,11,6,(1,2),(3,5),12,9,(4,10)	786112513941012			4-6	550.0	1.0
201350010311	ダ	右	1700	晴	稍重	16:25	C2 		2013-1-3	17	園田	5	(馬齢)		8	2630	5	8	240	5	10	110	1	6.0	120	2.0	8-10	2210	8	8-10	450	7	6-8	440	6	6-10	150	1	8=>10	6070	21	6-8-10	1360	5	8=>10=>6	18060	51	8101765234	8,10,1,7,6,5,(2,3),4	8107165423	8,(1,10),6,7,4,5,2,3			7-8	790.0	4.0
201350010401	ダ	右	1400	晴	稍重	10:55	C3二		2013-1-4	17	園田	6	(馬齢)		7	300	2	7	150	3	9	210	4	2.0	130	2.0	7-9	1430	7	7-9	390	7	2-7	150	1	2-9	400	8	7=>9	2010	9	2-7-9	920	4	7=>9=>2	6840	27	3729411056	3729141056	3792110456	3791210546			7-8	1170.0	6.0
201350010402	ダ	右	1400	晴	稍重	11:25	C3一		2013-1-4	17	園田	6	(馬齢)		10	100	1	10	100	1	4	180	3	7.0	240	6.0	4-10	310	1	4-10	160	1	7-10	410	6	4-7	1,140	15	10=>4	300	1	4-7-10	990	3	10=>4=>7	2110	4	10,9,7,5,3,(1,4),6,2,8	10,9,7,5,3,1,4,6-2,8	10,4,7,5,(3,9),6,1-8,2	10,4,7,5,3,9,6,1-8-2			4-8	260.0	1.0
201350010403	ダ	右	1400	晴	稍重	11:55	C2三		2013-1-4	17	園田	6	(馬齢)		4	150	1	4	150	2	8	320	3	3.0	2,160	10.0	4-8	540	2	4-8	230	2	3-4	2,480	21	3-8	7,560	34	4=>8	780	3	3-4-8	13000	28	4=>8=>3	29520	69	49110283567	4,9,1,10,2,8,3,(5,6),7	41910832567	41891035762			4-7	440.0	2.0
201350010404	ダ	右	1400	晴	稍重	12:25	C2二		2013-1-4	17	園田	6	(馬齢)		8	430	3	8	120	2	6	130	3	4.0	100	1.0	6-8	740	3	6-8	230	3	4-8	170	1	4-6	170	2	8=>6	1870	8	4-6-8	390	1	8=>6=>4	4110	10	68102491375	6,8,10,2,4,(1,9),3,7,5	6,5,8,4,(9,10),3,(2,7),1	68549310721			6-7	900.0	4.0
201350010405	ダ	右	1400	晴	稍重	12:55	C2一		2013-1-4	17	園田	6	(馬齢)		8	7830	9	8	720	8	2	120	2	5.0	100	1.0	2-8	6750	15	2-8	2,600	22	5-8	3,910	27	2-5	160	1	8=>2	59700	51	2-5-8	6740	15	8=>2=>5	127980	184	17983102546	(1,7),9,8,3,10,2,5,4,6	2,7,9,5,8,1,10,(3,4),6	72895104613			2-7	1660.0	7.0
201350010406	ダ	右	1230	晴	稍重	13:30	C1C2 		2013-1-4	17	園田	6	(別定)		6	1360	6	6	240	4	9	310	6	8.0	280	5.0	6-9	4930	18	6-9	1,900	24	6-8	1,210	16	8-9	1,590	19	6=>9	10800	38	6-8-9	17160	57	6=>9=>8	112220	329	579281312610411	572983161210411	(7,9),8,6,3,5,(1,2),10,(4,12),11	978635110241211			5-7	3130.0	14.0
201350010407	ダ	右	1400	晴	稍重	14:05	B2 		2013-1-4	17	園田	6	(馬齢)		4	230	1	4	100	1	5	330	6	9.0	460	8.0	4-5	1090	4	4-5	490	5	4-9	1,080	12	5-9	4,130	37	4=>5	1310	4	4-5-9	3700	11	4=>5=>9	12690	36	371014121162958	371104116122958	101421136127958	10,4,1,(2,11),5,12,9,6,3,8,7			4-5	820.0	3.0
201350010408	ダ	右	1400	晴	稍重	14:40	3歳一組		2013-1-4	17	園田	6	(馬齢)		7	530	3	7	160	2	3	440	8	10.0	370	7.0	3-7	4710	20	3-7	1,880	20	7-10	940	10	3-10	2,490	27	7=>3	7490	30	3-7-10	9830	34	7=>3=>10	53950	182	1167598312104	1167598121034	11,7,5,9,10,6,8,(2,3),4,1	1179510346281			3-6	2260.0	11.0
201350010409	ダ	右	1400	晴	稍重	15:15	A1A2 		2013-1-4	17	園田	6	(別定)		2	120	1	2	110	1	6	110	2	7.0	230	5.0	2-6	310	1	2-6	140	1	2-7	370	5	6-7	750	9	2=>6	410	1	2-6-7	1050	4	2=>6=>7	2830	7	982614735	982613745	(2,9),(6,8),5,4,(3,7),1	289645371			2-6	350.0	1.0
201350010410	ダ	右	1400	晴	稍重	15:50	楽天競馬賞A1 		2013-1-4	17	園田	6	(別定)		9	350	3	9	120	1	5	340	6	10.0	130	2.0	5-9	5230	12	5-9	1,380	13	9-10	210	1	5-10	1,100	11	9=>5	8940	24	5-9-10	4020	10	9=>5=>10	32340	90	7,6,8,(5,10),1,9,3,2,4	67851109324	98107253641	91087523461			5-8	3570.0	9.0
201350010801	ダ	右	1400	晴	稍重	11:10	C3四		2013-1-8	18	園田	1	(馬齢)		10	290	2	10	110	1	8	130	2	1.0	200	5.0	8-10	400	1	8-10	210	1	1-10	1,150	19	1-8	960	16	10=>8	940	2	1-8-10	2360	8	10=>8=>1	12800	37	4,8,10,(2,5),(7,9),1,3,6	48102579136	81047521936	81071452369			7-8	350.0	1.0
201350010802	ダ	右	1400	晴	稍重	11:40	C3三		2013-1-8	18	園田	1	(馬齢)		1	1050	5	1	180	5	5	110	1	4.0	120	2.0	1-5	1220	5	1-5	340	3	1-4	820	13	4-5	160	1	1=>5	5640	18	1-4-5	1570	4	1=>5=>4	19380	63	10,7,(3,6),1,4,8,2,5,9	10,7,3,6,4,(1,8),2,5,9	7,5,1,10,4,6,8,(2,3),9	51748106239			1-5	2410.0	10.0
201350010803	ダ	右	1400	晴	稍重	12:10	3歳C2		2013-1-8	18	園田	1	(馬齢)		12	1100	4	12	220	5	10	110	2	6.0	110	1.0	10-12	1270	5	10-12	560	6	6-12	220	2	6-10	170	1	12=>10	4080	13	6-10-12	970	1	12=>10=>6	7740	21	12,9,7,1,10,5,6,(2,8),3,11,4	129711056283114	12,9,10,7,1,6,5,4,8,2,(3,11)	121097615482311			7-8	1240.0	6.0
201350010804	ダ	右	1400	晴	稍重	12:40	C3二		2013-1-8	18	園田	1	(馬齢)		4	220	1	4	120	1	9	130	2	10.0	430	8.0	4-9	330	1	4-9	160	1	4-10	1,260	18	9-10	680	10	4=>9	440	1	4-9-10	1530	4	4=>9=>10	4870	11	11027438956	1,10,2,7,3,4,8,9,(5,6)	10,1,2,4,3,8,(6,9),7,5	10,(1,4),2,3,9,8,6,7,5			4-8	250.0	1.0
201350010805	ダ	右	1400	晴	稍重	13:10	C3一		2013-1-8	18	園田	1	(馬齢)		2	560	4	2	170	3	4	370	7	5.0	130	1.0	2-4	3230	16	2-4	990	15	2-5	290	1	4-5	650	11	2=>4	4080	18	2-4-5	2650	9	2=>4=>5	23140	89	4,8,9,(3,10),7,5,2,6,1	4,8,9,(3,7,10),(2,5),6,1	(4,5),9,10,2,7,8,6,3,1	(4,5),2,9,6,7,(1,10),3,8			2-4	3340.0	13.0
201350010806	ダ	右	1400	晴	良	13:40	C2二		2013-1-8	18	園田	1	(馬齢)		4	130	1	4	110	1	9	320	5	2.0	780	6.0	4-9	670	3	4-9	300	3	2-4	600	5	2-9	3,690	22	4=>9	900	3	2-4-9	4160	10	4=>9=>2	9530	25	918267543	9,1,(2,8),7,6,4,5,3	914825763	491253687			4-8	610.0	3.0
201350010807	ダ	右	1400	晴	良	14:10	C2一		2013-1-8	18	園田	1	(馬齢)		2	170	1	2	100	1	7	110	2	8.0	170	4.0	2-7	220	1	2-7	130	1	2-8	270	3	7-8	510	9	2=>7	210	1	2-7-8	710	3	2=>7=>8	1100	2	8910637421	8910637421	8,7,9,2,(6,10),3,4,1	8729463101			2-7	170.0	1.0
