着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	3	3	14.5	2.0	2006103258	牝	8	500.0	-4.0	53	85.2	0	4-3-2-2	39.5	a0290	05059	x02d94	10.0	201455010201
2	7	7	18.1	3.0	2008100082	牝	6	495.0	4.0	53	85.9	4	5-5-4-3	39.6	a0291	a00f6	x007e3	2.3	201455010201
3	1	1	30.8	4.0	2007109257	牡	7	497.0	-1.0	56	86.1	3/4	1-1-1-1	40.7	05478	05109	977007	0.9	201455010201
4	4	4	32.4	5.0	2006102704	牝	8	496.0	4.0	54	86.5	2	2-4-5-4	40.3	05414	a01eb	x06a40	0.5	201455010201
5	8	8	61.6	8.0	2007101154	牝	7	398.0	1.0	53	86.8	1.1/2	7-7-7-6	38.9	a0201	05098	x05cd7	0.3	201455010201
6	5	5	49.3	7.0	2007100469	牝	7	505.0	4.0	54	87.5	4	8-8-8-8	38.9	05491	a01eb	x08345	0.0	201455010201
7	6	6	1.0	1.0	2008100384	牡	6	448.0	-2.0	56	87.6	3/4	3-2-3-5	41.7	00409	05257	x07294	0.0	201455010201
8	2	2	36.2	6.0	2007103331	牡	7	545.0	-7.0	56	87.9	1.1/2	6-6-6-7	40.4	05501	05624	648006	0.0	201455010201
1	5	5	8.5	4.0	2008100008	牡	6	474.0	-7.0	56	86.6	0	3-4-3-2	39.1	a0273	05624	x07294	10.0	201455010202
2	4	4	2.7	2.0	2010100181	牝	4	418.0	-3.0	54	87.2	3	1-1-1-1	40.1	05548	05624	x07294	2.3	201455010202
3	2	2	4.9	3.0	2010105416	牡	4	475.0	5.0	56	87.4	1	6-6-2-3	39.8	05587	a00fc	x01835	0.9	201455010202
4	8	8	8.8	5.0	2008104427	牡	6	464.0	-1.0	55	87.8	2	4-3-4-4	40.4	a0291	a00f6	x007e3	0.5	201455010202
5	6	6	2.4	1.0	2008106375	牡	6	460.0	3.0	55	88.1	1.1/2	5-5-6-5	40.4	a0201	05510	088002	0.3	201455010202
6	1	1	16.4	6.0	2009102537	セ	5	426.0	6.0	56	88.2	クビ	8-8-8-6	39.6	05456	05420	535033	0.0	201455010202
7	7	7	40.4	7.0	2009106363	牝	5	461.0	6.0	54	89.1	5	7-7-7-7	40.8	a023d	05259	x01835	0.0	201455010202
8	3	3	43.1	8.0	2009109099	牝	5	407.0	0.0	51	89.5	2	2-2-5-8	42.2	a02ab	05624	x07294	0.0	201455010202
1	7	7	25.9	6.0	2008101514	牝	6	445.0	9.0	54	86.7	0	2-2-2-1	39.6	05501	05333	x02107	10.0	201455010203
2	5	5	2.9	2.0	2009103304	牝	5	436.0	-3.0	54	86.9	1	4-4-4-3	39.6	05456	05420	259006	2.3	201455010203
3	8	8	28.7	7.0	2010103380	牝	4	500.0	1.0	54	87.0	クビ	1-1-1-2	40.2	a0273	05624	x07294	0.9	201455010203
4	4	4	5.9	4.0	2009102291	牡	5	410.0	-3.0	56	87.1	1/2	3-3-3-4	39.9	05098	a00f4	110007	0.5	201455010203
5	8	9	2.5	1.0	2009101419	牝	5	486.0	2.0	54	87.2	3/4	6-5-5-5	39.8	05229	a0223	840800	0.3	201455010203
6	2	2	7.6	5.0	2010100085	牝	4	453.0	2.0	54	87.3	1/2	7-7-8-6	38.9	05548	a00f4	x07c43	0.0	201455010203
7	1	1	43.1	8.0	2008101456	牝	6	413.0	0.0	54	87.6	1.1/2	5-6-6-7	39.8	05478	05661	x03688	0.0	201455010203
8	3	3	5.6	3.0	2008105600	牡	6	532.0	0.0	56	87.6	ハナ	8-8-7-8	39.5	05587	a00fc	x03688	0.0	201455010203
