	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201454011201	ダ	右	1300	晴	不良	16:05	C2ー9		2014-1-12	14	高知	1	(見込)		5.0	100.0	1.0	5.0	100	1.0	4.0	220	3.0	4-5	370.0	2.0	4-5	160	2.0	5-6	100	1.0	4-6	240	5.0	5=>4	400.0	2.0	4-5-6	200.0	1.0	5=>4=>6	520.0	2.0	523416	523416	534261	5,(3,4),6,1,2								
201454011202	ダ	右	1300	晴	不良	16:40	C2ー7		2014-1-12	14	高知	1	(見込)		2.0	140.0	1.0	2.0	100	2.0	1.0	100	1.0	1-2	110.0	1.0	1-2	100	1.0	2-3	250	3.0	1-3	290	5.0	2=>1	150.0	1.0	1-2-3	340.0	2.0	2=>1=>3	520.0	2.0	3,6,2,5,(4,1),8,7	23651874	2,3,6,1,5,8,(4,7)	21365784			3.0	160.0	4.0			
201454011203	ダ	右	1400	晴	不良	17:15	ベラトリックス特別 		2014-1-12	14	高知	1	牝(別定)		7.0	1180.0	4.0	7.0	240	5.0	5.0	700	7.0	5-7	8730.0	19.0	5-7	1,790	17.0	1-7	440	4.0	1-5	1,400	16.0	7=>5	21760.0	40.0	1-5-7	8170.0	24.0	7=>5=>1	91340.0	194.0	1,2,11,(8,10),6,9,3,(5,7),4	1,(2,11,10),8,6,9,7,5,3,4	1,(11,10),2,7,(8,6),(5,9),3,4	7,1,(11,10),2,5,6,8,9,3,4			1.0	110.0	1.0	5-6	7480.0	14.0
201454011901	ダ	右	1300	晴	重	15:55	C3ー13		2014-1-19	14	高知	4	(見込)		5.0	150.0	1.0	5.0	100	2.0	4.0	100	1.0	4-5	110.0	1.0	4-5	100	1.0	3-5	240	5.0	3-4	230	4.0	5=>4	150.0	1.0	3-4-5	350.0	2.0	5=>4=>3	800.0	4.0	56482731	56428371	5,6,4,2,8,3,(1,7)	54623871			3.0	130.0	3.0			
201454011902	ダ	右	1300	晴	重	16:30	佐々原藍子誕生日特別		2014-1-19	14	高知	4	(見込)		8.0	10280.0	9.0	8.0	1,040	7.0	7.0	130	2.0	7-8	7310.0	13.0	7-8	1,710	14.0	5-8	1,500	13.0	5-7	140	1.0	8=>7	50470.0	42.0	5-7-8	5660.0	15.0	8=>7=>5	104970.0	144.0	9,3,6,(5,7),(4,8),2,1	9,5,7,3,(6,8),4-2,1	9,7,(5,8),3,(4,6),2-1	8,(5,9),7,3,4,2,6=1			5.0	140.0	3.0	7-8	2180.0	11.0
201454011903	ダ	右	1300	晴	重	17:05	道の駅美良布特別		2014-1-19	14	高知	4	(馬齢)		4.0	500.0	3.0	4.0	140	4.0	2.0	110	1.0	2-4	390.0	2.0	2-4	170	3.0	4-7	250	5.0	2-7	170	2.0	4=>2	990.0	5.0	2-4-7	1020.0	3.0	4=>2=>7	5030.0	13.0	2,1,5,(7,8),4,3,6	2,1,(4,5,7),8,3,6	2,(1,4),(5,7),8,3,6	41275386			7.0	140.0	3.0			
201454011904	ダ	右	1300	晴	重	17:40	3歳ー2		2014-1-19	14	高知	4	(馬齢)		6.0	120.0	1.0	6.0	100	1.0	4.0	200	5.0	4-6	600.0	3.0	4-6	240	3.0	5-6	210	2.0	4-5	450	6.0	6=>4	790.0	3.0	4-5-6	810.0	3.0	6=>4=>5	1870.0	6.0	(1,6),8,(2,4),5,7,3	(1,6),8,4,2,5,3,7	6,(2,4),8,1,5,3,7	6,4,2,5,8,3,(1,7)			5.0	130.0	3.0			
201454011905	ダ	右	1400	晴	重	18:15	大高坂賞	G	2014-1-19	14	高知	4	(定量)		8.0	100.0	1.0	8.0	100	1.0	10.0	170	3.0	8-10	350.0	2.0	8-10	190	2.0	8-9	720	7.0	9-10	2,920	22.0	8=>10	330.0	2.0	8-9-10	2220.0	7.0	8=>10=>9	3960.0	10.0	5,8,3,(1,4,10),9,11,6,7,2	5834101911672	5,8,(3,4),10,1,(9,7),6,11,2	8,5,10,3,9,(6,4),7,1,2,11			9.0	720.0	10.0	7-8	270.0	2.0
201454011906	ダ	右	1300	晴	重	18:50	3歳ー1		2014-1-19	14	高知	4	(馬齢)		6.0	220.0	1.0	6.0	140	1.0	1.0	290	6.0	1-6	4170.0	11.0	1-6	1,070	10.0	3-6	1,820	16.0	1-3	4,820	24.0	6=>1	8070.0	20.0	1-3-6	24600.0	34.0	6=>1=>3	98130.0	150.0	3,7,(1,2,8),(4,6),5	3,7,1,8,(2,5),(4,6)	3,(7,6),(1,8),4,5,2	6,3,4,1,7,5,(8,2)			3.0	510.0	7.0			
201454011907	ダ	右	1300	晴	重	19:20	C3ー11		2014-1-19	14	高知	4	(見込)		5.0	580.0	2.0	5.0	110	2.0	3.0	140	4.0	3-5	2740.0	7.0	3-5	330	5.0	5-9	200	3.0	3-9	190	2.0	5=>3	9560.0	20.0	3-5-9	510.0	2.0	5=>3=>9	12050.0	29.0	5,8,9,1,(2,6,7),(3,4)	589127634	5,8,9,(1,7),(2,6),3,4	591378264			9.0	100.0	1.0	3-5	3410.0	8.0
