着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		2	---	3	000a011fde	セ	6			57	119.0	0.0			00nan	00nan	00nan	0.0	2014M0a00110
2		7	---	4	000a012601	牡	5			57	119.3				5376.0	00nan	00nan	0.0	2014M0a00110
3		1	---	1	000a011fe2	セ	6			57	119.5				5509.0	00nan	00nan	0.0	2014M0a00110
4		3	---	2	2009101682	牡	5			57	119.9				700.0	00nan	00nan	0.0	2014M0a00110
5		5	---	4	000a012165	セ	7			57	120.1				5374.0	00nan	00nan	0.0	2014M0a00110
6		12	---	8	000a01260e	牡	4			57	120.1				5266.0	00nan	00nan	0.0	2014M0a00110
7		6	---	7	000a012613	セ	8			57	120.1				895.0	00nan	00nan	0.0	2014M0a00110
8		8	---	11	000a012618	牡	4			57	120.5				00nan	00nan	00nan	0.0	2014M0a00110
9		4	---	8	000a01261a	セ	5			57	120.7				00nan	00nan	00nan	0.0	2014M0a00110
10		10	---	12	000a01261c	セ	6			57	121.1				00nan	00nan	00nan	0.0	2014M0a00110
11		11	---	10	000a01261e	セ	5			57	121.4				5454.0	00nan	00nan	0.0	2014M0a00110
12		9	---	6	000a012620	セ	5			57	121.5				00nan	00nan	00nan	0.0	2014M0a00110
