	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201535050301	ダ	左	1200	晴	良	11:30	C2十三組		2015-5-3	1	盛岡	2			2.0	420.0	2.0	2.0	240	3.0	4.0	270	4.0	2-4	1320.0	6.0	2-4	400	6.0	1-2	190	2.0	1-4	310	5.0	2=>4	1920.0	10.0	1-2-4	1120.0	5.0	2=>4=>1	4000.0	19.0			(2,3),1,(4,6),5	234165.0								
201535050302	ダ	左	1200	晴	良	12:00	C2十二組		2015-5-3	1	盛岡	2			5.0	660.0	4.0	5.0	240	4.0	6.0	110	1.0	5-6	480.0	3.0	5-6	140	1.0	3-5	440	8.0	3-6	180	3.0	5=>6	1270.0	6.0	3-5-6	620.0	3.0	5=>6=>3	3370.0	13.0			5,6,4,(3,2),1	564321.0								
201535050303	ダ	左	1200	晴	良	12:35	C2十一組		2015-5-3	1	盛岡	2			1.0	510.0	2.0	1.0	250	3.0	3.0	160	1.0	1-3	260.0	1.0	1-3	120	1.0	1-6	300	6.0	3-6	180	2.0	1=>3	720.0	3.0	1-3-6	520.0	2.0	1=>3=>6	2260.0	8.0			1637254.0	1637254.0								
201535050304	ダ	左	1200	晴	良	13:10	C2十組		2015-5-3	1	盛岡	2			2.0	200.0	1.0	2.0	120	1.0	3.0	190	3.0	2-3	320.0	1.0	2-3	160	1.0	1-2	240	3.0	1-3	370	8.0	2=>3	560.0	1.0	1-2-3	520.0	3.0	2=>3=>1	1670.0	3.0			2671354.0	2135674.0								
201535050305	ダ	左	1400	晴	良	13:45	C2九組		2015-5-3	1	盛岡	2			6.0	450.0	4.0	6.0	280	4.0	5.0	110	1.0	5-6	710.0	4.0	5-6	260	6.0	4-6	240	4.0	4-5	150	1.0	6=>5	1680.0	9.0	4-5-6	460.0	2.0	6=>5=>4	3000.0	11.0			6754312	6,5,7,1,(3,4),2								
201535050306	ダ	左	1400	晴	良	14:20	C2八組		2015-5-3	1	盛岡	2			2.0	280.0	1.0	2.0	120	1.0	5.0	220	3.0	2-5	410.0	1.0	2-5	190	1.0	2-6	240	3.0	5-6	230	2.0	2=>5	730.0	1.0	2-5-6	490.0	1.0	2=>5=>6	1700.0	1.0			5123467.0	5126374.0								
201535050307	ダ	左	1400	晴	良	14:55	C2七組		2015-5-3	1	盛岡	2			4.0	130.0	1.0	4.0	100	1.0	3.0	410	4.0	3-4	940.0	4.0	3-4	230	4.0	4-5	130	1.0	3-5	330	6.0	4=>3	1240.0	5.0	3-4-5	550.0	3.0	4=>3=>5	2600.0	8.0			3475612.0	3457612.0								
201535050308	ダ	左	1400	曇	良	15:30	花菜好きカーネーショ		2015-5-3	1	盛岡	2			6.0	580.0	3.0	6.0	250	2.0	1.0	710	5.0	1-6	1500.0	7.0	1-6	400	6.0	6-7	910	12.0	1-7	860	11.0	6=>1	2360.0	10.0	1-6-7	5040.0	16.0	6=>1=>7	18620.0	49.0			6312574	6,(3,5),1,2,7,4								
201535050309	ダ	左	1600	曇	良	16:10	新食感!岩手・盛岡純		2015-5-3	1	盛岡	2			5.0	140.0	1.0	5.0	140	1.0	1.0	520	4.0	1-5	810.0	3.0	1-5	310	4.0	4-5	130	1.0	1-4	420	8.0	5=>1	740.0	3.0	1-4-5	610.0	2.0	5=>1=>4	2440.0	8.0			135462	1,(3,5),4,6,2								
201535050310	ダ	左	1800	曇	良	16:50	やまびこ賞	G	2015-5-3	1	盛岡	2	(別定)		5.0	120.0	1.0	5.0	100	1.0	3.0	150	3.0	3-5	290.0	2.0	3-5	130	2.0	5-7	120	1.0	3-7	190	3.0	5=>3	310.0	2.0	3-5-7	200.0	1.0	5=>3=>7	510.0	2.0	5726134.0	5723614.0	5,7,2,3,(1,6),4	5732164								
