着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	11	41.8	8.0	2013101568	牡	3	474.0	-9.0	56	91.4	0	1-1-1-1	40.0	05348	a01fd	x018ba	140.0	201642010601
2	1	1	6.7	3.0	2013100508	牡	3	452.0	-6.0	56	91.4	アタマ	6-5-2-2	40.0	05342	a02c8	x07366	42.0	201642010601
3	5	6	190.8	12.0	2013103437	牝	3	459.0	-4.0	54	91.9	2.1/2	3-3-4-3	40.4	05549	a02c7	x03c4d	23.8	201642010601
4	7	9	10.6	4.0	2013100517	牝	3	476.0	-1.0	54	92.0	1/2	8-8-5-5	40.0	05540	a0179	359030	18.2	201642010601
5	2	2	129.5	9.0	2013200001	牝	3	440.0	-3.0	54	92.1	1/2	9-9-11-9	39.5	05573	a01fd	x00278	14.0	201642010601
6	6	8	1.9	1.0	2013101853	牝	3	463.0	0.0	54	92.4	1.1/2	5-7-6-6	40.2	a0188	a01fd	x08e1b	0.0	201642010601
7	7	10	15.0	5.0	2013100006	牝	3	440.0	-12.0	54	92.4	アタマ	10-11-10-11	39.8	00424	05410	x024ba	0.0	201642010601
8	5	5	26.0	7.0	2013106231	牡	3	426.0	-3.0	56	92.7	1.1/2	11-10-7-8	40.3	a021b	a01fd	x08e1b	0.0	201642010601
9	6	7	143.1	10.0	2013102144	牡	3	471.0	7.0	56	92.8	1/2	7-6-9-10	40.4	05286	a02d5	x0041b	0.0	201642010601
10	8	12	3.4	2.0	2013100397	牝	3	456.0	-1.0	54	93.0	3/4	2-2-3-4	41.6	05352	05315	x0751c	0.0	201642010601
11	3	3	18.5	6.0	2013102616	牡	3	489.0	2.0	56	93.3	1.1/2	4-4-8-7	41.3	a017d	05651	x059c6	0.0	201642010601
12	4	4	181.3	11.0	2013106431	牝	3	377.0	3.0	54	94.2	5	12-12-12-12	40.8	05000	05656	023008	0.0	201642010601
1	6	7	1.7	1.0	2012100441	セ	4	448.0	-4.0	56	98.6	0	3-4-5-5	39.1	05199	05609	848030	80.0	201642010602
2	8	12	4.7	2.0	2012102229	牝	4	484.0	8.0	54	98.7	3/4	6-5-2-2	39.3	05342	a01fe	547008	24.0	201642010602
3	3	3	12.2	4.0	2012103645	牝	4	443.0	2.0	54	98.8	1/2	11-10-7-3	38.8	05455	05591	x03c9e	13.6	201642010602
4	2	2	15.3	5.0	2012105392	牝	4	483.0	-1.0	54	99.2	2	1-1-1-1	39.9	05269	a018c	302800	10.4	201642010602
5	1	1	46.7	8.0	2012102449	牡	4	487.0	1.0	56	99.3	1/2	12-12-10-7	38.6	a017e	a0253	x06e26	8.0	201642010602
6	7	9	40.0	7.0	2012105147	牝	4	445.0	-1.0	54	99.7	2	9-8-3-4	40.3	05348	a02d5	x04442	0.0	201642010602
