着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		1	---	1	000a01322d	牡	4			62.6	180.99	0			a0321	05518	00nan	0.0	2016B2a01104
2		6	---	2	000a01356d	牝	4			57.0		4			00nan	00[外]	00nan	0.0	2016B2a01104
3		4	---	5	000a01356e	セ	6			59.5		2.1/2			00nan	00[外]	00nan	0.0	2016B2a01104
4		2	---	4	000a008647	セ	4			59.5		2			05497	00[外]	00nan	0.0	2016B2a01104
5		5	---	3	000a013464	牝	5			58.5		9			05531	a0316	00nan	0.0	2016B2a01104
1		8	---	3	000a013230	牡	3			57.0	128.9	0			05271	a02f9	00nan	0.0	2016B2a01407
2		7	---	3	000a012c9d	牝	4			59.0		3/4			00875	05518	00nan	0.0	2016B2a01407
3		13	---	2	000a012ed3	牝	3			56.0					05366	05518	00nan	0.0	2016B2a01407
4		3	---	5	000a012bc0	牡	4			60.5	129.8	1.3/4			05538	00987	00nan	0.0	2016B2a01407
5		2	---	8	000a01332b	牡	4			60.5					a0320	a0312	00nan	0.0	2016B2a01407
6		12	---	11	000a012ed8	牡	3			57.0					05515	05692	00nan	0.0	2016B2a01407
7		1	---	6	000a0128f6	牡	4			60.5	130.0				05470	05518	00nan	0.0	2016B2a01407
8		10	---	1	000a01318d	牡	3			57.0					05039	00812	00nan	0.0	2016B2a01407
9		11	---	7	000a01327c	牡	3			57.0		4			05495	a030d	00nan	0.0	2016B2a01407
10		4	---	8	000a0128f8	牡	4			60.5					a0321	05518	00nan	0.0	2016B2a01407
11		5	---	8	000a012afa	牡	4			60.5					05531	a031f	00nan	0.0	2016B2a01407
12		9	---	12	000a01335f	牡	3			57.0					a0329	00812	00nan	0.0	2016B2a01407
1		3	---	1	000a01318d	牡	3			58.5	139.11	0			05039	00812	00nan	0.0	2016B2a00604
2		4	---	4	2013190002	牡	3			58.5	139.3	1.1/4			05470	05518	00nan	0.0	2016B2a00604
3		1	---	4	000a01344d	牡	3			58.5		7			a02e9	05518	00nan	0.0	2016B2a00604
4		2	---	2	000a0134da	牡	3			58.5		2.1/2			05366	05518	00nan	0.0	2016B2a00604
5		5	---	3	000a012ed8	牡	3			58.5		3			05515	05692	00nan	0.0	2016B2a00604
6		7	---	6	000a0134dc	牡	3			58.5		大			a02e8	05692	00nan	0.0	2016B2a00604
7		6	---	7	000a0134de	牡	3			58.5		大			05531	00[外]	00nan	0.0	2016B2a00604
1		4	---	4	000a012ed8	牡	3			58.5	127.7	0			05515	05692	00nan	0.0	2016B2a00804
2		6	---	2	000a01319c	牡	3			58.5		1.1/4			05366	05518	00nan	0.0	2016B2a00804
3		2	---	1	2013190002	牡	3			58.5	128.0	1/2			a02e9	05518	00nan	0.0	2016B2a00804
4		1	---	5	000a01344d	牡	3			58.5		アタマ			05470	05518	00nan	0.0	2016B2a00804
5		5	---	8	000a01345d	牡	3			58.5		3/4			a02e8	05692	00nan	0.0	2016B2a00804
6		3	---	7	000a01345f	牡	3			58.5		2			a0321	05518	00nan	0.0	2016B2a00804
7		7	---	3	000a013462	牡	3			58.5		2.1/2			05039	00812	00nan	0.0	2016B2a00804
8		8	---	5	000a013404	牡	3			58.5		1.3/4			05471	05634	00nan	0.0	2016B2a00804
1		3	---	1	000a01318d	牡	3			57.0	158.05	0			05039	00812	00nan	0.0	2016B2a00905
2		4	---	2	2013190002	牡	3			57.0	158.1	1/2			05366	05518	00nan	0.0	2016B2a00905
3		9	---	6	000a013438	牡	3			57.0		3.1/2			a02e8	05692	00nan	0.0	2016B2a00905
4		7	---	3	000a013199	牡	3			57.0		アタマ			a02a9	05559	00nan	0.0	2016B2a00905
5		6	---	5	000a013191	牡	3			57.0		2.1/2			a029d	05518	00nan	0.0	2016B2a00905
6		5	---	4	000a012ed8	牡	3			57.0		1.3/4			05515	05692	00nan	0.0	2016B2a00905
7		8	---	6	000a01319c	牡	3			57.0		2			05470	05518	00nan	0.0	2016B2a00905
8		1	---	8	000a013439	牡	3			57.0		2.1/2			a0321	05518	00nan	0.0	2016B2a00905
9		2	---	8	000a01335f	牡	3			57.0		大			a0329	00812	00nan	0.0	2016B2a00905
2		5	---	3	2014190001	牡	2			59.5	87.1	0			a02e9	05518	00nan	0.0	2016B2a01501
1		1	---	1	2014190001	牡	2			58.5	105.0	0			05366	オブライエン	00nan	0.0	2016B2a02104
2		7	---	4	000a0137ba	牡	2			58.5		3/4			a0321	オブライエン	00nan	0.0	2016B2a02104
3		4	---	2	Exemplar	牡	2			58.5		3/4			0ヘファー	オブライエン	00nan	0.0	2016B2a02104
4		2	---	6	Eagle Spirit	牡	2			58.5		大			000リー	J.オブライ	00nan	0.0	2016B2a02104
5		6	---	3	Latin Beat	牡	2			58.5		4			0オドノヒ	オブライエン	00nan	0.0	2016B2a02104
6		3	---	5	Escape Clause	牡	2			58.5		7			0フォーリ	ハリントン	00nan	0.0	2016B2a02104
1		3	---	1	2014190001	牡	2			58.5	96.4	0			a02e9	オブライエン	00nan	0.0	2016B2a02204
2		1	---	4	Boyfriend Brian	牡	2			58.5		2			00キーン	0リオンズ	00nan	0.0	2016B2a02204
3		4	---	5	Intern	牡	2			58.5		3.1/2			0ローダン	ワッシュマン	00nan	0.0	2016B2a02204
4		7	---	6	Elusive Beauty	牝	2			56.0		3/4			0フォーリ	0コンドン	00nan	0.0	2016B2a02204
5		2	---	3	Branch Line	牡	2			58.5		1			000リー	スラットリー	00nan	0.0	2016B2a02204
6		5	---	2	Right Honourable	牡	2			58.5		クビ			0スマレン	0ウェルド	00nan	0.0	2016B2a02204
7		6	---	7	Elizabeth Browning	牝	2			56.0		大			0オドノヒ	オブライエン	00nan	0.0	2016B2a02204
