着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		4	---		000a013fb5	牡	3.0			57.5		0.0			Eduardo	Elias Mi	00nan	0.0	2016C2a01307
2		5	---		ドガ	セ	3.0			56.5					Adrie de	Markus K	00nan	0.0	2016C2a01307
3		1	---		000a0020e7	牡	5.0			58.0					Stephen	Mario Ho	00nan	0.0	2016C2a01307
4		8	---		Kenrivash	牝	3.0			55.0					Norman R	Tamara R	00nan	0.0	2016C2a01307
5		6	---		Nymeria	牝	4.0			56.5					Ronan Th	Waldemar	00nan	0.0	2016C2a01307
6		2	---		Sussudio					58.0					Filip Mi	00nan	00nan	0.0	2016C2a01307
7		7	---		Dhaba	牝	3.0			55.0					Andreas	Markus K	00nan	0.0	2016C2a01307
8		3	---		Wildpark	セ	5.0			58.0					Ian Ferg	D Moser	00nan	0.0	2016C2a01307
1		6	---		000a013fb5	牡	3			55.5		0.0			Eduardo	Elias Mi	00nan	0.0	2016C2a01408
2		1	---		Drummer	セ	4			58.0					Andrasch	Neil Dry	00nan	0.0	2016C2a01408
3		5	---		El Loco	牡	3			55.5					Adrie de	Doug Wat	00nan	0.0	2016C2a01408
4		7	---		Tickle Me Blue	牝	3			54.5					Martin S	Markus K	00nan	0.0	2016C2a01408
5		4	---		Nymeria	牝	4			56.5					Andreas	Waldemar	00nan	0.0	2016C2a01408
6		2	---		Gereon	セ	8			58.0					Michael	C Zschac	00nan	0.0	2016C2a01408
7		3	---		000a0020e7	牡	5			58.0					Filip Mi	Mario Ho	00nan	0.0	2016C2a01408
