着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		11	---	5	000a013335	牝	3			54.5	117.75	0			00875	00840	00nan	0.0	2016F3110605
2		8	---	1	000a0135b6	牝	4			56.0		ハナ			a034f	a0328	00nan	0.0	2016F3110605
3		4	---	4	000a013600	牝	4			56.0		1			a0313	00878	00nan	0.0	2016F3110605
4		3	---	2	000a013242	牝	3			54.5		3/4			05366	05518	00nan	0.0	2016F3110605
5		6	---	13	000a01360a	牝	4			56.0		1.1/2			05008	a0337	00nan	0.0	2016F3110605
6		9	---	10	000a013603	牝	6			56.0		1.1/4			05393	a0335	00nan	0.0	2016F3110605
7		1	---	6	000a0135ce	牝	4			56.0		ハナ			a035b	a0328	00nan	0.0	2016F3110605
8		2	---	8	000a0135d6	牝	3			54.5		1.1/4			05415	a0332	00nan	0.0	2016F3110605
9		5	---	9	000a0135d5	牝	5			56.0		1/2			a0361	a0333	00nan	0.0	2016F3110605
10		7	---	7	000a0135d8	牝	4			56.0		3/4			a02ba	a0334	00nan	0.0	2016F3110605
11		13	---	3	2011104201	牝	4			56.0		1/2			00666	01086	8803.0	0.0	2016F3110605
12		10	---	11	000a013606	牝	4			56.0		1.1/4			a0363	a0330	00nan	0.0	2016F3110605
13		12	---	12	000a0133dd	牝	3			54.5		1.3/4			a02e9	05518	00nan	0.0	2016F3110605
