着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		10	---	2.0	2011190007	セ	4			57.0	121.32	0			5529	05576	00nan	0.0	2016G0a00808
2		5	---	12.0	000a011fe2	セ	8			57.0	122.0	4			5510	00[外]	00nan	0.0	2016G0a00808
3		1	---	8.0	000a012391	セ	7			57.0	122.2	1.1/4			5494	00[外]	00nan	0.0	2016G0a00808
4		3	---	1.0	2010104298	牡	6			57.0	122.3	クビ			5509	01071	00nan	0.0	2016G0a00808
5		4	---	4.0	000a0127c7	セ	6			57.0	122.3	クビ			5528	00[外]	00nan	0.0	2016G0a00808
6		12	---	6.0	2011104201	牝	5			55.5	122.5	1.1/4			666	01086	00nan	0.0	2016G0a00808
7		6	---	9.0	000a012e35	牡	5			57.0	122.6	1			5442	00[外]	00nan	0.0	2016G0a00808
8		2	---	3.0	000a0128f6	牡	4			57.0	122.9	2			5366	05518	00nan	0.0	2016G0a00808
9		9	---	10.0	000a012ef6	牡	4			57.0	123.2	1.1/4			5135	00[外]	00nan	0.0	2016G0a00808
10		13	---	11.0	000a01306e	牝	5			55.5	123.9	4			5585	00[外]	00nan	0.0	2016G0a00808
11		11	---	7.0	000a013067	セ	5			57.0	124.3	2.1/2			5533	00[外]	00nan	0.0	2016G0a00808
12		7	---	5.0	2012104668	牡	4			57.0	124.3	クビ			5454	01070	00nan	0.0	2016G0a00808
13		8	---	13.0	000a0127d0	セ	6			57.0	124.8	3			5306	00[外]	00nan	0.0	2016G0a00808
1		4	---	2.0	2012190005	セ	4			56.5	69.2	0.0			05509	00サイズ	00nan	0.0	2016G0a02809
8		11	---	5.0	000a013b25	セ	4			54.0					a02a9	00シャム	00nan	0.0	2016G0a02809
1		1	---	1.0	Chautauqua	セ	5			57.0		0			00ベリー	0ホウクス	00nan	0.0	2016G0a00907
2		7	---	2.0	2011190008	セ	5			57.0	68.7	クビ			05306	00[外]	00nan	0.0	2016G0a00907
3		13	---	12.0	000a0136ad	セ	5			57.0	68.9	1.1/4			05494	00[外]	00nan	0.0	2016G0a00907
4		3	---	4.0	000a0126b3	セ	7			57.0	69.0	3/4			00432	00[外]	00nan	0.0	2016G0a00907
