	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
2016G0a00808	芝	右	2000	曇	稍重		QE2世C	G1	2016-4-24	0	香港	0																																												
2016G0a02809	芝	右	1200		良		パナショップ30周年 		2016-11-12	0	香港	0																																												
2016G0a00907	芝	右	1200		良		チェアマンズスプリン	G1	2016-5-1	0	香港	0																																												
2016G0a00a03	芝	右	1200		良		スプリントC	G2	2016-4-3	0	香港	0																																												
2016G0a00c04	芝	右	1200		良		シャティンヴァーズ	G3	2016-5-22	0	香港	0																																												
2016G0a00c08	芝	右	2400		良		香港チャンピオンズ&	G1	2016-5-22	0	香港	0																																												
2016G0a00e07	芝	右	1200		良		プレミアボウル	G2	2016-10-23	0	香港	0																																												
2016G0a00e09	芝	右	1600		良		シャティンT	G2	2016-10-23	0	香港	0																																												
2016G0a00f08	芝	右	1800		良		ササレディスパース	G3	2016-11-6	0	香港	0																																												
2016G0a01003	芝	右	1800		良		プレミアプレート	G3	2016-6-19	0	香港	0																																												
2016G0a01108	芝	右	1600		良		ライオンロックT		2016-5-29	0	香港	0																																												
2016G0a01210	芝	右	1400		良		セレブレーションC	G3	2016-10-1	0	香港	0																																												
2016G0a01310	芝	右	1600		良		香港クラシックマイル	G1	2016-1-24	0	香港	0																																												
2016G0a01407	芝	右	1200		良		郷議局90周年C		2016-2-14	0	香港	0																																												
2016G0a01a01	芝	右	1200		良		ヴェンジェンスオブレ		2016-3-20	0	香港	0																																												
2016G0a01b03	芝	右	1200		良		チーフエグゼクティ		2016-9-3	0	香港	0																																												
2016G0a01d02	芝	右	1400		稍重		スポーツフォーオール		2016-4-16	0	香港	0																																												
2016G0a01e07	芝	右	1800		良		香港クラシックC	G1	2016-2-21	0	香港	0																																												
2016G0a02808	芝	右	1400		良		パナソニックカップ 		2016-11-12	0	香港	0																																												
