	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201748010601	ダ	右	800	晴	良	10:35	サラ3歳7組		2017-1-6	21	名古屋	4	(定量)		5	150	1	5	120	1	7	140	3	8.0	370.0	5.0	5-7	360	2	5-7	220	3	5-8	610	7	7-8	950	10	5=>7	550	2	5-7-8	1640	5	5=>7=>8	3130	11				57814263.0					
201748010602	ダ	右	1400	晴	良	11:05	サラ3歳6組		2017-1-6	21	名古屋	4	(定量)		1	280	1	1	110	1	4	190	5	7.0	120.0	2.0	1-4	1090	7	1-4	350	7	1-7	160	1	4-7	320	5	1=>4	1980	10	1-4-7	930	4	1=>4=>7	5000	21		17462358.0	1,7,4,6,2,3-5,8	1,(4,7),6,2-3-5-8					
201748010603	ダ	右	1400	晴	良	11:35	2017年も金シャチ		2017-1-6	21	名古屋	4	(定量)		7	160	1	7	100	1	8	110	3	5.0	100.0	2.0	7-8	500	2	7-8	170	2	5-7	130	1	5-8	200	3	7=>8	620	3	5-7-8	300	1	7=>8=>5	1900	4		7,8,9,4,(1,3,5),2,6	7,8,(5,9),4,1,3,2,6	7,8,5,1,2,(6,9),4,3			7-8	410.0	2.0
201748010604	ダ	右	1400	晴	良	12:05	サラC4組		2017-1-6	21	名古屋	4	(定量)		8	160	1	8	100	1	9	110	3	4.0	100.0	2.0	8-9	390	2	8-9	110	2	4-8	100	1	4-9	140	3	8=>9	630	3	4-8-9	140	1	8=>9=>4	760	3		489127563	4,8,9,(1,7),2,5,6,3	8,4,9,(1,7),5,6,2,3			8-8	370.0	2.0
201748010605	ダ	右	1400	晴	良	12:35	サラC3組		2017-1-6	21	名古屋	4	(定量)		9	170	1	9	100	1	6	120	3	1.0	120.0	2.0	6-9	340	1	6-9	160	2	1-9	250	5	1-6	200	3	9=>6	450	1	1-6-9	370	1	9=>6=>1	1190	2		917684352	9,1,7,6,8,3,4,5-2	9,(1,6),7,8,3,4,5,2			6-8	310.0	1.0
201748010606	ダ	右	1400	晴	良	13:05	サラC2組		2017-1-6	21	名古屋	4	(定量)		1	120	1	1	110	1	6	130	3	2.0	130.0	4.0	1-6	650	3	1-6	250	3	1-2	210	2	2-6	540	7	1=>6	670	4	1-2-6	1330	3	1=>6=>2	2560	9		247168935	2,4,(1,7),6,(8,9),3,5	216795348			1-6	660.0	3.0
201748010607	ダ	右	1600	晴	良	13:35	サラB10組		2017-1-6	21	名古屋	4	(定量)		5	170	1	5	150	1	4	170	2	10.0	740.0	8.0	4-5	240	1	4-5	150	1	5-10	650	9	4-10	700	10	5=>4	450	2	4-5-10	1060	4	5=>4=>10	2360	7		5,4,7,9,(3,6,8),10,2,1	5,4,7,9,3,(6,8,10),2,1	5,4,3,7,(6,8,10),9,2,1			4-5	220.0	1.0
201748010608	ダ	右	1400	晴	良	14:05	14日から開催!第1		2017-1-6	21	名古屋	4	(定量)		9	4290	6	9	610	7	5	800	8	1.0	320.0	4.0	5-9	56760	34	5-9	4,810	25	1-9	2,020	16	1-5	4,020	23	9=>5	107310	58	1-5-9	57150	64	9=>5=>1	755120	362		2,4,10,8,1-9,6,5,7,3	2,4,10,1,8,(9,6),5,7,3	2,4,5,1,10,(9,3),8,7,6			5-8	19940.0	20.0
201748010609	ダ	右	1600	晴	良	14:35	サラB8組		2017-1-6	21	名古屋	4	(定量)		10	130	1	10	100	1	5	140	3	3.0	120.0	2.0	5-10	300	1	5-10	120	1	3-10	340	4	3-5	490	6	10=>5	410	2	3-5-10	660	2	10=>5=>3	1570	3		3108511721694	3,10,8,(5,7),11,(2,1),6,9,4	(3,10),5,11,(2,7),6,8,1,9,4			5-8	220.0	1.0
201748010610	ダ	右	1400	晴	良	15:10	宝船特別 		2017-1-6	21	名古屋	4	(定量)		5	330	2	5	150	2	3	370	7	4.0	160.0	3.0	3-5	2840	10	3-5	650	10	4-5	310	3	3-4	1,290	14	5=>3	4210	14	3-4-5	2820	12	5=>3=>4	15690	46		2831074659	2,8,3,10,(4,7),5,6,9	2310845769			3-5	2630.0	9.0
201748011701	ダ	右	1400	晴	重	11:30	サラC19組		2017-1-17	22	名古屋	2	(定量)		6	270	1	6	120	2	7	100	1	5.0	130.0	3.0	6-7	480	3	6-7	190	3	5-6	180	1	5-7	180	2	6=>7	910	3	5-6-7	370	1	6=>7=>5	1730	1		7,8,6,5,2,(3,4)-1	7,8,6,5,2,(3,4)-1	76528341					
201748011702	ダ	右	1400	晴	重	12:00	サラC18組		2017-1-17	22	名古屋	2	(定量)		6	180	1	6	120	3	5	100	1	8.0	140.0	4.0	5-6	260	1	5-6	120	1	6-8	250	5	5-8	230	4	6=>5	590	1	5-6-8	560	2	6=>5=>8	1580	5		65481723	65841723	6,5,8,4-1,7,2,3					
201748011703	ダ	右	1400	晴	重	12:30	サラC17組		2017-1-17	22	名古屋	2	(定量)		4	140	1	4	100	1	6	100	2	7.0	130.0	3.0	4-6	170	1	4-6	130	1	4-7	150	2	6-7	150	3	4=>6	220	1	4-6-7	150	1	4=>6=>7	420	1		6,4,7,2,(1,5,8),3,9	6,4,7,2,5,(1,8),3-9	(6,4),7,5,3,8,2,1,9			4-6	200.0	1.0
201748011704	ダ	右	1400	晴	重	13:00	サラC16組		2017-1-17	22	名古屋	2	(定量)		9	160	1	9	100	2	8	110	3	3.0	100.0	1.0	8-9	700	2	8-9	130	2	3-9	100	1	3-8	170	4	9=>8	900	3	3-8-9	240	1	9=>8=>3	1380	5		3,9,5,(1,8),2,4,6	3,9,(8,5),1,2,4,6	(3,9),8,5-1,2,4,6			8-8	760.0	2.0
201748011705	ダ	右	1600	晴	重	13:30	サラB4組		2017-1-17	22	名古屋	2	(定量)		1	120	1	1	100	1	8	150	2	5.0	290.0	6.0	1-8	430	3	1-8	240	3	1-5	600	7	5-8	1,950	16	1=>8	500	3	1-5-8	2170	9	1=>8=>5	5430	15		12857634	1,(2,8),5,7,6,4,3	18254763					
201748011706	ダ	右	1400	晴	重	14:00	3歳キング 		2017-1-17	22	名古屋	2	(定量)		6	260	2	6	160	2	5	170	3	2.0	250.0	5.0	5-6	500	2	5-6	240	2	2-6	460	8	2-5	640	10	6=>5	770	3	2-5-6	1130	6	6=>5=>2	3760	11		14827635	1,4,8,2,6,(7,5),3	(1,4,6),(2,8,5),3,7					
201748011707	ダ	右	1600	晴	重	14:30	あんちゃん完走記念		2017-1-17	22	名古屋	2	(定量)		8	130	1	8	100	1	9	150	3	7.0	160.0	4.0	8-9	190	1	8-9	130	1	7-8	260	4	7-9	270	5	8=>9	240	1	7-8-9	510	2	8=>9=>7	1010	2		893571426	8,9,7,(3,5),4,1,6,2	897345612			8-8	150.0	1.0
201748011708	ダ	右	1400	晴	重	15:00	たき火賞		2017-1-17	22	名古屋	2	(定量)		7	1040	4	7	150	3	3	110	1	8.0	200.0	4.0	3-7	690	3	3-7	430	6	7-8	840	8	3-8	280	2	7=>3	2610	9	3-7-8	890	3	7=>3=>8	7650	23		83467152.0	83476152.0	83741652.0					
201748013001	ダ	右	800	曇	重	11:15	サラC26組		2017-1-30	23	名古屋	1	(定量)		8	120	1	8	110	1	9	300	5	3.0	350.0	6.0	8-9	1180	4	8-9	410	4	3-8	680	8	3-9	4,800	21	8=>9	1900	5	3-8-9	5920	13	8=>9=>3	13670	29				83956147.0			8-8	1090.0	3.0
201748013002	ダ	右	1400	曇	重	11:45	サラC25組		2017-1-30	23	名古屋	1	(定量)		9	180	1	9	150	2	1	400	5	6.0	200.0	4.0	1-9	1290	5	1-9	460	7	6-9	280	3	1-6	760	11	9=>1	1470	6	1-6-9	1450	5	9=>1=>6	5890	19		968145327	968145372	9,(1,6),5,8,4,3=2			1-8	1170.0	5.0
201748013003	ダ	右	1400	曇	重	12:15	サラC24組		2017-1-30	23	名古屋	1	(定量)		7	190	1	7	100	1	9	110	2	1.0	120.0	3.0	7-9	170	1	7-9	120	1	1-7	180	2	1-9	180	3	7=>9	320	1	1-7-9	300	2	7=>9=>1	770	1		759462813	7,(5,9),4,1,2,6,3,8	7,9,5,4,1,2,(3,6,8)			7-8	210.0	1.0
201748013004	ダ	右	1400	曇	重	12:45	サラC23組		2017-1-30	23	名古屋	1	(定量)		5	470	3	5	120	3	8	100	1	9.0	240.0	4.0	5-8	400	2	5-8	200	2	5-9	560	6	8-9	230	4	5=>8	950	4	5-8-9	1140	3	5=>8=>9	4660	15		598246317.0	598426137.0	589461237.0			5-8	300.0	2.0
201748013005	ダ	右	1400	曇	重	13:15	サラC22組		2017-1-30	23	名古屋	1	(定量)		8	250	2	8	120	2	6	120	1	9.0	180.0	5.0	6-8	140	1	6-8	120	1	8-9	200	3	6-9	220	5	8=>6	390	1	6-8-9	400	2	8=>6=>9	1110	3		869254731	8,6,4,9,5,2,7,(3,1)	8,6,9,4,5,(2,7),1,3			6-8	150.0	1.0
201748013006	ダ	右	1400	曇	重	13:45	サラ3歳2組		2017-1-30	23	名古屋	1	(定量)		1	150	1	1	100	1	6	100	2				1-6	140	1	1-6	120	1	1-2	180	5	2-6	170	3	1=>6	200	1	1-2-6	280	2	1=>6=>2	510	2		1,6,4,2-3	1,6,4,2-3	1,6,2,4-3					
201748013007	ダ	右	1400	曇	重	14:15	コハクチョウ特別 		2017-1-30	23	名古屋	1	(定量)		6	150	1	6	130	1	5	140	2				5-6	140	1	5-6	100	1	6-7	190	2	5-7	200	3	6=>5	200	1	5-6-7	180	1	6=>5=>7	420	1		3465712	3465712	3,6,(4,5),(1,7,2)					
201748013008	ダ	右	1400	曇	重	14:50	豆まき特別		2017-1-30	23	名古屋	1	(定量)		3	170	1	3	100	1	7	100	3	8.0	100.0	2.0	3-7	270	1	3-7	120	1	3-8	160	2	7-8	170	3	3=>7	410	1	3-7-8	220	1	3=>7=>8	810	1		7,3,8,1,2,9-4,6,5	738129465	378129645			3-7	230.0	1.0
201748013009	ダ	右	1400	曇	重	15:25	ブランケット賞		2017-1-30	23	名古屋	1	(定量)		6	610	3	6	140	2	4	150	3				4-6	800	3	4-6	150	3	5-6	100	1	4-5	130	2	6=>4	2670	7	4-5-6	140	1	6=>4=>5	4070	12		6,4,5,3,(2,1)	645321	645231					
201748021501	ダ	右	1400	晴	稍重	11:20	サラ3歳5組		2017-2-15	24	名古屋	3	(定量)		8	1700	4	8	330	5	7	250	4	5.0	120.0	2.0	7-8	3720	9	7-8	920	12	5-8	590	8	5-7	340	4	8=>7	16900	27	5-7-8	4000	14	8=>7=>5	37510	87		18275634	(1,8,7),5,2,6,3,4	(8,7),1,5,2,6,3-4					
201748021502	ダ	右	1400	晴	稍重	11:50	サラ3歳4組		2017-2-15	24	名古屋	3	(定量)		5	130	1	5	100	1	9	120	2	7.0	130.0	3.0	5-9	360	2	5-9	160	2	5-7	120	1	7-9	250	4	5=>9	620	2	5-7-9	210	1	5=>9=>7	1420	4		598273164	598273164	5,9,7,(2,8),3,6,4,1			5-8	360.0	2.0
201748021503	ダ	右	1400	晴	稍重	12:20	サラC15組		2017-2-15	24	名古屋	3	(定量)		5	100	1	5	100	1	6	130	2	9.0	390.0	5.0	5-6	170	1	5-6	120	1	5-9	800	10	6-9	1,300	13	5=>6	170	1	5-6-9	1440	4	5=>6=>9	1920	7		54926831	5,4,9,6,2,8-1,3	5-4,9,6,8,2-3,1			5-6	180.0	1.0
201748021504	ダ	右	1400	晴	稍重	12:50	サラC14組		2017-2-15	24	名古屋	3	(定量)		8	390	2	8	150	3	6	130	2	9.0	160.0	4.0	6-8	400	1	6-8	250	3	8-9	490	8	6-9	320	4	8=>6	1290	3	6-8-9	1010	1	8=>6=>9	4500	8		169832754	1,6,9,8,(2,3),7,4,5	(1,6),9,8,2,(7,4),3,5			6-8	230.0	1.0
