	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201754111801	ダ	右	1300	曇	不良	14:50	ブロッコリーの土佐漬		2017-11-18	11	高知	3	(馬齢)		8.0	5520.0	6.0	8.0	250	6.0	7.0	120	2.0	3.0	100.0	1.0	7-8	1350.0	5.0	7-8	5340.0	10.0	7-8	660	11.0	3-8	680	12.0	3-7	160	1.0	8=>7	21950.0	30.0	3-7-8	1660.0	7.0	8=>7=>3	37670.0	74.0	5,7,8,1,3,9,6-4,2	5,7,8,1,3,9,6-4,2	(5,7),8,1,3,9-4,2,6	87319542		
201754120301	ダ	右	1300	晴	重	14:45	いごっそう特別		2017-12-3	12	高知	2	(馬齢)		7.0	310.0	2.0	7.0	100	1.0	5.0	180	4.0	2.0	100.0	2.0				5-7	1500.0	7.0	5-7	310	5.0	2-7	120	1.0	2-5	170	3.0	7=>5	2400.0	10.0	2-5-7	530.0	2.0	7=>5=>2	4560.0	15.0	34725168	34725168	3,(4,7),5,2,1,(6,8)	75263841		
201754121201	ダ	右	1300	曇	重	14:50	オリオン特別 		2017-12-12	12	高知	4	(馬齢)		8.0	100.0	1.0	8.0	100	1.0	3.0	130	3.0	2.0	230.0	5.0				3-8	180.0	1.0	3-8	120	1.0	2-8	270	4.0	2-3	720	9.0	8=>3	180.0	1.0	2-3-8	810.0	2.0	8=>3=>2	1440.0	4.0	18235674	18325674	8,1,3,5,2,6-7,4	83526174		
201754121901	ダ	右	1300	晴	稍重	14:55	カシオペア特別 		2017-12-19	13	高知	2	(馬齢)		11.0	150.0	1.0	11.0	100	1.0	6.0	110	2.0	10.0	130.0	3.0	5-8	240.0	1.0	6-11	240.0	1.0	6-11	120	1.0	10-11	150	2.0	6-10	250	4.0	11=>6	280.0	1.0	6-10-11	450.0	1.0	11=>6=>10	1190.0	1.0	5,11,(6,9,10),7,4,8,2,1,3,12	511106749281123	11,5,10,6-7-2,4,8,9-1,12,3	11,6,10,5,7,2,4,8-1,12,3,9		
201754122801	ダ	右	1300	晴	重	14:45	2歳ー2		2017-12-28	13	高知	4	(馬齢)		5.0	440.0	3.0	5.0	150	4.0	1.0	140	3.0	3.0	130.0	2.0	1-5	460.0	3.0	1-5	510.0	2.0	1-5	170	2.0	3-5	260	5.0	1-3	270	6.0	5=>1	1060.0	4.0	1-3-5	640.0	3.0	5=>1=>3	4390.0	18.0	169325748	169325748	163952874	165392847		
201754122802	ダ	右	1400	晴	重	15:20	C2ー9		2017-12-28	13	高知	4	(見込)		1.0	180.0	1.0	1.0	100	1.0	3.0	120	2.0							1-3	330.0	1.0	1-3	190	2.0	1-5	370	4.0	3-5	430	7.0	1=>3	480.0	2.0	1-3-5	1200.0	3.0	1=>3=>5	3210.0	10.0	2613547	2613547	2613547	1325674		
201754122803	ダ	右	1300	晴	重	15:55	C1ー7		2017-12-28	13	高知	4	(見込)		7.0	110.0	1.0	7.0	100	1.0	9.0	130	2.0	2.0	140.0	3.0	7-8	190.0	1.0	7-9	310.0	1.0	7-9	130	1.0	2-7	230	3.0	2-9	590	8.0	7=>9	350.0	1.0	2-7-9	960.0	3.0	7=>9=>2	1970.0	4.0	796428531	796482351	796428351	792634815		
201754122804	ダ	右	1300	晴	重	16:30	もとき君お誕生特別		2017-12-28	13	高知	4	(見込)		3.0	110.0	1.0	3.0	100	1.0	6.0	160	4.0	7.0	130.0	2.0	3-6	720.0	3.0	3-6	850.0	3.0	3-6	300	3.0	3-7	150	1.0	6-7	340	5.0	3=>6	770.0	3.0	3-6-7	740.0	2.0	3=>6=>7	2170.0	7.0	893764251	897362451	893762541	387629415		
201754122805	ダ	右	1300	晴	重	17:00	C1ー5		2017-12-28	13	高知	4	(見込)		5.0	130.0	1.0	5.0	110	1.0	8.0	140	3.0	3.0	200.0	5.0				5-8	350.0	2.0	5-8	190	3.0	3-5	370	5.0	3-8	940	12.0	5=>8	420.0	2.0	3-5-8	1320.0	5.0	5=>8=>3	2660.0	8.0	85671243	85671342	85617342	58137426		
201754122806	ダ	右	1300	晴	重	17:35	C1ー9		2017-12-28	13	高知	4	(見込)		8.0	1070.0	5.0	8.0	370	5.0	9.0	610	9.0	1.0	570.0	8.0	6-7	5270.0	17.0	8-9	9250.0	33.0	8-9	2,580	35.0	1-8	2,440	32.0	1-9	4,740	52.0	8=>9	16390.0	49.0	1-8-9	35560.0	122.0	8=>9=>1	198520.0	538.0	121210475911368	112210457391168	1,12,(4,2,10),5,7,3,9,11,6,8	112457109116382		
