着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		1	---	2	000a012ed7	牡	4			58.0	147.76	0			0スミヨン	0ドゥロワ	00nan	0.0	2017A8a00206
2		6	---	1	000a012ca1	牡	5			58.0		3/4			00モッセ	00バリー	00nan	0.0	2017A8a00206
3		9	---	6	Armande	牝	4			56.5		1.1/4			00ブドー	ファーブル	00nan	0.0	2017A8a00206
4		8	---	8	000a01332b	牡	5			58.0		クビ			a0320	0コックス	00nan	0.0	2017A8a00206
5		10	---	7	000a013344	牝	4			56.5		2.1/2			0ギュイヨ	0ラフォン	00nan	0.0	2017A8a00206
6		4	---	2	000a01327c	牡	4			58.0		10			05495	アップルビー	00nan	0.0	2017A8a00206
7		5	---	4	000a0133be	牡	5			58.0		大			00ペリエ	0クエティ	00nan	0.0	2017A8a00206
8		3	---	7	000a012eea	牡	4			58.0		大			0C.デム	0ダンロッ	00nan	0.0	2017A8a00206
9		7	---	4	2012190001	牡	5			58.0		6			05376	グラファー	00nan	0.0	2017A8a00206
中		2	---	10	000a013362	牡	5			58.0		0			00ブノワ	0ファーブ	00nan	0.0	2017A8a00206
1		3	---	1	000a013189	牡	4			58.0	131.7	0			0バルザロ	0ファーブ	00nan	0.0	2017A8a00305
2		1	---	2	000a012ed7	牡	4			58.0		クビ			0スミヨン	0ドゥロワ	00nan	0.0	2017A8a00305
3		4	---	5	000a012ca1	牡	5			58.0		3/4			00ブドー	00バリー	00nan	0.0	2017A8a00305
4		6	---	5	2012190001	牡	5			58.0		アタマ			05376	グラファー	00nan	0.0	2017A8a00305
5		2	---	6	000a01327c	牡	4			58.0		2			05495	アップルビー	00nan	0.0	2017A8a00305
6		7	---	7	2012190004	牡	5			58.0	132.5	1.1/2			05538	0カルバー	00nan	0.0	2017A8a00305
7		5	---	3	Potemkin	セ	6			58.0		1			00モッセ	ウォーラー	00nan	0.0	2017A8a00305
1		3	---	2	000a0133be	牡	5			57.0	155.44	0			00ペリエ	0クエティ	00nan	0.0	2017A8a00806
2		4	---	1	000a013425	牡	4			56.0		1			0バルザロ	0ファーブ	00nan	0.0	2017A8a00806
3		6	---	4	2013190004	牡	4			56.0		1.3/4			00ブドー	マルシアリス	00nan	0.0	2017A8a00806
4		5	---	5	Matchwinner	牡	6			56.0		アタマ			0アムラン	クラインコレス	00nan	0.0	2017A8a00806
5		2	---	6	Cafe Royal	セ	6			57.0		ハナ			00ブノワ	0シュッツ	00nan	0.0	2017A8a00806
6		1	---	3	Moonshiner	牡	4			58.0		7			0ギュイヨ	カルヴァーリョ	00nan	0.0	2017A8a00806
