着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		17	1.8	1.0	000a013a50	牝	3			55.0	148.69	0			0デットー	00970	a00071	0.0	2017C5100104
2		5	---	8.0	000a013189	牡	4			59.5		2.1/2			05504	00987	00nan	0.0	2017C5100104
3		4	---	5.0	000a0131da	牡	4			59.5		1.1/4			a0306	00840	00nan	0.0	2017C5100104
4		12	---	4.0	000a01322d	牡	5			59.5		1.1/2			a0321	05518	00nan	0.0	2017C5100104
5		14	---	7.0	000a013a66	牡	3			56.5		1.1/4			05473	a02f9	00nan	0.0	2017C5100104
6		8	---	6.0	000a0134b9	牡	4			59.5		1/2			05518	a035e	00nan	0.0	2017C5100104
7		11	---	14.0	2012190003	牡	5			59.5	149.8	アタマ			05115	0グリュー	00nan	0.0	2017C5100104
8		7	---	12.0	2013190002	牡	4			59.5	149.8	ハナ			a02e9	0オブライ	00nan	0.0	2017C5100104
9		18	---	3.0	000a013a70	牝	3			55.0		クビ			05366	05518	00nan	0.0	2017C5100104
10		1	---	10.0	000a012ed7	牡	4			59.5		3/4			05271	05128	00nan	0.0	2017C5100104
11		3	---	17.0	000a01331b	牡	5			59.5		クビ			a02cd	05128	00nan	0.0	2017C5100104
12		2	---	16.0	000a013362	牡	4			59.5		クビ			05498	00987	00nan	0.0	2017C5100104
13		16	---	18.0	000a013ab6	牡	3			56.5		1.1/2			05464	00987	00nan	0.0	2017C5100104
14		13	---	13.0	000a013242	牝	4			58.0		1/2			05039	05518	00nan	0.0	2017C5100104
15		9	---	2.0	2013106101	牡	4			59.5		アタマ			05339	01071	794002	0.0	2017C5100104
16		10	---	11.0	2010103602	牡	7			59.5		1/2			01088	01071	794002	0.0	2017C5100104
17		15	---	9.0	2014190001	牡	3			56.5	150.6	1			a02c7	オブライエン	00nan	0.0	2017C5100104
18		6	---	15.0	000a012ca1	牡	5			59.5		20			05514	a02ff	00nan	0.0	2017C5100104
1		4	---	4.0	000a0134b9	牡	4			58.0	155.86	0			0デフリー	0クルーク	00nan	0.0	2017C5a00707
2		1	---	1.0	000a013189	牡	4			58.0		1.1/2			0バルザロ	0ファーブ	00nan	0.0	2017C5a00707
3		2	---	5.0	000a013425	牡	4			58.0		クビ			0シュミノ	0ファーブ	00nan	0.0	2017C5a00707
4		5	---	2.0	2013106101	牡	4			58.0	156.4	1.3/4			05339	0池江泰寿	00nan	0.0	2017C5a00707
5		3	---	3.0	000a012ca1	牡	5			58.0		1.1/2			00ブドー	00バリー	00nan	0.0	2017C5a00707
6		6	---	6.0	2010103602	牡	7			58.0	156.6	アタマ			01088	0池江泰寿	00nan	0.0	2017C5a00707
1		6	---	1.0	000a013fd4	牡	2			58.5	86.05	0.0			05504	00987	00nan	0.0	2017C5a00b01
2		2	---		Baillolet	牡	2			58.5					Cristian	Mme Pia	00nan	0.0	2017C5a00b01
3		5	---		Louis D'Or	牡	2			58.5					Antoine	T Castan	00nan	0.0	2017C5a00b01
4		8	---		Woodmax	牡	2			58.5					Stephane	N Clemen	00nan	0.0	2017C5a00b01
5		4	---		Grand Daddy	セ	2			58.5					Pierre-C	H Billot	00nan	0.0	2017C5a00b01
6		10	---		Match Style	牡	2			58.5					Christop	G Botti	00nan	0.0	2017C5a00b01
7		3	---		Silver Craft	セ	2			58.5					Maxime G	C Lerner	00nan	0.0	2017C5a00b01
8		11	---		For You Daddy	セ	2			58.5					Thierry	J Phelip	00nan	0.0	2017C5a00b01
9		7	---		Absolute Belter	セ	2			58.5					Fabrice	E J O'Ne	00nan	0.0	2017C5a00b01
10		1	---		Pitchman	牡	2			58.5					Vincent	H-F Devi	00nan	0.0	2017C5a00b01
11		12	---		2012101604	牡	2			58.5					Olivier	D Zarrol	00nan	0.0	2017C5a00b01
12		9	---		Kincade	牡	2			58.5					Theo Bac	M Munch	00nan	0.0	2017C5a00b01
