着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		1	2.5	1	000a0128f6	牡	5			57.0	146.23	0			05366	05518	a0006f	0.0	2017H1121004
2		2	4.9	3	000a013425	牡	4			57.0		1.3/4			05464	00987	a00063	0.0	2017H1121004
3		8	6.4	4	2012104614	牡	5			57.0		3/4			05509	01055	270006	0.0	2017H1121004
4		4	173.2	10	000a013b34	牡	5			57.0		クビ			05575	a030e	a000f2	0.0	2017H1121004
5		9	23.4	6	000a013b37	セ	4			57.0		3/4			05454	05433	a000a7	0.0	2017H1121004
6		7	74.4	8	000a012c19	セ	7			57.0		クビ			a03ab	05682	a00100	0.0	2017H1121004
7		11	347.4	12	000a013b39	牝	6			55.5		3			a0306	00840	a00102	0.0	2017H1121004
8		6	30.9	7	000a013b36	セ	5			57.0		2			05528	05517	a000ff	0.0	2017H1121004
9		12	2.9	2	2014101976	牡	3			55.0		3/4			05212	01053	248030	0.0	2017H1121004
10		5	182.5	11	000a013b35	牡	4			57.0		2			a03b2	05634	a000fe	0.0	2017H1121004
11		3	19.1	5	000a0133be	牡	5			57.0		1.1/4			00432	a02fb	a000fd	0.0	2017H1121004
12		10	141.5	9	000a013b38	牡	4			57.0		8			05566	05576	a00101	0.0	2017H1121004
1		1	2.0	1	000a013b2d	セ	5			57.0	68.4	0			05510	05611	a000f7	0.0	2017H1121005
2		10	21.1	7	000a013b31	セ	5			57.0		クビ			05433	05611	a000fb	0.0	2017H1121005
3		9	32.6	8	2011190005	セ	6			57.0		1.1/2			00843	05649	074803	0.0	2017H1121005
4		2	4.1	2	2011190008	セ	6			57.0	68.7	3/4			05529	05724	a000be	0.0	2017H1121005
5		5	18.4	6	000a0136a4	セ	6			57.0		1/2			05306	05611	a000b7	0.0	2017H1121005
6		12	6.2	3	2012102095	牝	5			55.5		クビ			05203	01084	037803	0.0	2017H1121005
7		4	9.9	4	000a013b2e	セ	6			57.0		1/2			05509	05611	a000f0	0.0	2017H1121005
8		8	174.6	13	000a013b30	セ	5			57.0		1.1/4			a03b3	a0364	a000f9	0.0	2017H1121005
9		3	68.1	10	000a012a3f	セ	6			57.0		3/4			05465	05433	a000bf	0.0	2017H1121005
10		6	94.2	11	000a012e43	セ	7			57.0		2.1/2			05528	05576	a000bd	0.0	2017H1121005
11		11	56.9	9	000a013b32	セ	5			57.0		2.1/2			a02a9	a0365	a000fc	0.0	2017H1121005
12		13	13.3	5	2013103973	牝	4			55.5		2			05454	01086	063803	0.0	2017H1121005
13		7	134.7	12	000a0136ac	セ	6			57.0		10			05376	05517	a000b3	0.0	2017H1121005
1		10	11.5	6	000a013b27	セ	5			57.0	93.72	0			a036a	05576	a000f4	0.0	2017H1121007
2		12	282.8	13	2012190005	セ	5			57.0	93.8	1			05566	05611	a000f6	0.0	2017H1121007
3		2	5.3	2	000a013695	牡	5			57.0		クビ			05528	05576	a000a3	0.0	2017H1121007
4		7	2.1	1	000a013b25	セ	5			57.0		1.1/4			05509	05676	a000f3	0.0	2017H1121007
5		13	9.4	5	000a013b29	牡	3			56.5		3/4			05366	05518	078803	0.0	2017H1121007
6		8	182.0	12	000a013067	セ	7			57.0		3/4			05472	a0362	a000a4	0.0	2017H1121007
7		1	6.0	3	2011190004	セ	6			57.0		アタマ			05454	05433	060803	0.0	2017H1121007
8		11	123.8	10	000a013b28	セ	6			57.0		1/2			05510	a0362	a000f5	0.0	2017H1121007
9		5	112.9	9	000a013698	セ	5			57.0		3/4			00843	05576	a000a9	0.0	2017H1121007
10		6	357.2	14	000a01339d	牡	6			57.0		3/4			05575	a0319	a000f2	0.0	2017H1121007
11		4	6.4	4	2011104063	牡	6			57.0		1			05529	01071	075803	0.0	2017H1121007
