着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		4	---		Bull Valley	セ	5			58.0		0.0			S'manga	S G Tarr	00nan	0.0	2017H2a00204
2		9	---		000a013cee	セ	5			56.5					C Orffer	B Crawfo	00nan	0.0	2017H2a00204
3		10	---		Barbosa	セ	8			55.5					A Forbes	D R Drie	00nan	0.0	2017H2a00204
4		7	---		Gulf Storm	セ	6			56.5					R Fourie	B Crawfo	00nan	0.0	2017H2a00204
5		5	---		Bulleting Home	セ	5			57.5					Bernard	S G Tarr	00nan	0.0	2017H2a00204
6		16	---		Exelero	セ	6			52.5					M Byleve	V H Mars	00nan	0.0	2017H2a00204
7		3	---		London Call	セ	6			59.0					M Van Re	Mark Dix	00nan	0.0	2017H2a00204
8		1	---		Talktothestars	セ	5			60.0					C Maujea	Coenie D	00nan	0.0	2017H2a00204
9		11	---		Captain's Causeway	セ	4			55.5					K De Mel	S G Tarr	00nan	0.0	2017H2a00204
10		13	---		Table Bay	牡	3			55.0					05385	J Ramsde	00nan	0.0	2017H2a00204
11		6	---		Sergeant Hardy	セ	3			57.0					G Cheyne	S J Snai	00nan	0.0	2017H2a00204
12		12	---		Attenborough	セ	3			55.0					Anton Ma	J Ramsde	00nan	0.0	2017H2a00204
13		14	---		Captain Swarovski	セ	4			55.0					M Winnaa	S J Snai	00nan	0.0	2017H2a00204
14		15	---		000a013e99	牡	4			53.5					a03b5	M F De K	00nan	0.0	2017H2a00204
15		8	---		Muscatt	セ	7			56.5					Calvin H	M L Robe	00nan	0.0	2017H2a00204
16		2	---		Brutal Force	セ	5			59.5					a03c5	J Ramsde	00nan	0.0	2017H2a00204
