着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	5	10	2.6	2.0	2015102477	牝	3	504.0	0.0	53.0	72.6	0	1-1	37.0	1152	1085	331033	500.0	201808010101
2	4	7	2.6	1.0	2015103388	牝	3	440.0	-2.0	54.0	73.4	5	2-2	37.6	732	1149	5803	200.0	201808010101
3	7	13	45.1	10.0	2015103002	牝	3	432.0	20.0	54.0	74.2	5	6-6	37.6	700	1033	500007	130.0	201808010101
4	4	8	21.7	8.0	2015101340	牝	3	420.0	6.0	54.0	74.3	1/2	8-8	37.5	1099	1113	258030	75.0	201808010101
5	6	12	18.0	5.0	2015104690	牝	3	414.0	-2.0	54.0	74.4	クビ	10-10	37.3	1116	1129	506800	50.0	201808010101
6	3	5	153.8	15.0	2015103102	牝	3	414.0	-4.0	51.0	74.6	1.1/4	10-10	37.5	1166	1101	372002	0.0	201808010101
7	1	2	19.2	7.0	2015102843	牝	3	426.0	10.0	54.0	74.7	1/2	4-4	38.5	1015	1044	854800	0.0	201808010101
8	7	14	16.2	4.0	2015102817	牝	3	450.0	6.0	54.0	74.9	1.1/2	5-4	38.6	1157	434	911008	0.0	201808010101
9	2	4	60.4	12.0	2015103538	牝	3	488.0	-6.0	54.0	75.1	1.1/2	15-14	37.4	1154	1042	482002	0.0	201808010101
10	8	15	26.2	9.0	2015103580	牝	3	440.0	4.0	54.0	75.2	1/2	2-3	39.4	1032	1016	879800	0.0	201808010101
11	2	3	18.9	6.0	2015100923	牝	3	454.0	0.0	54.0	75.3	1/2	8-7	38.6	1037	1136	515800	0.0	201808010101
12	1	1	76.9	14.0	2015106225	牝	3	416.0	24.0	52.0	75.5	1.1/2	16-16	37.2	1165	1129	330007	0.0	201808010101
13	8	16	159.1	16.0	2015105103	牝	3	420.0	0.0	53.0	75.7	1	12-12	38.3	1160	1148	858800	0.0	201808010101
14	3	6	72.1	13.0	2015101555	牝	3	454.0	4.0	54.0	75.8	3/4	12-12	38.5	1146	425	32800	0.0	201808010101
15	6	11	11.4	3.0	2015101556	牝	3	440.0	2.0	51.0	76.1	2	14-15	38.4	1168	425	64700	0.0	201808010101
16	5	9	48.9	11.0	2015103081	牝	3	454.0	-2.0	54.0	76.2	1/2	7-8	39.5	1125	365	851007	0.0	201808010101
1	7	13	20.9	6.0	2015100371	牡	3	460.0	-2.0	53.0	115.9	0	10-11-8-6	38.3	1166	422	356002	500.0	201808010102
2	3	6	10.9	5.0	2015102621	牡	3	470.0	-8.0	55.0	116.0	3/4	1-1-1-1	39.8	1147	1099	616030	200.0	201808010102
3	2	4	2.3	1.0	2015105689	牡	3	490.0	0.0	56.0	116.2	1	3-4-4-4	39.5	1034	1040	985001	130.0	201808010102
4	5	9	4.6	2.0	2015103226	牡	3	512.0	6.0	56.0	116.3	3/4	7-7-6-6	39.1	1102	438	731006	75.0	201808010102
5	8	16	5.7	3.0	2015106183	牡	3	534.0	6.0	56.0	116.9	3.1/2	3-2-2-2	40.5	1032	1144	240005	50.0	201808010102
6	5	10	67.6	11.0	2015100168	牡	3	456.0	4.0	56.0	117.0	1/2	15-15-12-9	38.9	1124	1138	330007	0.0	201808010102
7	2	3	21.1	7.0	2015101281	牡	3	496.0	-2.0	56.0	117.1	クビ	2-2-2-2	40.7	1130	1057	18700	0.0	201808010102
8	6	12	37.3	9.0	2015106333	牡	3	486.0	-4.0	55.0	117.6	3	7-7-8-9	39.9	1160	1110	677009	0.0	201808010102
9	7	14	284.0	16.0	2015101421	牡	3	452.0	-2.0	56.0	117.7	クビ	13-13-13-12	39.5	1099	1018	541008	0.0	201808010102
10	3	5	39.3	10.0	2015103981	牡	3	480.0	-2.0	53.0	117.7	アタマ	14-14-15-14	39.2	1168	1033	143007	0.0	201808010102
11	8	15	9.8	4.0	2015106427	牡	3	484.0	2.0	56.0	118.2	3	5-5-4-5	41.6	1092	1121	260006	0.0	201808010102
12	1	1	70.0	12.0	2015105886	牡	3	478.0	0.0	56.0	118.2	クビ	5-5-6-8	40.8	1128	1107	772002	0.0	201808010102
13	4	8	249.7	15.0	2015100300	牡	3	458.0	-2.0	54.0	119.8	10	10-11-13-15	41.6	1165	1065	523005	0.0	201808010102
14	1	2	168.8	14.0	2015100532	牡	3	518.0	0.0	55.0	120.0	1.1/4	10-9-11-12	42.0	1156	1087	976030	0.0	201808010102
15	6	11	34.5	8.0	2015104878	牡	3	486.0	6.0	56.0	120.0	クビ	9-9-8-11	42.4	1093	1028	148800	0.0	201808010102
中	4	7	72.2	13.0	2015105797	牡	3	484.0	10.0	56.0					1091	422	546800	0.0	201808010102
1	5	9	6.2	3.0	2015106089	牡	3	490.0	0.0	56.0	86.0	0	2-2	38.2	732	1098	45803	500.0	201808010103
2	2	3	2.1	1.0	2015103249	牡	3	474.0	0.0	56.0	86.3	1.3/4	6-4	38.2	1015	1129	350002	200.0	201808010103
3	2	4	4.7	2.0	2015101870	牡	3	424.0	0.0	56.0	86.4	1/2	6-4	38.1	700	1044	534006	130.0	201808010103
4	5	10	10.3	4.0	2015103696	牝	3	450.0	0.0	54.0	87.0	3.1/2	1-1	39.5	1037	434	457033	75.0	201808010103
5	8	16	18.1	6.0	2015102417	牡	3	454.0	-10.0	56.0	87.1	1/2	9-7	38.7	894	1123	911009	50.0	201808010103
6	3	6	275.2	13.0	2015104038	牝	3	416.0	-12.0	54.0	87.5	2.1/2	12-11	38.5	1019	1139	543033	0.0	201808010103
7	1	2	25.0	9.0	2015102241	牡	3	486.0	14.0	56.0	87.6	1/2	5-4	39.6	1126	1082	306008	0.0	201808010103
8	3	5	15.1	5.0	2015103376	牡	3	472.0	-2.0	56.0	87.9	1.3/4	2-2	40.1	1032	1021	523005	0.0	201808010103
9	4	7	96.9	11.0	2015102281	牡	3	492.0	0.0	54.0	88.3	2.1/2	12-11	39.3	1165	379	117030	0.0	201808010103
10	1	1	19.2	7.0	2015103049	牡	3	488.0	8.0	55.0	88.5	1.1/4	11-13	39.6	1147	1099	523005	0.0	201808010103
11	6	11	336.4	15.0	2015103060	牝	3	444.0	0.0	53.0	88.6	1/2	14-14	39.4	1156	378	843800	0.0	201808010103
12	6	12	46.5	10.0	2015103205	牡	3	470.0	10.0	53.0	89.2	3.1/2	8-9	40.7	1166	427	946030	0.0	201808010103
13	7	14	412.3	16.0	2015102437	牝	3	436.0	-4.0	54.0	89.7	3	9-9	41.3	1127	378	184033	0.0	201808010103
14	4	8	22.6	8.0	2015102866	牡	3	492.0	8.0	56.0	89.8	1/2	4-7	41.8	1092	1011	829800	0.0	201808010103
15	8	15	322.8	14.0	2015102555	牡	3	452.0	6.0	53.0	91.1	8	15-15	41.6	1159	1039	839004	0.0	201808010103
