	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201804010101	障		2890	晴	良	09:50	障害4歳以上オープン		2018-4-28	1	新潟	1	障害4歳以上オープン	(混)(別定)	8	2040	8	8	490	7	12	290	4	7.0	540	8.0	5-7	820.0	3.0	8-12	6120	24	8-12	2,280	27	7-8	2,650	34	7-12	2,450	32	8=>12	13960	59	7-8-12	27280	88	8=>12=>7	176010	567	7-1-13,12(4,10)6(2,11)-14,8-9,5=3	7-1(12,10,13)4(2,6,11)-(8,14)-(9,5)=3	7=(1,10)(12,13)(4,11,14)(6,8)(2,5)9-3	7-(1,10)13,12(4,11,14)(6,8)(2,5)9-3		
201804010102	ダ	左	1800	晴	稍重	10:25	3歳未勝利		2018-4-28	1	新潟	1	3歳未勝利	牝[指](馬齢)	6	160	1	6	110	1	7	270	6	8.0	180	3.0	5-6	440.0	1.0	6-7	1440	5	6-7	550	5	6-8	310	3	7-8	1,540	17	6=>7	2010	9	6-7-8	2740	8	6=>7=>8	10000	29	2,8,9,1(5,3)(6,11)-10(4,12)7	2,8,9(1,5,3)(6,11)10,4(7,12)	(*2,8)9(6,3)10,11(7,5,4)1=12	2,8(6,9)-(10,3)4,7,11-(1,5)-12	12.5 - 11.3 - 13.2 - 13.6 - 12.8 - 12.9 - 13.3 - 12.9 - 13.2	12.5 - 23.8 - 37.0 - 50.6 - 63.4 - 76.3 - 89.6 - 102.5 - 115.7 (37.0-39.4)
201804010103	ダ	左	1200	晴	稍重	10:55	3歳未勝利		2018-4-28	1	新潟	1	3歳未勝利	見習騎手(馬齢)	12	780	4	12	220	5	8	240	6	2.0	140	1.0	5-7	3450.0	14.0	8-12	4190	17	8-12	1,220	15	2-12	420	3	2-8	620	8	12=>8	7740	30	2-8-12	2730	8	12=>8=>2	24260	73			4(13,15)(2,6)(5,8,11)12,10,7(9,14)(1,3)	(*4,13)(2,6,15)(5,8)(12,11)10,7(9,14)(1,3)	12.2 - 10.9 - 11.8 - 12.9 - 12.5 - 12.7	12.2 - 23.1 - 34.9 - 47.8 - 60.3 - 73.0 (34.9-38.1)
201804010104	障		2890	晴	良	11:25	障害4歳以上未勝利		2018-4-28	1	新潟	1	障害4歳以上未勝利	(混)(定量)	9	390	2	9	180	3	1	160	1	6.0	250	6.0	1-6	970.0	3.0	1-9	990	2	1-9	440	2	6-9	1,210	18	1-6	600	7	9=>1	1750	2	1-6-9	3480	12	9=>1=>6	13010	28	9-5=10-13,7(4,1,12)3,6-11,2,8	9=5-10-13,7(4,1)12,6,3-2,11-8	9=5,10,1-(13,7,12)6,4,3,2=11=8	9=5(1,10)(13,7,12)6,4,3-2=11=8		
201804010105	芝	左	1600	晴	良	12:15	3歳未勝利		2018-4-28	1	新潟	1	3歳未勝利	(混)[指](馬齢)	14	290	1	14	150	1	2	160	2	12.0	850	10.0	1-7	380.0	1.0	2-14	740	2	2-14	340	2	12-14	2,090	22	2-12	3,230	30	14=>2	1440	3	2-12-14	8990	30	14=>2=>12	30610	99			9,10(2,5,11)(1,7,14)(6,8)3(4,12)-(13,15,16)	(*9,10)(2,5,11)(1,7,14)(3,6,8)(13,4,12)(15,16)	12.5 - 11.0 - 11.9 - 12.4 - 12.5 - 11.8 - 11.2 - 12.0	12.5 - 23.5 - 35.4 - 47.8 - 60.3 - 72.1 - 83.3 - 95.3 (35.4-35.0)
201804010106	芝	左	2200	晴	良	12:45	3歳未勝利		2018-4-28	1	新潟	1	3歳未勝利	(混)[指](馬齢)	11	720	3	11	130	2	5	110	1	3.0	140	3.0	4-7	410.0	2.0	5-11	420	2	5-11	150	1	3-11	380	5	3-5	240	3	11=>5	1970	6	3-5-11	550	1	11=>5=>3	7140	17	8-3(5,12)-(1,6)(10,4)-(2,7)-13-(9,11)	8,3(5,12)(1,6)(10,4)-7,13(2,9,11)	3(5,4)13(12,6,11)(8,1,7)(10,9)=2	3(5,4)(13,11)(12,6)(1,7,9)10-8=2	12.5 - 11.3 - 11.5 - 12.7 - 13.2 - 12.9 - 11.8 - 12.2 - 12.3 - 12.3 - 12.6	12.5 - 23.8 - 35.3 - 48.0 - 61.2 - 74.1 - 85.9 - 98.1 - 110.4 - 122.7 - 135.3 (35.3-37.2)
201804010107	ダ	左	1800	晴	良	13:15	4歳以上500万下		2018-4-28	1	新潟	1	4歳以上500万下	牝[指](定量)	6	380	1	6	160	4	8	250	5	9.0	160	3.0	4-5	300.0	1.0	6-8	1440	6	6-8	530	6	6-9	240	1	8-9	530	7	6=>8	3360	15	6-8-9	2130	5	6=>8=>9	12810	32	8(6,12)13(1,5,11)(2,14)9,7(15,10)-3 4	8(6,12)(5,13)(1,11)(2,14)9,7,15,10-3 4	8(6,12,13)(11,9)1,5(14,7)2-15-10,3 4	8(6,13)(12,9)11(1,14,7)-5(15,2)-(3,10) 4	13.0 - 12.3 - 13.4 - 13.1 - 12.4 - 12.1 - 12.6 - 12.3 - 12.9	13.0 - 25.3 - 38.7 - 51.8 - 64.2 - 76.3 - 88.9 - 101.2 - 114.1 (38.7-37.8)
201804010108	ダ	左	1200	晴	良	13:50	4歳以上500万下		2018-4-28	1	新潟	1	4歳以上500万下	[指](定量)	8	2070	9	8	560	9	3	160	1	1.0	200	3.0	2-5	1140.0	4.0	3-8	5650	25	3-8	1,390	17	1-8	2,080	30	1-3	390	1	8=>3	12230	54	1-3-8	8180	27	8=>3=>1	71570	254			6(4,8)(3,12)9(1,10)(11,14)15(5,13)-(2,7)	6(4,8)(3,12)-(1,9)10(15,11,14)5,13,7,2	12.1 - 11.1 - 11.3 - 12.1 - 12.0 - 13.1	12.1 - 23.2 - 34.5 - 46.6 - 58.6 - 71.7 (34.5-37.2)
201804010109	ダ	左	1800	晴	良	14:15	4歳以上500万下		2018-4-28	1	新潟	1	4歳以上500万下	(混)[指](定量)	12	370	2	12	150	2	2	110	1	7.0	180	4.0	2-7	580.0	1.0	2-12	690	1	2-12	280	1	7-12	520	5	2-7	390	4	12=>2	1580	3	2-7-12	1550	2	12=>2=>7	8400	14	14,7-6,9,4,3,8-2,13-10,1-(5,11)12	14,7,9,6(3,4)-8,2,13-(1,10)-(5,11)12	7-(14,9,6)(4,8)3-2(1,12)13-(5,10)11	(9,*7)6,8(3,4)(14,2,12)1-(5,13)(10,11)	12.5 - 11.4 - 12.7 - 12.9 - 12.3 - 12.3 - 13.4 - 13.3 - 13.5	12.5 - 23.9 - 36.6 - 49.5 - 61.8 - 74.1 - 87.5 - 100.8 - 114.3 (36.6-40.2)
201804010110	芝	左	1200	晴	良	14:50	ゆきつばき賞 		2018-4-28	1	新潟	1	3歳500万下	(混)(特指)(馬齢)	7	1070	6	7	390	7	10	280	4	6.0	710	11.0	4-5	2100.0	10.0	7-10	4400	18	7-10	1,660	21	6-7	7,900	69	6-10	5,190	55	7=>10	7770	34	6-7-10	55670	167	7=>10=>6	297510	927			(*7,16)13(6,15)(3,5)(2,10)4(1,12)14(11,8)-9	(*7,16)(6,13,15)(3,5)(2,10)4-1,12(11,8)14=9	11.9 - 10.7 - 11.0 - 11.4 - 11.6 - 12.1	11.9 - 22.6 - 33.6 - 45.0 - 56.6 - 68.7 (33.6-35.1)
