	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201807010101	ダ	左	1800	晴	稍重	09:50	3歳未勝利		2018-1-13	1	中京	1	3歳未勝利	牝(馬齢)	9	740	3	9	160	3	1	110	1	10.0	210	4.0	1-5	620.0	2.0	1-9	650	2	1-9	320	2	9-10	1,210	10	1-10	380	4	9=>1	1910	6	1-9-10	1780	3	9=>1=>10	12070	23	11,9,13(1,14)-(3,5)12,6,15(2,4)10,7,8	11,9,13(1,14)(3,5,12)-(6,15)-4,2(7,10)-8	(*11,9)(13,14)1(3,12)(6,15)4,10,5,7,2,8	(*11,9)(1,13)(3,14)(6,12)15,10,4-7-5,2-8	13.0 - 11.6 - 13.7 - 13.5 - 12.5 - 12.8 - 12.9 - 12.0 - 12.8	13.0 - 24.6 - 38.3 - 51.8 - 64.3 - 77.1 - 90.0 - 102.0 - 114.8 (38.3-37.7)
201807010102	ダ	左	1900	晴	稍重	10:20	3歳未勝利		2018-1-13	1	中京	1	3歳未勝利	(馬齢)	11	230	2	11	110	1	1	390	7	8.0	110	2.0	1-7	3150.0	9.0	1-11	3660	10	1-11	800	8	8-11	120	1	1-8	810	10	11=>1	5440	16	1-8-11	1340	4	11=>1=>8	10580	27	2,3(1,5)(9,8,13)4,11,12-(7,6)10	(*2,3,13)5,1(9,8)-(4,11)12-(7,6)10	(2,*3,13)(1,5,8)(9,11)-12-(4,10)=6=7	(*3,13)2(1,8)5(9,11)10(4,12)=6=7	7.5 - 11.7 - 12.4 - 14.0 - 13.0 - 12.9 - 13.5 - 14.1 - 12.5 - 12.3	7.5 - 19.2 - 31.6 - 45.6 - 58.6 - 71.5 - 85.0 - 99.1 - 111.6 - 123.9 (31.6-38.9)
201807010103	ダ	左	1200	晴	稍重	10:50	3歳未勝利		2018-1-13	1	中京	1	3歳未勝利	(混)(馬齢)	15	150	1	15	110	1	11	140	2	12.0	530	7.0	6-8	280.0	1.0	11-15	320	1	11-15	180	1	12-15	870	11	11-12	1,390	14	15=>11	380	1	11-12-15	2400	7	15=>11=>12	5490	14			(*11,15)12(1,10,16)3-6-(7,8,13)2-14(4,9)-5	11,15(1,12)(10,16)3,6,7,13,8,2-(4,9)14-5	12.7 - 11.1 - 11.9 - 12.5 - 11.7 - 12.4	12.7 - 23.8 - 35.7 - 48.2 - 59.9 - 72.3 (35.7-36.6)
201807010104	障		3000	晴	良	11:20	障害4歳以上未勝利		2018-1-13	1	中京	1	障害4歳以上未勝利	(定量)	3	290	1	3	130	2	9	130	1	2.0	140	3.0	3-6	490.0	1.0	3-9	520	1	3-9	250	1	2-3	330	3	2-9	310	2	3=>9	1350	3	2-3-9	830	1	3=>9=>2	3770	3	9-(5,12)(4,14)1,3-2(11,6)=8-7-13-10	9(5,12)14,4(1,3)2-(11,6)=8-7-13-10	9-(12,14)5(4,3)(1,2)-6-11=7-8=(13,10)	9,14(12,3)4,5,2-1-6-11=7=8=(13,10)		
201807010105	障		3330	晴	良	12:10	障害4歳以上オープン		2018-1-13	1	中京	1	障害4歳以上オープン	(混)(別定)	5	1450	7	5	400	7	4	190	2	13.0	420	8.0	3-4	1100.0	4.0	4-5	2500	9	4-5	880	8	5-13	3,090	37	4-13	1,380	20	5=>4	5750	24	4-5-13	11950	43	5=>4=>13	73590	268	8-6=1,13,11(2,14)10(12,4)5=9-7-3	8-6=1,13,11(2,14)10(12,4)5-9-7,3	8-6-13,1,11(2,14)5,12-4=9=7=3 10	8-(6,13)(2,1,14)(5,11)12,4=9=7=3 10		
201807010106	ダ	左	1200	晴	稍重	12:45	4歳以上500万下		2018-1-13	1	中京	1	4歳以上500万下	(混)(定量)	5	480	3	5	180	3	13	420	7	14.0	290	5.0	3-7	1850.0	9.0	5-13	3340	12	5-13	1,130	14	5-14	1,010	11	13-14	2,210	21	5=>13	5890	20	5-13-14	12370	37	5=>13=>14	57690	178			11,5(9,13)(8,10)(2,14,15)-6,1(7,16)4=3 12	(*11,5)(9,13)8,14(10,15)2-6(1,16)4,7 3,12	12.4 - 10.8 - 11.4 - 12.4 - 11.7 - 12.8	12.4 - 23.2 - 34.6 - 47.0 - 58.7 - 71.5 (34.6-36.9)
201807010107	芝	左	2200	晴	良	13:15	3歳未勝利		2018-1-13	1	中京	1	3歳未勝利	(混)(馬齢)	11	860	4	11	260	5	3	160	2	9.0	250	4.0	2-6	1790.0	8.0	3-11	1670	6	3-11	660	6	9-11	1,210	16	3-9	670	7	11=>3	3700	14	3-9-11	4340	19	11=>3=>9	23630	77	16-13-3,14,11(1,4,7)(8,10)2(5,18)-(6,9)-12(15,17)	16,13-3,14,11,7-(1,4)10(2,8)18,5(6,9)-(12,17)-15	(*16,13,3)14(11,7,18)9(1,4)10(2,8,6)-(15,5)-17-12	16(13,3)(11,14)(7,18)(1,4,9)(2,10,8,6)15,5-(12,17)	12.9 - 10.8 - 11.8 - 13.3 - 13.0 - 13.3 - 12.6 - 12.2 - 12.3 - 11.5 - 12.0	12.9 - 23.7 - 35.5 - 48.8 - 61.8 - 75.1 - 87.7 - 99.9 - 112.2 - 123.7 - 135.7 (35.5-35.8)
201807010201	ダ	左	1800	晴	良	09:50	3歳未勝利		2018-1-14	1	中京	2	3歳未勝利	(馬齢)	12	390	2	12	120	2	4	130	3	8.0	110	1.0	4-8	820.0	4.0	4-12	920	4	4-12	320	5	8-12	200	1	4-8	230	2	12=>4	1730	7	4-8-12	620	1	12=>4=>8	4300	9	4(2,12)5,6(1,8)(7,9)-10-11 3	4(2,12)5,6(1,8)(7,9)-10-11 3	(*4,12)6(2,5,8)(1,9)-(10,7)-11 3	(*4,12)(6,8)2(5,1,9)(10,7)-11 3	12.9 - 11.5 - 14.1 - 13.8 - 13.4 - 13.1 - 13.3 - 12.0 - 12.4	12.9 - 24.4 - 38.5 - 52.3 - 65.7 - 78.8 - 92.1 - 104.1 - 116.5 (38.5-37.7)
201807010202	ダ	左	1400	晴	良	10:20	3歳未勝利		2018-1-14	1	中京	2	3歳未勝利	見習騎手(馬齢)	6	190	1	6	110	1	13	550	7	10.0	1,160	11.0	4-8	2360.0	7.0	6-13	3160	8	6-13	1,260	13	6-10	2,700	21	10-13	15,620	62	6=>13	4100	12	6-10-13	33430	68	6=>13=>10	69320	171			6-(1,10)(2,13)14-9(7,8)4,3,12(5,11)	6-10,1(2,13)14(9,8)-7,4,12,3(5,11)	12.3 - 11.2 - 11.5 - 12.4 - 13.1 - 12.7 - 13.6	12.3 - 23.5 - 35.0 - 47.4 - 60.5 - 73.2 - 86.8 (35.0-39.4)
201807010203	ダ	左	1200	晴	良	10:50	4歳以上500万下		2018-1-14	1	中京	2	4歳以上500万下	牝(定量)	6	1300	6	6	430	6	4	170	2	13.0	690	9.0	2-3	1280.0	5.0	4-6	2580	9	4-6	1,020	12	6-13	4,020	37	4-13	1,500	17	6=>4	6410	25	4-6-13	22320	67	6=>4=>13	107830	320			(*3,5)6,7(4,9)-1(2,14)(10,11)-12,13-(8,15,16)	(*3,5)6(4,7)9(1,2,14)(10,11)-(13,12)-8,15=16	12.6 - 10.6 - 11.7 - 12.7 - 12.4 - 13.0	12.6 - 23.2 - 34.9 - 47.6 - 60.0 - 73.0 (34.9-38.1)
