	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201810010101	ダ	右	1700	雨	稍重	09:55	3歳未勝利		2018-2-10	1	小倉	1	3歳未勝利	牝[指](馬齢)	5	190	1	5	110	1	1	120	2	4.0	610	11.0	1-3	260.0	1.0	1-5	260	1	1-5	150	1	4-5	1,580	19	1-4	1,580	20	5=>1	420	1	1-4-5	2960	9	5=>1=>4	8940	22	(*1,4,5,11)6(3,8,10,9)(7,12)(2,13,16)14 15	1,4,5,6,11,8,3(10,9)(7,12)-(2,13)(14,16) 15	1(4,5)(6,12)(11,8)9(3,10)(7,14)13-2=16 15	1(4,5)-6,12-(11,8)(10,14)(13,9)-(3,2)7=16 15	7.2 - 11.3 - 12.3 - 12.8 - 13.0 - 12.9 - 12.9 - 12.8 - 13.3	7.2 - 18.5 - 30.8 - 43.6 - 56.6 - 69.5 - 82.4 - 95.2 - 108.5 (30.8-39.0)
201810010102	ダ	右	1000	雨	稍重	10:30	3歳未勝利		2018-2-10	1	小倉	1	3歳未勝利	(混)[指](馬齢)	6	270	1	6	120	1	4	190	4	5.0	760	7.0	3-4	780.0	4.0	4-6	850	4	4-6	330	3	5-6	1,530	15	4-5	2,890	23	6=>4	1450	6	4-5-6	8000	24	6=>4=>5	27510	75			4,6-(2,8,7)10,5(9,13)-(1,11)(14,12)3	4,6-2,8,5(7,10)9-(1,13)-(14,11)12,3	12.2 - 10.7 - 11.7 - 12.2 - 13.1	12.2 - 22.9 - 34.6 - 46.8 - 59.9 (34.6-37.0)
201810010103	芝	右	1200	雨	稍重	10:55	3歳未勝利		2018-2-10	1	小倉	1	3歳未勝利	[指](馬齢)	4	400	2	4	180	3	12	170	2	1.0	220	4.0	2-6	1000.0	4.0	4-12	1130	3	4-12	490	3	1-4	730	4	1-12	940	9	4=>12	2030	5	1-4-12	4780	13	4=>12=>1	17970	39			(*4,12)1(10,14)(3,8,15)11,6,18(2,13)16,9,17,7,5	(*4,12)1-3,10(6,14,15)(13,8,11)(18,16)2-(9,17)7-5	12.1 - 10.7 - 11.2 - 11.4 - 11.3 - 11.9	12.1 - 22.8 - 34.0 - 45.4 - 56.7 - 68.6 (34.0-34.6)
201810010104	芝	右	2000	雨	稍重	11:25	3歳未勝利		2018-2-10	1	小倉	1	3歳未勝利	(混)[指](馬齢)	11	150	1	11	110	1	7	130	2	5.0	160	4.0	4-6	430.0	2.0	7-11	420	1	7-11	200	1	5-11	270	2	5-7	490	6	11=>7	530	1	5-7-11	870	1	11=>7=>5	2350	1	4,6,7,2(13,14)(10,16)(8,11)(5,15)1(3,9)-12	4,6,7,2(13,14,11)(8,10,16,5,15)(1,3,9)12	(*4,6,11,5)(7,15,12)(14,10,16)(2,9)-8-1,13=3	(*4,11)(7,6,5)14,15(2,10,12)(8,16,9)-1-13=3	12.5 - 10.9 - 12.1 - 13.0 - 12.5 - 12.0 - 12.2 - 11.8 - 12.1 - 12.4	12.5 - 23.4 - 35.5 - 48.5 - 61.0 - 73.0 - 85.2 - 97.0 - 109.1 - 121.5 (35.5-36.3)
201810010105	ダ	右	1000	雨	稍重	12:15	4歳以上500万下		2018-2-10	1	小倉	1	4歳以上500万下	(混)[指](定量)	9	660	3	9	230	2	13	670	7	1.0	230	3.0	6-8	4400.0	14.0	9-13	10300	27	9-13	2,520	25	1-9	710	5	1-13	2,530	26	9=>13	14140	39	1-9-13	18500	51	9=>13=>1	124910	287			9,13(3,6,8,11)(1,2,7)4,5(10,12)	(*9,13)(3,8)(6,11)(1,2)(10,4,7)(12,5)	12.1 - 10.8 - 11.8 - 11.6 - 12.5	12.1 - 22.9 - 34.7 - 46.3 - 58.8 (34.7-35.9)
201810010106	芝	右	1800	雨	稍重	12:45	4歳以上500万下		2018-2-10	1	小倉	1	4歳以上500万下	牝[指](定量)	6	1900	6	6	480	7	2	180	2	1.0	660	10.0	2-4	2130.0	9.0	2-6	5850	23	2-6	1,530	21	1-6	6,440	49	1-2	1,670	22	6=>2	13190	47	1-2-6	36530	100	6=>2=>1	223850	574	6,12(2,4,13,15)(1,5,14)-(7,9)11-8-10,3	6,12(2,13)(4,15)(1,5)14(7,9,11)-(8,10)3	(*6,15)(12,13,14)(2,4,5,11)1(9,8,10)7-3	(*6,15)(14,11)(12,13)(2,8)(1,4,10)9(3,5,7)	12.3 - 11.7 - 13.1 - 12.8 - 11.9 - 11.7 - 11.6 - 11.7 - 11.9	12.3 - 24.0 - 37.1 - 49.9 - 61.8 - 73.5 - 85.1 - 96.8 - 108.7 (37.1-35.2)
201810010107	芝	右	1200	雨	稍重	13:15	4歳以上500万下		2018-2-10	1	小倉	1	4歳以上500万下	[指](定量)	1	250	1	1	170	1	4	740	10	3.0	260	4.0	1-2	740.0	3.0	1-4	5390	18	1-4	1,810	18	1-3	610	3	3-4	4,220	45	1=>4	7080	24	1-3-4	13870	38	1=>4=>3	72040	205			4(6,7)(3,8)(1,10,12)(17,18)2(11,13,14)5,16(15,9)	4(6,7)(3,8)(1,10,12)(2,17,18)(11,13,14)(5,16)-15,9	11.9 - 10.5 - 11.2 - 11.6 - 11.7 - 11.9	11.9 - 22.4 - 33.6 - 45.2 - 56.9 - 68.8 (33.6-35.2)
201810010108	ダ	右	1700	雨	稍重	13:50	4歳以上500万下		2018-2-10	1	小倉	1	4歳以上500万下	牝[指](定量)	16	970	5	16	320	5	14	190	2	9.0	590	7.0	7-8	810.0	2.0	14-16	2400	9	14-16	850	8	9-16	3,390	36	9-14	1,880	20	16=>14	5840	23	9-14-16	17500	56	16=>14=>9	95070	318	(*10,16)14(8,9,15)(3,12)5(11,2)7(1,4)-6-13	10,16(8,14)15(3,9)2(5,12)(11,1,7)4-6,13	(10,*16)2,9(14,15)7(8,1)(3,12,11)(5,4)13,6	(*16,2)10(9,15)(14,1)7,8(3,11)(13,12,4)(5,6)	7.1 - 11.0 - 12.1 - 13.7 - 13.3 - 12.2 - 12.5 - 12.5 - 13.2	7.1 - 18.1 - 30.2 - 43.9 - 57.2 - 69.4 - 81.9 - 94.4 - 107.6 (30.2-38.2)
201810010109	芝	右	2000	雨	稍重	14:25	あすなろ賞 		2018-2-10	1	小倉	1	3歳500万下	(混)(特指)(馬齢)	1	250	1	1	130	1	11	150	3	9.0	670	8.0	1-8	390.0	1.0	1-11	470	2	1-11	250	2	1-9	1,510	15	9-11	1,900	22	1=>11	830	2	1-9-11	4800	13	1=>11=>9	14810	47	1,12-5(2,7)(3,8)(6,10)-11-9-4	(*1,12)(2,5)-7(3,8)(6,10)-11-9-4	(*1,12)(2,5)(3,7)(6,8)10(9,11)4	1,12(2,5)-3,7,6(9,11)-8(4,10)	12.3 - 10.9 - 11.5 - 13.0 - 12.8 - 12.7 - 12.4 - 11.7 - 11.7 - 11.8	12.3 - 23.2 - 34.7 - 47.7 - 60.5 - 73.2 - 85.6 - 97.3 - 109.0 - 120.8 (34.7-35.2)
201810010201	ダ	右	1700	曇	稍重	11:00	3歳未勝利		2018-2-13	1	小倉	2	3歳未勝利	(馬齢)	9	250	1	9	130	1	14	1,410	13	11.0	910	9.0	5-7	4480.0	13.0	9-14	10140	29	9-14	3,450	30	9-11	1,760	17	11-14	19,690	87	9=>14	17260	48	9-11-14	69600	143	9=>14=>11	353330	715	(*2,5)12,10-(3,4,9)(14,11)15(6,8,16)13-7-1	(*2,5)12-10,9(3,4)11,14-15,16(6,8)-13-7-1	(2,*5,12)9,11(10,4,14,15,16)3(8,13)-6-7=1	(*5,9)(2,11,12)14(10,4,15)(3,8,16,13)-7-1-6	7.1 - 10.8 - 11.4 - 12.8 - 13.0 - 13.0 - 12.7 - 12.8 - 13.3	7.1 - 17.9 - 29.3 - 42.1 - 55.1 - 68.1 - 80.8 - 93.6 - 106.9 (29.3-38.8)
