	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201830041801	ダ	右	1000	晴	良	15:00	3歳以上C4ー6		2018-4-18	1	門別	1	(馬齢)		5.0	130.0	1.0	5.0	120.0	1.0	6.0	230.0	4.0	5-6	370.0	2.0	5-6	170	3.0	2-5	130	1.0	2-6	240	5.0	5=>6	360.0	2.0	2-5-6	250.0	2.0	5=>6=>2	810.0	4.0			562314	5,6,2,(1,3)-4								
201830041802	ダ	右	1000	晴	良	15:30	3歳条件未勝利		2018-4-18	1	門別	1	(馬齢)		5.0	590.0	3.0	5.0	150.0	3.0	1.0	190.0	4.0	1-5	1390.0	9.0	1-5	430	8.0	2-5	270	3.0	1-2	570	9.0	5=>1	3270.0	14.0	1-2-5	1170.0	7.0	5=>1=>2	10650.0	44.0			1,5,(6,8),7,3,2,4	1,5,(6,8),7,3,2,4			2.0	110.0	2.0			
201830041803	ダ	右	1000	晴	良	16:00	3歳条件未勝利		2018-4-18	1	門別	1	(馬齢)		2.0	590.0	2.0	2.0	120.0	2.0	3.0	100.0	1.0	2-3	240.0	1.0	2-3	130	1.0	1-2	1,910	17.0	1-3	720	10.0	2=>3	1060.0	4.0	1-2-3	3190.0	8.0	2=>3=>1	20020.0	42.0			2,3,(4,6),1,8,7-5	2,3,(1,4),6,8,7,5			1.0	600.0	7.0			
201830041804	ダ	右	1200	晴	良	16:30	3歳以上C4ー4		2018-4-18	1	門別	1	(馬齢)		12.0	310.0	2.0	12.0	130.0	1.0	2.0	740.0	8.0	2-12	5540.0	15.0	2-12	1,860	18.0	6-12	340	3.0	2-6	1,580	17.0	12=>2	12140.0	35.0	2-6-12	5910.0	18.0	12=>2=>6	30450.0	99.0			12,(6,11),2,9,(3,10),1,4,5,8,7	12,6,11,2,3,(9,10),1,5,4,8,7			6.0	150.0	2.0	2-8	3790.0	9.0
201830041805	ダ	右	1000	晴	良	17:05	3歳以上C4ー3		2018-4-18	1	門別	1	(馬齢)		9.0	330.0	3.0	9.0	140.0	3.0	4.0	100.0	1.0	4-9	290.0	1.0	4-9	180	1.0	2-9	410	7.0	2-4	550	8.0	9=>4	680.0	2.0	2-4-9	1160.0	5.0	9=>4=>2	3900.0	15.0			9,6,(2,3),4,1,5,8,7	9,6,2,3,4,1,5,(7,8)			2.0	240.0	5.0	4-8	270.0	1.0
201830041806	ダ	右	1200	晴	良	17:35	クロッカス賞		2018-4-18	1	門別	1	(馬齢)		1.0	580.0	2.0	1.0	160.0	3.0	9.0	130.0	2.0	1-9	300.0	2.0	1-9	160	1.0	1-7	570	8.0	7-9	310	4.0	1=>9	1310.0	5.0	1-7-9	1110.0	5.0	1=>9=>7	8430.0	28.0			91237468	9,1-2,3,4,7,8,6			7.0	340.0	5.0	1-8	380.0	2.0
201830041807	ダ	右	1700	曇	良	18:10	牡羊座特別 		2018-4-18	1	門別	1	(別定)		4.0	380.0	3.0	4.0	140.0	2.0	1.0	160.0	3.0	1-4	400.0	3.0	1-4	120	3.0	4-5	110	2.0	1-5	110	1.0	4=>1	1050.0	5.0	1-4-5	120.0	1.0	4=>1=>5	1070.0	5.0	45612.0	(4,5),6,1,2	(4,5),6,1,2	45162								
201830041808	ダ	右	1200	曇	良	18:45	JRA認定スーパーフ		2018-4-18	1	門別	1	(馬齢)																																											
201830041901	ダ	右	1200	晴	良	15:30	3歳以上C4ー6		2018-4-19	1	門別	2	(馬齢)		2.0	260.0	2.0	2.0	140.0	2.0	1.0	120.0	1.0	1-2	200.0	1.0	1-2	150	1.0	2-3	980	12.0	1-3	570	9.0	2=>1	580.0	3.0	1-2-3	1600.0	5.0	2=>1=>3	5320.0	17.0			361254	3,6,(2,1)-(5,4)								
201830041902	ダ	右	1200	晴	良	16:00	3歳条件未勝利		2018-4-19	1	門別	2	(馬齢)		2.0	1490.0	4.0	2.0	170.0	3.0	9.0	130.0	1.0	2-9	940.0	5.0	2-9	340	4.0	2-3	1,690	20.0	3-9	510	6.0	2=>9	4670.0	12.0	2-3-9	2030.0	10.0	2=>9=>3	44560.0	104.0			2,3,9,5,4,7,1,(6,8)	2,3,9,5,4,7,1,(6,8)			3.0	240.0	5.0	2-8	1000.0	5.0
201830041903	ダ	右	1200	晴	良	16:30	3歳条件4ー2		2018-4-19	1	門別	2	(馬齢)		1.0	160.0	1.0	1.0	120.0	1.0	8.0	150.0	2.0	1-8	210.0	1.0	1-8	160	1.0	1-4	660	10.0	4-8	1,190	17.0	1=>8	320.0	1.0	1-4-8	870.0	4.0	1=>8=>4	2430.0	6.0			(8,9),7,(4,6),3,1,5,2	8,9,(4,7),6,1,3,(2,5)			4.0	280.0	8.0	1-8	180.0	1.0
201830041904	ダ	右	1700	晴	良	17:05	3歳以上C4ー5		2018-4-19	1	門別	2	(馬齢)		9.0	160.0	1.0	9.0	160.0	3.0	8.0	150.0	1.0	8-9	400.0	1.0	8-9	240	1.0	6-9	1,380	19.0	6-8	2,010	22.0	9=>8	760.0	2.0	6-8-9	7920.0	28.0	9=>8=>6	19090.0	74.0	(8,9),7,5,(4,2,3),1,6	897524316	(8,9),5,7,6,2,1,4,3	(8,9),5-7,(2,6),(1,4)-3			6.0	1,040	8.0	8-8	450.0	2.0
