	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
201844012301	ダ	右	1500	晴	不良	10:50	3歳　50万		2018-1-23	17	大井	2	47万円未満	(別定)																																													
201844012302	ダ	右	1200	晴	不良	11:20	3歳　50万		2018-1-23	17	大井	2	47万円未満	(別定)																																													
201844012303	ダ	右	1500	晴	不良	11:50	C3　4歳		2018-1-23	17	大井	2	(別定)																																														
201844012304	ダ	右	1200	晴	不良	12:20	C3　4歳		2018-1-23	17	大井	2	(別定)																																														
201844012305	ダ	右	1600	晴	不良	12:55	C2六　七		2018-1-23	17	大井	2	(別定)																																														
201844012306	ダ	右	1200	晴	不良	13:25	C2六　七		2018-1-23	17	大井	2	(別定)																																														
201844012307	ダ	右	1600	晴	不良	13:55	C1六　七		2018-1-23	17	大井	2	(別定)																																														
201844012308	ダ	右	1200	晴	不良	14:25	C1六　七		2018-1-23	17	大井	2	(別定)																																														
201844012309	ダ	右	1800	晴	不良	15:00	ガーネット賞競走 		2018-1-23	17	大井	2	(別定)																																														
201844012310	ダ	右	1200	晴	不良	15:35	春駒賞競走 		2018-1-23	17	大井	2	(別定)																																														
201844012311	ダ	右	1600	晴	不良	16:10	’18桃花賞競走 		2018-1-23	17	大井	2	牝(別定)																																														
201844012401	ダ	右	1600	晴	不良	10:50	3歳　85万		2018-1-24	17	大井	3	47万円以上85万円未満	(別定)																																													
201844012402	ダ	右	1200	晴	不良	11:20	3歳　85万		2018-1-24	17	大井	3	47万円以上85万円未満	(別定)																																													
201844012403	ダ	右	1700	晴	不良	11:50	スノードロップ賞		2018-1-24	17	大井	3	(別定)																																														
201844022101	ダ	右	1600	曇	良	10:50	C3七　八		2018-2-21	18	大井	2	(別定)		6.0	350.0	2.0	6.0	180.0	3.0	15.0	150.0	1.0	7.0	1,530	13.0	3-8	500.0	2.0	6-15	650.0	1.0	6-15	430.0	2.0	6-7	4,630	51.0	7-15	4,060	44.0	6=>15	970.0	1.0	6-7-15	16500.0	47.0	6=>15=>7	44320.0	132.0	15,11,14,1,13,6,10,4,9,(2,7),12,16,5,3,8	15,11,1,14,(6,13),10,4,9,(2,7),16,12,3,5,8	15,14,13,1,10,6,11,7,4,16,3,(2,9),12,5,8	15,14,13,1,10,6,7,11,(4,16,3),2,5,12,9,8	13.0 - 12.1 - 13.0 - 13.1 - 12.7 - 13.4 - 14.3 - 14.9	13.0 - 25.1 - 38.1 - 51.2 - 63.9 - 77.3 - 91.6 - 106.5 (38.1-42.6)	3=>8	1070.0	3.0
201844022102	ダ	右	1200	曇	良	11:20	C3七　八		2018-2-21	18	大井	2	(別定)		1.0	840.0	3.0	1.0	200.0	3.0	6.0	120.0	1.0	9.0	460	8.0	1-4	850.0	2.0	1-6	880.0	2.0	1-6	290.0	2.0	1-9	2,330	25.0	6-9	1,110	10.0	1=>6	2600.0	6.0	1-6-9	5870.0	18.0	1=>6=>9	29330.0	88.0			2611143112981310754	2,6,11,3,(1,14),12,9,8,10,7,13,5-4	12.9 - 11.3 - 12.0 - 13.1 - 13.0 - 13.2	12.9 - 24.2 - 36.2 - 49.3 - 62.3 - 75.5 (36.2-39.3)	1=>4	2750.0	10.0
201844022103	ダ	右	1600	曇	良	11:50	プリムラ特別競走 		2018-2-21	18	大井	2	(別定)		4.0	130.0	1.0	4.0	110.0	1.0	1.0	200.0	5.0	3.0	180	3.0	1-4	720.0	3.0	1-4	700.0	2.0	1-4	270.0	2.0	3-4	340	4.0	1-3	820	10.0	4=>1	850.0	4.0	1-3-4	1780.0	6.0	4=>1=>3	4850.0	13.0	10428951637	10428951367	10248359176	10248359176	12.3 - 11.9 - 13.0 - 13.0 - 12.6 - 13.4 - 14.0 - 13.9	12.3 - 24.2 - 37.2 - 50.2 - 62.8 - 76.2 - 90.2 - 104.1 (37.2-41.3)	4=>1	860.0	3.0
201844022201	ダ	右	1600	雨	良	10:50	3歳　80万		2018-2-22	18	大井	3	47万円以上76.5万円未満	(別定)	4.0	200.0	1.0	4.0	100.0	1.0	6.0	140.0	3.0	14.0	120	2.0	3-4	450.0	2.0	4-6	530.0	2.0	4-6	260.0	2.0	4-14	200	1.0	6-14	290	3.0	4=>6	850.0	2.0	4-6-14	620.0	1.0	4=>6=>14	2890.0	2.0	8143611412721391015	8,14,3,6,11,4,12,7,(9,10),2,13,1,5	14,6,10,8,12,11,3,4,(7,13),9,2,5,1	14,6,10,(8,12),4,3,11,(7,9),13,2,1,5	13.1 - 12.4 - 13.8 - 13.5 - 12.9 - 13.7 - 13.7 - 12.9	13.1 - 25.5 - 39.3 - 52.8 - 65.7 - 79.4 - 93.1 - 106.0 (39.3-40.3)	3=>4	700.0	2.0
201844022202	ダ	右	1200	雨	良	11:20	3歳　80万		2018-2-22	18	大井	3	47万円以上76.5万円未満	(別定)	13.0	810.0	4.0	13.0	220.0	4.0	7.0	260.0	5.0	5.0	170	1.0	5-8	1590.0	11.0	7-13	5960.0	23.0	7-13	1,350	17.0	5-13	710	5.0	5-7	940	13.0	13=>7	10570.0	42.0	5-7-13	6120.0	17.0	13=>7=>5	70610.0	241.0			5,7,10,12,(6,8),13,3,14,11,9,4,2,1	5,7,10,6,8,12,13,(3,14),11,4,(2,9),1	12.8 - 11.3 - 12.4 - 13.5 - 12.8 - 13.7	12.8 - 24.1 - 36.5 - 50.0 - 62.8 - 76.5 (36.5-40.0)	8=>5	2210.0	11.0
201844022203	ダ	右	1600	雨	良	11:50	C3五　六		2018-2-22	18	大井	3	(別定)		6.0	3680.0	12.0	6.0	630.0	10.0	4.0	550.0	9.0	7.0	200	2.0	3-4	2140.0	11.0	4-6	28250.0	63.0	4-6	6,420	63.0	6-7	1,980	26.0	4-7	1,390	15.0	6=>4	21960.0	86.0	4-6-7	33530.0	129.0	6=>4=>7	334360.0	983.0	14,3,8,4,10,9,13,5,6,(11,12),7,1,2	14,3,8,4,9,10,5,13,6,11,(1,7,12),2	14,3,8,4,9,(5,13),6,1,7,11,(2,10),12	14,4,8,3,(5,13,9),1,6,7,2,11,10,12	12.8 - 12.1 - 13.1 - 12.7 - 12.8 - 13.6 - 14.5 - 13.7	12.8 - 24.9 - 38.0 - 50.7 - 63.5 - 77.1 - 91.6 - 105.3 (38.0-41.8)	4=>3	3110.0	12.0
