着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		5	4.2	1	000a0144a3	牡	5			53.0		0	15-11		00レーン	0D.K.	00nan	0.0	2018B6a00307
2		1	8.5	4	000a012a3c	セ	7			59.0		1.1/4	9-4		0マクドナ	0J.A.	00nan	0.0	2018B6a00307
3		11	10.0	5	000a0144b7	牡	4			52.0		1/2	12-6		0バスター	0G. W	00nan	0.0	2018B6a00307
4		4	8.0	3	000a0144b0	牝	7			53.5		1.1/2	17-16		0ウォーカ	0C.J.	00nan	0.0	2018B6a00307
5		12	14.0	7	Cliff's Edge	牡	4			52.0		アタマ	3-2		0ウィリア	0D.K.	00nan	0.0	2018B6a00307
6		17	19.0	8	Waging War	セ	5			52.0		アタマ	11-9		0トンプソ	0L.Ma	00nan	0.0	2018B6a00307
7		10	12.0	6	Noire	牝	5			52.0		クビ	13-14		00ディー	0C.J.	00nan	0.0	2018B6a00307
8		19	31.0	12	2014100340	牡	4			53.0		1.3/4	16-15		0ベイラス	0M.C.	00nan	0.0	2018B6a00307
9		15	71.0	16	Radipole	セ	5			52.0		3/4	10-12		0マクニー	0M.D.	00nan	0.0	2018B6a00307
10		14	26.0	10	Muraaqeb	牡	4			52.0		クビ	14-17		0C.J.	0D. &	00nan	0.0	2018B6a00307
11		6	21.0	9	Dollar for Dollar	セ	6			52.5		アタマ	5-3		0L.Cu	0A.J.	00nan	0.0	2018B6a00307
12		18	61.0	15	Al Passem	セ	4			52.0		クビ	1-1		0B.Me	0K.M.	00nan	0.0	2018B6a00307
13		2	7.5	2	Jungle Cat	牡	6			58.5		3/4	7-7		0J.Do	0C.Ap	00nan	0.0	2018B6a00307
14		13	81.0	17	Kingsguard	セ	6			52.0		3/4	8-13		0P.M.	0M. W	00nan	0.0	2018B6a00307
15		9	26.0	11	Lite'n in My Veins	セ	6			52.5		1.1/2	4-8		0L.Me	0C.Ma	00nan	0.0	2018B6a00307
16		3	---	12	000a014a8d	セ	8			56.0					a0353	a0329	a001b2	0.0	2018B6a00307
17		7	41.0	14	Hellova Street	セ	8			52.5		3	2-5		0D.Ho	0S.P.	00nan	0.0	2018B6a00307
18		16	101.0	18	2011104097	牡	7			52.0		大	18-18		0D.Ye	0D.K.	00nan	0.0	2018B6a00307
取		8	0.0	0	I Am a Star	牝	5			52.5			0-0		000ダン	0S.P.	00nan	0.0	2018B6a00307
