着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		13	3.2	1	Sky Boy	セ	4			53.0		0	4-4		00レイス	0Anth	00nan	0.0	2018GEa00307
2		6	17.0	7	000a0144b6	牝	4			56.5		アタマ	13-13		0クラーク	0C.Ma	00nan	0.0	2018GEa00307
3		5	9.0	4	My Nordic Hero	セ	6			57.5		1	10-12		0ボウマン	0C.J.	00nan	0.0	2018GEa00307
4		10	16.0	6	Sambro	セ	4			55.0		1	3-2		0フォード	0C.J.	00nan	0.0	2018GEa00307
5		9	5.5	2	Doubt Defying	セ	5			55.5		クビ	11-10		0ウォーカ	0S.J.	00nan	0.0	2018GEa00307
6		14	5.5	3	Gaulois	セ	4			53.0		1/2	6-6		0ブラウン	0J.A.	00nan	0.0	2018GEa00307
7		3	41.0	11	Duca Valentinois	セ	6			57.5		クビ	9-7		0スコフィ	0J.A.	00nan	0.0	2018GEa00307
8		11	10.0	5	Goodfella	牡	4			54.0		クビ	2-3		0A.Hy	0B.Ba	00nan	0.0	2018GEa00307
9		1	31.0	10	Fabrizio	セ	7			59.0		アタマ	1-1		0J.Pa	0G. W	00nan	0.0	2018GEa00307
10		4	101.0	13	Grande Rosso	セ	7			57.5		3/4	7-11		0マカヴォ	0P. &	00nan	0.0	2018GEa00307
11		12	21.0	8	Articus (FR)	セ	6			53.0		アタマ	12-9		0A.Gi	0K.A.	00nan	0.0	2018GEa00307
12		8	81.0	12	2012104735	セ	6			56.0		2	8-8		0J.Co	0C.J.	00nan	0.0	2018GEa00307
13		7	21.0	9	Interlocuter (USA)	セ	5			56.5		クビ	5-5		0マクドナ	0J.A.	00nan	0.0	2018GEa00307
取		2	0.0	0	Red Excitement	セ	9			58.5			0-0		0Ｔベリー	0G.Ry	00nan	0.0	2018GEa00307
取		15	0.0	0	2014100340	牡	4			53.0			0-0		0アドキン	0M.C.	00nan	0.0	2018GEa00307
1		12	4.6	2	2014100340	牡	4			54.0		0	4-3		0ブラウン	0M.C.	00nan	0.0	2018GEa00407
2		5	71.0	10	2012104735	セ	6			55.5		1	1-1		0J.Co	0C.J.	00nan	0.0	2018GEa00407
3		1	---	3	000a0144b4	セ	6			59.0					a03ab	a0324	a00172	0.0	2018GEa00407
4		7	19.0	8	Black On Gold	セ	5			54.5		3/4	8-8		0K.O'	0C.J.	00nan	0.0	2018GEa00407
5		11	9.0	5	Roman Son	セ	5			54.5		アタマ	10-9		0R.Ba	0R.A.	00nan	0.0	2018GEa00407
6		8	11.0	7	Abdon	セ	5			54.0		アタマ	7-6		0T.A.	0C.J.	00nan	0.0	2018GEa00407
7		4	51.0	9	Grande Rosso	セ	7			57.5		1.1/4	2-4		00レイス	0P. &	00nan	0.0	2018GEa00407
8		9	7.5	4	Goodfella	牡	4			54.0		アタマ	3-7		0J.Va	0B.Ba	00nan	0.0	2018GEa00407
9		3	3.8	1	My Nordic Hero	セ	6			58.0		1.1/4	9-10		0マクドナ	0C.J.	00nan	0.0	2018GEa00407
10		6	9.5	6	Alward	セ	5			54.5		3/4	6-2		0フォード	0C.J.	00nan	0.0	2018GEa00407
取		2	0.0	0	アロイシア	牝	4			58.0			0-0		0R.Ba	0C.Ma	00nan	0.0	2018GEa00407
取		10	0.0	0	Articus (FR)	セ	6			54.0			0-0		0S.R.	0K.A.	00nan	0.0	2018GEa00407
