着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	7	7	2.0	1.0	2015105393	牡	4	485.0	-2.0	56	76.3	0	1-1	39.2	a01d1	05709	x08ed0	20.0	201935051201
2	6	6	4.4	2.0	2015100749	牝	4	443.0	-4.0	54	76.4	クビ	2-2	39.2	05119	05217	261033	5.2	201935051201
3	1	1	8.7	4.0	2014109031	牡	5	471.0	3.0	56	76.9	3	7-7	38.7	05382	a02e2	x09393	2.8	201935051201
4	8	8	5.4	3.0	2015103790	牝	4	457.0	4.0	54	77.1	1	3-4	39.2	05438	05720	x09287	2.0	201935051201
5	5	5	12.2	6.0	2013104864	牡	6	438.0	-2.0	53	77.6	3	5-5	39.5	05591	05365	x011fe	1.0	201935051201
6	2	2	33.2	7.0	2015103396	牝	4	423.0	2.0	54	77.9	1.1/2	4-3	40.0	05571	a02f4	x09360	0.0	201935051201
7	4	4	10.1	5.0	2012102493	牡	7	489.0	4.0	56	78.0	1/2	6-6	39.9	05462	05199	x01202	0.0	201935051201
8	3	3	57.2	8.0	2015100708	牡	4	457.0	0.0	56	78.7	4	8-8	40.4	05560	05585	x06ebf	0.0	201935051201
1	3	3	1.8	1.0	2015102149	牡	4	461.0	8.0	56	76.7	0	2-2	38.7	05571	05654	872006	20.0	201935051202
2	7	7	12.1	4.0	2015101598	牡	4	470.0	-12.0	55	76.8	1/2	3-3	38.6	05577	a02a3	x03564	5.2	201935051202
3	5	5	4.0	2.0	2013100310	牝	6	455.0	-11.0	54	77.1	2	1-1	39.2	a01d1	a02a4	261033	2.8	201935051202
4	8	8	6.5	3.0	2015101441	牡	4	440.0	5.0	56	77.2	クビ	4-4	38.6	05542	a02f4	171002	2.0	201935051202
5	4	4	17.0	5.0	2014102754	牡	5	507.0	-1.0	53	78.4	7	8-7	38.5	05591	a0218	364008	1.0	201935051202
6	6	6	20.9	8.0	2011102145	牡	8	488.0	-2.0	56	78.4	ハナ	6-6	38.8	05183	a023e	x014a3	0.0	201935051202
7	1	1	19.2	7.0	2015103739	牝	4	374.0	-9.0	54	79.8	9	5-5	40.7	05560	a02a4	x0948c	0.0	201935051202
8	2	2	17.5	6.0	2015105482	牡	4	437.0	-3.0	56	80.3	3	7-8	40.4	05119	05217	261033	0.0	201935051202
1	3	3	9.6	3.0	2015101548	牡	4	460.0	-4.0	56	75.8	0	1-1	38.1	a01e8	05358	x00b30	20.0	201935051203
2	7	7	17.5	7.0	2015106213	牝	4	396.0	4.0	54	76.8	6	3-2	38.9	05560	a023e	a00021	5.2	201935051203
3	5	5	1.9	1.0	2013103742	牝	6	403.0	-3.0	54	77.1	2	2-3	39.2	05445	05169	x03577	2.8	201935051203
4	6	6	9.7	4.0	2014105710	牝	5	446.0	-6.0	51	77.2	1/2	4-4	38.6	05591	05685	367033	2.0	201935051203
5	4	4	26.0	8.0	2015103816	牝	4	474.0	6.0	54	77.5	2	6-6	38.4	05087	a01e0	x09a20	1.0	201935051203
6	2	2	15.2	6.0	2012101364	牝	7	437.0	-5.0	54	77.7	1.1/2	5-5	38.8	05438	a023d	657007	0.0	201935051203
7	8	8	3.4	2.0	2014102524	牡	5	539.0	6.0	56	77.8	1/2	8-8	38.4	05183	a023e	x09393	0.0	201935051203
8	1	1	14.2	5.0	2013105706	牝	6	462.0	0.0	52	77.9	クビ	7-7	38.7	05583	05555	x080a4	0.0	201935051203
1	8	8	2.2	1.0	2014101481	牡	5	444.0	-4.0	56	76.5	0	3-1	38.1	05552	a024c	x00cea	20.0	201935051204
2	7	7	17.2	7.0	2015102126	牝	4	458.0	13.0	54	76.7	1.1/2	2-4	38.5	05462	a02f4	x09de9	5.2	201935051204
3	8	9	17.9	8.0	2015104432	牡	4	533.0	-11.0	56	76.8	クビ	5-5	38.3	a01d1	05709	x08ed0	2.8	201935051204
4	4	4	16.8	6.0	2015104535	牡	4	497.0	-3.0	56	76.8	ハナ	9-7	37.9	a01e8	05358	x07cd8	2.0	201935051204
5	1	1	5.2	3.0	2015104250	牝	4	419.0	-4.0	53	76.8	クビ	1-1	38.8	05577	05417	x06536	1.0	201935051204
6	6	6	15.6	5.0	2015109019	牝	4	457.0	9.0	54	77.0	1.1/4	6-1	38.5	05560	a02eb	x03a53	0.0	201935051204
7	2	2	25.7	9.0	2012104219	牝	7	474.0	-8.0	51	77.3	1.1/2	7-9	38.3	05591	05709	x01433	0.0	201935051204
8	3	3	7.8	4.0	2015103119	牝	4	385.0	5.0	54	77.5	1.1/4	8-8	38.6	05571	a0108	x01835	0.0	201935051204
9	5	5	4.9	2.0	2015106232	牝	4	462.0	0.0	54	77.6	1/2	4-6	39.1	05490	a01e0	x09848	0.0	201935051204
