着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	8	4.2	2.0	2015102476	牡	4	489.0	3.0	56	101.5	0	1-1-1-1	42.2	05300	05160	875030	25.0	201946031701
2	5	5	1.5	1.0	2013103720	牝	6	501.0	17.0	54	101.7	1	3-2-2-2	42.0	05503	05235	x006bc	5.7	201946031701
3	6	6	30.6	6.0	2015101033	牝	4	411.0	2.0	54	102.6	4	5-5-4-4	42.2	05301	05160	x089e5	3.0	201946031701
4	3	3	4.5	3.0	2015102449	牝	4	432.0	3.0	54	104.4	9	2-3-3-3	44.5	a02dc	05247	490033	2.2	201946031701
5	8	9	22.2	4.0	2015104730	牡	4	481.0	2.0	56	105.3	4	6-6-6-5	44.2	a01e5	05235	903007	1.5	201946031701
6	4	4	47.7	7.0	2015102892	牡	4	427.0	-3.0	56	105.5	1	8-7-7-6	43.7	05333	a02b7	x0858e	0.0	201946031701
7	1	1	28.3	5.0	2015102235	牡	4	448.0	12.0	56	106.3	4	8-9-8-8	43.7	a0034	a0112	562002	0.0	201946031701
8	7	7	77.7	8.0	2015102648	牝	4	423.0	2.0	54	106.5	1	4-4-5-6	45.8	05556	05319	740033	0.0	201946031701
9	2	2	87.4	9.0	2011100017	牡	8	539.0	-7.0	56	112.9	大	7-8-9-9	50.3	a01fa	05308	635009	0.0	201946031701
1	8	10	1.1	1.0	2013102552	牝	6	486.0	13.0	54	91.2	0	1-2-2-2	39.0	05296	05247	x06e26	25.0	201946031702
2	8	9	7.0	2.0	2015102674	牝	4	459.0	-18.0	54	92.0	4	1-1-1-1	40.4	05503	05247	x06e26	5.7	201946031702
3	7	8	16.7	3.0	2014102800	牡	5	454.0	6.0	56	93.2	6	5-5-4-4	39.9	05301	05160	x03828	3.0	201946031702
4	6	6	66.2	7.0	2015104525	牝	4	426.0	4.0	54	93.6	2	4-3-3-3	41.0	a0034	a02f5	x09066	2.2	201946031702
5	2	2	22.8	5.0	2015102318	牝	4	485.0	1.0	54	94.5	4	8-9-9-9	38.4	05556	05247	x06e26	1.5	201946031702
6	3	3	117.2	10.0	2015102468	牝	4	463.0	0.0	54	94.8	1.1/2	7-7-8-7	39.3	a0199	a01c1	x04bc1	0.0	201946031702
7	1	1	22.3	4.0	2012105358	牡	7	477.0	-12.0	56	94.8	クビ	9-8-7-8	39.5	a00d0	05247	x06e26	0.0	201946031702
8	7	7	81.0	9.0	2015104521	牝	4	455.0	-19.0	54	95.0	1	6-6-6-6	40.1	a01e5	a027e	874008	0.0	201946031702
