	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201936032301	ダ	右	850	曇	良	11:30	春の水沢競馬オープニ		2019-3-23	12	水沢	1			2	130	1	2	100	1	6	120	2	8.0	240	5.0	2-6	230.0	1.0	2-6	230	1	2-6	130	1	2-8	340	5	6-8	440	8	2=>6	310	1	2-6-8	620	2	2=>6=>8	1200	1			26810597143.0	26851094713.0		
201936032302	ダ	右	1300	小雪	良	12:00	C2十四組		2019-3-23	12	水沢	1			2	150	1	2	100	1	3	110	2	1.0	130	3.0	2-3	330.0	1.0	2-3	280	1	2-3	140	1	1-2	190	2	1-3	260	3	2=>3	390	1	1-2-3	300	1	2=>3=>1	850	1	2395110116874.0	2319510611874.0	2319610571184.0	2316791011584.0		
201936032303	ダ	右	1300	曇	良	12:30	C2十三組		2019-3-23	12	水沢	1			10	170	1	10	100	1	5	110	3	1.0	110	2.0	5-8	330.0	1.0	5-10	360	1	5-10	160	1	1-10	170	3	1-5	160	2	10=>5	490	1	1-5-10	390	1	10=>5=>1	1190	1	7,8,10,(1,5),9,11,3,4,2,6	7810159311246.0	(7,8,10),5,1,3,(9,11),2,4,6	1085173119246.0		
201936032304	ダ	右	1300	曇	良	13:00	C2十二組		2019-3-23	12	水沢	1			1	440	3	1	170	4	10	150	2	7.0	610	6.0	1-8	630.0	3.0	1-10	1280	5	1-10	650	8	1-7	1,400	16	7-10	2,650	19	1=>10	2670	10	1-7-10	7620	21	1=>10=>7	42570	100	1410528311976	1410583211796.0	1,4,10,5,8,(3,11),7,2,6,9	1104853711269.0		
201936032305	ダ	右	1300	曇	良	13:35	C2十一組		2019-3-23	12	水沢	1			4	510	2	4	120	3	7	100	1	9.0	110	2.0	4-6	230.0	1.0	4-7	200	1	4-7	150	1	4-9	300	4	7-9	180	2	4=>7	790	3	4-7-9	320	1	4=>7=>9	1770	3	4,7,8,3,9,5,1,6,(10,11),2	4,7,8,(3,5),9,1,6,11,10,2	(4,7),(8,9),5,3,6,1,11,10,2	7498111653102.0		
201936032306	ダ	右	1300	小雪	良	14:10	C2十組		2019-3-23	12	水沢	1			9	480	2	9	150	1	6	180	4	3.0	380	8.0	6-7	410.0	2.0	6-9	1070	5	6-9	530	6	3-9	1,720	18	3-6	980	12	9=>6	2630	12	3-6-9	8000	23	9=>6=>3	26300	82	6,10,3,9,7,5,(1,2,11),8,4	6109375128114	6,(10,9),3,7,5,1,8,2,4,11	6,9,3,7,(5,10),1,8,4,2,11		
201936032307	ダ	右	1600	曇	良	14:45	B2六組		2019-3-23	12	水沢	1			6	650	2	6	210	5	8	130	1	1.0	250	6.0	6-7	490.0	2.0	6-8	480	1	6-8	210	1	1-6	630	8	1-8	320	4	6=>8	1540	5	1-6-8	1080	3	6=>8=>1	6620	18	87164102953	87164210953	87164925103	8,6,1,7,(2,4),5,9,10,3		
201936032308	ダ	右	1600	曇	良	15:20	B2五組		2019-3-23	12	水沢	1			7	1130	4	7	490	6	9	270	3	8.0	880	9.0	7-8	1390.0	5.0	7-9	2530	8	7-9	690	7	7-8	9,620	40	8-9	4,310	34	7=>9	4880	16	7-8-9	40950	69	7=>9=>8	440420	415	(2,6),8,(1,4,9),5,10,3,7	26819410537	2,8,(1,6,7),9,4,10,5,3	72819105364		
201936032401	ダ	右	1300	曇	稍重	11:30	C2九組		2019-3-24	12	水沢	2			7	130	1	7	120	2	3	250	6	6.0	110	1.0	3-6	1080.0	5.0	3-7	1680	5	3-7	420	5	6-7	120	1	3-6	470	6	7=>3	2110	7	3-6-7	510	1	7=>3=>6	3080	10	3625910748111	3625791048111	3,6,7,2,5-(4,10),8,9,(1,11)	3762510841119		
201936032402	ダ	右	1300	曇	稍重	12:00	C2八組		2019-3-24	12	水沢	2			3	580	3	3	190	3	7	290	5	8.0	130	2.0	3-6	2810.0	10.0	3-7	3680	11	3-7	770	10	3-8	470	6	7-8	520	7	3=>7	5810	17	3-7-8	4250	12	3=>7=>8	25020	63	3,7,(9,10),8,2,11,6,1,5,4	3781011921654	3,7,8,(10,11),2,1,6,5,9,4	3,7,8,10,11,2,1,4,(6,5),9		
201936032403	ダ	右	1300	曇	稍重	12:35	C2七組		2019-3-24	12	水沢	2			1	2550	7	1	410	6	3	180	4	4.0	260	5.0	1-3	3360.0	13.0	1-3	3000	12	1-3	1,010	12	1-4	2,290	29	3-4	720	8	1=>3	8040	28	1-3-4	12170	42	1=>3=>4	74000	226	1,8,(4,9),11,2,(3,5),10,6,7	1841193251067	(1,8),4,11,3,2,9,5,10,7,6	1,8,(4,3),11,2,5,10,9,6,7		
201936032404	ダ	右	1400	曇	稍重	13:10	C2六組		2019-3-24	12	水沢	2			6	640	5	6	170	2	10	250	7	3.0	140	1.0	5-7	1510.0	10.0	6-10	1640	6	6-10	670	10	3-6	480	1	3-10	550	5	6=>10	3320	13	3-6-10	1610	1	6=>10=>3	12000	29	(6,7,12),(2,4),(8,9),(3,10),11,5,1	671228941031115	6,7,12,8,9,10,2,(3,4,11),5,1	6,(10,7),12,8,3,9,11,2,4,5,1		
