	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201955010201	ダ	右	900	曇	良	12:15	C2ー35組		2019-1-2	18	佐賀	1	(馬齢)		5.0	210.0	1.0	5.0	100	1.0	9.0	110	2.0	4.0	120.0	3.0	5-8	640.0	4.0	5-9	680.0	4.0	5-9	210	5.0	4-5	200	3.0	4-9	210	4.0	5=>9	1180.0	5.0	4-5-9	400.0	2.0	5=>9=>4	2720.0	14.0			951243786.0	951473286.0		
201955010202	ダ	右	1300	曇	良	12:45	C2ー32組		2019-1-2	18	佐賀	1	(馬齢)		9.0	1460.0	3.0	9.0	120	3.0	8.0	100	2.0	4.0	100.0	1.0	8-8	610.0	2.0	8-9	460.0	2.0	8-9	200	2.0	4-9	240	3.0	4-8	110	1.0	9=>8	2480.0	9.0	4-8-9	320.0	1.0	9=>8=>4	5150.0	18.0	489125376.0	481925367.0	489125367.0	894523671.0		
201955010203	ダ	右	1300	曇	良	13:15	C2ー30組		2019-1-2	18	佐賀	1	(馬齢)		7.0	130.0	1.0	7.0	100	1.0	10.0	100	2.0	1.0	110.0	3.0	7-8	170.0	1.0	7-10	160.0	1.0	7-10	130	1.0	1-7	160	2.0	1-10	250	4.0	7=>10	320.0	2.0	1-7-10	330.0	1.0	7=>10=>1	840.0	1.0	71019265843.0	71091256834.0	71091523684.0	71091243586.0		
201955010204	ダ	右	1300	曇	良	13:45	C2ー27組		2019-1-2	18	佐賀	1	(馬齢)		5.0	410.0	2.0	5.0	110	2.0	3.0	110	1.0	8.0	120.0	3.0				3-5	230.0	1.0	3-5	140	1.0	5-8	200	3.0	3-8	230	4.0	5=>3	660.0	2.0	3-5-8	360.0	1.0	5=>3=>8	1680.0	5.0	37512846.0	37258146.0	37528146.0	37528416.0		
201955010205	ダ	右	1400	曇	良	14:25	C2ー24組		2019-1-2	18	佐賀	1	(馬齢)		6.0	390.0	3.0	6.0	160	3.0	3.0	140	1.0	8.0	280.0	6.0	3-6	510.0	2.0	3-6	570.0	2.0	3-6	350	3.0	6-8	740	9.0	3-8	730	8.0	6=>3	1260.0	4.0	3-6-8	1750.0	5.0	6=>3=>8	6300.0	18.0	123964875.0	123498675.0	184236975.0	386214579.0		
201955010206	ダ	右	1400	曇	良	15:00	C2ー22組		2019-1-2	18	佐賀	1	(馬齢)		10.0	110.0	1.0	10.0	110	1.0	6.0	300	6.0	11.0	120.0	2.0	6-8	400.0	3.0	6-10	610.0	3.0	6-10	280	3.0	10-11	140	1.0	6-11	1,070	10.0	10=>6	1060.0	3.0	6-10-11	1170.0	4.0	10=>6=>11	3570.0	12.0	1011279168534.0	1011271965834.0	1011271698543.0	1011216897453.0		
201955010207	ダ	右	1400	曇	良	15:35	3歳ー3組		2019-1-2	18	佐賀	1	(馬齢)		8.0	190.0	1.0	8.0	160	2.0	3.0	380	6.0	5.0	590.0	7.0	3-7	650.0	3.0	3-8	1080.0	4.0	3-8	320	4.0	5-8	970	11.0	3-5	1,470	17.0	8=>3	1420.0	5.0	3-5-8	5000.0	17.0	8=>3=>5	12680.0	38.0	23186795410.0	23187694510.0	32891765410.0	38759126410.0		
201955010208	ダ	右	1400	曇	良	16:35	寿賞		2019-1-2	18	佐賀	1	(馬齢)		5.0	290.0	1.0	5.0	120	2.0	1.0	120	1.0	7.0	170.0	4.0	1-5	510.0	3.0	1-5	610.0	2.0	1-5	330	3.0	5-7	350	4.0	1-7	270	1.0	5=>1	660.0	1.0	1-5-7	910.0	1.0	5=>1=>7	3910.0	3.0	31910587264.0	31591072864.0	31571092864.0	15710239684.0		
201955010209	ダ	右	1400	曇	良	17:05	頌春賞		2019-1-2	18	佐賀	1	(馬齢)		5.0	720.0	3.0	5.0	210	3.0	2.0	160	2.0	6.0	930.0	9.0	2-5	840.0	3.0	2-5	810.0	3.0	2-5	290	3.0	5-6	1,790	15.0	2-6	2,360	19.0	5=>2	1830.0	6.0	2-5-6	10480.0	18.0	5=>2=>6	32980.0	66.0	458791263.0	458729163.0	258479163.0	528479163.0		
201955010210	ダ	右	1400	曇	良	17:35	ニュースター特選		2019-1-2	18	佐賀	1	(馬齢)		5.0	120.0	1.0	5.0	110	1.0	10.0	170	3.0	4.0	230.0	5.0	5-8	360.0	2.0	5-10	390.0	2.0	5-10	220	3.0	4-5	280	4.0	4-10	1,500	18.0	5=>10	540.0	2.0	4-5-10	2410.0	7.0	5=>10=>4	4740.0	13.0	35108946712.0	35810946172.0	35108496127.0	51048367192.0		
