着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		8	1.2	1	000a013a50	牝	5			59.0	152.42	0			00875	00970	a00071	0.0	2019A0072704
2		2	6.1	2	000a013a8c	牡	5			60.0		クビ			a02cd	00840	a00121	0.0	2019A0072704
3		7	23.4	6	000a0137b1	牡	5			60.0		1.3/4			05514	00987	a00120	0.0	2019A0072704
4		6	326.1	11	000a013a56	牡	5			60.0		7			a0306	a0385	a00126	0.0	2019A0072704
5		4	230.8	9	000a014082	牡	4			60.0		クビ			a02e9	05518	a00073	0.0	2019A0072704
6		1	16.7	4	2012104759	牡	7			60.0		3.1/2			05575	01061	006030	0.0	2019A0072704
7		11	179.7	8	000a014650	牡	3			55.5		7			a02c7	05518	a0006f	0.0	2019A0072704
8		5	271.6	10	000a01468e	セ	6			60.0		大			a03fa	05519	a00144	0.0	2019A0072704
9		3	19.1	5	000a013fab	セ	5			60.0		クビ			05527	05679	a0006a	0.0	2019A0072704
10		10	8.2	3	000a014361	牡	3			55.5		5			05366	05518	a00073	0.0	2019A0072704
11		9	95.1	7	000a014346	牝	4			59.0		大			a0321	05518	a0006e	0.0	2019A0072704
1		1	3.9	2	000a013a8c	牡	5			57.0	130.25	0			00875	00840	a00121	0.0	2019A0a00103
2		7	2.3	1	000a014083	牝	4			55.5		1.1/4			05366	05518	a0006f	0.0	2019A0a00103
3		4	6.3	4	000a0137b1	牡	5			57.0		3.1/4			05514	00987	a00120	0.0	2019A0a00103
4		3	43.0	7	000a014082	牡	4			57.0		2			a0321	05518	a00073	0.0	2019A0a00103
5		8	4.3	3	000a01401c	牝	4			55.5		2.1/2			a02cd	05665	a00122	0.0	2019A0a00103
6		6	10.9	5	2014106191	牝	5			55.5		4.1/2			00666	00362	034009	0.0	2019A0a00103
7		5	15.1	6	000a01465e	セ	6			57.0		大			05527	05679	a0006a	0.0	2019A0a00103
8		2	86.7	8	000a013a54	セ	7			57.0		3.1/2			a0306	a0319	a0010e	0.0	2019A0a00103
1		6	---	1	000a014083	牝	4			58.0	128.42	0			a0321	05518	a0006f	0.0	2019A0a00805
2		1	---	3	000a0147c3	セ	5			59.5		3/4			a02cd	05665	a000c6	0.0	2019A0a00805
3		4	11.0	4	2014106191	牝	5			58.0		2.1/4			05575	00362	034009	0.0	2019A0a00805
4		7	---	7	Fox Tal	牡	3			57.5		アタマ			0デソウサ	0ボールデ	00nan	0.0	2019A0a00805
5		9	---	5	000a0149c1	牝	3			56.0		1			a0325	00970	a001a4	0.0	2019A0a00805
6		3	---	2	Coronet	牝	5			58.0		5			0デットー	0ゴスデン	00nan	0.0	2019A0a00805
7		5	---	8	I Can Fly	牝	4			58.0		3/4			0ヘファナ	0オブライ	00nan	0.0	2019A0a00805
8		2	---	5	000a0147c7	牡	4			59.5		1/2			a0306	00840	a0009c	0.0	2019A0a00805
9		8	---	9	Pondus	牡	3			57.5		8			0マスカッ	0ファンシ	00nan	0.0	2019A0a00805
