着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		2	34.4	9	000a0137b1	牡	5			59.5	151.97	0			05514	00987	a00120	0.0	2019C8100604
2		8	1.5	1	000a013a50	牝	5			58.0		1.3/4			00875	00970	a00071	0.0	2019C8100604
3		12	8.4	3	000a014680	牡	3			56.5		1.3/4			05473	a02f9	a0019f	0.0	2019C8100604
4		10	7.4	2	000a014365	牡	3			56.5		1/2			05366	05518	a0006f	0.0	2019C8100604
5		9	21.0	8	000a014083	牝	4			58.0		6			a0321	05518	a0006f	0.0	2019C8100604
6		11	108.9	10	000a0149c3	牡	3			56.5		3.1/2			00666	a02f9	a001a6	0.0	2019C8100604
7		4	19.4	7	2014101976	牡	5			59.5		8			05271	01053	248030	0.0	2019C8100604
8		7	249.1	12	000a01495d	牡	5			59.5		4.1/2			05504	a03c6	a0019e	0.0	2019C8100604
9		1	156.1	11	000a0148e5	牡	4			59.5		4.1/2			00432	05617	a0007d	0.0	2019C8100604
10		3	19.4	6	000a013d8b	牡	4			59.5		2.1/2			05495	a030d	242800	0.0	2019C8100604
11		5	18.1	5	2015104882	牡	4			59.5		ハナ			01088	01102	506800	0.0	2019C8100604
12		6	11.1	4	2015105075	牡	4			59.5		大			05339	01038	226800	0.0	2019C8100604
2		5	---	7	2013190004	牡	6			57.5		0.0			05473	05747	a00125	0.0	2019C8a00106
3		3	---	1	000a014b25	セ	5			58.5					05464	a0382	a001d1	0.0	2019C8a00106
1		4	---	3	000a014b25	セ	5			57.0	192.23	0.0			a0349	a0382	a001d1	0.0	2019C8a00207
2		5	---	5	2013190004	牡	6			57.0					05473	05747	a00125	0.0	2019C8a00207
1		1	---	4	2013190004	牡	6			57.0	180.29	0.0			05473	05747	a00125	0.0	2019C8a00304
2		4	---	1	000a013af5	牡	6			57.0					05366	a038c	a00135	0.0	2019C8a00304
1		2	---	1	000a0137b1	牡	5			58.0	147.57	0			05514	00987	a00120	0.0	2019C8a00701
2		1	---	3	2013190004	牡	6			58.0	147.8	2			05473	05747	a00125	0.0	2019C8a00701
3		3	3.6	2	2014101976	牡	5			58.0		1			05271	01053	248030	0.0	2019C8a00701
4		4	---	4	000a012ca1	牡	7			58.0		アタマ			05464	a03c7	a000ea	0.0	2019C8a00701
5		2	---	5	2013190004	牡	6			59.0	221.4	0.0			05473	05747	a00125	0.0	2019C8a00e05
6		3	---	3	2013190004	牡	6			58.0	283.2	0.0			05473	05747	a00125	0.0	2019C8a01107
