着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		20	66.6	14.0	000a0145a2	牡	3			57	123.93	0.0			a0313	00982	a00192	0.0	2019F4050412
2		13	56.9	11.0	000a014590	牡	3			57					05033	a03bc	a0018e	0.0	2019F4050412
3		8	7.0	4.0	000a014576	牡	3			57					a0361	00982	920800	0.0	2019F4050412
4		5	4.2	2.0	000a014595	牡	3			57					a034f	a033c	a00189	0.0	2019F4050412
5		16	5.6	3.0	000a014386	牡	3			57					a02ba	a033c	a00106	0.0	2019F4050412
6		15	32.1	7.0	2016102165	牡	3			57					05427	01121	367008	0.0	2019F4050412
7		1	57.5	12.0	000a014598	牡	3			57					a0382	a0332	a00185	0.0	2019F4050412
8		9	133.1	17.0	000a01457e	牡	3			57					a039e	a0358	a0018b	0.0	2019F4050412
9		14	45.7	9.0	000a0145a1	牡	3			57					a03f6	a03bd	a0018f	0.0	2019F4050412
10		10	49.9	10.0	000a0145a0	牡	3			57					05007	a0331	a000c5	0.0	2019F4050412
11		3	33.5	8.0	000a014585	牡	3			57					a03f5	a03b8	a00187	0.0	2019F4050412
12		6	18.2	6.0	000a014579	牡	3			57					05415	a03b9	a0018a	0.0	2019F4050412
13		21	71.1	15.0	000a0145a5	牡	3			57					a03f7	a03be	a00193	0.0	2019F4050412
14		2	65.2	13.0	000a01459f	セ	3			57					a03f4	a03b7	a00186	0.0	2019F4050412
15		17	9.1	5.0	000a014580	牡	3			57					a035b	a033c	a00190	0.0	2019F4050412
16		18	197.8	18.0	000a01459c	牡	3			57					05356	a033e	a00191	0.0	2019F4050412
17(降)		7	3.1	1.0	000a014586	牡	3			57					a0383	a03ba	a00106	0.0	2019F4050412
18		19	91.9	16.0	000a0145a4	牡	3			57					a03a0	a0331	a0006d	0.0	2019F4050412
19		4	203.5	19.0	000a0145a3	牡	3			57					a03b8	a0365	a00188	0.0	2019F4050412
取		11	---		000a014594	牡	3			57					05450	a03bb	a0018c	0.0	2019F4050412
取		12	---		000a014577	牡	3			57					05007	00878	a0018d	0.0	2019F4050412
