着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		7	18.1	5	000a01463e	牡	3			57.0	148.3	0			a02ba	a0332	a00196	0.0	2019FD060811
2		10	2.2	1	000a014576	牡	3			57.0		1			a0361	00982	920800	0.0	2019FD060811
3		1	54.7	10	000a014637	牡	3			57.0		3/4			a02a8	a03c0	a00194	0.0	2019FD060811
4		4	11.6	5	000a01459f	セ	3			57.0		1			a034f	00nan	00nan	0.0	2019FD060811
5		3	7.1	4	2016102165	牡	3			57.0		アタマ			05427	01121	367008	0.0	2019FD060811
6		6	14.1	6	000a0145a4	牡	3			57.0		クビ			05415	00nan	00nan	0.0	2019FD060811
7		2	21.9	9	000a014627	牡	3			57.0		ハナ			a0364	00nan	00nan	0.0	2019FD060811
8		8	6.6	3	000a014630	牡	3			57.0		1.3/4			05033	00nan	00nan	0.0	2019FD060811
9		9	5.6	2	000a014598	牡	3			57.0		2.1/2			a0382	00nan	00nan	0.0	2019FD060811
10		5	17.8	7	000a0145a9	牡	3			57.0		5			05007	00nan	00nan	0.0	2019FD060811
4		7	42.8	8	2016104858	牝	3			55.0		0.0			01169	01054	166033	0.0	2019FDa00202
8		9	---	6	000a014a00	牡	3			55.5		0.0			a02c7	05518	a00073	0.0	2019FDa00204
13		7	14.0	7	2016102165	牡	3			55.5					01115	01121	367008	0.0	2019FDa00204
