着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		9	1.7	1.0	2014106220	牝	5			57.0	124.21	0			05585	01075	486800	0.0	2019G5102609
2		14	8.9	3.0	000a014aa6	牡	3			49.5		1.1/2			05416	a03d0	a001b1	0.0	2019G5102609
3		7	44.5	11.0	000a014a0c	セ	5			59.0		2			05158	a03cb	a001ae	0.0	2019G5102609
4		10	4.9	2.0	000a014346	牝	4			57.0		1/2			05366	05518	a0006e	0.0	2019G5102609
5		12	12.4	4.0	000a014a06	牝	4			55.5		アタマ			a0403	a03ca	a001ad	0.0	2019G5102609
6		6	41.9	10.0	000a014093	セ	5			59.0		2.1/2			05529	a0324	a00130	0.0	2019G5102609
7		2	15.6	5.0	000a013ab3	セ	5			59.0		1/2			05547	00955	a00063	0.0	2019G5102609
8		4	156.5	14.0	000a013320	セ	7			59.0		3/4			05407	a0327	a0017e	0.0	2019G5102609
9		1	62.9	13.0	000a014a8d	セ	9			59.0		アタマ			a035a	a03d1	a001b2	0.0	2019G5102609
10		11	18.8	6.0	000a014a00	牡	3			56.5		クビ			05446	a0327	a00073	0.0	2019G5102609
11		5	54.9	12.0	000a014098	セ	5			59.0		アタマ			a030f	a0389	a0007f	0.0	2019G5102609
12		13	35.9	8.0	000a014a7b	牝	4			55.5		2			05520	a0324	a001af	0.0	2019G5102609
13		3	29.7	7.0	2012104508	牡	7			59.0		2			05528	01117	486800	0.0	2019G5102609
14		8	37.4	9.0	000a01499c	セ	4			59.0		8			05374	05730	a00137	0.0	2019G5102609
取		15	---		000a013af4	セ	7			59.0					05442	a03ae	a001a8	0.0	2019G5102609
取		16	---		000a0149a9	セ	4			57.5					05378	a03c8	a001a9	0.0	2019G5102609
取		17	---		000a012ddd	セ	8			59.0					00895	a03cf	a001b0	0.0	2019G5102609
取		18	---		000a013d83	セ	5			59.0					a033e	05016	242800	0.0	2019G5102609
