着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		3	2.8	1.0	2015104773	牡	4			55.5	150.16	0			05585	01110	486800	0.0	2019G6101909
2		14	7.7	4.0	000a0149f3	セ	4			52.5		1			05416	a03f1	a001c0	0.0	2019G6101909
3		2	16.9	7.0	000a01421e	牡	5			56.0		アタマ			a030f	a03c9	a001a7	0.0	2019G6101909
4		11	6.0	2.0	000a0149d3	牡	3			53.0		アタマ			05486	a0327	013031	0.0	2019G6101909
5		6	7.0	3.0	000a0140cb	セ	5			54.5		アタマ			05307	a0324	a00071	0.0	2019G6101909
6		4	22.4	8.0	000a0149de	セ	6			55.5		アタマ			00895	a03a9	a00137	0.0	2019G6101909
7		1	14.8	6.0	000a012a3c	セ	8			58.0		1.1/4			a035a	00955	242800	0.0	2019G6101909
8		8	100.3	16.0	000a013199	セ	6			54.5		3/4			a033e	05559	103033	0.0	2019G6101909
9		16	23.7	9.0	000a0149f6	牡	4			52.0		アタマ			a0359	a0387	a001ac	0.0	2019G6101909
10		19	215.5	18.0	000a0140c7	牡	6			54.0		アタマ			a027f	a032d	a0012b	0.0	2019G6101909
11		12	9.2	5.0	000a0149a9	セ	4			53.0		アタマ			a0353	a03c8	a001a9	0.0	2019G6101909
12		7	38.0	11.0	000a013b37	セ	6			54.5		アタマ			05460	a038b	a000a7	0.0	2019G6101909
13		18	34.1	10.0	2015105946	セ	4			50.0		1			a03ae	a032b	00nan	0.0	2019G6101909
14		15	63.6	13.0	000a0149f8	セ	5			52.0		アタマ			a03ee	a0324	00nan	0.0	2019G6101909
15		9	57.2	12.0	000a0149e3	セ	4			54.0		アタマ			a03ad	a03cc	a001ab	0.0	2019G6101909
16		5	65.2	14.0	000a013fb0	セ	4			55.5		1.1/2			05407	a0327	a001a7	0.0	2019G6101909
17		17	106.9	17.0	000a0149ab	牝	4			51.5		1/2			05551	00[外]	00nan	0.0	2019G6101909
18		10	77.0	15.0	000a013af9	セ	7			54.0		大			05306	a03a9	00nan	0.0	2019G6101909
取		13	---		000a0149f0	セ	4			52.5					a0404	00nan	00nan	0.0	2019G6101909
取		20	---		000a01406d	セ	4			54.0					a03e7	a0382	a00074	0.0	2019G6101909
取		21	---		000a0149ff	牝	6			52.0					a0405	05682	a001ba	0.0	2019G6101909
取		22	---		000a01415f	セ	6			53.5					a03ea	a038e	a00138	0.0	2019G6101909
1		11	2.8	1.0	000a0144a0	牝	5			57.0		0	6-4		0ボウマン	0J.A.	00nan	0.0	2019G6a00106
2		5	51.0	11.0	Malaguerra	セ	8			59.0		1/2	4-3		0メルハム	0P.Ge	00nan	0.0	2019G6a00106
3		1	16.0	9.0	000a012a3c	セ	8			59.0		1/2	8-8		000ダン	0J.A.	00nan	0.0	2019G6a00106
4		7	7.0	2.0	000a0144a3	牡	6			59.0		アタマ	10-9		00ザーラ	0P. &	00nan	0.0	2019G6a00106
5		9	11.0	5.0	Manuel	牡	6			59.0		アタマ	1-1		0L.Cu	0A.J.	00nan	0.0	2019G6a00106
6		4	14.0	8.0	Redkirk Warrior	セ	8			59.0		アタマ	7-7		00ノレン	0D. &	00nan	0.0	2019G6a00106
7		3	10.0	4.0	2013100096	牡	6			59.0		1/2	5-6		0ウォーカ	0K.A.	00nan	0.0	2019G6a00106
8		2	11.0	6.0	000a014497	セ	7			59.0		アタマ	2-2		0オリヴァ	0K.A.	00nan	0.0	2019G6a00106
9		6	13.0	7.0	Material Man	セ	8			59.0		アタマ	3-5		0L.F.	0J.T.	00nan	0.0	2019G6a00106
10		12	26.0	10.0	000a0144c5	牝	4			55.5		アタマ	11-11		00アレン	0C.J.	00nan	0.0	2019G6a00106
11		10	61.0	12.0	Magic Consol	セ	10			59.0		2.1/2	9-10		0J.Ch	0P.A.	00nan	0.0	2019G6a00106
102		8	9.0	3.0	Best Of Days	牡	5			59.0			0-0		0ウィリア	0J.A.	00nan	0.0	2019G6a00106
