	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202009010101	ダ	右	1800	曇	稍重	09:55	3歳未勝利		2020-2-29	1	阪神	1	3歳未勝利	牝[指](馬齢)	7	310	2	7	100	2	4	100	1	6.0	100.0	3.0	4-7	200	1	4-7	110	1	6-7	150	3	4-6	130	2	7=>4	570	3	4-6-7	180	1	7=>4=>6	1050	3	(*7,4)5(3,6)-2-(1,8)	7,4(3,6,5)-2-(1,8)	7(4,5)(3,6)-(2,8)1	7,4,6,5(3,1)8,2	13.1 - 11.9 - 13.6 - 13.0 - 12.9 - 12.9 - 12.8 - 12.7 - 13.2	13.1 - 25.0 - 38.6 - 51.6 - 64.5 - 77.4 - 90.2 - 102.9 - 116.1 (38.6-38.7)			
202009010102	ダ	右	1400	曇	稍重	10:25	3歳未勝利		2020-2-29	1	阪神	1	3歳未勝利	[指](馬齢)	11	430	2	11	140	2	14	110	1	4.0	790.0	10.0	11-14	340	1	11-14	170	1	4-11	2,980	26	4-14	1,420	16	11=>14	830	2	4-11-14	4330	13	11=>14=>4	19520	56			(*9,14)11(6,10)(2,3,13)-(4,15)-(8,12)(1,7)5	(*9,14)11,6,13(2,10)4(3,15)-12,7,8,1,5	12.4 - 11.5 - 11.9 - 12.0 - 12.3 - 12.4 - 13.0	12.4 - 23.9 - 35.8 - 47.8 - 60.1 - 72.5 - 85.5 (35.8-37.7)	6-8	330.0	1.0
202009010103	ダ	右	1800	曇	稍重	10:55	3歳未勝利		2020-2-29	1	阪神	1	3歳未勝利	[指](馬齢)	2	170	1	2	100	1	7	100	2	3.0	230.0	5.0	2-7	160	1	2-7	110	1	2-3	490	6	3-7	620	9	2=>7	240	1	2-3-7	1070	4	2=>7=>3	2380	7	10-(6,9)-7,3,2(1,5)(4,8)	10-9,6,7,3,2-5(1,8)4	(*10,9)7(6,3)2(1,8)(4,5)	(10,*9)(7,3)(6,2)-(1,5)4,8	12.9 - 11.4 - 13.3 - 13.3 - 13.2 - 13.1 - 12.7 - 12.7 - 12.4	12.9 - 24.3 - 37.6 - 50.9 - 64.1 - 77.2 - 89.9 - 102.6 - 115.0 (37.6-37.8)	2-7	150.0	1.0
202009010104	ダ	右	1200	曇	稍重	11:25	3歳新馬		2020-2-29	1	阪神	1	3歳新馬	[指](馬齢)	2	2000	8	2	440	8	11	540	9	3.0	160.0	1.0	2-11	13570	43	2-11	3,820	44	2-3	1,360	16	3-11	1,490	19	2=>11	25500	84	2-3-11	16970	64	2=>11=>3	154400	519			(2,*3)-(9,4,13)10-(6,11,15)(1,5,12)=(8,14)-16-7	(*2,3)(9,4,13)-10,5,11(6,1,15)12-(8,14)-16=7	12.8 - 11.0 - 12.3 - 12.4 - 12.5 - 13.5	12.8 - 23.8 - 36.1 - 48.5 - 61.0 - 74.5 (36.1-38.4)	1-6	3130.0	14.0
202009010105	芝	右	2400	曇	良	12:15	3歳未勝利		2020-2-29	1	阪神	1	3歳未勝利	(混)[指](馬齢)	7	210	1	7	110	1	1	350	8	2.0	150.0	2.0	1-7	2800	8	1-7	860	9	2-7	250	1	1-2	1,480	19	7=>1	3770	11	1-2-7	3000	8	7=>1=>2	14820	38	(*1,11)(7,12)(2,9)4,3,13,8,10,5,6	(*1,11)(7,12)(2,9)(3,4)(8,13)(5,10)6	(*1,11)(7,4,12)9(2,13)10,3,6,8,5	(*1,11)(7,4,12)9(2,13)(3,10)6,8,5	12.7 - 11.6 - 12.9 - 13.3 - 13.1 - 13.1 - 12.6 - 12.2 - 11.8 - 11.3 - 11.2 - 11.5	12.7 - 24.3 - 37.2 - 50.5 - 63.6 - 76.7 - 89.3 - 101.5 - 113.3 - 124.6 - 135.8 - 147.3 (37.2-34.0)	1-5	2490.0	9.0
202009010106	ダ	右	1200	曇	稍重	12:45	3歳1勝クラス		2020-2-29	1	阪神	1	3歳1勝クラス	[指](馬齢)	8	160	1	8	110	1	13	170	3	6.0	300.0	7.0	8-13	480	1	8-13	320	3	6-8	580	6	6-13	1,320	15	8=>13	720	2	6-8-13	2410	9	8=>13=>6	6790	15			(*4,8)12(1,5,13)6,2(3,9)7,10-11	(*4,8)12(1,5,13)6,9(2,3)7,10-11	12.3 - 11.9 - 12.3 - 11.8 - 11.6 - 12.0	12.3 - 24.2 - 36.5 - 48.3 - 59.9 - 71.9 (36.5-35.4)	6-8	480.0	2.0
202009010107	ダ	右	1400	小雨	稍重	13:15	4歳以上1勝クラス		2020-2-29	1	阪神	1	4歳以上1勝クラス	牝[指](定量)	2	220	1	2	120	1	7	940	7	3.0	170.0	3.0	2-7	5050	13	2-7	1,330	13	2-3	290	2	3-7	2,610	20	2=>7	7180	23	2-3-7	7980	20	2=>7=>3	35800	94			8,9,7(2,5)(3,4)6,1	8(9,7)(2,5,4)(3,6)1	12.3 - 11.4 - 11.9 - 12.3 - 12.4 - 12.3 - 12.9	12.3 - 23.7 - 35.6 - 47.9 - 60.3 - 72.6 - 85.5 (35.6-37.6)	2-7	7080.0	14.0
202009010108	芝	右	1800	小雨	良	13:50	4歳以上1勝クラス		2020-2-29	1	阪神	1	4歳以上1勝クラス	(混)[指](定量)	4	190	1	4	130	1	3	530	7	6.0	440.0	6.0	3-4	1860	9	3-4	560	6	4-6	660	10	3-6	3,170	28	4=>3	2390	8	3-4-6	6400	23	4=>3=>6	19300	66			3,6,7(2,5)(4,9)8,10,1	(*3,6)(7,1)(2,5)(9,8)4,10	12.8 - 11.9 - 12.8 - 13.1 - 13.1 - 12.2 - 11.1 - 10.7 - 11.3	12.8 - 24.7 - 37.5 - 50.6 - 63.7 - 75.9 - 87.0 - 97.7 - 109.0 (37.5-33.1)	3-4	1700.0	6.0
202009010109	芝	右	1600	小雨	良	14:25	うずしおステークス 		2020-2-29	1	阪神	1	4歳以上1600万下	(混)	10	1350	5	10	400	8	8	340	5	12.0	250.0	3.0	8-10	7420	32	8-10	2,000	31	10-12	1,580	22	8-12	1,320	17	10=>8	14800	63	8-10-12	15090	60	10=>8=>12	104460	415			4,2,1(5,7)(3,11)6(10,12)8,9	(*4,2)7(1,5)11(3,6,12)(10,8,9)	12.2 - 11.2 - 11.8 - 12.2 - 11.9 - 11.0 - 11.2 - 12.1	12.2 - 23.4 - 35.2 - 47.4 - 59.3 - 70.3 - 81.5 - 93.6 (35.2-34.3)	6-7	3340.0	17.0
202009010110	芝	右	1200	雨	良	15:01	マーガレットS	L	2020-2-29	1	阪神	1	3歳オープン	(国際)(特指)(別定)	5	1450	7	5	500	8	8	1,790	11	10.0	250.0	4.0	5-8	40880	50	5-8	10,060	49	5-10	1,210	17	8-10	5,950	43	5=>8	62570	93	5-8-10	68000	124	5=>8=>10	491610	743			5,9(2,10,11)3(7,8)(1,6)-4	5(9,10,11)2(3,8)(7,1,6)4	12.0 - 11.0 - 11.4 - 11.5 - 11.3 - 12.1	12.0 - 23.0 - 34.4 - 45.9 - 57.2 - 69.3 (34.4-34.9)	5-7	3270.0	14.0
