着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	2	2	1.8	1.0	2017104894	牡	3	468.0	10.0	56	77.5	0	2-1	41.3	5389	05630	758005	30.0	202030041501
2	1	1	5.6	3.0	2017103560	牝	3	384.0	-10.0	54	77.9	2	7-7	39.1	5534	05551	261033	8.4	202030041501
3	7	7	9.3	4.0	2017102260	牝	3	446.0	18.0	54	78.0	3/4	3-3	41.5	5512	a02a1	x09bf7	6.3	202030041501
4	5	5	38.1	5.0	2017104530	牝	3	400.0	-12.0	54	78.6	3	5-5	40.6	5477	05228	506006	4.2	202030041501
5	8	8	2.8	2.0	2017100489	牝	3	508.0	0.0	54	78.7	1/2	1-1	42.6	5492	05311	x0751c	2.1	202030041501
6	3	3	54.1	6.0	2017101294	牝	3	420.0	-13.0	54	78.8	1/2	6-5	40.6	5054	a0373	082031	0.0	202030041501
7	6	6	98.5	7.0	2017104547	牝	3	488.0	0.0	54	79.2	2	4-4	42.4	5371	a0372	784800	0.0	202030041501
8	4	4	190.4	8.0	2017101282	牝	3	420.0	-10.0	54	79.9	3	8-8	40.9	5502	05512	505800	0.0	202030041501
1	1	1	1.6	1.0	2017100644	牡	3	444.0	6.0	56	114.1	0	3-3-3-2	42.1	5091	05706	x097fd	40.0	202030041502
2	6	6	2.8	2.0	2017101351	牡	3	464.0	16.0	56	114.3	3/4	1-1-1-1	42.5	5578	05688	066008	11.2	202030041502
3	4	4	5.4	3.0	2017100052	牝	3	414.0	-2.0	54	115.0	3	4-3-4-4	42.7	5411	05660	x09afb	8.4	202030041502
4	5	5	25.9	5.0	2017100976	牝	3	468.0	-12.0	54	116.2	6	2-2-2-3	44.2	5502	05055	106030	5.6	202030041502
5	2	2	17.2	4.0	2017101408	牝	3	388.0	-21.0	54	117.1	4	5-5-4-5	44.9	5054	a0373	x097fd	2.8	202030041502
取	3	3	---		2017105900	牡	3			56					5534	05509	899033	0.0	202030041502
1	1	1	1.6	1.0	2016105336	牡	4	490.0	8.0	56	64.2	0	1-1	39.1	05502	05660	304030	30.0	202030041503
2	8	8	2.6	2.0	2015103976	牝	5	468.0	-2.0	54	64.7	2.1/2	3-3	39.0	00837	05301	759008	8.4	202030041503
3	2	2	24.8	5.0	2016106588	牡	4	478.0	-6.0	54	65.0	1.1/2	7-6	38.7	05592	a024d	339008	6.3	202030041503
4	4	4	16.1	3.0	2015101769	牡	5	478.0	26.0	56	65.3	1.1/2	2-2	40.2	05371	05025	409007	4.2	202030041503
5	7	7	32.5	8.0	2013102808	牡	7	432.0	2.0	56	65.4	クビ	4-4	39.6	05088	05460	x0082b	2.1	202030041503
6	6	6	20.0	4.0	2015102104	牝	5	470.0	12.0	54	65.5	1/2	4-5	39.7	05389	05364	863033	0.0	202030041503
7	3	3	29.9	7.0	2014101178	牝	6	422.0	0.0	54	65.6	1/2	8-7	39.0	05578	05512	x03a89	0.0	202030041503
8	8	9	24.8	5.0	2016109060	セ	4	500.0	0.0	56	66.1	2.1/2	6-8	40.1	05545	05723	641030	0.0	202030041503
9	5	5	113.8	9.0	2012100807	牝	8	498.0	4.0	54	66.1	クビ	9-9	39.5	a01ec	05025	x079b6	0.0	202030041503
1	1	1	1.7	1.0	2016102160	牡	4	508.0	38.0	56	75.9	0	1-1	39.4	05089	05630	248030	30.0	202030041504
2	2	2	2.2	2.0	2016100552	牡	4	494.0	-2.0	56	77.0	5	8-6	39.5	05512	a02a1	x05848	8.4	202030041504
3	3	3	62.5	7.0	2016102354	牡	4	500.0	30.0	56	77.3	1.1/2	5-4	40.4	05578	05721	x0269b	6.3	202030041504
4	6	6	12.7	4.0	2016103257	牝	4	426.0	0.0	54	77.3	ハナ	4-5	40.6	05534	05615	x063a5	4.2	202030041504
5	5	5	115.0	9.0	2013103007	セ	7	456.0	2.0	56	77.9	3	9-9	40.2	05477	05301	213007	2.1	202030041504
6	4	4	12.6	3.0	2016100233	牡	4	450.0	-6.0	56	78.0	1/2	5-8	40.9	05091	05706	x0249e	0.0	202030041504
7	8	8	45.8	5.0	2014103445	牝	6	464.0	24.0	54	78.5	2.1/2	1-2	42.0	05411	05615	115800	0.0	202030041504
8	8	9	86.4	8.0	2016103427	牡	4	472.0	18.0	56	78.6	1/2	1-3	42.1	05371	05025	x028d0	0.0	202030041504
9	7	7	47.9	6.0	2016100801	牡	4	444.0	-2.0	56	79.2	3	7-7	42.0	05502	05660	981002	0.0	202030041504
1	1	1	2.3	2.0	2018100518	牝	2	452.0	0.0	54	63.3	0	7-4	38.3	05411	05311	x0751c	200.0	202030041505
2	5	5	2.2	1.0	2018106358	牝	2	388.0	0.0	54	63.5	1	1-1	39.0	05389	05630	302800	40.0	202030041505
3	3	3	4.7	3.0	2018102072	牝	2	392.0	0.0	52	63.8	1.1/2	1-1	39.3	05592	05688	689033	30.0	202030041505
4	2	2	73.0	8.0	2018101415	牡	2	400.0	0.0	54	64.0	3/4	3-3	39.4	05545	a02e5	310006	20.0	202030041505
5	4	4	52.1	7.0	2018106846	セ	2	432.0	0.0	54	64.7	3	8-8	39.2	05502	05108	489033	10.0	202030041505
6	6	6	17.1	4.0	2018103731	牡	2	404.0	0.0	54	65.1	2	5-6	40.3	05534	05615	149033	0.0	202030041505
7	8	8	47.6	6.0	2018104223	牝	2	438.0	0.0	54	65.9	4	5-6	41.1	05371	a0372	x0a0a2	0.0	202030041505
8	7	7	18.5	5.0	2018101059	牝	2	434.0	0.0	54	66.0	クビ	3-4	41.4	05477	05228	506006	0.0	202030041505
1	4	4	4.4	3.0	2016101312	牝	4	502.0	14.0	54	62.3	0	2-2	38.3	05492	05615	703030	30.0	202030041506
2	5	6	8.5	5.0	2016101633	牡	4	466.0	-1.0	56	63.0	3	3-3	38.9	05534	a0264	609009	8.4	202030041506
3	6	8	3.6	2.0	2016106013	牡	4	478.0	9.0	56	63.1	1/2	8-8	38.2	05411	05551	261033	6.3	202030041506
4	7	10	3.5	1.0	2016106612	牡	4	522.0	22.0	56	63.3	1	1-1	40.1	05089	a02e5	450006	4.2	202030041506
5	8	12	96.5	12.0	2016102349	牝	4	428.0	-4.0	54	63.5	1	8-8	38.6	05512	05721	614002	2.1	202030041506
6	7	9	65.6	10.0	2015103497	牝	5	442.0	-2.0	54	63.7	3/4	7-5	39.2	05371	a02e6	x04407	0.0	202030041506
7	3	3	5.0	4.0	2016105550	牡	4	504.0	0.0	56	63.8	1/2	5-5	39.3	05545	05630	399009	0.0	202030041506
8	2	2	18.7	6.0	2016103707	牡	4	484.0	0.0	56	63.8	ハナ	4-3	39.4	05502	05660	x00184	0.0	202030041506
9	1	1	43.2	7.0	2016104160	牝	4	464.0	10.0	54	63.9	1/2	8-10	38.7	a01ec	a024d	339008	0.0	202030041506
10	6	7	77.5	11.0	2015103063	牝	5	458.0	6.0	54	64.3	2	8-11	39.2	05286	05706	074031	0.0	202030041506
11	5	5	57.6	9.0	2015106061	牝	5	400.0	2.0	54	64.8	2.1/2	12-12	39.3	00837	05093	285002	0.0	202030041506
12	8	11	46.1	8.0	2015102294	牝	5	486.0	12.0	54	65.0	1	5-5	40.6	05578	05615	771006	0.0	202030041506
1	6	6	5.9	3.0	2013101173	牡	7	522.0	6.0	56	76.3	0	2-2	38.8	05286	05688	x0893b	45.0	202030041507
2	4	4	1.7	1.0	2016105698	牝	4	504.0	10.0	54	76.5	1	1-1	39.0	05411	05311	x0918d	9.0	202030041507
3	8	8	98.2	8.0	2015106464	牝	5	430.0	4.0	54	77.0	2.1/2	2-2	39.5	a01ec	a024d	339008	6.8	202030041507
4	7	7	23.0	5.0	2016106516	牝	4	452.0	20.0	54	77.2	1	6-5	39.2	05492	a03d6	522030	4.5	202030041507
5	2	2	83.3	7.0	2015106242	牡	5	548.0	28.0	56	77.4	1	6-6	39.4	05088	05460	277008	2.2	202030041507
6	1	1	19.7	4.0	2015100855	牝	5	478.0	0.0	54	77.6	3/4	5-6	39.6	05512	00886	480033	0.0	202030041507
