着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	9	1.1	1.0	2016102293	牡	4	469.0	-7.0	56.0	50.8	0	1	36.8	a01b4	849	128008	27.0	202048010101
2	8	8	13.8	4.0	2016103605	牡	4	496.0	0.0	56.0	52.4	8	3	37.9	05053	5671	x0847f	7.6	202048010101
3	7	7	8.4	3.0	2016102254	牡	4	434.0	0.0	56.0	52.8	2	2	38.3	05171	5287	985033	4.3	202048010101
4	5	5	83.6	8.0	2016102330	牝	4	445.0	3.0	54.0	53.1	1.1/2	5	37.8	05435	5177	x09337	2.7	202048010101
5	1	1	54.0	6.0	2016104199	牡	4	463.0	5.0	56.0	53.4	1.1/2	7	37.9	00839	5357	x06e26	1.6	202048010101
6	6	6	82.1	7.0	2016101655	牝	4	512.0	15.0	52.0	54.1	3	4	39.6	a02bb	823	x03917	0.0	202048010101
7	3	3	97.6	9.0	2016102063	牝	4	464.0	2.0	54.0	54.4	1.1/2	8	39.1	a0035	5131	129033	0.0	202048010101
8	2	2	27.3	5.0	2016104377	セ	4	459.0	11.0	56.0	54.4	アタマ	9	38.3	05557	5486	133031	0.0	202048010101
9	4	4	7.4	2.0	2016103284	セ	4	458.0	-2.0	56.0	54.7	1.1/2	6	40.0	05370	5486	580007	0.0	202048010101
1	2	2	4.0	2.0	2016102308	牝	4	393.0	-2.0	51.0	94.5	0	5-4-3	40.1	a03ff	05486	043007	27.0	202048010102
2	4	4	4.1	3.0	2016102718	牝	4	465.0	2.0	54.0	95.0	2.1/2	1-1-1	41.0	05164	a022c	x07294	7.6	202048010102
3	8	10	1.8	1.0	2016101471	牝	4	513.0	10.0	54.0	96.0	5	2-2-2	41.9	05370	05604	753006	4.3	202048010102
4	8	9	136.8	8.0	2016106233	牝	4	456.0	1.0	54.0	96.1	クビ	4-3-4	41.9	a02e0	05200	x000f8	2.7	202048010102
5	3	3	135.1	7.0	2016105516	牝	4	385.0	-3.0	54.0	96.5	2	9-9-6	41.4	05557	05274	x09067	1.6	202048010102
6	1	1	149.5	9.0	2016100073	牡	4	450.0	4.0	56.0	96.8	1.1/2	7-8-9	42.0	05521	05368	566006	0.0	202048010102
7	6	6	10.9	4.0	2016101727	牝	4	411.0	1.0	52.0	96.8	クビ	6-6-5	42.2	a02bb	00823	x03917	0.0	202048010102
8	7	7	20.3	6.0	2016105129	牝	4	503.0	13.0	54.0	96.9	クビ	10-10-10	41.6	a023e	a02e8	x099d9	0.0	202048010102
9	5	5	193.9	10.0	2016100034	牝	4	441.0	2.0	54.0	97.1	1	3-5-6	42.6	a0035	05357	554008	0.0	202048010102
10	7	8	15.6	5.0	2016104631	牝	4	434.0	1.0	52.0	97.1	クビ	8-7-8	42.4	05196	05368	074031	0.0	202048010102
1	7	8	3.3	2.0	2016103154	牡	4	424.0	2.0	54.0	93.3	0	1-1-1	40.8	05196	05604	382004	27.0	202048010103
2	5	5	8.1	4.0	2016106018	牝	4	433.0	8.0	51.0	94.2	4	8-8-5	39.8	a03ff	05486	489033	7.6	202048010103
3	8	9	63.2	8.0	2016101463	牝	4	419.0	5.0	54.0	94.4	1.1/2	4-3-4	40.9	a016d	05139	x07294	4.3	202048010103
4	7	7	44.1	7.0	2016102843	牝	4	450.0	2.0	54.0	94.6	3/4	6-5-3	40.7	00839	05281	x000f8	2.7	202048010103
5	2	2	2.1	1.0	2016105648	牡	4	443.0	-4.0	56.0	94.8	1.1/2	7-6-6	40.8	a02e0	05200	x0095b	1.6	202048010103
6	3	3	154.1	9.0	2016101868	牝	4	442.0	4.0	54.0	95.5	3	10-10-8	40.6	a0292	05139	x091ac	0.0	202048010103
7	6	6	16.0	5.0	2016102135	牝	4	475.0	5.0	54.0	95.6	1/2	5-7-7	41.5	a0035	05322	x06e26	0.0	202048010103
8	4	4	4.8	3.0	2016102654	牝	4	453.0	3.0	52.0	96.0	2	2-2-2	43.1	a02bb	00823	800007	0.0	202048010103
9	1	1	188.5	10.0	2016101706	牝	4	381.0	-2.0	54.0	96.3	1.1/2	9-9-9	41.5	05370	05287	x0a187	0.0	202048010103
10	8	10	23.7	6.0	2016100788	牝	4	446.0	2.0	54.0	98.5	大	3-4-10	44.6	05435	05270	x01175	0.0	202048010103
1	3	3	1.8	1.0	2016104783	牝	4	534.0	6.0	54.0	91.8	0	1-1-1	39.9	05171	05200	980008	27.0	202048010104
2	7	8	35.1	6.0	2016101095	牝	4	395.0	5.0	54.0	93.1	6	7-7-5	39.4	a0292	05270	874008	7.6	202048010104
3	5	5	6.2	4.0	2016106128	牝	4	462.0	6.0	54.0	93.3	1.1/2	2-2-2	41.2	05435	05668	261033	4.3	202048010104
4	7	7	5.6	3.0	2016105265	セ	4	451.0	5.0	56.0	93.4	1/2	6-6-3	39.9	05543	05242	333030	2.7	202048010104
5	6	6	32.1	5.0	2016101791	牝	4	427.0	7.0	51.0	93.7	1.1/2	4-3-4	40.5	a03ff	05668	x097be	1.6	202048010104
6	8	10	3.5	2.0	2016102093	牝	4	438.0	12.0	54.0	94.3	3	5-4-6	40.9	00839	05604	061800	0.0	202048010104
7	1	1	247.6	9.0	2016101554	牝	4	435.0	2.0	54.0	94.7	2	9-9-8	40.0	05557	05155	261033	0.0	202048010104
8	2	2	220.7	8.0	2016103570	牝	4	412.0	-4.0	54.0	94.8	1/2	8-8-9	40.2	05370	05671	771009	0.0	202048010104
9	4	4	113.8	7.0	2016100404	牝	4	461.0	-2.0	52.0	96.3	7	3-5-7	42.9	05196	05125	x091ac	0.0	202048010104
中	8	9	294.9	10.0	2016101350	牡	4	432.0	5.0	56.0					05164	05368	x09067	0.0	202048010104
1	6	6	3.1	2.0	2016103920	牡	4	581.0	9.0	56.0	92.4	0	1-1-1	40.0	05370	05486	542800	27.0	202048010105
2	5	5	2.9	1.0	2016100112	牡	4	529.0	-3.0	56.0	92.6	3/4	2-2-2	40.0	00839	05604	849009	7.6	202048010105
3	7	7	20.1	5.0	2016100899	牡	4	420.0	7.0	56.0	93.1	2.1/2	7-6-4	40.2	05324	05588	587800	4.3	202048010105
4	8	9	21.7	6.0	2016105639	牝	4	439.0	1.0	52.0	93.3	1.1/2	5-4-4	40.5	05196	a003d	190033	2.7	202048010105
5	4	4	262.7	9.0	2016105769	牡	4	435.0	-2.0	53.0	93.9	3	10-9-6	40.1	a03ff	00823	x000ea	1.6	202048010105
6	2	2	272.0	10.0	2016101934	牡	4	484.0	5.0	56.0	94.1	1	9-9-6	40.3	a023e	05281	351800	0.0	202048010105
7	7	8	3.6	3.0	2016105164	牡	4	445.0	3.0	56.0	94.5	2	3-3-3	41.8	a02e0	05263	727008	0.0	202048010105
8	8	10	179.2	8.0	2016106287	牡	4	437.0	1.0	56.0	95.0	2.1/2	8-7-9	41.6	05053	05671	142006	0.0	202048010105
9	3	3	24.1	7.0	2016103939	牡	4	473.0	16.0	54.0	95.4	2	6-8-10	41.9	a02bb	05274	x09684	0.0	202048010105
10	1	1	6.1	4.0	2016102147	牡	4	519.0	-4.0	56.0	95.7	1.1/2	4-4-8	42.9	05557	05125	x097be	0.0	202048010105
1	6	6	1.9	1.0	2015104483	牡	5	526.0	11.0	54.0	105.2	0	3-2-1	39.9	05196	05263	727008	29.0	202048010106
2	7	7	67.7	8.0	2015105133	牡	5	488.0	4.0	56.0	105.7	2.1/2	1-1-2	40.5	05435	a02e8	x006f1	8.1	202048010106
3	2	2	30.5	7.0	2015105344	牝	5	450.0	1.0	54.0	106.4	3	9-7-5	40.4	05557	05668	261033	4.6	202048010106
4	4	4	3.3	2.0	2014100680	牡	6	452.0	-1.0	56.0	106.9	2.1/2	5-6-8	41.2	05171	05279	367033	2.9	202048010106
5	5	5	13.2	4.0	2012104246	セ	8	444.0	8.0	56.0	106.9	アタマ	8-8-7	40.9	05053	05279	a00021	1.7	202048010106
6	3	3	17.7	6.0	2015105130	牡	5	481.0	2.0	56.0	107.2	1.1/2	4-4-3	41.7	a0032	05185	x07294	0.0	202048010106
7	1	1	15.9	5.0	2014110030	牡	6	465.0	5.0	56.0	107.4	1	7-9-9	41.3	a02e0	05200	789008	0.0	202048010106
8	8	8	5.6	3.0	2016100729	牡	4	500.0	4.0	54.0	107.4	クビ	6-5-4	41.8	a02bb	00823	x03917	0.0	202048010106
9	8	9	92.2	9.0	2015100838	牝	5	471.0	3.0	54.0	107.9	2.1/2	2-3-6	42.4	05543	05177	x09e47	0.0	202048010106
1	1	1	1.3	1.0	2017106481	牡	3	448.0	8.0	56.0	90.9	0	1-1-1	38.9	05171	05242	554008	56.0	202048010107
2	5	5	5.1	2.0	2017101245	牝	3	429.0	1.0	54.0	92.2	6	3-3-2	39.9	a02e0	05242	x0269b	15.7	202048010107
3	8	8	8.7	3.0	2017100646	牝	3	474.0	4.0	54.0	92.8	3	4-4-3	40.4	05543	05177	x09337	9.0	202048010107
4	7	7	11.2	4.0	2017104802	牝	3	418.0	-2.0	54.0	93.7	4	6-6-4	40.8	05370	05486	700033	5.6	202048010107
5	3	3	40.5	6.0	2017103668	牡	3	457.0	5.0	56.0	94.2	2.1/2	7-7-7	40.5	05111	05242	x07dfa	3.4	202048010107
6	4	4	116.6	8.0	2017102644	牝	3	438.0	5.0	52.0	95.0	4	8-8-8	41.1	05196	05125	x07294	0.0	202048010107
7	2	2	17.0	5.0	2017106190	牡	3	497.0	4.0	56.0	95.1	クビ	5-5-6	42.3	05557	05486	043007	0.0	202048010107
8	6	6	68.1	7.0	2017102365	牝	3	440.0	3.0	54.0	95.6	2.1/2	2-2-5	43.3	05053	a030a	266033	0.0	202048010107
1	6	6	10.9	3.0	2014106344	牡	6	501.0	1.0	56.0	92.1	0	4-3-3	40.5	05370	05486	700033	29.0	202048010108
