	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202030041501	ダ	右	1200	晴	良	15:05	3歳条件未勝利		2020-4-15	1	門別	1	(馬齢)		2.0	180.0	1.0	2.0	110	1.0	1.0	150	4.0	7.0	140.0	3.0	1-2	790.0	3.0	1-2	190	2.0	2-7	210	3.0	1-7	350	5.0	2=>1	890.0	4.0	1-2-7	870.0	4.0	2=>1=>7	3360.0	11.0			8,2,7,6-5,3,1,4	(8,2),7,6,(5,3),1,4					
202030041502	ダ	右	1700	晴	良	15:35	3歳条件4ー2		2020-4-15	1	門別	1	(馬齢)		1.0	160.0	1.0	1.0	120	1.0	6.0	130	3.0				1-6	210.0	1.0	1-6	100	1.0	1-4	120	2.0	4-6	130	3.0	1=>6	230.0	1.0	1-4-6	140.0	1.0	1=>6=>4	370.0	1.0	65142.0	6,5,(1,4),2	6,5,1,(2,4)	61542					
202030041503	ダ	右	1000	曇	良	16:10	3歳以上C4ー6		2020-4-15	1	門別	1	(馬齢)		1.0	160.0	1.0	1.0	110	1.0	8.0	110	2.0	2.0	210.0	6.0	1-8	230.0	1.0	1-8	160	1.0	1-2	360	6.0	2-8	450	8.0	1=>8	360.0	1.0	1-2-8	720.0	2.0	1=>8=>2	1580.0	3.0			1,4,8,(6,7),9,2,3,5	148762395			1-8	210.0	1.0
202030041504	ダ	右	1200	曇	良	16:40	3歳以上C4ー3		2020-4-15	1	門別	1	(馬齢)		1.0	170.0	1.0	1.0	110	2.0	2.0	100	1.0	3.0	290.0	7.0	1-2	150.0	1.0	1-2	150	1.0	1-3	680	7.0	2-3	870	12.0	1=>2	190.0	1.0	1-2-3	1000.0	5.0	1=>2=>3	2180.0	7.0			(8,9,1),6,(3,4),7,2,5	189362745			1-2	140.0	1.0
202030041505	ダ	右	1000	曇	良	17:10	JRA認定フレッシュ		2020-4-15	1	門別	1	(馬齢)		1.0	230.0	2.0	1.0	100	1.0	5.0	110	2.0	3.0	120.0	3.0	1-5	190.0	1.0	1-5	130	1.0	1-3	180	3.0	3-5	170	2.0	1=>5	470.0	2.0	1-3-5	170.0	1.0	1=>5=>3	820.0	2.0			(3,5),(2,7),(6,8),1,4	(3,5),2,(1,7),(6,8),4					
202030041506	ダ	右	1000	曇	良	17:40	3歳以上C4ー2		2020-4-15	1	門別	1	(馬齢)		4.0	440.0	3.0	4.0	130	1.0	6.0	190	4.0	8.0	140.0	2.0	4-6	1820.0	5.0	4-6	590	5.0	4-8	270	1.0	6-8	340	3.0	4=>6	3300.0	11.0	4-6-8	1310.0	2.0	4=>6=>8	9650.0	17.0			10,4,6,2,(3,11),9,(1,7,8,12),5	10-4,(2,6),(3,9,11),(8,12),1,7,5			4-5	1000.0	5.0
202030041507	ダ	右	1200	曇	良	18:15	ふきのとう特別 		2020-4-15	1	門別	1	(馬齢)		6.0	590.0	3.0	6.0	160	3.0	4.0	110	1.0	8.0	910.0	7.0	4-6	480.0	2.0	4-6	220	2.0	6-8	2,190	17.0	4-8	1,360	12.0	6=>4	1440.0	4.0	4-6-8	3830.0	11.0	6=>4=>8	17110.0	44.0			4,(8,5,6),1,(2,7),3	4,(8,5,6),7,(1,2)-3					
202030041508	ダ	右	1700	曇	良	18:50	牡羊座特別 		2020-4-15	1	門別	1	(別定)		5.0	520.0	3.0	5.0	160	3.0	3.0	120	1.0				3-5	440.0	2.0	3-5	220	2.0	4-5	1,090	15.0	3-4	620	6.0	5=>3	1060.0	4.0	3-4-5	2120.0	9.0	5=>3=>4	9870.0	30.0	5,7,3,(1,6),4,2	5,(3,7),6,(1,4),2	5,(3,7),(4,6),1,2	5,3,7,(4,6),(1,2)					
202030041509	ダ	右	1200	曇	良	19:25	水仙特別 		2020-4-15	1	門別	1	(馬齢)		2.0	3440.0	7.0	2.0	1,050	7.0	1.0	210	2.0				1-2	1660.0	9.0	1-2	770	12.0	2-5	1,020	13.0	1-5	310	3.0	2=>1	10860.0	28.0	1-2-5	2960.0	15.0	2=>1=>5	35350.0	119.0			4,5,7,(1,6),3,2	(4,5),(1,7),2,6,3					
202030041510	ダ	右	1200	曇	良	20:00	福寿草特別 		2020-4-15	1	門別	1	(馬齢)		3.0	230.0	1.0	3.0	160	1.0	1.0	310	4.0				1-3	1090.0	4.0	1-3	460	6.0	3-4	1,050	14.0	1-4	1,900	19.0	3=>1	1600.0	6.0	1-3-4	4510.0	19.0	3=>1=>4	14570.0	59.0			3,7,1,(2,5),6,4	3,5,(1,7),2,4,6					
