	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202035051701	ダ	左	1200	曇	良	11:50	ともに翔ける2020		2020-5-17	1	盛岡	1			1.0	540.0	3.0	1.0	190	4.0	4.0	200.0	5.0	2.0	140	2.0	1-4	3130.0	11.0	1-4	500	9.0	1-2	220	2.0	2-4	410	7.0	1=>4	5000.0	18.0	1-2-4	2960.0	11.0	1=>4=>2	19790.0	65.0			(1,6,4),8,2,7,3,5	14623587.0					
202035051702	ダ	左	1200	曇	良	12:25	C2十五組		2020-5-17	1	盛岡	1			4.0	210.0	1.0	4.0	140	1.0	8.0	150.0	2.0	5.0	280	6.0	4-8	310.0	1.0	4-8	220	2.0	4-5	490	8.0	5-8	420	5.0	4=>8	810.0	2.0	4-5-8	820.0	4.0	4=>8=>5	3960.0	13.0			48576132.0	48576123.0					
202035051703	ダ	左	1200	曇	良	13:00	C2十四組		2020-5-17	1	盛岡	1			7.0	110.0	1.0	7.0	100	1.0	6.0	220.0	5.0	2.0	390	7.0	6-7	290.0	1.0	6-7	190	1.0	2-7	440	5.0	2-6	1,840	18.0	7=>6	380.0	1.0	2-6-7	2000.0	7.0	7=>6=>2	3460.0	10.0			762893451.0	768293451.0			6-7	360.0	2.0
202035051704	ダ	左	1200	曇	良	13:35	C2十三組		2020-5-17	1	盛岡	1			10.0	1190.0	5.0	10.0	350	4.0	2.0	600.0	6.0	9.0	430	5.0	2-10	10840.0	22.0	2-10	1,860	19.0	9-10	1,210	13.0	2-9	2,950	23.0	10=>2	10170.0	29.0	2-9-10	44150.0	63.0	10=>2=>9	130530.0	257.0			(3,10),6,1,9,5,2,8,7,4	3,10,1,6,(2,9),(5,8),7,4			2-8	5530.0	12.0
202035051705	ダ	左	1200	小雨	良	14:10	C2十二組		2020-5-17	1	盛岡	1			1.0	590.0	4.0	1.0	220	4.0	2.0	440.0	7.0	7.0	330	5.0	1-2	3280.0	16.0	1-2	1,000	12.0	1-7	1,110	19.0	2-7	880	11.0	1=>2	5550.0	25.0	1-2-7	11910.0	45.0	1=>2=>7	42370.0	159.0			1,10,7,(5,6),4,9,(2,8),3	1,(5,10),7,6,4,2,8,9,3			1-2	4230.0	17.0
202035051706	ダ	左	1200	小雨	良	14:45	C2十一組		2020-5-17	1	盛岡	1			3.0	5140.0	9.0	3.0	1,120	8.0	7.0	180.0	2.0	10.0	300	6.0	3-7	7710.0	24.0	3-7	3,520	35.0	3-10	2,000	22.0	7-10	840	15.0	3=>7	21800.0	55.0	3-7-10	20340.0	63.0	3=>7=>10	118490.0	350.0			4,6,10,3,(5,9),7,2,1,8	4,10,(3,6),5,(2,7),1,(8,9)			3-7	9310.0	24.0
202035051707	ダ	左	1600	小雨	良	15:20	3歳B1一組		2020-5-17	1	盛岡	1			1.0	210.0	1.0	1.0	130	1.0	10.0	170.0	3.0	9.0	640	7.0	1-10	690.0	2.0	1-10	270	2.0	1-9	760	9.0	9-10	2,100	24.0	1=>10	650.0	2.0	1-9-10	3530.0	13.0	1=>10=>9	10860.0	31.0			1011518297463	10,(2,1),8,4,11,9,5,7,6,3			1-8	470.0	2.0
202035051708	ダ	左	1600	小雨	良	16:05	B2三組		2020-5-17	1	盛岡	1			8.0	410.0	2.0	8.0	140	2.0	5.0	140.0	3.0	2.0	250	4.0	5-8	900.0	3.0	5-8	360	3.0	2-8	570	4.0	2-5	700	8.0	8=>5	1260.0	3.0	2-5-8	1750.0	3.0	8=>5=>2	8210.0	11.0			245871211131069.0	248567112310119.0			5-6	1180.0	6.0
202035051709	ダ	左	1400	雨	稍重	16:45	B1		2020-5-17	1	盛岡	1			7.0	380.0	3.0	7.0	110	2.0	6.0	110.0	3.0	3.0	110	1.0	6-7	510.0	2.0	6-7	180	3.0	3-7	180	2.0	3-6	160	1.0	7=>6	1080.0	4.0	3-6-7	310.0	1.0	7=>6=>3	2520.0	8.0			13647528.0	36172845.0					
202035051710	ダ	左	1400	雨	重	17:25	B1		2020-5-17	1	盛岡	1			3.0	1200.0	5.0	3.0	400	5.0	8.0	290.0	4.0	1.0	1,550	9.0	3-8	4650.0	16.0	3-8	1,570	19.0	1-3	4,390	32.0	1-8	4,920	35.0	3=>8	10980.0	35.0	1-3-8	38320.0	72.0	3=>8=>1	271720.0	398.0			896352741.0	836521947.0			3-8	1640.0	6.0
202035051711	ダ	左	1800	雨	重	18:00	ORO開幕特別 		2020-5-17	1	盛岡	1	(別定)		10.0	170.0	1.0	10.0	110	1.0	9.0	110.0	2.0	4.0	300	7.0	9-10	210.0	1.0	9-10	150	1.0	4-10	660	10.0	4-9	750	12.0	10=>9	310.0	1.0	4-9-10	1400.0	6.0	10=>9=>4	3340.0	10.0	5310119182647.0	5101139182647.0	1095831462711	10,9,8,3,1,4,6,2,7,5-11			7-8	200.0	1.0
