	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
202046031501	ダ	右	900	晴	稍重	10:50	令和2年スタートダッ		2020-3-15	21	金沢	1	(定量)		3	160	1	3.0	110	2.0	5.0	110	1.0	6.0	410	6.0	3-5	450	1	3-5	160	1	3-6	1,560	17	5-6	1,130	10	3=>5	500	1	3-5-6	4710	14	3=>5=>6	12430	37			5,(1,8,6,3),7,2,4	3,5,6,1,(8,7),2,4								
202046031502	ダ	右	1500	晴	稍重	11:20	C29		2020-3-15	21	金沢	1	(定量)		8	180	1	8.0	120	1.0	2.0	150	3.0	10.0	160	4.0	2-8	910	3	2-8	180	1	8-10	230	3	2-10	390	7	8=>2	900	3	2-8-10	1120	4	8=>2=>10	3210	7	8,(7,9),(2,11),6,10,3,(4,5)	8,(2,9),7,11,6,10,3,5,4	827910116354	8,2,10,7,9,3,(11,5),6-4			2-7	390.0	3.0	7=>2	570.0	3.0
202046031503	ダ	右	1500	晴	稍重	11:50	C28		2020-3-15	21	金沢	1	(定量)		3	260	2	3.0	100	1.0	8.0	100	2.0	4.0	110	3.0	3-8	170	1	3-8	140	1	3-4	210	3	4-8	230	5	3=>8	490	2	3-4-8	190	1	3=>8=>4	1320	4	2,4,(3,8),9,10,5,(1,7),11,6	2,4,(3,8),9,10,7,5,1-11,6	3,4,2,8,9,10,5,7-1=11,6	3,4,8,2,9,(5,10),7-1=11,6			3-7	150.0	1.0	3=>7	520.0	3.0
202046031504	ダ	右	1400	晴	稍重	12:25	3歳B　3		2020-3-15	21	金沢	1	(定量)		4	1110	6	4.0	180	3.0	1.0	150	2.0	3.0	190	4.0	1-4	990	5	1-4	370	5	3-4	990	14	1-3	320	4	4=>1	4480	14	1-3-4	1840	9	4=>1=>3	15100	61	23614578	2,3,(1,6),4,(8,5),7	2,3,(1,6)-4,5,8,7	14236587								
202046031505	ダ	右	1400	晴	稍重	13:00	3歳B　2		2020-3-15	21	金沢	1	(定量)		8	610	3	8.0	140	3.0	5.0	100	1.0	1.0	180	5.0	5-8	580	3	5-8	310	4	1-8	370	6	1-5	240	3	8=>5	1110	5	1-5-8	1090	6	8=>5=>1	5700	22	(1,8),5,7,4,6,2,3,9	1,8,5,4,7,6,2,3-9	1,8,5,4,(7,6),2,3-9	815476239			5-8	500.0	3.0	8=>5	1150.0	4.0
202046031506	ダ	右	1400	曇	稍重	13:35	ほくりくの、おいしい		2020-3-15	21	金沢	1	(定量)		1	210	1	1.0	110	1.0	4.0	110	2.0	10.0	210	5.0	1-4	340	1	1-4	170	2	1-10	390	4	4-10	460	5	1=>4	650	2	1-4-10	660	2	1=>4=>10	2350	7	10,6,(1,3,9),4,7,5,8,2	10-(1,6),(9,4),3,7,5,8,2	10,(1,6),4,(9,7),3,5,(2,8)	(1,10),4,6,(9,7),5,3,2,8			1-4	370.0	3.0	1=>4	610.0	2.0
202046031507	ダ	右	1500	曇	稍重	14:10	芝桜特別 		2020-3-15	21	金沢	1	(定量)		1	210	1	1.0	120	1.0	9.0	180	3.0	3.0	200	5.0	1-9	730	3	1-9	300	4	1-3	200	2	3-9	690	10	1=>9	1220	4	1-3-9	810	2	1=>9=>3	2630	6	(6,7),(4,5,9),1,(2,3),8	6,7,4,9,5,(1,3),2,8	1,(4,7,9,3),(6,5),8,2	1,9,3,4,7,5,(6,8),2			1-8	490.0	3.0	1=>8	1130.0	5.0
202046031508	ダ	右	1500	曇	稍重	14:45	つばき賞		2020-3-15	21	金沢	1	牝(定量)		7	540	3	7.0	150	3.0	8.0	150	4.0	5.0	100	1.0	7-8	1320	6	7-8	510	10	5-7	210	1	5-8	370	4	7=>8	1440	5	5-7-8	500	1	7=>8=>5	3970	6	85123746109	8,5,2,1,(3,7)-4,6,10,9	5,8,(2,7),1,3-4,6,10,9	5,8,(2,7),3,1,4,10,(9,6)			7-7	1500.0	6.0	7=>7	960.0	4.0
202046031509	ダ	右	1500	曇	稍重	15:20	待ってました!金沢競		2020-3-15	21	金沢	1	(定量)		8	390	3	8.0	130	2.0	11.0	200	4.0	4.0	440	6.0	8-11	600	1	8-11	440	6	4-8	490	8	4-11	710	11	8=>11	1590	6	4-8-11	2340	10	8=>11=>4	8180	29	5,7,8,11,(1,12),10,4,6,3,9,2	5,7,8,1,11,(10,12),4,6,2,(3,9)	(1,5,8,11),7,12,(10,6),4,9,2,3	1,8,11,5,12,10,(6,4),2,7,9-3			6-8	410.0	3.0	6=>8	1190.0	6.0
202046031510	ダ	右	1500	雨	稍重	16:00	マーチ賞		2020-3-15	21	金沢	1	(定量)		2	380	2	2.0	160	2.0	9.0	170	4.0	7.0	130	1.0	2-9	1760	8	2-9	610	12	2-7	300	2	7-9	620	13	2=>9	2380	10	2-7-9	1300	2	2=>9=>7	9500	28	5,8,(6,9),7,2,4,(1,3)	5,8,9,6,7,2-4,1,3	5,(8,9),(7,2),6,4,3,1	2,9,5,7,8,6,4,3-1			2-8	760.0	4.0	2=>8	1470.0	6.0
