	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
202048010101	ダ	右	800	晴	重	11:00	C28組		2020-1-1	21	名古屋	1	(定量)		9.0	110.0	1.0	9.0	100	1.0	8.0	140	3.0	7.0	140.0	4.0	8-8	350.0	3.0	8-9	370.0	2.0	8-9	190	3.0	7-9	180	2.0	7-8	460	6.0	9=>8	430.0	2.0	7-8-9	530.0	3.0	9=>8=>7	1140.0	5.0				978654132.0		
202048010102	ダ	右	1400	晴	重	11:30	C27組		2020-1-1	21	名古屋	1	(定量)		2.0	400.0	2.0	2.0	110	2.0	4.0	120	3.0	10.0	100.0	1.0	2-4	1050.0	4.0	2-4	750.0	3.0	2-4	220	3.0	2-10	170	1.0	4-10	190	2.0	2=>4	1810.0	8.0	2-4-10	420.0	1.0	2=>4=>10	4110.0	15.0		41059261837.0	41092568137.0	4,10,2,9,6,(5,3),8,1,7		
202048010103	ダ	右	1400	晴	重	12:05	C26組		2020-1-1	21	名古屋	1	(定量)		8.0	330.0	2.0	8.0	160	2.0	5.0	220	4.0	9.0	790.0	8.0	5-7	2150.0	9.0	5-8	1730.0	7.0	5-8	620	8.0	8-9	1,800	18.0	5-9	2,250	22.0	8=>5	2710.0	10.0	5-8-9	13210.0	36.0	8=>5=>9	52610.0	138.0		84109672513.0	84910726513.0	84795263110.0		
202048010104	ダ	右	1400	晴	重	12:35	市川豊馬術一級		2020-1-1	21	名古屋	1	(定量)		3.0	180.0	1.0	3.0	130	1.0	8.0	330	6.0	5.0	180.0	3.0	3-7	500.0	3.0	3-8	2130.0	8.0	3-8	520	9.0	3-5	200	2.0	5-8	690	10.0	3=>8	2720.0	11.0	3-5-8	1890.0	8.0	3=>8=>5	8970.0	32.0		3546107821.0	3,5-6,10,4,7,8,2,1	3,5,7,6,8,10-4,1,2		
202048010105	ダ	右	1400	晴	重	13:05	C24組		2020-1-1	21	名古屋	1	(定量)		6.0	310.0	2.0	6.0	140	3.0	5.0	110	1.0	7.0	230.0	5.0	5-6	310.0	1.0	5-6	430.0	1.0	5-6	200	1.0	6-7	970	13.0	5-7	520	8.0	6=>5	1010.0	4.0	5-6-7	1810.0	5.0	6=>5=>7	6270.0	23.0		65819371024.0	6,5,8,(1,9),7,10,3,(2,4)	6,5,8,(9,7),(2,4),1,10,3		
202048010106	ダ	右	1600	晴	重	13:35	・北区に集いし		2020-1-1	21	名古屋	1	(定量)		6.0	190.0	1.0	6.0	130	1.0	7.0	1,030	8.0	2.0	440.0	7.0	6-7	4960.0	16.0	6-7	3660.0	12.0	6-7	1,540	18.0	2-6	560	7.0	2-7	5,500	28.0	6=>7	5510.0	19.0	2-6-7	13350.0	39.0	6=>7=>2	44000.0	128.0		796348152.0	769384251.0	673829541.0		
202048010107	ダ	右	1400	晴	重	14:10	さな夢賞ことり大神祭 		2020-1-1	21	名古屋	1	(定量)		1.0	130.0	1.0	1.0	100	1.0	5.0	120	2.0	8.0	140.0	4.0				1-5	380.0	1.0	1-5	160	1.0	1-8	220	3.0	5-8	360	6.0	1=>5	450.0	1.0	1-5-8	570.0	2.0	1=>5=>8	1390.0	2.0		16582734.0	16582734.0	15876234.0		
202048010108	ダ	右	1400	晴	重	14:40	B4組		2020-1-1	21	名古屋	1	(定量)		6.0	1090.0	3.0	6.0	140	4.0	5.0	100	1.0	8.0	100.0	2.0	5-6	720.0	3.0	5-6	680.0	3.0	5-6	180	3.0	6-8	230	4.0	5-8	110	1.0	6=>5	2250.0	6.0	5-6-8	340.0	2.0	6=>5=>8	5590.0	19.0		18365297.0	18635297	8,1,6,(3,5),(2,9)-7		
202048010109	ダ	右	1600	晴	重	15:15	ハッピーサンライズ賞		2020-1-1	21	名古屋	1	(定量)		6.0	490.0	3.0	6.0	100	2.0	8.0	110	3.0	2.0	100.0	1.0	6-8	860.0	4.0	6-8	650.0	3.0	6-8	180	3.0	2-6	120	1.0	2-8	150	2.0	6=>8	1250.0	6.0	2-6-8	250.0	1.0	6=>8=>2	2840.0	9.0		659872314.0	685297341.0	682593471.0		
202048010110	ダ	右	1600	晴	重	15:50	新春ペガサスカップ	G	2020-1-1	21	名古屋	1	(馬齢)		7.0	240.0	2.0	7.0	120	2.0	5.0	110	1.0	1.0	340.0	7.0	5-6	160.0	1.0	5-7	170.0	1.0	5-7	120	1.0	1-7	510	6.0	1-5	500	5.0	7=>5	370.0	2.0	1-5-7	690.0	2.0	7=>5=>1	2680.0	9.0		511612371284109.0	5,11,6,(12,7),(3,1),2,8,10,4,9	(6,7),5,12,1,11,2,3,8,9,4,10		
