着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		7	---	3	000a0144b8	牡	5			59.0	122.18	0			a0353	a0327	a00176	0.0	2020G4a00108
2		6	---	2	000a0165d6	セ	4			59.0		1/2			a0425	a03ed	a0008b	0.0	2020G4a00108
3		1	---	6	000a0149f3	セ	4			59.0		3/4			05416	a03f1	a001c0	0.0	2020G4a00108
4		4	---	8	000a013320	セ	8			59.0		2.1/4			a03ea	a0327	a0017e	0.0	2020G4a00108
5		2	---	1	000a013ab3	セ	6			59.0		3/4			05407	00955	a00063	0.0	2020G4a00108
6		8	---	5	000a01421e	牡	6			59.0		3/4			a030f	a03c9	a001a7	0.0	2020G4a00108
7		9	---	9	000a014ac5	牡	5			59.0		1			a03ee	a03ae	a001b7	0.0	2020G4a00108
8		14	---	7	Miss Siska	牝	6			57.0		1/2			00レーン	00Mベグ	00nan	0.0	2020G4a00108
9		3	101.0	13	2011105898	牡	9			59.0		アタマ			a03ad	00362	382004	0.0	2020G4a00108
10		5	---	4	000a014093	セ	6			59.0		アタマ			a03e7	a0324	a00130	0.0	2020G4a00108
11		10	---	11	Hush Writer	セ	5			59.0		3/4			0ローウィ	0ウォータ	00nan	0.0	2020G4a00108
12		13	---	10	000a0149d3	牡	4			58.5		7			05378	a0327	013031	0.0	2020G4a00108
13		12	---	11	Cape Of Good Hope	牡	4			58.5		1			0バイリス	0Dヘイズ	00nan	0.0	2020G4a00108
14		11	---	14	Venice Beach	牡	6			59.0		アタマ			0カーズリ	0Dオブラ	00nan	0.0	2020G4a00108
